"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"30d1609f-0455-4324-94ac-b0541c893545","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Landscaping"
"e7cb3d2b-b5e7-4f0b-869a-458ac1d224bf","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Pavement"
"521ff811-2e6c-4a4c-82ef-110c7ee258f2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Surfacing"
"a818841a-e782-47d3-b333-93c3bea0b418","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Streetlighting"
"eb7a5727-94f8-4517-a3e7-5349c67663d1","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Line Marking & Signs"
"b256577b-49df-4700-bee9-cb4df6a15dab","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Zone 3","Westbound","Structures"
"05ca1e4f-43fd-498e-91e1-8c0b97ca2c15","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Median"
"562f96d1-ac76-43ce-a7da-77bcb4d394ab","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Median","Footpaths, Crossings & Islands"
"00e2b771-e870-4868-9536-f28bff78e127","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Median","Pavement"
"468a8a3c-43c7-43ab-b1bd-5c2a5849e84b","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Median","Surfacing"
"66adbe87-5cd7-4dc6-a89b-c1feb930f473","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Median","Traffic Signals"
"ea389511-5742-41bb-a361-84586c703755","","folder-normal","no-status-not-started","","step","FALSE","FALSE","Zone 3","Owhata"
