"","Prior to Commencement – The following documentation are completed and approved","Take Delivery of Louvre Units","Preinstall Door Checks / Openings Prepared to Receive Louvres:","Louvre Installation (Part 1):","CPB Sign Off (Part 1):","Louvre Installation (Part 2):","Final Checks","CPB Sign Off (Part 2):"
"A03-W.1.021F","not started","not started","not started","not started","not started","not started","not started","not started"
"A03-W.1.021G","pass","pass","pass","pass","pass","not started","not started","not started"
"A03-W.1.021H","not started","not started","not started","not started","not started","not started","not started","not started"
"A03-W.1.021I","not started","not started","not started","not started","not started","not started","not started","not started"
"A03-W.G.093A","pass","pass","pass","pass","pass","not started","not started","not started"
"A03-W.G.098A","pass","pass","pass","pass","wip","not started","not started","not started"
"A04",,,,,,,,
"A04-W.G.093A","pass","pass","pass","pass","pass","not started","not started","not started"
"A04-W.G.098A","pass","pass","pass","pass","pass","not started","not started","not started"
"FM1",,,,,,,,
"FM1-W.1.001A","pass","pass","pass","pass","pass","not applicable","not started","pass"
"FM1-W.G.001B","pass","pass","pass","pass","pass","pass","not started","pass"
"FM1-W.G.005C","pass","pass","pass","pass","pass","not applicable","pass","pass"
"FM1-W.G.008C","pass","pass","pass","pass","pass","not applicable","pass","pass"
"FM1-W.G.017B","pass","pass","pass","pass","pass","pass","not started","pass"
"FM1-W.G.031A","pass","pass","pass","pass","pass","not applicable","not started","pass"
"FM1-W.G.031B","pass","pass","pass","pass","pass","pass","not started","pass"
"FM1-W.G.039A","pass","pass","pass","pass","pass","not applicable","not started","pass"
"KIT",,,,,,,,
"KIT-W.1.001A","not started","not started","not started","not started","not started","not started","not started","not started"
"KIT-W.1.001B",,,,,,,,
"KIT-W.1.001C","not started","not started","not started","not started","not started","not started","not started","not started"
"KIT-W.1.001D","not started","not started","not started","not started","not started","not started","not started","not started"
"KIT-W.1.001E","not started","not started","not started","not started","not started","not started","not started","not started"
"KIT-W.1.001G","not started","not started","not started","not started","not started","not started","not started","not started"
"KIT-W.1.001H","not started","not started","not started","not started","not started","not started","not started","not started"
"KIT-W.1.003A","not started","not started","not started","not started","not started","not started","not started","not started"
"KIT-W.1.003B","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU",,,,,,,,
"LAU-W.1.001A","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.1.001B",,,,,,,,
"LAU-W.G.020E","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.020F","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.024A","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.024B","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.024C","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.024D","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.024E","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.024F","not started","not started","not started","not started","not started","not started","not started","not started"
"LAU-W.G.024G","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS",,,,,,,,
"VIS- W.1.002A","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS-W.1.002B","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS-W.1.002C","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS-W.1.002E","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS-W.1.002F","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS-W.1.002G","pass","pass","pass","pass","pass","not started","not started","not started"
"VIS-W.1.002P","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS-W.1.002Q","not started","not started","not started","not started","not started","not started","not started","not started"
"VIS-W.1.002R","pass","pass","pass","pass","pass","pass","pass","pass"
"VIS-W.1.002S","not started","not started","not started","not started","not started","not started","not started","not started"
"FM3",,,,,,,,
"FM3-W.G.005A","not started","not started","not started","not started","not started","not started","not started","not started"
"FM3-W.G.005B","not started","not started","not started","not started","not started","not started","not started","not started"
"FM3-W.G.007A","not started","not started","not started","not started","not started","not started","not started","not started"
"FM3-W.G.007B","not started","not started","not started","not started","not started","not started","not started","not started"
"FM3-W.G.013A","not started","not started","not started","not started","not started","not started","not started","not started"
"FM3-W.G.017A","not started","not started","not started","not started","not started","not started","not started","not started"
"FM3-W.G.019A","not started","not started","not started","not started","not started","not started","not started","not started"
"HR1",,,,,,,,
"HR1-W.G.007G","not started","not started","not started","not started","not started","not started","not started","not started"
"HR1-W.G.007H","pass","pass","pass","pass","pass","pass","not started","pass"
"HR1-W.G.008A","not started","not started","not started","not started","not started","not started","not started","not started"
"HR1-W.G.004A","not started","not started","not started","not started","not started","not started","not started","not started"
"HR2",,,,,,,,
"HR2-W.G.007G","not started","not started","not started","not started","not started","not started","not started","not started"
"HR2-W.G.007H","pass","pass","pass","pass","pass","pass","not started","pass"
"HR2-W.G.008A","not started","not started","not started","not started","not started","not started","not started","not started"
"HR2-W.G.004A","not started","not started","not started","not started","not started","not started","not started","not started"
"HRO",,,,,,,,
"HRO-W.1.003A","pass","pass","pass","pass","pass","not applicable","pass","pass"
"HRO-W.G.116A","not started","not started","not started","not started","not started","not started","not started","not started"
"HRO-W.G.117A","not started","not started","not started","not started","not started","not started","not started","not started"
"HRO-W.1.009A","not started","not started","not started","not started","not started","not started","not started","not started"
"HRO-W.1.009B","not started","not started","not started","not started","not started","not started","not started","not started"
"HRO-W.1.011A","not started","not started","not started","not started","not started","not started","not started","not started"
"HRO-W.1.011B","not started","not started","not started","not started","not started","not started","not started","not started"
"HRO-W.1.013A","not started","not started","not started","not started","not started","not started","not started","not started"
"MSU",,,,,,,,
"MSU-W.1.001A","not started","not started","not started","not started","not started","not started","not started","not started"
"MSU-W.1.001B","not started","not started","not started","not started","not started","not started","not started","not started"
"MSU-W.1.001C","not started","not started","not started","not started","not started","not started","not started","not started"
"MSU-W.1.001D","pass","pass","pass","pass","pass","not started","not started","not started"
"DCU",,,,,,,,
"DCU-W.G.011E","pass","pass","pass","pass","pass","wip","pass","pass"
"DCU-W.G.016B","pass","pass","pass","pass","pass","wip","pass","pass"
"DCU-W.G.022C","not started","not started","not started","not started","not started","not started","not started","not started"
"IND",,,,,,,,
"IND-W.G.033A","not started","not started","not started","not started","not started","not started","not started","not started"
"IND-W.G.033B","pass","pass","pass","pass","pass","not started","not started","not started"
"IND-W.G.033C","pass","pass","not started","pass","pass","not started","not started","not started"
"IND-W.G.011B","pass","pass","pass","pass","pass","pass","pass","pass"
"IND-W.G.011C","pass","pass","pass","pass","pass","pass","pass","pass"
"IND-W.G.028D","pass","pass","pass","pass","pass","pass","pass","pass"
"IND-W.G.028E","pass","pass","pass","pass","pass","pass","pass","pass"
"PCP",,,,,,,,
"PCP-W.G.009B","pass","pass","pass","pass","pass","pass","pass","pass"
"PCP-W.G.013A","not started","not started","not started","not started","not started","not started","not started","not started"
"PCP-W.G.013B","pass","pass","pass","pass","pass","pass","pass","pass"
"PCP-W.G.004E","pass","pass","pass","pass","pass","not started","not started","not started"
"SPO",,,,,,,,
"SPO-W.G.002A","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.007A","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015A","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015B","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015C","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015D","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015E","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015F","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015G","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015H","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015I","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.015J","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.016A","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.019A","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.020E","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.020F","not started","not started","not started","not started","not started","not started","not started","not started"
"SPO-W.G.024A","pass","pass","pass","pass","pass","pass","wip","pass"
"STA",,,,,,,,
"STA-W.G.059A","pass","pass","pass","pass","pass","pass","not started","pass"
"STA-W.1.001A","pass","pass","pass","pass","pass","pass","pass","pass"
"STA-W.1.001B","pass","pass","pass","pass","pass","pass","pass","pass"
"STA-W.1.001C","pass","pass","pass","pass","pass","pass","pass","pass"
"PRO",,,,,,,,
"PRO-W.G.062A","pass","pass","pass","pass","pass","not started","not started","not started"
"PRO-W.G.062B","pass","pass","pass","pass","pass","pass","not started","pass"
"PRO-W.G.066A","pass","pass","pass","pass","pass","pass","not started","pass"
"PRO-W.G.066B","pass","pass","pass","pass","pass","pass","not started","pass"
"PRO-W.1.007B","not started","not started","not started","not started","not started","not started","not started","not started"
"PRO-W.1.021A","pass","pass","pass","pass","pass","pass","not started","wip"
"PRO-W.G.024A","pass","pass","pass","pass","pass","not started","not started","not started"
"PRO-W.G.043A","not started","not started","not started","not started","not started","not started","not started","not started"
"PRO-W.G.043B","not started","not started","not started","not started","not started","not started","not started","not started"
"WAS",,,,,,,,
"WAS-W.G.007F","not started","not started","not started","not started","not started","not started","not started","not started"
"WAS-W.G.001A","pass","pass","pass","pass","pass","pass","not started","pass"
"WAS-W.G.005A","pass","pass","pass","pass","pass","pass","not started","pass"
"WHA",,,,,,,,
"WHA-W.G.026A","not started","not started","not started","not started","not started","not started","not started","not started"
"WHA-W.G.004B","pass","pass","pass","pass","pass","pass","not started","pass"
"MH1",,,,,,,,
"MH1-W.1.001A","pass","pass","pass","pass","pass","pass","pass","pass"
"MH1-W.1.001B",,,,,,,,
"MH1-W.1.001C","pass","pass","pass","pass","pass","pass","pass","pass"
"MH1-W.1.001D","pass","pass","pass","pass","pass","pass","not started","pass"
"MH1-W.1.001E","pass","pass","pass","pass","pass","pass","pass","pass"
"MH1-W.1.001F","pass","pass","pass","pass","pass","pass","pass","pass"
"MH1-W.1.001G","pass","pass","pass","pass","pass","not started","not started","pass"
"MH1-W.1.001H",,,,,,,,
"MH1-W.1.001J","pass","pass","pass","pass","pass","pass","not started","pass"
"MH1-W.1.001K","pass","pass","pass","pass","pass","pass","pass","pass"
"MH1-W.1.001L","pass","pass","pass","pass","pass","pass","pass","pass"
"MH1-W.1.005A",,,,,,,,
"MH1-W.1.008A",,,,,,,,
"MH2",,,,,,,,
"MH2-W.1.001A","pass","pass","pass","pass","pass","pass","not started","not started"
"MH2-W.1.001B","pass","pass","pass","pass","pass","not started","not started","not started"
"MH2-W.1.001C",,,,,,,,
"MH2-W.1.001D","pass","pass","pass","pass","pass","not started","not started","not started"
"MH2-W.1.001E","pass","pass","pass","pass","pass","pass","pass","pass"
"MH2-W.1.001F","pass","pass","pass","pass","pass","pass","pass","pass"
"MH2-W.1.001G","pass","pass","pass","pass","pass","not started","not started","not started"
"MH2-W.1.001H",,,,,,,,
"MH2-W.1.001J","pass","pass","pass","pass","pass","not started","not started","not started"
"MH2-W.1.001K","pass","pass","pass","pass","pass","pass","pass","pass"
"MH2-W.1.001L","pass","pass","pass","pass","pass","pass","pass","pass"
