"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2831339e-a077-456e-8e06-9aade0000fa4","","not-started","","folder","TRUE","FALSE","Site QA"
"e4547e0c-d201-4bfb-a4c9-0d9654746240","","not-started","","folder","TRUE","FALSE","Site QA","GF"
"06173430-d9cb-4273-bec7-7eaaafcdb7a4","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 51"
"e6b453e6-abc4-4409-bf25-09daa9cba7a1","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 52"
"69301a46-e841-4811-bab3-bbf87ff7ee93","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 53"
"45a67aa5-0f0b-44ca-9da3-1b4680696a52","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 54"
"967bf9a9-bd14-4e45-b82e-2f592c8a9070","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 55"
"25ce6c24-e2f1-40c1-8c58-eddba0fcad65","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 56"
"99975be9-6e13-46b2-8fd3-821423e0a619","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 57"
"6262efc4-9fd6-4de8-982b-fd4e0dc96f7b","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 58"
"8c3e06cc-f740-4209-997d-af6175a7ed24","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 59"
"a82c9468-66c6-48b9-9d5d-2d331b6a05a9","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 60"
"39dbd29c-82fa-4c50-9880-5aa4d7f921be","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 61"
"e2639b04-5c91-4edb-9dad-6ff494496293","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 62"
"f5bb5d61-7711-4461-b273-f1ca51bf94c3","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 63"
"d48d65db-95b3-4150-a785-fe6fbe59d8eb","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 64"
"32e62bd9-af32-4c84-b5a5-3f39119032f2","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 65"
"c12b434d-5833-490d-8a65-a2b860d986ed","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 66"
"e8dc48f2-bba4-45e2-b3cb-aa86bcfebd39","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 67"
"0e6b0196-0657-4428-adb3-e0404485f184","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 68"
"94ec3e10-7ef0-455d-9120-c0e69aa49435","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 69"
"62bfeada-478d-47c8-aca5-fc14abdf58f1","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 70"
"adbc9940-459d-4d0f-8c23-2839981cfca8","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 71"
"134735ce-52d9-4e1e-aa60-2f39cbc22d81","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 72"
"5c71eae7-17d3-4481-a026-4a41a607e080","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 73"
"77617ce4-24e3-4b0a-a42b-7a65c2b391ec","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 74"
"bfd6f797-1628-4941-9867-4646d93ec1bb","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 75"
"7d582626-6f9a-44db-baf2-4a8bd20119c6","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 76"
"5e5c5a8f-e183-44ee-a1e0-28329d95ab65","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 77"
"cbafea93-119d-4cfc-9bf0-2555110b821f","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 78"
"55564429-3095-4489-a0a3-2896cff53a93","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 79"
"0ca92f66-4a5a-4a3b-bab1-ffc55dc2d9ef","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 80"
"18366ae9-4f48-4e61-817b-b43771aed2c2","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 81"
"d0147604-8e4c-4238-ac4d-946c21fd820f","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 82"
"d48b11e8-9ba7-4886-b002-26c990fef6fa","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 83"
"f3fc9450-3875-4bf5-875b-69912127be3a","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 84"
"a14278ce-4347-494b-afa0-3544a4f24f49","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 85"
"95e2ec8e-3371-43dd-861b-b87641c16e2e","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 86"
"05d3e8c4-ad13-4226-b6b8-d74136529bb3","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 87"
"04196e35-c844-4cb0-b700-845d38979ed7","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 88"
"3b50a931-9337-408c-a108-8703e30a226f","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 89"
"fd7a5f6a-434e-49c0-9c7c-0eed801f1abe","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 90"
"39601593-951f-4742-bc36-694aafa0795c","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 91"
"7d17bf22-9458-435a-8235-cdd39403789f","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 92"
"e7bccef9-cdc5-432b-9006-47b1c6e09618","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 93"
"5e8b0686-cf5c-458a-ae0f-8c13a6b99fa9","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 94"
"6e7394d9-57ed-45af-b8ac-bee1f2a8ff20","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 95"
"9d03e9e1-8f74-432c-9f85-7bad4768db36","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 96"
"5f1559fd-adc9-4c8d-acc3-afbb4cf17ba2","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 97"
"1758973f-d5a4-4a51-a7a7-2384e2d43ccc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 98"
"419c53e3-e529-461a-bd71-770f3363d4be","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 99"
"a4531e3b-76f6-436f-b41b-b7996eae143e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 100"
"b6c57f4f-513a-4667-8229-02e8155045d6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 101"
"046ba14d-d5fa-4e5f-93ae-ebf0c57f7d82","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 102"
"edfa0b5d-cab6-4576-9ebb-abe3c3c3d2ff","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 103"
"7b695914-a0b7-40a4-bc1f-9a1257fbc3fe","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 104"
"9889a5cd-872e-4974-834f-d5aa0ba71c42","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 105"
"bb2b74ca-0989-41b8-844a-487f25312703","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 106"
"2f6fa133-c090-4a79-9d74-66316f7c3352","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 107"
"b55d5a8a-fc95-478c-a743-cd4c7733b011","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 108"
"9d89970b-cd08-4c44-b41d-893623939d82","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 109"
"bef1839e-c3df-4188-8f25-8147fba8e5e0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 110"
"5d40e5be-90f9-496d-874b-9a87bf6a6cf9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 111"
"3cffce0c-65af-45f8-8b71-1d0cfc26b057","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 112"
"0b426ca3-1ea7-4df5-83ad-569a9d0159ce","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 113"
"a2a49cc0-efb4-47b5-a4a1-968071d2bfac","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 114"
"d3115d4a-2483-4b22-9066-74c28bf3e9d0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 115"
"4d0c49cf-7c7a-4b0d-ac1a-430d5c0ce031","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 116"
"8677f134-4c70-4bf8-bc3d-2b2397538e79","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 117"
"24511c46-d9e5-447b-b401-e4fcdd2c510e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 118"
"af64a83f-434c-4717-af6e-538efddfbfb0","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 119"
"295fc25e-24c4-4152-9146-d92b74edbb41","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 120"
"d99abfa9-484f-4bc6-9b60-7cef05e41baf","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 121"
"12919631-65e3-4667-9127-18c9938196cf","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 122"
"e996da4c-7dc7-4f86-8fab-2f102f6cc9dd","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 123"
"9cad5cd7-4127-40a2-ab8b-60d924da8279","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 124"
"990dbbe1-0fdf-423e-8185-c3d0b0e307a7","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 125"
"01a875f9-74a0-4f40-ae6a-269b4f483bd9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 126"
"edff162c-3e31-43ff-a656-6c1868750478","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 127"
"d4bb5871-ba3e-4bb6-9032-f4dbbc009aa1","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 128"
"19d33613-5176-4e3b-81c7-f4d26b4046f9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 129"
"3ae7f488-74d4-45d7-a791-5af0f6dbc6e3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 130"
"92e4d683-2afe-47e0-ad16-d466075c1372","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 131"
"fcdf35df-c5b4-49e6-bb35-4a920f1ad192","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 132"
"786f7a78-3432-4e06-a1b8-fd320bf7bd42","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 133"
"db407aff-8c0c-49c5-8b10-8eb264a87b36","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 134"
"a42a0454-22c2-40ea-82ae-9841791b6b95","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 135"
