"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b495cf52-d62f-4814-bd6a-6bdcdfd49f93","","","Screens","checklist","FALSE","FALSE","Site QA","Level 5","Screens"
"0419dff5-68e1-48db-a57d-c655bb418727","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 5","Hoist"
"6967d04d-87c4-47fd-a1d9-5203742b7ecd","","","","folder","TRUE","FALSE","Site QA","Level 6"
"ad3cfb0b-a68d-4012-bea1-993647d51081","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Columns Checklist"
"38001f5f-a42a-48b6-b259-061cb5728315","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Walls Checklist"
"d2215a9d-2a1e-4079-9b02-512531b9a489","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Jump System / Climb Track Checklist"
"af0a1145-0937-48be-a2f9-2173d926077e","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Suspended Slab Checklist"
"4661f274-f601-43b2-a3b8-660c0d40d733","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Stairs Checklist"
"031ec54a-db89-4eb5-baf2-486103e3d984","","","Screens","checklist","FALSE","FALSE","Site QA","Level 6","Screens"
"0e4e8511-845c-4532-af5f-6b2b928e5255","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 6","Hoist"
"42573eba-daaf-4ca5-87fa-865b921b6edd","","","","folder","TRUE","FALSE","Site QA","Level 7"
"8bd92467-909a-4517-9d34-55658913a1bc","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Columns Checklist"
"a0dd65ea-374c-4da5-85e0-41422fdbed34","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Walls Checklist"
"07bbaf47-7808-4a78-8370-c477c711b54a","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Jump System / Climb Track Checklist"
"55e2c199-e013-4337-86e9-a0994f375247","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Suspended Slab Checklist"
"c5d8239a-e888-45fd-bf41-234c9210cee5","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Stairs Checklist"
"8ad5c826-0f48-41e9-9255-4b7548a08a51","","","Screens","checklist","FALSE","FALSE","Site QA","Level 7","Screens"
"7d54ecaf-3183-41eb-bb77-4fec0df013f0","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 7","Hoist"
"ffb3ec42-de14-4273-80cf-d45e2a1b0de5","","","","folder","TRUE","FALSE","Site QA","Level 8"
"90f90d96-1c9c-4550-9288-63b76dec567f","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Columns Checklist"
"bb1206ef-4863-4096-80bf-9023d0cfa4ce","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Walls Checklist"
"7bf17534-0c4c-4c70-895b-e95108362677","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Jump System / Climb Track Checklist"
"21d46c9e-f5fc-4853-86aa-88bf6bfd32fb","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Suspended Slab Checklist"
"85e95ee7-729b-4479-ba06-a274fa17c614","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 8","Stairs Checklist"
"8c7ca3c9-228a-4ccd-9789-954503993ab8","","","Screens","checklist","FALSE","FALSE","Site QA","Level 8","Screens"
"f4f78b22-1ac0-46aa-ac15-e7b269f4dcfc","","","Hoist","checklist","FALSE","FALSE","Site QA","Level 8","Hoist"
"7b77f655-6f30-4f05-abbf-2d123288a7df","","","","folder","TRUE","FALSE","Site QA","Level 9"
"2ee2a3c8-2bb3-450a-bf5c-4c1b8d267a3d","","","Columns Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Columns Checklist"
"33bbee23-b453-4a75-b735-b171997d2a3f","","","Walls Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Walls Checklist"
"9c1c61cf-3791-4d22-aaae-0b8327c9030f","","","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Jump System / Climb Track Checklist"
"f8bd84aa-3922-4ef0-a377-efc591f374bd","","","Suspended Slab Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Suspended Slab Checklist"
"778a3265-d633-4a68-8d1b-89cd051f25f4","","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 9","Stairs Checklist"
"1bfea765-7c52-41a3-a25c-d559f9618924","","","Screens","checklist","FALSE","FALSE","Site QA","Level 9","Screens"
