PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED
'02-34,CONSTRUCTION,MIR008,L02,PANEL,'02-34,PSW1,GREY CONC,250,3.35,8.18,12.58,12.58,50,566.58,169.08,3800,3310,3975,3310,LMC10 ,10.0T ,NO
'02-35,CONSTRUCTION,MIR008,L02,PANEL,'02-35,PSW1,GREY CONC,250,3.35,8.19,12.58,12.58,50,561.88,167.68,3800,3310,3975,3310,LMC10 ,10.0T ,NO
'02-42,CONSTRUCTION,MIR008,L02,PANEL,'02-42,PW2A,GREY CONC,200,1.63,3.95,8.16,8.2,50,136.93,83.93,2500,3280,2500,3280,LMC10 ,10.0T ,NO
'02-44,CONSTRUCTION,MIR008,L02,PANEL,'02-44,PW2A,GREY CONC,200,4.12,10.05,20.61,20.61,50,301.09,73.03,6565,3140,6565,3340,LMC10 ,10.0T ,NO
'02-46,CONSTRUCTION,MIR008,L02,PANEL,'02-46,PW2C,GREY CONC,200,2.68,6.58,13.38,13.38,50,368.94,137.9,4260,3140,4260,3340,LMC10 ,10.0T ,NO
'02-48,CONSTRUCTION,MIR008,L02,PANEL,'02-48,PW3A,GREY CONC,200,2.06,4.97,10.29,10.28,50,165.02,80.22,3275,3140,3275,3140,LMC10 ,10.0T ,NO
'02-49,CONSTRUCTION,MIR008,L02,PANEL,'02-49,PW2C,GREY CONC,200,2.41,5.97,12.06,12.06,50,358.28,148.56,3840,3140,3840,3240,LMC10 ,10.0T ,NO
'02-50,CONSTRUCTION,MIR008,L02,PANEL,'02-50,PW2A,GREY CONC,200,3.29,8.03,16.44,16.72,50,310.6,94.46,5209,3210,5209,3360,LMC10 ,10.0T ,NO
'02-51,CONSTRUCTION,MIR008,L02,PANEL,'02-51,PW1A,GREY CONC,200,3.78,9.18,18.92,18.92,50,279.06,73.74,5950,3180,5950,3180,LMC10 ,10.0T ,NO
'02-52,CONSTRUCTION,MIR008,L02,PANEL,'02-52,PW1A,GREY CONC,200,4.53,10.99,22.44,22.45,50,368.39,81.4,7084,3169,7084,3169,LMC10 ,10.0T ,NO
'03-01,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-01,STAIR 3,GREY CONC,200,2.84,7.3,14.21,14.21,50,801.69,282.01,2300,6180,2640,6180,LMC10 ,10.0T ,YES
'03-02,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-02,STAIR 3,GREY CONC,200,2.38,5.92,11.91,14.63,50,637.58,267.69,4749,3080,5089,3080,LMC10 ,10.0T ,NO
'03-03,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-03,STAIR 3,GREY CONC,200,2.31,6.01,11.56,12.36,50,740.17,320.12,2000,6180,2340,6180,LMC10 ,10.0T ,YES
'03-04,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-04,STAIR 3,GREY CONC,200,2.74,6.72,13.71,13.71,50,626.66,228.61,4450,3080,4803,3080,LMC10 ,10.0T ,NO
'03-05,CONSTRUCTION,MIR008,L03,CORE LIFT,'03-05,LIFT,GREY CONC,200,1.91,5.05,9.56,14.63,50,804.63,420.95,4750,3079,5090,3079,,,NO
'03-06,CONSTRUCTION,MIR008,L03,CORE LIFT,'03-06,LIFT,GREY CONC,200,2.6,6.68,12.98,12.98,50,761.69,293.45,2100,6180,2440,6180,LMC10 ,10.0T ,YES
'03-07,CONSTRUCTION,MIR008,L03,CORE LIFT,'03-07,LIFT,GREY CONC,200,2.56,6.23,12.78,12.78,50,581.73,227.56,4150,3080,4490,3080,LMC10 ,10.0T ,NO
'03-08,CONSTRUCTION,MIR008,L03,CORE LIFT,'03-08,LIFT,GREY CONC,200,2.6,6.68,12.98,12.98,50,757.82,291.96,2100,6179,2100,6179,LMC10 ,10.0T ,YES
'03-09,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-09,STAIR 1,GREY CONC,200,2.53,6.14,12.63,12.62,50,561.82,222.45,4100,3079,4100,3079,LMC10 ,10.0T ,NO
'03-10,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-10,STAIR 1,GREY CONC,200,1.83,4.84,9.13,14.9,50,669.33,366.57,2300,6479,2627,6479,LMC10 ,8.0T ,YES
'03-11,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-11,STAIR 1,GREY CONC,200,2.53,6.17,12.63,12.62,50,562.17,222.59,4100,3079,4100,3079,LMC10 ,10.0T ,NO
'03-12,CONSTRUCTION,MIR008,L03,CORE STAIR,'03-12,STAIR 1,GREY CONC,200,2.98,7.66,14.9,14.9,50,839.16,281.52,2300,6480,2300,6480,LMC10 ,10.0T ,YES
'03-13,CONSTRUCTION,MIR008,L03,PANEL,'03-13,PW3A,GREY CONC,200,2.16,5.26,10.71,10.74,50,185.36,85.99,3807,2820,3807,2820,LMC10 ,10.0T ,NO
'03-14,CONSTRUCTION,MIR008,L03,COLUMN,'03-14,P-C2,GREY CONC,250,1.13,2.77,4.54,4.74,50,156.66,138.15,800,5920,800,5920,LMC10 LMC10 ,8.0T 7.0T ,YES
'03-15,CONSTRUCTION,MIR008,L03,PANEL,'03-15,PW3A,GREY CONC,200,2.13,5.21,10.6,10.62,50,181.09,84.89,3767,2820,3767,2820,LMC10 ,10.0T ,NO
'03-16,CONSTRUCTION,MIR008,L03,PANEL,'03-16,PW2A,GREY CONC,200,2.51,6.12,11.09,11.61,50,201.01,79.99,3922,2959,3922,2959,LMC10 ,10.0T ,NO
'03-17,CONSTRUCTION,MIR008,L03,PANEL,'03-17,PW6A,GREY CONC,200,1.94,4.74,9.11,9.13,40,169.08,87.09,2925,3122,2925,3122,LMC10 ,10.0T ,NO
'03-18,CONSTRUCTION,MIR008,L03,PANEL,'03-18,PW6A,GREY CONC,200,2.04,4.98,9.52,9.52,40,142.14,69.54,3049,3122,3049,3122,LMC10 ,10.0T ,NO
'03-19,CONSTRUCTION,MIR008,L03,PANEL,'03-19,PW6A,GREY CONC,200,2,4.86,9.3,9.3,40,139.53,69.84,2980,3122,2980,3122,LMC10 ,10.0T ,NO
'03-20,CONSTRUCTION,MIR008,L03,PANEL,'03-20,PW6A,GREY CONC,200,1.42,3.46,6.43,6.43,40,124.62,87.62,2059,3122,2059,3122,LMC10 ,10.0T ,NO
'03-21,CONSTRUCTION,MIR008,L03,PANEL,'03-21,PW2C,GREY CONC,200,2.9,7.28,14.48,14.95,50,461.95,159.57,2500,5980,2500,5980,LMC10 ,10.0T ,YES
'03-22,CONSTRUCTION,MIR008,L03,COLUMN,'03-22,P-C2,GREY CONC,250,1.1,2.69,4.41,4.67,50,152.9,138.75,800,5840,800,5840,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-23,CONSTRUCTION,MIR008,L03,PANEL,'03-23,PW6A,GREY CONC,220,1.66,4.04,6.88,6.88,40,145.58,87.9,2204,3122,2204,3122,LMC10 LC05 ,10.0T 5.0T ,NO
'03-24,CONSTRUCTION,MIR008,L03,PANEL,'03-24,PW2A,GREY CONC,200,1.98,4.9,9.88,10.29,50,260.3,131.72,1720,5980,1720,5980,LMC10 ,10.0T ,YES
'03-25,CONSTRUCTION,MIR008,L03,PANEL,'03-25,PW6B,GREY CONC,200,2.68,6.59,12.38,12.38,50,229.75,85.88,1990,6222,1990,6222,LMC10 ,10.0T ,YES
'03-26,CONSTRUCTION,MIR008,L03,PANEL,'03-26,,GREY CONC,150,0.85,2.11,5.65,5.9,40,121.12,142.92,1000,5899,1000,5899,LMC10 ,10.0T ,YES
'03-28,CONSTRUCTION,MIR008,L03,PANEL,'03-28,PW2A,GREY CONC,200,1.27,3.14,6.37,6.58,50,181.27,142.31,1100,5980,1100,5980,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-29,CONSTRUCTION,MIR008,L03,COLUMN,'03-29,P-C9,GREY CONC,250,1.44,3.57,5.76,6.02,50,252.7,175.55,1030,5840,1030,5840,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-30,CONSTRUCTION,MIR008,L03,PANEL,'03-30,PW3B,GREY CONC,300,2.93,7.14,10.17,10.2,40,223.39,76.22,3617,2820,3617,2820,LMC10 ,10.0T ,NO
'03-31,CONSTRUCTION,MIR008,L03,COLUMN,'03-31,P-C6,GREY CONC,250,0.87,2.18,3.47,3.59,65,203.64,234.45,600,5980,600,5980,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-32,CONSTRUCTION,MIR008,L03,PANEL,'03-32,PW2A,GREY CONC,200,1.92,4.66,8.99,8.98,50,153.41,79.88,1444,6222,1444,6222,LMC10 ,10.0T ,YES
'03-33,CONSTRUCTION,MIR008,L03,PANEL,'03-33,PW2A,GREY CONC,200,2.9,7.15,14.48,14.95,50,309.24,106.82,2500,5980,2500,5980,LMC10 ,10.0T ,YES
'03-34,CONSTRUCTION,MIR008,L03,PANEL,'03-34,PSW1,GREY CONC,200,1.96,4.69,9.79,9.79,50,424.16,216.58,3400,2880,3400,2880,LMC10 ,10.0T ,NO
'03-36,CONSTRUCTION,MIR008,L03,PANEL,'03-36,PW2C,GREY CONC,200,2.89,7.27,14.46,14.95,65,457.83,158.28,2500,5980,2500,5980,LMC10 ,10.0T ,YES
'03-37,CONSTRUCTION,MIR008,L03,PANEL,'03-37,PW2A,GREY CONC,200,1.04,2.54,4.96,4.96,50,95.82,91.84,1588,3122,1588,3122,LMC10 ,10.0T ,NO
'03-38,CONSTRUCTION,MIR008,L03,PANEL,'03-38,PW2A,GREY CONC,200,3.17,7.71,14.64,14.64,50,217.85,68.82,2353,6222,2353,6222,LMC10 ,10.0T ,YES
'03-39,CONSTRUCTION,MIR008,L03,PANEL,'03-39,PW2A,GREY CONC,200,2.55,6.3,12.74,13.16,50,287.35,112.79,2200,5980,2200,5980,LMC10 ,10.0T ,YES
'03-40,CONSTRUCTION,MIR008,L03,COLUMN,'03-40,P-C2,GREY CONC,250,1.16,2.83,4.63,4.78,50,159.57,137.8,800,5980,800,5980,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-41,CONSTRUCTION,MIR008,L03,PANEL,'03-41,PW2C,GREY CONC,200,2.55,6.43,12.74,13.16,50,435.41,170.91,2200,5980,2200,5980,LMC10 ,10.0T ,YES
'03-42,CONSTRUCTION,MIR008,L03,PANEL,'03-42,PW2A,GREY CONC,200,3.28,8,16.29,16.88,50,265.65,80.88,5704,2960,5704,2960,LMC10 ,10.0T ,NO
'03-43,CONSTRUCTION,MIR008,L03,PANEL,'03-43,PW2C,GREY CONC,200,1.74,4.45,8.69,8.97,65,408.78,235.34,1500,5980,1500,5980,LMC10 ,10.0T ,YES
'03-44,CONSTRUCTION,MIR008,L03,PANEL,'03-44,PW2A,GREY CONC,200,3.52,8.62,15.1,15.1,50,298.17,84.63,5430,2780,5430,2780,LMC10 ,10.0T ,NO
'03-45,CONSTRUCTION,MIR008,L03,COLUMN,'03-45,P-C2,GREY CONC,250,1.13,2.77,4.53,4.74,50,175.18,154.74,800,5920,800,5920,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-46,CONSTRUCTION,MIR008,L03,COLUMN,'03-46,P-C2,GREY CONC,250,1.13,2.79,4.54,4.74,50,175.53,154.79,800,5920,800,5920,LMC10 ,10.0T ,YES
'03-47,CONSTRUCTION,MIR008,L03,COLUMN,'03-47,P-C2,GREY CONC,250,1.13,2.78,4.53,4.74,50,174.95,154.54,800,5919,800,5919,LMC10 ,10.0T ,YES
'03-48,CONSTRUCTION,MIR008,L03,PANEL,'03-48,PW3A,GREY CONC,200,2.82,6.88,12.07,12.07,50,220.78,78.26,4279,2820,4279,2820,LMC10 ,10.0T ,NO
'03-49,CONSTRUCTION,MIR008,L03,COLUMN,'03-49,P-C2,GREY CONC,250,1.1,2.71,4.41,4.67,50,173.04,157.02,800,5839,800,5839,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-50,CONSTRUCTION,MIR008,L03,PANEL,'03-50,PW3B,GREY CONC,300,3.85,9.37,11.98,11.98,40,264.35,68.7,4249,2820,4249,2820,LMC10 ,10.0T ,NO
'03-51,CONSTRUCTION,MIR008,L03,PANEL,'03-51,PW1A,GREY CONC,200,3.85,9.27,18.34,18.34,50,294.3,76.46,6598,2780,6598,2780,LMC10 ,10.0T ,NO
'03-52,CONSTRUCTION,MIR008,L03,PANEL,'03-52,PW1A,GREY CONC,200,2.9,7.08,14.5,14.5,50,216.41,74.64,2330,6222,2330,6222,LMC10 ,10.0T ,YES
'03-53,CONSTRUCTION,MIR008,L03,PANEL,'03-53,PW1A,GREY CONC,200,3.38,8.24,16.89,16.89,50,243.73,72.14,2714,6222,2714,6222,LMC10 ,10.0T ,YES
'03-54,CONSTRUCTION,MIR008,L03,PANEL,'03-54,PW1A,GREY CONC,300,2.1,5.07,6.62,6.62,50,132.2,63.07,2121,3122,2121,3122,LMC10 LMC10 ,10.0T 7.0T ,NO
'03-55,CONSTRUCTION,MIR008,L03,PANEL,'03-55,PW2A,GREY CONC,200,3.57,8.68,16.49,16.49,50,238.88,66.95,2650,6222,2650,6222,LMC10 ,10.0T ,YES
'03-56,CONSTRUCTION,MIR008,L03,PANEL,'03-56,PW2D,GREY CONC,200,1.99,4.85,9.21,9.2,50,155.92,78.21,1479,6222,1479,6222,LMC10 ,10.0T ,YES
'03-57,CONSTRUCTION,MIR008,L03,PANEL,'03-57,PW2A,GREY CONC,200,1.48,3.56,6.62,6.62,50,127.98,86.66,2121,3122,2121,3122,LMC10 ,10.0T ,NO
'03-58,CONSTRUCTION,MIR008,L03,PANEL,'03-58,PW2A,GREY CONC,200,2.3,5.56,10.47,10.47,50,160.07,69.7,3353,3122,3353,3122,LMC10 ,10.0T ,NO
'03-59,CONSTRUCTION,MIR008,L03,PANEL,'03-59,PW2A,GREY CONC,200,0.58,1.38,2.88,2.88,50,68.85,119.53,1000,2880,1000,2880,LMC10 ,10.0T ,NO
'03-60,CONSTRUCTION,MIR008,L03,PANEL,'03-60,PSW2,GREY CONC,200,2.7,6,13.5,13.5,50,540.55,200.15,4688,2880,4688,3040,LMC10 ,10.0T ,NO
'03-61,CONSTRUCTION,MIR008,L03,PANEL,'03-61,PW2A,GREY CONC,200,2.9,7.13,14.48,14.95,50,309.5,106.91,2500,5980,2500,5980,LMC10 ,10.0T ,YES
'03-62,CONSTRUCTION,MIR008,L03,COLUMN,'03-62,P-C3,GREY CONC,350,0.69,1.66,2.73,2.72,50,132.78,193.56,980,2780,980,2780,LMC10 ,10.0T ,NO
'03-63,CONSTRUCTION,MIR008,L03,COLUMN,'03-63,P-C2,GREY CONC,250,1.13,2.77,4.54,4.74,50,156.88,138.34,800,5920,800,5920,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-64,CONSTRUCTION,MIR008,L03,PANEL,'03-64,PW3A,GREY CONC,200,2.76,6.7,13.65,13.76,50,221.81,80.24,4879,2820,4879,2820,LMC10 ,10.0T ,NO
'03-65,CONSTRUCTION,MIR008,L03,PANEL,'03-65,PW2A,GREY CONC,200,3.38,8.18,15.1,15.1,50,211.71,62.55,5430,2780,5430,2780,LMC10 ,10.0T ,NO
'03-66,CONSTRUCTION,MIR008,L03,PANEL,'03-66,PW2A,GREY CONC,200,2.21,5.35,11.07,11.13,50,173.95,78.58,3865,2880,3865,2880,LMC10 ,10.0T ,NO
'03-67,CONSTRUCTION,MIR008,L03,COLUMN,'03-67,P-C11,GREY CONC,300,1.58,3.83,5.97,6.25,50,163.67,103.89,1070,5840,1070,5840,LMC10 LMC10 ,10.0T 7.0T ,YES
'03-68,CONSTRUCTION,MIR008,L03,COLUMN,'03-68,P-C6,GREY CONC,250,0.83,2.08,3.31,3.5,50,201.64,243.97,600,5840,600,5840,LMC10 LMC10 ,10.0T 7.0T ,YES
'04-02,CONSTRUCTION,MIR008,L04,CORE STAIR,'04-02,STAIR 3,GREY CONC,200,2.39,6.04,11.93,14.63,50,638.06,267.5,4749,3080,5089,3080,LMC10 ,10.0T ,NO
'04-04,CONSTRUCTION,MIR008,L04,CORE STAIR,'04-04,STAIR 3,GREY CONC,200,2.74,6.82,13.71,13.71,50,626.66,228.61,4450,3080,4803,3080,LMC10 ,10.0T ,NO
'04-05,CONSTRUCTION,MIR008,L04,CORE LIFT,'04-05,LIFT,GREY CONC,200,1.91,5.05,9.56,14.63,50,804.63,420.95,4750,3079,5090,3079,,,NO
'04-07,CONSTRUCTION,MIR008,L04,CORE LIFT,'04-07,LIFT,GREY CONC,200,2.56,6.34,12.78,12.78,50,581.73,227.56,4150,3080,4490,3080,LMC10 ,10.0T ,NO
'04-09,CONSTRUCTION,MIR008,L04,CORE STAIR,'04-09,STAIR 1,GREY CONC,200,2.53,6.25,12.63,12.62,50,561.82,222.45,4100,3079,4439,3079,LMC10 ,10.0T ,NO
'04-11,CONSTRUCTION,MIR008,L04,CORE STAIR,'04-11,STAIR 1,GREY CONC,200,2.39,5.94,11.94,12.62,50,532.54,223,4100,3079,4440,3079,LMC10 ,10.0T ,NO
'04-13,CONSTRUCTION,MIR008,L04,PANEL,'04-13,PW3A,GREY CONC,200,2.16,5.26,10.71,10.74,50,185.36,85.99,3807,2820,3807,2820,LMC10 ,10.0T ,NO
'04-15,CONSTRUCTION,MIR008,L04,PANEL,'04-15,PW3A,GREY CONC,200,2.13,5.21,10.6,10.62,50,181.09,84.88,3767,2820,3767,2820,LMC10 ,10.0T ,NO
'04-16,CONSTRUCTION,MIR008,L04,PANEL,'04-16,PW2A,GREY CONC,200,2.51,6.11,11.09,11.61,50,192.2,76.48,3922,2959,3922,2959,LMC10 ,10.0T ,NO
'04-17,CONSTRUCTION,MIR008,L04,PANEL,'04-17,PW6A,GREY CONC,200,1.94,4.78,9.11,9.13,40,169.08,87.09,2925,3122,2925,3122,LMC10 ,10.0T ,NO
'04-18,CONSTRUCTION,MIR008,L04,PANEL,'04-18,PW6A,GREY CONC,200,2.04,5.01,9.52,9.52,40,142.14,69.54,3049,3122,3049,3122,LMC10 ,10.0T ,NO
'04-19,CONSTRUCTION,MIR008,L04,PANEL,'04-19,PW6A,GREY CONC,200,1.86,4.57,9.3,9.3,40,145.18,78.01,2980,3122,2980,3122,LMC10 ,10.0T ,NO
'04-20,CONSTRUCTION,MIR008,L04,PANEL,'04-20,PW6A,GREY CONC,200,1.42,3.5,6.43,6.43,40,124.62,87.62,2059,3122,2059,3122,LMC10 ,10.0T ,NO
'04-23,CONSTRUCTION,MIR008,L04,PANEL,'04-23,PW6A,GREY CONC,220,1.66,4.08,6.88,6.88,40,145.58,87.9,2204,3122,2204,3122,LMC10 ,10.0T ,NO
'04-30,CONSTRUCTION,MIR008,L04,PANEL,'04-30,PW3B,GREY CONC,300,3.05,7.44,10.17,10.2,40,225.47,73.87,3617,2820,3617,2820,LMC10 ,10.0T ,NO
'04-34,CONSTRUCTION,MIR008,L04,PANEL,'04-34,PSW1,GREY CONC,200,1.96,4.8,9.79,9.79,50,424.16,216.58,3400,2880,3400,2880,LMC10 ,10.0T ,NO
'04-37,CONSTRUCTION,MIR008,L04,PANEL,'04-37,PW2A,GREY CONC,200,1.04,2.51,4.96,4.96,50,95.82,91.84,1588,3122,1588,3122,LMC10 ,10.0T ,NO
'04-42,CONSTRUCTION,MIR008,L04,PANEL,'04-42,PW2A,GREY CONC,200,3.28,8.02,16.28,16.66,50,265.65,80.88,5704,2920,5704,2920,LMC10 ,10.0T ,NO
'04-44,CONSTRUCTION,MIR008,L04,PANEL,'04-44,PW2A,GREY CONC,200,3.52,8.62,15.1,15.1,50,298.17,84.63,5430,2780,5430,2780,LMC10 ,10.0T ,NO
'04-48,CONSTRUCTION,MIR008,L04,PANEL,'04-48,PW3A,GREY CONC,200,2.82,6.88,12.05,12.07,50,212.58,75.35,4279,2820,4279,2820,LMC10 ,10.0T ,NO
'04-50,CONSTRUCTION,MIR008,L04,PANEL,'04-50,PW3B,GREY CONC,300,3.85,9.39,11.96,11.98,40,266.16,69.17,4249,2820,4249,2820,LMC10 ,10.0T ,NO
'04-51,CONSTRUCTION,MIR008,L04,PANEL,'04-51,PW1A,GREY CONC,200,3.85,9.29,18.34,18.34,50,294.3,76.46,6598,2780,6598,2780,LMC10 ,10.0T ,NO
'04-54,CONSTRUCTION,MIR008,L04,PANEL,'04-54,PW1A,GREY CONC,300,2.07,5.01,6.62,6.62,50,132.2,63.79,2121,3122,2121,3122,LMC10 ,10.0T ,NO
'04-57,CONSTRUCTION,MIR008,L04,PANEL,'04-57,PW2A,GREY CONC,200,1.48,3.56,6.62,6.62,50,127.98,86.66,2121,3122,2121,3122,LMC10 ,10.0T ,NO
'04-58,CONSTRUCTION,MIR008,L04,PANEL,'04-58,PW2A,GREY CONC,200,2.3,5.56,10.47,10.47,50,160.07,69.7,3353,3122,3353,3122,LMC10 ,10.0T ,NO
'04-59,CONSTRUCTION,MIR008,L04,PANEL,'04-59,PW2A,GREY CONC,200,0.93,2.21,4.63,4.63,50,85.89,92.68,1609,2880,1609,2880,LMC10 ,10.0T ,NO
'04-60,CONSTRUCTION,MIR008,L04,PANEL,'04-60,PSW2,GREY CONC,200,2.19,5.31,10.94,10.94,50,437.16,199.72,3800,2880,3800,2880,LMC10 ,10.0T ,NO
'04-62,CONSTRUCTION,MIR008,L04,COLUMN,'04-62,P-C3,GREY CONC,350,0.69,1.66,2.73,2.72,50,132.78,193.56,980,2780,980,2780,LMC10 ,10.0T ,NO
'04-64,CONSTRUCTION,MIR008,L04,PANEL,'04-64,PW3A,GREY CONC,200,2.76,6.73,13.63,13.76,50,221.81,80.24,4879,2820,4879,2820,LMC10 ,10.0T ,NO
'04-65,CONSTRUCTION,MIR008,L04,PANEL,'04-65,PW2A,GREY CONC,200,3.38,8.22,15.1,15.1,50,211.99,62.63,5430,2780,5430,2780,LMC10 ,10.0T ,NO
'04-66,CONSTRUCTION,MIR008,L04,PANEL,'04-66,PW2A,GREY CONC,200,2.21,5.37,11.07,11.13,50,173.95,78.58,3865,2880,3865,2880,LMC10 ,10.0T ,NO
'05-01,CONSTRUCTION,MIR008,L05,CORE STAIR,'05-01,STAIR 3,GREY CONC,200,3.06,7.58,15.32,16.69,40,509.54,166.28,2700,6180,2700,6180,LMC10 LMC10 ,10.0T 7.0T ,YES
'05-02,CONSTRUCTION,MIR008,L05,CORE STAIR,'05-02,STAIR 3,GREY CONC,200,2.68,6.53,13.39,16.78,40,452.93,169.14,5449,3080,5449,3080,LMC10 ,10.0T ,NO
'05-03,CONSTRUCTION,MIR008,L05,CORE STAIR,'05-03,STAIR 3,GREY CONC,200,1.59,3.9,7.75,8.32,40,301.03,188.94,2700,3080,2700,3080,LMC10 ,10.0T ,NO
'05-04,CONSTRUCTION,MIR008,L05,CORE STAIR,'05-04,STAIR 3,GREY CONC,200,3.22,7.76,16.1,16.78,40,490.09,152.16,5449,3080,5449,3080,LMC10 ,10.0T ,NO
'05-05,CONSTRUCTION,MIR008,L05,CORE LIFT,'05-05,LIFT,GREY CONC,200,2.02,5.07,10.11,15.86,40,474.9,234.93,5150,3080,5150,3080,LMC10 ,10.0T ,NO
'05-06,CONSTRUCTION,MIR008,L05,CORE LIFT,'05-06,LIFT,GREY CONC,200,3.19,7.89,15.94,17.3,40,522.48,163.89,2800,6180,2800,6180,LMC10 ,10.0T ,YES
'05-07,CONSTRUCTION,MIR008,L05,CORE LIFT,'05-07,LIFT,GREY CONC,200,3.04,7.3,15.18,15.86,40,466.93,153.8,5150,3080,5150,3080,LMC10 ,10.0T ,NO
'05-08,CONSTRUCTION,MIR008,L05,CORE LIFT,'05-08,LIFT,GREY CONC,200,3.19,7.91,15.94,17.3,40,552.14,173.19,2800,6179,2800,6179,LMC10 ,10.0T ,YES
'05-09,CONSTRUCTION,MIR008,L05,CORE STAIR,'05-09,STAIR 1,GREY CONC,200,3.07,7.36,15.14,15.7,40,454.84,148.26,5100,3079,5100,3079,LMC10 ,10.0T ,NO
'05-10,CONSTRUCTION,MIR008,L05,CORE STAIR,'05-10,STAIR 1,GREY CONC,200,0.98,2.44,4.92,8.32,40,232.38,236,2700,3080,2700,3080,LMC10 ,10.0T ,NO
'05-11,CONSTRUCTION,MIR008,L05,CORE STAIR,'05-11,STAIR 1,GREY CONC,200,3.01,7.27,15.03,15.7,40,467.29,155.49,5100,3079,5100,3079,LMC10 ,10.0T ,NO
