Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,,,,,,,
d2ff50ad-7a57-5864-9707-79c5ea2c3aef,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,T1 (Upr),Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
414a8793-b616-5335-87fb-4cd32ed93eed,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,T2 (Upr),Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
d5435b7f-a3f0-52e8-bab3-d70ef3732376,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.01,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
539664aa-914b-5100-ae95-7cae9ce48c56,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.02,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
5f08a5a6-dc5e-534c-9596-a0baeaa84872,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.03,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
a8162d4e-45bd-5a08-8b5a-be90a0c0b939,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.04,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
1dbdbc59-1a14-59e3-89da-4ec7461b5f98,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.05,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
ebba28cb-4e42-58cc-a848-b91d9dcd18a3,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.06,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
c311a667-d955-5cd0-8bcc-9c0b1d828e8e,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.07,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
bf651006-16c8-5240-8f14-8a67a2b06e7a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.08,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
d7d11529-ab1a-5ed0-ab6e-b35f7a8f8a9d,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.09,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
fe4b7cf3-9562-5cc7-a4ea-594e206e2c84,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.1,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
982a45c0-c1ae-58e4-8758-1e91ae06a839,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.11,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
49f6afcf-24da-5025-99bb-1237e8b4724a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 1,1.12,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
96891b52-f1f4-58b9-95d2-8ad0a03f392a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.01,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
1ce4e562-d1e9-55b3-8d8f-9dfb504434cf,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.02,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
d8757d43-6ff2-5031-93f6-a3944f88fcf6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.03,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
1416586d-894c-5b4c-8b8a-05e6540296db,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.04,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
e335f291-c9a3-5133-9bfd-8b4e549c3d10,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.05,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
9878ce89-1d49-5c02-91fc-260e6904af8b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.06,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
fb95fece-2279-588b-a79e-751f538c0995,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.07,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
de6321dc-4763-5c90-a73d-a255986d8823,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.08,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
dcd15441-ec5d-5a29-a884-568242ad75d8,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.09,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
37c2fb71-644e-5e1b-a73d-e3fe1a0ad263,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.1,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
65800669-0f24-57e3-86ee-751b4fb10b06,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.11,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
1dd5b474-45dc-54fd-8959-cb6731b1a257,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 2,2.12,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
2ba86b49-851a-5ee6-a4cd-9330e26d6eb5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.01,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
ee9bea97-0ed6-5771-a104-3c1ce4deaa31,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.02,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
7472c91f-adff-527b-b98c-f0d62cf84320,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.03,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
5af3cd5f-0ca7-5493-8c5a-9f85996ec8e0,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.04,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
ba3ee8df-0ace-5eeb-9cd1-283289035ae7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.05,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
46a9f279-12f9-59cb-af0f-bd12ec999ea3,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.06,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
3f728169-d68f-53bc-ae13-9c7499685806,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.07,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
a3338760-0099-5ef5-ae17-2d32c338871b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.08,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
9edc8a1e-5991-562a-8c2b-1947cfe12af5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.09,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
6e4076dc-db92-5523-887d-4d660d34cae7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 3,3.1,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
d5ac591d-2e1d-5124-9e19-e19d3ca995af,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 4,4.01,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
0c77c2b8-a908-5a95-be38-38b4bec3765b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 4,4.02,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
0a5ce95e-e8f6-5493-a77e-259e5e8ff8af,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 4,4.03,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
02c4dc9a-0eff-55d3-955e-1ab9b0f490ae,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 4,4.04,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
6ad50572-59f1-5c3e-9c7d-495776308648,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 4,4.05,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
8243deb6-3132-59c4-ad80-78636225b8a8,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 4,4.06,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
ef1035b1-fad0-5343-87a4-be5a40d10edb,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 4,4.07,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
76670a6a-3697-5147-8dde-a8351a778034,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 5,5.01,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
33cbed0e-f263-518e-ad2a-8699e9caa8d7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 5,5.02,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
1220416e-35a4-5393-9f43-14f3f23de13e,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 5,5.03,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
8269c8af-a3d4-5aa8-a1c6-67dd176d41cf,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 5,5.04,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
fb1106ec-b794-59a9-b37f-087fd64d1c8a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 6,6.01,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
6da95bd1-e999-5753-a043-4b26b9f06b82,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Level 6,6.02,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
