"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f158326a-af99-4a1f-b1e2-46dcb850b409","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 9 (Roof)","Lift & Stair Core Lids"
"1242058f-2476-4eef-ba67-1b33e1fdfe58","","not-started","Structural Steel - GPL-QSE-ITP-STRUC-011 (REV 00)","checklist","FALSE","FALSE","Structure","Level 9 (Roof)","Structural Steel"
"a6ab8eb9-06a6-46ce-8bb7-1198c21dd242","","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Structure","Level 9 (Roof)","Structure Handover"
"4c9f3687-a493-49f1-88e5-b471cc573a14","","not-started","","folder","TRUE","FALSE","Façade"
"d2ee68ef-c84b-4d12-a521-c634d9b90268","","not-started","","folder","TRUE","FALSE","Façade","Ground Floor"
"4a87a7e2-da48-4196-b849-12ae20001c7f","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Ground Floor","Shopfront Glazing"
"09a7ccfb-9591-405c-baa1-a7d91a951041","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Ground Floor","Façade Cladding"
"bee42a0e-fd6a-4f98-8d08-d4127b95ad68","","not-started","","folder","TRUE","FALSE","Façade","Level 1"
"7c4102db-68ee-41c8-b1ef-b2c2886deed1","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 1","Louvres Installation"
"d9884ff6-2f77-40b3-9776-9d849310ad91","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 1","Windows Installation"
"77975272-3816-4f16-95bf-e189e22a5e3b","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 1","Façade Cladding"
"70f4d93d-5198-4afa-b9f3-41ecfa27c8d2","","not-started","","folder","TRUE","FALSE","Façade","Level 2"
"f52ac63e-70f6-4a41-a72e-06e106cbe0db","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 2","Louvres Installation"
"487d7d17-2e8f-4de4-a713-f5cebf20c0e5","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 2","Windows Installation"
"184cf664-af94-4f75-a016-00f1c62ea08e","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 2","Façade Cladding"
"94d841e7-5f3f-43e9-87f8-efc1c6149779","","not-started","","folder","TRUE","FALSE","Façade","Level 3"
"d6fb1dd2-f514-446f-a745-3431fbebd561","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 3","Louvres Installation"
"30b3e10d-ae06-4947-8fa1-753ef2da44c7","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 3","Windows Installation"
"346102dd-3c12-4548-bfbc-359b35660eac","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 3","Façade Cladding & Signage"
"13c90b51-4010-4ff7-8a1c-d9f67d2fcbad","","not-started","","folder","TRUE","FALSE","Façade","Level 4"
"23bb2b89-3b3f-4caf-b2e2-2ed4f9bfdc5e","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 4","Louvres Installation"
"4a265824-399f-4e6b-a1bc-5adaf8ed75bc","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 4","Windows Installation"
"5cda2140-6132-4a7b-a84c-b4121e261694","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 4","Façade Cladding & Signage"
"138dea70-8313-4073-aa1e-0a02a6da8a20","","not-started","","folder","TRUE","FALSE","Façade","Level 5"
"c3587ec2-10cc-41c6-89b0-6d64bb115db2","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 5","Louvres Installation"
"badec3df-cf42-4b6c-8b5c-19d3d1ef50ee","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 5","Windows Installation"
"9657f5f7-1563-48e6-bdf1-6576fb1ef75b","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 5","Façade Cladding & Signage"
"71c52d2d-d980-4cd0-bde5-dab226b7abc2","","not-started","","folder","TRUE","FALSE","Façade","Level 6"
"135f6e3f-1b6c-4559-8b1a-29e7a9b04426","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 6","Louvres Installation"
"e6a52a7e-fbe6-49fd-8469-2ab5cf968d1f","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 6","Windows Installation"
"b1b5086b-3bf3-4fb0-80f0-3968c2e6ae5a","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 6","Façade Cladding & Signage"
"7e785d6b-c384-4664-b8bc-b228309e62ed","","not-started","","folder","TRUE","FALSE","Façade","Level 7"
"0a9f4814-1a5b-4176-9fd3-8811fca69a97","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 7","Louvres Installation"
"332c3510-f83a-4c58-8dbe-66e65fcbd035","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 7","Windows Installation"
"b5d54233-c2d2-4b92-b6e4-0bb7c86060b6","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 7","Façade Cladding & Signage"
"df3e6b2b-9a56-40b2-850d-8cbf75a47660","","not-started","","folder","TRUE","FALSE","Façade","Level 8"
"d0c3a180-3226-4f25-b4c6-49142a0607fc","","not-started","Louvres & Screens - GPL-QSE-ITP-FAC 003 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 8","Louvres Installation"
"2510a423-cac1-45d8-8e94-64d5e62bbc5f","","not-started","Windows - GPL-QSE-ITP-FAC-001 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 8","Windows Installation"
"4d11f01b-fbc0-4e09-a9bb-f0f46f441e9c","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 8","Façade Cladding & Signage"
"bece927d-0017-4a0b-8de4-21478bbd4e59","","not-started","","folder","TRUE","FALSE","Façade","Level 9 (Roof)"
"7256b5d3-304c-44c8-a69c-73ed413f2dd9","","not-started","Awnings & Roofing - GPL-QSE-ITP-FAC 006 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 9 (Roof)","Laneway Awning Glazing & Box Gutter"
"c43715fa-4704-46e1-a00a-9f12e48d1762","","not-started","Façade Cladding - GPL-QSE-ITP-FAC 008 (Rev 00)","checklist","FALSE","FALSE","Façade","Level 9 (Roof)","Façade Cladding"
"ebc87bc2-abc9-449b-abb9-48598feaaa08","","not-started","","folder","TRUE","FALSE","Fit Out"
"fa540c04-b59d-4018-8bcd-68ba689a901f","","not-started","","folder","TRUE","FALSE","Fit Out","Ground Floor"
"000cacc1-5c62-4b7d-985e-c682c6735cd0","","not-started","Internal Masonry - GPL-QSE-ITP-FIT-02 (Rev00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Masonry Walls"
"f9b1ee68-15dd-467b-aa9f-1b00647cb54f","","not-started","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Plasterboard Walls"
"7cee5c24-9d26-44f5-ae3b-8eb0d4e5c361","","not-started","","folder","TRUE","FALSE","Fit Out","Ground Floor","Services"
"3fda0aca-0b6a-41a5-84f6-ac43c0340ed8","","not-started","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Services","Hydraulic"
"64377287-a893-4644-82f6-1013d3921926","","not-started","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Services","Mechanical"
"a3964e49-0b60-4a97-96aa-ebc8b67300da","","not-started","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Services","Electrical"
"67d5487b-368f-4490-bcf7-33a2202cdeea","","not-started","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Services","Fire Services"
"cbcb1e99-c074-497c-8c41-5d8c6c28f42b","","not-started","","folder","TRUE","FALSE","Fit Out","Ground Floor","Wet Areas"
"7989c8a7-813f-40cf-a446-87c877de3c45","","not-started","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Wet Areas","Waterproofing"
"dbf345b9-e711-445f-870c-c914ed809d99","","not-started","Tiling Internal - GPL-QSE-ITP-FIT-010 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Wet Areas","Tiling"
"b3b7be8c-9da6-402a-93ee-90928f5b2b11","","not-started","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Ground Floor","Plasterboard Ceilings"
"85223084-b163-463f-82ea-85b863dd222d","","not-started","","folder","TRUE","FALSE","Fit Out","Mezzanine"
"6108ab07-bc74-45e2-9fb5-7567f03e5e48","","not-started","Internal Waterproofing - GPL-QSE-ITP-FIT-009 (Rev00)","checklist","FALSE","FALSE","Fit Out","Mezzanine","Waterproofing OSD & Sprinkler Tank"
"4e080cce-3606-4ad7-9789-646e389f2d37","","not-started","","folder","TRUE","FALSE","Fit Out","Level 1"
"66b9cc00-0c61-4b00-b5b9-ff71031022fe","","not-started","Internal Masonry - GPL-QSE-ITP-FIT-02 (Rev00)","checklist","FALSE","FALSE","Fit Out","Level 1","Masonry Walls"
"aaba9664-3f7a-4f5c-9006-e5dec3bd405b","","not-started","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 1","Plasterboard Walls"
"19125bd4-8722-4c79-b43d-f180d9dbe13d","","not-started","","folder","TRUE","FALSE","Fit Out","Level 1","Services"
"b4af8c9a-9c2f-4a3e-a526-398f85186a4d","","not-started","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 1","Services","Hydraulic"
"57069615-58d6-4ca2-96c1-fd406cd5d51b","","not-started","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 1","Services","Mechanical"
"b85b5bea-67b6-4954-be4e-7397a9e849ad","","not-started","Electrical Rough In - GPL-QSE-ITP-FIT-006 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 1","Services","Electrical"
"7b9e64b1-1a4f-416d-9e90-c78b612c4c19","","not-started","Fire Services Rough In - GPL-QSE-ITP-FIT-008 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 1","Services","Fire Services"
"e5a78e9a-d2b3-479e-a7b8-441f9b6e1a73","","not-started","Plasterboard Ceilings - GPL-QSE-ITP-FIT-004 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 1","Plasterboard Ceilings"
"18ffe2b9-31fc-4b9b-a407-2deb49085f3d","","not-started","Storage Cages - GPL-QSE-ITP-FIT-012 (Rev00)","checklist","FALSE","FALSE","Fit Out","Level 1","Storage Cages (Including display area)"
"817a6b6b-6cb0-4a6c-90ae-1311c17f8b34","","not-started","","folder","TRUE","FALSE","Fit Out","Level 2"
"90755f47-44c6-43bd-b5a1-a12ba449ee76","","not-started","Internal Masonry - GPL-QSE-ITP-FIT-02 (Rev00)","checklist","FALSE","FALSE","Fit Out","Level 2","Masonry Walls"
"0470a70d-4f73-4bae-ba18-e0a3a26f189b","","not-started","Plasterboard Walls - GPL-QSE-ITP-FIT-003 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 2","Plasterboard Walls"
"954d80fa-8965-4fb2-9fd1-a7a0dbf1ac08","","not-started","","folder","TRUE","FALSE","Fit Out","Level 2","Services"
"c5387fe0-f687-4ea0-9bf6-6361e7ed40cd","","not-started","Hydraulic Rough-in - GPL-QSE-ITP-FIT-005 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 2","Services","Hydraulic"
"b099e109-a65f-4b77-ab8a-dd3f5561ce1d","","not-started","Mechanical Rough In - GPL-QSE-ITP-FIT-007 (Rev 00)","checklist","FALSE","FALSE","Fit Out","Level 2","Services","Mechanical"
