Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,,
cb6033a8-4de0-45f1-b15a-11840d2b2df8,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-42,
08f4ae93-c6c1-4ef5-874f-36a1a415a8f1,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-43,
99d0d7d7-d68f-48d4-9166-edf13a607f9b,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-44,
ff91ec28-e47f-413c-91d1-9c7dac3efdb9,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,B01,,
5875dfe1-eec6-4a9c-9567-f866ec16fcc6,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,B01,Building B Ramp B01 - LG,
e4b4cc6f-0be7-47e7-864c-ea0da8a082c9,,checklist-sectioned,work-in-progress,Structure - Concrete Pour ITP,checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,B01,Building B Ramp - LG to LGM,
56822efd-d2f3-4166-8829-250506afe79e,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,,,
d8bc509e-9dc4-4295-82be-f7963fa4a3e1,,checklist-flat,not-started,SYS - Calcs & Drawings Upload,checklist-flat,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,Column Calcs & Drawings Upload,,
757c5fad-5f45-458f-8256-28112015220f,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,,
2c41551e-bcec-4094-93d3-f2855baf7eff,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,Pour 1.1,
2cd7ddc9-7212-4544-9540-33752414f0e8,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,Pour 1.2a,
62632a3b-a19c-4081-85a8-95dd477df52a,,checklist-sectioned,not-started,Multiplex Column Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Columns/Walls,B1,Pour 1.2b,
