"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"619b67b5-7f61-4bcd-ac0a-f87274fe8d3c","","work-in-progress","","folder","TRUE","FALSE","Site Photos"
"ad9bfbb8-fb67-40ff-a85d-3f60397e5f39","","work-in-progress","","folder","TRUE","FALSE","Site Photos","November 2024"
"b0e940ea-6c38-4c4d-bb34-62c9eaa9e9c5","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 11/12/2024"
"7d599ec2-13b2-4add-a251-53201d6689da","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 12/12/2024"
"70c91aca-1221-4210-b2bf-d392d27cb2c9","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 13/12/2024"
"fed7acb9-af8b-46f3-a81b-30442c53d981","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 14/12/2024"
"a3eb3197-5f4b-425a-8fd8-544459d0db26","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 15/12/2024"
"aaec7028-83d2-4407-863e-a117d6890afe","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 16/12/2024"
"79ebd8df-f730-43dd-b745-a1e5c6cfa0e7","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 17/12/2024"
"e66944b0-adba-4d8c-95c6-7a56dc1a29e1","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 18/12/2024"
"6893e7a1-6176-40c8-aa7c-0e9ff2ec31a4","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 19/12/2024"
"3eb48ae9-212f-4ea4-9f55-628ae7e21188","","work-in-progress","","folder","TRUE","FALSE","Site Photos","January 2024"
"4ef5222f-9305-4194-9585-25309ffdb7a3","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 06.01.25"
"126c4fe8-eae5-4bce-a447-50a902c2e5cb","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 07.01.25"
"87a335ca-aca0-44bc-84e6-116a250162eb","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 08.01.25"
"79897965-ad4f-4633-b448-f334299a1d92","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 09.01.25"
"10dc2ee7-8639-43dd-9d4a-ad8c3ce727f7","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 10.01.25"
"fa2f64aa-c975-423f-b7e5-469e0491795b","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 11.01.25"
"75e935a8-04b9-464c-8067-fb6e5b8ba616","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 12.01.25"
"ed39cec2-325c-48c2-96e1-7d2e009dabdd","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 13.01.25"
"6a8cafa9-4f63-4b59-8c34-c4c45ebb7077","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 14.01.25"
"cc052679-1edf-4acc-a289-531ea1cbeb24","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 15.01.25"
"4b7d86c1-cfcd-40ae-aafb-da789b480fca","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 16.01.25"
"258e1cd7-7e9e-451d-b070-a8de599ab314","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 17.01.25"
"7d51fb11-ca5a-4da7-9daa-e4fccd8497ea","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 18.01.25"
"56347043-d542-421c-8fac-a00a44308ad3","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 19.01.25"
"e6b38e78-c20c-4c08-b7dc-d28eabdff8b4","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 20.01.25"
"635da9ef-53d5-4bdf-9177-7a3b0745ff36","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 21.01.25"
"f44883ec-9cb6-48e6-97d7-d20b46b70a11","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 22.01.25"
"40a89603-6ca9-4388-b544-ca0ba861c90d","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 23.01.25"
"61c00561-d69c-45af-9f6f-8fa6343fce9f","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 24.01.25"
"c581013d-3c54-4c05-9897-3f7d4c22c98f","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 25.01.25"
"35fe8571-771a-408b-a094-1034b215a99b","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 28.01.25"
"7a17abc2-f070-4fe5-af29-dc38d2437b74","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 29.01.25"
"8a20bcd5-7cd7-43dd-b6a2-25d5b0f1dcb0","","not-started","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 30.01.25"
"5dd256e5-b3a4-454c-9105-3255274bb8a9","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","January 2024","Project Photos 31.01.25"
"42b9c60d-4f7f-4148-9248-e83adb8eac1d","","pass","","folder","TRUE","FALSE","Site Photos","February 2024"
"0a617500-ffa6-491f-bbe6-6a2c8cca821c","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 12 Feb 25"
"c6b1ed26-bf65-4e3b-b13d-c41809427e18","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 13 Feb 25"
"bf57c08f-0694-43b5-bad3-eff063935c93","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 14 Feb 25"
"8ae739a8-227c-48cf-aa66-81aabdcf0e3b","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 15 Feb 25"
"07d10e66-4c77-4f19-b83a-a9e9fadf5320","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 16 Feb 25"
"cd025e2a-9548-4a03-9662-2979f38287c6","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 17 Feb 25"
"98fff8cd-8abd-4e7c-9a25-4cbf4bbccf57","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 18 Feb 25"
"ba9aa09d-306a-4e43-b27a-85423f53b5d3","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 19 Feb 25"
"69288208-a9a7-4627-b834-688c93739b0a","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 20 Feb 25"
"06d0b999-8350-401d-b3de-a68c61f9a259","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 22 Feb 25"
"2ea4091e-da8b-48e6-9aaf-78ef5e568e0b","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 21 Feb 25"
"5f72d288-6b73-421b-b29a-5c946f9b4109","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 24 Feb 25"
"9e264b1a-dc0c-4a9a-83bb-90d94278efa5","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 25 Feb 25"
"ce9cb488-f008-46f2-a60b-efd1ba3a2ab5","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 26 Feb 25"
"c89a4171-44a5-4898-afe9-82509c46e8f1","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 27 Feb 25"
"36450c89-3983-4471-91ca-3cdfe5c6f95d","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","February 2024","Project Photos 28 Feb 25"
"3cdc730a-48f3-438f-909c-dd048e4489b9","","work-in-progress","","folder","TRUE","FALSE","Site Photos","March 2024"
"8d59a8d5-5b7d-4f4f-994d-3c45ec463101","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 01 Mar 25"
"7a31c49d-8c69-42b6-a373-6ed5491d5fda","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 10 Mar 2025"
"27bc9f45-6c27-450f-82c4-738837c11e2e","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 11 Mar 25"
"b384f248-7b0d-46d6-bc04-4b383d809175","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 12 Mar 25"
"3ad2a392-176c-4f17-b3e8-93ff8cd040bc","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 13 Mar 25"
"eea9932a-d001-4032-a19e-f7d72de5ebb6","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 14 Mar 25"
"82039d46-d794-4d9d-a4bb-8672985a48d3","","work-in-progress","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 15 Mar 25"
"7e22724f-0193-4ed7-a4b1-03539afbfff4","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 18 Mar 25"
"d259bb84-da6e-4ff8-a73b-cacf057ed6b5","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","March 2024","Project Photos 19 Mar 25"
"078f5fe4-c6df-4c2d-82c8-acab121ebc04","","pass","","folder","TRUE","FALSE","Site Photos","April 2025"
"7d5a4f09-72b4-40e6-9c78-872355495a16","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","April 2025","Project Photos 30 Apr 25"
"30ff09a9-4418-426d-b26a-96f68b7562fb","","work-in-progress","","folder","TRUE","FALSE","(10.2) FRP"
"9442a51a-a4df-422e-a036-3d45158ede6a","","work-in-progress","Project Photos","checklist","FALSE","FALSE","(10.2) FRP","Retaining Walls LOTS markup"
"18811892-a343-449f-8c53-d8f31ee3e05f","","pass","","folder","TRUE","FALSE","(10.2) FRP","Mass Pour / Blinding"
"da3bbab1-8647-4e28-8ae2-d6ad86f2eebe","","pass","","folder","TRUE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 1 Mass Pour / Blinding"
"b4341f9e-0667-48cf-8554-d9d35c81dbf9","","pass","","folder","TRUE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 1 Mass Pour / Blinding","Concrete Dockets"
"0412351e-ad2b-40f9-89b5-d33d842d38ca","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 1 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 11.11.24 - Mass Pour"
"b15c99b9-ec04-4f22-8b11-155d4af9a3ba","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 1 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 12.11.24 - Top Blinding"
"68280351-9e1d-457f-95d8-20557950b143","","pass","","folder","TRUE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding"
"8db63332-819c-44d8-89e3-2fc7bccc0d91","","pass","","folder","TRUE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets"
"c722fdb7-4033-416a-8277-67e6dd4900d8","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 13.11.24 - Mass Pour"
"35caa19b-df16-4464-b28f-9eb3311a8cd9","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 15.11.24 - Mass Pour"
"08badfd2-fffa-491b-bd4d-092b388e98af","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 23.11.24 - Top Blinding"
"d0f727bd-480a-4af2-a463-d0ecffdbeb34","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 25.11.24 - Top Blinding T2 / Mass Fill T1"
"028c63f8-2a93-4eec-b1e8-6d3a68e588bb","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 26.11.24 - Top Blinding T2 / Mass Fill T1"
"e9dc6bb2-a364-48b5-a28f-123b6ecd6412","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 27.11.24 - Top Blinding T2 / Mass Fill T1"
"95044c4b-48f8-4620-a64d-792bc7c19237","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Western RW - Type 2 Mass Pour / Blinding","Concrete Dockets","Concrete Dockets 28.11.24 - Top Blinding T2 / Top Blinding T1"
"b9468383-d5a9-40c0-8102-7a995269bef4","","pass","","folder","TRUE","FALSE","(10.2) FRP","Mass Pour / Blinding","North RW - Boundary Fence Mass Pour"
"52e283ba-9343-404f-b992-fa0dc8b468d3","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","North RW - Boundary Fence Mass Pour","Concrete Dockets 30.11.24"
"f90ae08b-2831-4c2a-baee-f82889858ab8","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","North RW - Boundary Fence Mass Pour","Concrete Dockets 02.12.24"
"1c9a1a5f-d7e9-4552-a693-fd8995878785","","pass","","folder","TRUE","FALSE","(10.2) FRP","Mass Pour / Blinding","Boundary Fence"
"40310da1-602b-410d-b334-e1cdc9eb1bd3","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Boundary Fence","Concrete Dockets 28.11.24"
"e1fca7f8-66bc-495b-aa1a-6db28021d0fe","","pass","General QA Checklist","checklist","FALSE","FALSE","(10.2) FRP","Mass Pour / Blinding","Boundary Fence","Concrete Dockets 29.11.24"
"045877cd-d416-42d8-9efc-16bf486267c3","","work-in-progress","","folder","TRUE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)"
"f298f9be-4e96-4a94-a85b-74a3c628e290","","work-in-progress","RR-SEPD-BESS-FIC-002-01 - Concrete Works","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-FIC-002-00 - Concrete works"
"6accdb79-15f8-4ccc-8d6c-30d028d6630d","","pass","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record"
"f6a849e6-6467-4189-b5ab-790c8c6708ac","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.1"
"183648fe-e211-4cf1-b855-777041900a0a","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.2"
"b705fc33-943a-4ac5-af70-b46ea069cdc4","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.3"
"1cc12b00-dad5-43da-83e2-1b7cb516deae","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.4"
"78d61a98-3a95-4f93-8dec-560053fbf82a","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.5"
"cc94bf98-4a08-41c5-9141-7b2711106bbd","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.6"
"6d81c532-dce7-48ca-853f-d3f1dc48b4db","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.7"
"7959d68d-06ca-4e50-bf52-58e94428d87a","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.8"
"1e01208a-6924-4ee3-ae66-a8c067f8b4bf","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.9"
"1aeed6f9-395f-472e-a606-bd9106237f0e","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.10"
"369b87fc-0b7c-4f8b-b51f-a07f0c23c620","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.11"
"9a203011-531a-4daa-8ffd-38d08a4d6896","","work-in-progress","RR-SEPD-BESS-ITP-002-03 - FRP works","checklist","FALSE","FALSE","(10.2) FRP","Lot 001 - Base Slab Pour #01 | (WB-04)(WB-05)(WB-09)","RR-SEPD-BESS-ITP-002-02 - Concrete works"
"eb8f1edd-a0d1-4fb6-815d-19e8ba7e9c25","","work-in-progress","","folder","TRUE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)"
"cfc0ec54-7475-47a7-b984-d134d625d89d","","work-in-progress","RR-SEPD-BESS-FIC-002-01 - Concrete Works","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-FIC-002-00 - Concrete works"
"47b3481e-6b29-4eea-b0fa-b8e139c054d0","","pass","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record"
"5a92be2d-ed53-489a-8708-05bc443353f0","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.1"
"cc932ed5-1961-4331-a2bf-93ae8254b8df","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.2"
"58da1822-0e2f-4a6c-97f6-735e229afae6","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.3"
"c6d87aa9-3858-4ac8-b7e7-035bc394d92b","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.4"
"c7821993-3547-45ff-9758-53d86e48eb1f","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.5"
"bd63ac94-d1ec-4f68-acf5-b6a36bfaf5ed","","pass","Add Concrete Pour Record","checklist","FALSE","FALSE","(10.2) FRP","Lot 002 - Base Slab Pour #02 | (WB-06)(WB-10)","RR-SEPD-BESS-QA-ITR-001-01 - Concrete Pour Record","Concrete Pour Record","Load No.6"
