"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2eec4a73-fe2e-4796-a5f1-df2179e0a048","","not-started","","folder","TRUE","FALSE","L-2"
"56957115-5179-4fc0-b28d-d05e30ebdb5b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.16"
"7a2a52a8-1d0b-4308-bd33-b2918ee6b87b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.17"
"1fe246ef-22f9-41ef-8d61-c19020ff3bfb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.18"
"c6dbf030-e446-4013-9e35-a0092f7e4e97","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.19"
"c24ae990-1af9-4115-abe2-2cf2cad11dcc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.20"
"34ef53f4-7bc3-426d-bc78-2e7f2fc68211","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.21"
"0f969ac9-e620-484c-9303-ae2fd46df3ff","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.22"
"4db2032e-3943-4cec-a815-d3f8e45de0da","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.23"
"9e010540-0173-46c2-863b-8154f6c0e668","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.24"
"ffd11059-dc64-4899-8f71-c17651a56b07","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.25"
"49ad092e-71e2-4801-adfe-47bcff5e97c2","","fail","","folder","TRUE","FALSE","L1"
"26a50b00-97d8-4c64-96a0-a8dbfea251ce","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.01"
"8f2a33ce-25c6-4bbd-874d-6f2e412e0f51","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.02"
"079ddd19-b183-4c85-a143-3dbb6791ab9e","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.03"
"dc3699dd-0205-41cc-a95b-85a54412aa0d","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.04"
"56c234c8-0d12-4991-9e04-78c046e13327","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.05"
"263a22ac-5c13-43ba-8937-7f6ccbd34210","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.06"
"7339eaf8-a27a-41e4-94e1-e9aef508165e","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.07"
"ff97a070-da91-4de9-a676-a9b93d9a0fa5","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.08"
"903a1a28-8894-47c3-aedd-ba404dda67be","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.09"
"4a61f691-4fa6-4138-a261-aed0f966e4ee","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.10"
"6d42753e-b040-4dc1-943f-f2eb40112f9b","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.11"
"2a0b8725-c428-43f4-a6ea-3c421d8fb26d","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.12"
"47d852ff-a899-4aa7-a00e-cb7c71761789","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.13"
"5a7b1e14-fe8d-41ab-b9e9-2b079d423d72","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.14"
"a86e81f4-bb13-497a-bb1c-91f2cc16de87","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.15"
"07b32f3d-aaa5-4e01-a832-a6a4b1d28383","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.16"
"08e7d8b5-4339-41b5-96ac-586cafb90f1e","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.17"
"b52bebf2-cf30-4797-8fe7-8049d381445a","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.18"
"7ce10260-834d-464b-b2d7-abe119944ffd","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.19"
"3f6b4110-0ca7-413d-97fc-996b1d0cc16e","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.20"
"44720e54-0e04-47f4-9c19-03ab14d51ba7","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.21"
"5f0b60a5-2e73-4607-b480-df70af846915","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.22"
"ed74f37c-3e63-40bf-be59-174df2831110","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.23"
"cda84a6c-bb36-4881-ba88-fe55687d4702","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.24"
"7afd03a1-f951-4bf2-80fc-5d0d1f095a1b","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.25"
"7600fa10-1d6e-4493-8aa2-134204a1de46","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.26"
"c9b0b371-41e6-49c6-8df9-ac5710bcf4db","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.27"
"3ed65682-136b-4e60-a4ad-037ba977fb3c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.28"
"a682316d-4b5d-4020-8ee5-be0d9cd6b5d2","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.29"
"0aa9393e-9cf4-45f8-8d82-22ed640d6bcf","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.30"
"46d260f7-4e40-4052-9ef0-88cda8dc6562","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.31"
"5a2066e7-8ef8-45f1-ab96-ba99fb14234d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.32"
"c8dab66d-aa9b-4c0b-9e9f-1ed9d99961a8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.33"
"a7b98306-5fc4-4713-9dab-6194b0c387b5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.34"
"7821aac6-38ae-4aed-904f-800451587464","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.35"
"8ff26530-283b-4079-ae76-7e02bf5cf64c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.36"
"837aca2a-432c-43d4-a90d-f7c732a2673d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.37"
"6578e352-b3e6-4a49-be7e-d185a719f90e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.38"
"400fe71b-6497-4422-baa8-d612c947add9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.39"
"b8544f6c-bd8a-49e4-89e4-779bdbc91ef6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.40"
"8194cba0-650a-4ea4-aa0d-b7301913154d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.41"
"d672b834-6b30-483a-a1dd-d47bc896447d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.42"
"1a1d8c8b-1fba-4b2c-8f34-5d3a7d1342dc","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.43"
"827f0460-337a-4d75-bfae-1686cf45ccb1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.44"
"776cc7f6-e49a-40c4-b83e-de808f71dcce","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.45"
"06a6c8ac-b0a2-4af7-becd-7a041446beed","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.46"
"972be4c6-fcb8-4bfe-8718-93b5540e87d6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.47"
"99f79e2e-da84-4011-8ec1-934cd5daa5d5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.48"
"c97f247b-d341-4f4c-99db-8698659c7c8b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.49"
"c36564be-145e-4d73-aeb5-d26335f7d570","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.50"
"96a78d02-e04e-43bd-acf1-9a9882935f9e","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.51"
"aac5d4d2-c0aa-4266-8b71-795b1b45a694","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.52"
"1ca4c9ac-2bb7-449e-83be-3500f7f70923","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.53"
"d09690b0-4c9c-484d-b536-617b407faf9b","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W1.54"
"b730edf9-9b96-4630-b33e-a969fbc8937d","","fail","","folder","TRUE","FALSE","L2"
"ebf50814-a7a6-4020-ba04-b05f531f1088","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.01"
"377d23ca-1023-4295-ba9f-1381f7158394","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.02"
"9526b71b-8045-4b3f-bcb1-9d81ffca0114","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.03"
"612e78e3-0cdf-4d79-924b-25ca3e18244b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.04"
"d36fd380-3bdd-4742-8627-97dbaec996a1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.05"
"b1c9dd3d-b0ba-448e-951d-a7b98b6dc150","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.06"
"1ecfa17c-b31c-4c9d-b5fc-3be98d0d9ee3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.07"
"93a1db98-74fb-4c5a-8954-128281f5f7ea","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.08"
"6ff83216-83d9-46c9-b643-98c159f80068","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.09"
"a75792a3-cb32-4888-8b20-ab6377fe5661","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.10"
"156cd112-0de5-4caa-8b5d-f755a01712c5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.11"
"91e236c6-3128-4d5e-9081-eeb2b5552227","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.12"
"fcd0181b-be3b-4be0-95a2-749817049a07","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.13"
"2af454aa-300b-4ecf-bbea-be2af45e388d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.14"
"8d9a1a16-0617-43fa-941b-334dd4aff3dd","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.15"
"ed92684d-1802-4ae5-b94c-89e3762d83c7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.16"
"12180853-b876-4c7c-b235-223d1285214b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.17"
"4d0cdcc2-e1fd-4aad-b623-1a3fd4d92626","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.18"
"f290df56-9aee-49e3-a30b-426384a1ed17","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.19"
"43b7ce20-905f-453c-a547-f4b0b9481fe4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.20"
"d575f07b-91ff-4145-98b3-320caf481ffb","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.21"
"ac880cd9-8c35-4c72-96db-ff3da200396b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.22"
"45dabb70-69e6-424e-beb1-fa49513f93a1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.23"
"8da7d426-dfa6-4f4a-90af-dc6bf4b209d1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.24"
"5d179760-defd-47e7-902a-77333a1699bb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.25"
"da802663-6c44-4eb5-a065-b7af74c7cbc0","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.26"
"3aedfc70-dabb-4a60-8ad8-a3948cc928ea","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.27"
"bef18a77-0499-40e7-9aa4-04b5f280e7dc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.28"
"1479ff52-94de-4bd3-91dd-ef4fdceec1df","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.29"
"f09edc37-6a00-4174-aada-8b2b619b342b","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.30"
"036a2988-eca0-47ba-80ce-b19bf8482890","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.31"
"315a7b26-87ac-4833-ae3a-0608251f72a3","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.32"
"59ba6f92-47c0-4cdc-8511-745ba6d5d1ff","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.33"
"19010aad-49e2-4fe7-8fc7-86de49943706","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.34"
"f6d354b8-a766-426c-b726-3a63e68481bb","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.35"
"7a4a2f25-e4d4-494e-b80f-86633b9f6554","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.36"
"f573d06d-6593-4d86-86c1-72727a6f40ca","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.37"
"0de9b918-c4bb-43fa-9154-eab51e2ffe69","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.38"
"34e6700a-eb5a-45d7-88c0-f71ce43982ba","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.39"
"f2007d0d-14d3-4e12-8244-0de20ae37fee","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.40"
"8a81f25c-48a6-4669-90ba-dbb9e5be21c4","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.41"
"1ea550f1-35c1-4edd-ba2b-65e8515c5b36","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.42"
"9f7245b8-0f31-41fb-adec-c443168ec077","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.43"
"02232b36-84e4-4286-83cb-2826d3f1af2c","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.44"
"e577128b-a1ef-47e7-80a7-bec1833a2adc","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.45"
"a7e45434-f6a1-45fe-a028-69b0dbdf8926","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.46"
"3522dbd8-dd8c-4b3c-af97-bc4ae518e226","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.47"
"729a71e3-57c6-49fd-85f1-01c8dd2d319e","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.48"
"9811383c-afa4-4d91-ae51-cc3906a0b346","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.49"
"6466156b-c588-497b-ad0b-8a94419a4720","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.50"
"98b00c8f-4e1c-431b-a18a-dfd7518aa9c8","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.51"
"6879c3ed-4250-4800-8876-1a25f69bef8b","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.52"
"0385e6ad-df61-41af-bb8c-5a815c8a7073","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.53"
"5d46cdd4-4b14-4723-90a8-12321d767718","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","L2","W2.54"
"884fb510-8c08-4a80-8f5e-854cdf5ba185","","fail","","folder","TRUE","FALSE","L3"
"979eee21-ea1f-4c86-af07-c1713a4a2042","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.01"
"ed26ebca-7739-4232-8d86-ca6e88a7eba0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.02"
"fb3f1dea-f676-463b-bff3-67583358fc60","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.03"
"d6ab7e1d-3477-48d2-8af8-17bf22dcb122","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.04"
"e1f74b47-1aba-4da7-aae8-a20cbc6ef657","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.05"
"0300c45b-6843-4090-81cb-f7738cbd168b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.06"
"d0d075ff-d7eb-4c52-808d-03d94f8bfcab","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.07"
"4149ce83-1018-4602-8f57-e5835dec22e4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.08"
"67692d39-6b75-493b-8a2d-f0966d314e84","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.09"
"a0e904f6-271c-4017-94ec-f4e7b9997b84","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.10"
"e69cf974-9ca3-40dd-b176-fc176ce803de","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.11"
"bc28c905-1e8e-44d0-8843-7a5055c976dc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.12"
"1e551dc8-e865-423a-9d0b-22b808fd42e3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.13"
"219a2904-3e50-4071-ac5f-ad54a37f0fd3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.14"
"9ee8433f-fd55-48ac-81b9-3f538dcf8b00","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.15"
"b54c3d74-fb18-4bf6-970c-aefbc03839d1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.16"
"5808d5c1-9d7f-40e4-a477-e4ec05eeda68","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.17"
"e0601f53-1ccc-45bf-9697-33d64cdfad5e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.18"
"542a994f-2d26-48cd-83de-6420d33a720f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.19"
"d572bb14-1d49-4b5d-882f-94a6fba66276","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.20"
"20fbff0c-1353-4887-86ab-d381b374f024","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.21"
"149cc0ac-1962-443d-ab25-27fe936d7ce2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.22"
"e585d691-d0cb-4918-a0f2-4615152e4c1c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.23"
"cea62199-49ac-4be8-a66f-c5659ba3c325","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.24"
"718856c9-c962-4a01-84b2-0491bd1b7eb4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.25"
"d9bd44db-2bba-4401-a0be-5c6517cee5e9","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.26"
"ae98481a-1aea-4812-b5af-e50838ca2e0a","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.27"
"b5065611-0d95-42dc-b967-afac7aa1516f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.28"
"75b04857-080e-4339-9153-5c4492cc6aa9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.29"
"d771a794-fc7a-423f-b032-bf0115000923","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.30"
"4218def2-85ab-4636-aa1b-f3775dd32d57","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.31"
"8a593fd8-c18f-44fc-b3c3-b6e17a959297","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.32"
"f7bcab68-2546-4eff-a379-28a0eccdf03e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.33"
"4c98cc48-273d-4c0e-b860-32b3a5f03ef7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.34"
"0e447e92-e653-4a49-aa2c-045883581109","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.35"
"5eef1abe-9729-46d9-a653-6c6678f594f2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.36"
"42a88530-5b5a-47f2-a66e-ef2579b64815","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.37"
"325d07ba-cc14-43ef-81da-674b1ce4cbe8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.38"
"efcfb0c6-2e65-4eb5-88a4-b08015ec3089","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.39"
"bb7976ab-71bf-49d9-806d-07c020bb5441","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.40"
"db195d31-1458-4b68-a48c-8dd592b3a793","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.41"
"702f9499-c98f-4538-beb5-54488d2d1239","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.42"
"24182046-6713-42e2-a3f6-b79dcb2bfbd6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.43"
"6c5ee015-c3b8-4cf1-9f54-2b3db10233d8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.44"
"a714b8cf-fdf4-4300-90b7-b8e0e0d903fe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.45"
"c9f24a3e-255d-4a63-95b0-c2c0672113b7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.46"
"273c1fc7-68a0-46b5-8e30-480b23492e66","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.47"
"877f1b11-b1b8-4346-9d65-93d7ea502027","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.48"
"b617ea57-5fef-4363-85ab-cf2f8c3c9e13","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.49"
"3284d158-6f1c-46fe-a754-1bfdee981bcd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.50"
"13783033-854f-4c22-96db-806868001117","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.51"
"28f4ecb1-c293-4fc9-ab03-8d7805e92217","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.52"
"9b907073-749f-47c8-9ab6-aef5bc1b69f7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.53"
"16c0587b-52cf-43cc-b32d-7c3d9fef3f1a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L3","W3.54"
"26e6bb4a-f7cd-4a4b-987a-b466b625517f","","fail","","folder","TRUE","FALSE","L4"
"7b497894-ea03-47bf-8d9f-040b002462b2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.01"
"65656126-b85b-47c7-b00c-381d2cfcef2b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.02"
"99e8a2c3-cafa-4a97-97ab-0ac716e0b937","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.03"
"a0c75758-46f4-4674-a024-66175ff5d734","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.04"
"c2a16071-c1f8-4305-94b1-c10c98b1bc01","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.05"
"046bbde8-7cd1-45ee-a57e-c423100597bc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.06"
"a9d1910f-1153-4419-bf06-cf1551991e77","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.07"
"75e39179-ae94-4e2a-a8aa-c4304dc8bcee","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.08"
"f2955fb6-738d-492f-973a-a0a6d38f24dd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.09"
"87bbb377-0b02-4c45-94db-8df7e4b30baf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.10"
"163bdf2b-ffb7-412d-ac7c-7da1bd7f9247","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","L4","W4.11"
