"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"afc8936a-9be3-43ad-b3d7-46a3b368f48a","","work-in-progress","","folder","TRUE","FALSE","East"
"0036aa2b-8ade-44e2-a469-e77127c8f4cd","","work-in-progress","","folder","TRUE","FALSE","East","Ground"
"f3568f0b-542c-4318-8b80-04d20725e0b9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G20-1"
"d10b9781-57ce-422a-826b-9c3783a6690c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G20-2"
"2d2762b9-dd25-447f-8710-a650d14eedad","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G20-3"
"146bb0e0-e511-4ba7-8bde-8f29dd8da4c1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G22-1"
"ab00c8a2-967d-4f45-8bf8-3cf75d936726","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G24-1"
"33ac18a5-0edf-47e4-bfa9-168f802c6b52","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G28-1"
"e77235c9-50a7-407a-84e3-1f7473bc1057","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G29-1"
"4b3df751-0b35-4cf7-ad32-a6980b4cf65d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G29-2"
"a4e71671-85fb-43c6-9f4e-d0210472653d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G30-1"
"62fa7f95-7f17-4ef3-8e4d-85254879faef","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G30-2"
"7013fa3f-f53e-41cb-b981-5860526b7145","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G32-1"
"cb004e3b-a426-4ad1-9025-8d36eba248b2","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G33-1"
"ada0193b-e92e-484c-b856-7b00bfdc2c35","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G35-1"
"11c218df-541f-4ca1-969d-618523e11c03","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G35-2"
"a6e14122-8a58-4aec-b26e-c7fa221e17d1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G35-3"
"80a97869-3cce-4460-941b-25095163ea29","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G35-4"
"1115f0f2-256a-4e36-925c-5b04fec8d046","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G35-5"
"c12419e6-4371-4d37-865a-5833fee5b307","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G35-6"
"cb25c6fb-c2a3-4e40-8932-15b469beb5ba","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G36-1"
"57ec2e9f-e09d-46e7-95b2-27f5ad419fd0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G38-1"
"8ad1185d-48ae-4439-930b-ffe853ba10fc","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G39-1"
"d742e07c-cb4a-4dec-bd0b-aafe3bc5fbfd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G39-2"
"4bf9d286-0764-4ad1-b659-dcccb4920cc3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G39-4"
"e4619633-2940-44bf-bf15-b6ba917ee128","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","DE-01.G39-1"
"15429147-df09-4c3c-847a-ba3e673587f5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","DE-01.G39-3"
"088e7776-50be-4d7a-9a5f-af7d7f967595","","not-started","","folder","TRUE","FALSE","West"
"b45eeb3e-5090-401d-97e0-cadb64d3343b","","not-started","","folder","TRUE","FALSE","West","Ground"
"ebb636b4-fc30-46cf-8654-a61b8870e5be","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","D.N.0.01"
"47aa5242-6169-45a4-8b2f-13eab1ea7dc5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.01"
"d59dcd37-ecdd-49ea-93c5-f38719727b70","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.02"
"5b591cfe-b73f-40a2-8740-aa95dfa93431","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.03"
"78630842-4ea5-4e10-8b77-81cfe8cd07c9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.04"
"26ee4b57-ee69-4ef5-ada4-9c4e1e123aa1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.05"
"22f23774-7eee-4d13-9fe1-0ffc2d288477","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.06"
"6dd51449-ce18-43fa-ba33-e551f76fa860","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.07"
"858818e0-a27e-4b0a-b38b-2dd32f72d2a8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.08"
"2a1f9aa9-2c78-4f2f-9082-a18ed08960e3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.09"
"30bed998-ad94-4f12-a2ae-ee32035d614b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.10"
"03448969-6cc6-46c3-80cc-878f9c059ce1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.11"
"2ecc125d-d11b-4b00-9e82-3783f9629279","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.12"
"53379f04-f810-4f2c-84a3-cad6bdb70aa9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.13"
"fefdb3a7-0cc7-4ad8-80a2-b53aab2202d6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.13"
"778bda60-ce25-4f69-ae26-b629a6972293","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.E.0.15"
"9789c581-1e31-491a-8d6d-cd5583f55198","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","D.W.0.01"
"59d52808-df8a-43ae-992b-aa1d91fc2998","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.01"
"4988370e-a3af-4874-ac11-1951a2c52c07","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.02"
"868fc952-9c2e-4556-8fee-388da49a4c41","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.03"
"197f07fa-7add-4c43-9356-500384d621ba","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.04"
"f8c26e22-3871-4a3c-a166-6ede2ae3ccc4","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.05"
"c7261b04-b3bd-49f7-9df1-72df0abbd309","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.06"
"7097760d-490e-44ca-987d-8263648146be","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.07"
"12455047-daa8-4e2b-8222-023d9c58c724","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.08"
"44a76087-4d21-4cb5-8f3c-19baf2daf146","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.10"
"3aa8325d-e24e-491a-8c51-0e95349a4845","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.11"
"1115f1fc-29b1-422c-a3ea-6033d68b5a02","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.W.0.12"
"eca25469-f4fa-476f-9e11-4996528ddcc0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.16"
"ffc6eba6-5b7a-4880-b7da-a5292bdce238","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.15"
"523ed662-6c92-4226-98f7-52ebf4c5ca8c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.14"
"a6cec978-931a-450c-aada-db97666b36e6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.13"
"fe302af3-4588-4ad4-b7cf-350b66218f7f","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.12"
"0b75ae7a-54ad-4fff-8b33-74cf4aa27391","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.11"
"d0feccf2-a0de-4bf1-b3e4-fce9e386a18b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.08"
"b886d826-aed3-442b-8b8f-206f5dc12284","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.07"
"d4c32a26-b6c1-4452-97f3-179b25864b53","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.06"
"d000e8a9-7d90-4b0b-9067-29bb79737bcd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.05"
"ba653e17-8228-4a68-8a90-1c5276122230","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.04"
"4a64c7f9-087f-4086-8822-15e4cbcef7d3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.03"
"54c60f69-fb62-41c6-8da3-442ab3ddfb73","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.02"
"65580f23-d9c0-4a0b-9e5c-9c28a46eaf83","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.N.0.01"
"68e6b03f-43d9-461b-a17a-e9944b0ff2c1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","West","Ground","W.S.0.01"
