"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3ca31b21-83e6-4e01-916a-c066b24cfca6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.10-W2"
"3179a4f6-2c4c-42dc-9d0d-9fa2b56d0099","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.10-W3"
"f294e351-260c-449f-ab66-2e90c4356767","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.11-W1"
"2cb8e2ef-73db-4445-a530-8f88320417b0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.11-W2"
"2a818da4-3c6a-43e0-8610-33d806236dba","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.11-W3"
"b0f22224-b6c9-4e02-a1b5-7e405c5da8d3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.12-W1"
"61f81fe4-8b36-42c6-bbcd-885b90ea6615","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.12-W2"
"1666398c-ddbb-4bb8-8391-c65dab57c890","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.12-W3"
"e3dc8bae-6395-4572-960d-122afc54fa97","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.12-W4"
"b0429fd9-807e-40ab-8cb8-4ab98d51fcfb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.13-W1"
"eaa1a139-4ee8-4469-bf06-16511722937c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.13-W2"
"9925619d-415c-43fd-ad24-3b520591409b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.14-W1"
"0deb981d-c908-4b9d-9f3e-521bd2b7d127","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.14-W2"
"e505c45e-436f-43fa-bd65-c96896386b13","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.15-W1"
"ff1d2303-64ac-4521-985c-6233864d0a96","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.15-W2"
"71c8faad-44d3-4fb5-830a-e7f202967956","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.15-W3"
"351247f6-9b36-4cdd-b507-c90bcaa0a7bf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.15-W4"
"3f79e0f4-450c-4ce0-a2e2-cd8a2b0b0eca","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.16-W1"
"4f98661a-39de-44ad-bd0b-ead5d50d1244","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.16-W2"
"c250ed23-0951-4808-a53a-1644eea1a6c4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.16-W3"
"4d0b14a1-dba2-4c60-b5a0-e396910eaf99","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.17-W1"
"3f79c0b2-6a5b-43e4-a3d2-a8cdb661136b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.17-W2"
"099be029-1ada-487a-92dd-2f918995f1fe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.17-W3"
"2f83bd0b-7ef6-4cb6-900f-4f7aadb8eb8b","","pass","","folder","TRUE","FALSE","Apartment","Level 3"
"0c334fc9-707b-4dab-8b3c-8fef70334dcf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.1-W1"
"0822f156-2046-4ea4-b1fa-2f97ebf89b53","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.1-W2"
"2f008a1e-7e02-47c4-b09d-3fc18d5d11c1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.1-W3"
"3dbbd4b5-268f-4a98-b59f-b5702678ceae","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 3","3.1-W4"
