"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"defd3bf0-3e4f-4a31-8ab2-1aaa0ae497e6","","pass","","folder","TRUE","FALSE","Ground"
"e1f15a1c-3301-476d-b5a5-c81fc463be27","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F28"
"e62740c9-5312-4ed9-ba30-aff3711c43cf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F29"
"d982c154-ce9d-4a61-893d-46de9a71541c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F30"
"6d56538f-01e8-4810-bc04-55705425a3f9","","pass","","folder","TRUE","FALSE","Level 2"
"c58d9ced-c896-4c5a-9adf-4f53e7eb4686","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-202A"
"ac52bd54-5824-45f2-a566-420517e3cb24","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-205"
"ee212259-c964-4a7b-9753-9b44d06e3006","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-207"
"576380e5-25b1-4319-b079-99c44c1bf1bf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-208"
"82174ba3-2ec1-42c0-ac9a-e3aadbd95137","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-208A"
"fdd47c26-01b2-466f-874b-3a5376409e57","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-208B"
"d70937bf-e1f6-4298-bdd1-3b199635f3ea","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-209"
"ae1b8db0-2df3-4de6-80ee-b92b361e9c00","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F01"
"abd6b28d-be66-4d85-b37b-da9264859c2f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F02"
"630614ce-ea7d-46e1-8afb-d8b6915a8c6c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F03"
"a6cc807e-b94a-486c-ad92-3de4fee53c9c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F04"
"c255d593-772e-4877-a9bd-50e42cb95456","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F05"
"21ef227e-f361-4e68-9d3e-3eb6041bc23d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F06"
"961d0fd2-fd2a-4bfd-b6fb-778804c93fec","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F07"
"5cd45841-b421-42b3-9d53-36bd464c4c31","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F15"
"1b372634-760d-44ef-990e-ad186438916f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F16"
"baa52fca-f3b8-4ac3-9ef4-3ad9d6cbfde6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F17"
"c061bc65-5b7f-43b7-a791-1fcd21066691","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F18"
"4653e88b-67d2-4ecc-916a-1053e20fdc42","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F19"
"9b89bd82-f208-43ca-8eef-dc7b0df49a5d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F20"
"81ce7eda-0b0f-4798-a150-70b3b9de598d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F21"
"8d841c74-0513-4537-93e0-2891d6557c1d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F22"
"440a00b1-ac17-4199-b9dc-204765ce47eb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F23"
"b1bca636-cdc8-4800-b311-77b28b26c120","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WE-F24"
