"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Building A Progress"
,"Scope",,
,"Rows"
,,"Building A","grouping","building a"
,,"CW North",,"building a","cw north"
,,"CW South",,"cw south","building a"
,,"CW Lobby",,"cw lobby","building a"
,,"Level 2 - A.203","dynamic","a.203","building a","level 2"
,,"Level 2 - A.204","dynamic","building a","a.204","level 2"
,,"Level 2 - A.205","dynamic","building a","a.205","level 2"
,,"Level 2 - A.206","dynamic","building a","level 2","a.206"
,,"Level 2 - A.207","dynamic","a.207","building a","level 2"
,,"Level 2 - A.208","dynamic","a.208","building a","level 2"
,,"Level 2 - A.209","dynamic","building a","a.209","level 2"
,,"Level 2 - A.210","dynamic","a.210","building a","level 2"
,,"Level 2 - A.211","dynamic","building a","a.211","level 2"
,,"Level 2 - A.212","dynamic","building a","a.212","level 2"
,,"Level 2 - A.213","dynamic","building a","level 2","a.213"
,,"Level 2 - A.214","dynamic","a.214","building a","level 2"
,,"Level 2 - A.215","dynamic","building a","a.215","level 2"
,,"Level 2 - A.216","dynamic","building a","a.216","level 2"
,,"Level 2 - A.217","dynamic","building a","level 2","a.217"
,,"Level 3 - A.301","dynamic","building a","a.301","level 3"
,,"Level 3 - A.302","dynamic","a.302","building a","level 3"
,,"Level 3 - A.303","dynamic","building a","a.303","level 3"
,,"Level 3 - A.304","dynamic","building a","a.304","level 3"
,,"Level 3 - A.305","dynamic","building a","a.305","level 3"
,,"Level 3 - A.306","dynamic","a.306","building a","level 3"
,,"Level 3 - A.307","dynamic","a.307","building a","level 3"
,,"Level 3 - A.308","dynamic","building a","a.308","level 3"
,,"Level 3 - A.309","dynamic","building a","a.309","level 3"
,,"Level 3 - A.310","dynamic","building a","a.310","level 3"
,,"Level 3 - A.311","dynamic","building a","a.311","level 3"
,,"Level 3 - A.312","dynamic","building a","a.312","level 3"
,,"Level 3 - A.313","dynamic","a.313","building a","level 3"
,,"Level 3 - A.314","dynamic","building a","a.314","level 3"
,,"Level 3 - A.315","dynamic","building a","a.315","level 3"
,,"Level 3 - A.316","dynamic","building a","a.316","level 3"
,,"Level 3 - A.317","dynamic","a.317","building a","level 3"
,,"Level 4 - A.401","dynamic","level 4","a.401","building a"
,,"Level 4 - A.402","dynamic","level 4","building a","a.402"
,,"Level 4 - A.403","dynamic","level 4","building a","a.403"
,,"Level 4 - A.404","dynamic","level 4","building a","a.404"
,,"Level 4 - A.405","dynamic","level 4","a.405","building a"
,,"Level 4 - A.406","dynamic","level 4","a.406","building a"
,,"Level 4 - A.407","dynamic","level 4","building a","a.407"
,,"Level 4 - A.408","dynamic","level 4","building a","a.408"
,,"Level 4 - A.409","dynamic","level 4","a.409","building a"
,,"Level 4 - A.410","dynamic","level 4","building a","a.410"
,,"Level 4 - A.411","dynamic","level 4","building a","a.411"
,,"Level 4 - A.412","dynamic","level 4","a.412","building a"
,,"Level 4 - A.413","dynamic","level 4","building a","a.413"
,,"Level 4 - A.414","dynamic","level 4","building a","a.414"
,,"Level 4 - A.415","dynamic","level 4","building a","a.415"
,,"Level 4 - A.416","dynamic","level 4","a.416","building a"
,,"Level 4 - A.417","dynamic","level 4","a.417","building a"
,,"Level 5 - A.501","dynamic","level 5","building a","a.501"
,,"Level 5 - A.502","dynamic","level 5","building a","a.502"
,,"Level 5 - A.503","dynamic","level 5","building a","a.503"
,,"Level 5 - A.504","dynamic","a.504","level 5","building a"
,,"Level 5 - A.505","dynamic","level 5","a.505","building a"
,,"Level 5 - A.506","dynamic","level 5","building a","a.506"
,,"Level 5 - A.507","dynamic","level 5","building a","a.507"
,,"Level 5 - A.508","dynamic","a.508","level 5","building a"
,,"Level 5 - A.509","dynamic","level 5","building a","a.509"
,,"Level 5 - A.510","dynamic","level 5","building a","a.510"
,,"Level 5 - A.511","dynamic","a.511","level 5","building a"
,,"Level 5 - A.512","dynamic","level 5","building a","a.512"
,,"Level 5 - A.513","dynamic","level 5","building a","a.513"
,,"Level 5 - A.514","dynamic","level 5","building a","a.514"
,,"Level 5 - A.515","dynamic","a.515","level 5","building a"
,,"Level 5 - A.516","dynamic","level 5","a.516","building a"
,,"Level 5 - A.517","dynamic","level 5","building a","a.517"
,,"Level 6 - A.601","dynamic","building a","level 6","a.601"
,,"Level 6 - A.602","dynamic","building a","level 6","a.602"
,,"Level 6 - A.603","dynamic","a.603","building a","level 6"
,,"Level 6 - A.604","dynamic","a.604","building a","level 6"
,,"Level 6 - A.605","dynamic","building a","level 6","a.605"
,,"Level 6 - A.606","dynamic","building a","level 6","a.606"
,,"Level 6 - A.607","dynamic","a.607","building a","level 6"
,,"Level 7 - A.701","dynamic","building a","level 7","a.701"
,,"Level 7 - A.702","dynamic","a.702","building a","level 7"
,,"Level 7 - A.703","dynamic","a.703","building a","level 7"
,,"Level 7 - A.704","dynamic","building a","a.704","level 7"
,,"Level 7 - A.705","dynamic","building a","level 7","a.705"
,,"Level 7 - A.706","dynamic","a.706","building a","level 7"
,,"Level 8 - A.801","dynamic","a.801","level 8","building a"
,,"Level 8 - A.802","dynamic","level 8","a.802","building a"
,,"Level 8 - A.803","dynamic","level 8","building a","a.803"
,"Columns"
,,"Frame prep",,"frame prep"
,,"Glass installed correct way around",,"glass installed correct way around"
,,"Beads installed",,"beads installed"
,,"Wedge installed",,"wedge installed"
,,"Trade clean",,"trade clean"

"Building B Progress"
,"Scope",,
,"Rows"
,,"Building B","grouping","building b"
,,"CW North",,"building b","cw north"
,,"CW South",,"cw south","building b"
,,"CW Lobby",,"cw lobby","building b"
,,"Ground - B.G01","dynamic","building b","ground","b.g01"
,,"Ground - B.G02","dynamic","building b","b.g02","ground"
,,"Ground - B.G03","dynamic","b.g03","building b","ground"
,,"Ground - B.G04","dynamic","b.g04","building b","ground"
,,"Ground - B.G05","dynamic","building b","ground","b.g05"
,,"Ground - B.G06","dynamic","building b","ground","b.g06"
,,"Ground - B.G07","dynamic","b.g07","building b","ground"
,,"Level 1 - B.101","dynamic","b.101","level 1","building b"
,,"Level 1 - B.102","dynamic","level 1","b.102","building b"
,,"Level 1 - B.103","dynamic","level 1","b.103","building b"
,,"Level 1 - B.104","dynamic","level 1","building b","b.104"
,,"Level 1 - B.105","dynamic","b.105","level 1","building b"
,,"Level 1 - B.106","dynamic","b.106","level 1","building b"
,,"Level 1 - B.107","dynamic","level 1","building b","b.107"
,,"Level 2 - B.201","dynamic","b.201","building b","level 2"
,,"Level 2 - B.202","dynamic","b.202","building b","level 2"
,,"Level 2 - B.203","dynamic","building b","level 2","b.203"
,,"Level 2 - B.204","dynamic","b.204","building b","level 2"
,,"Level 2 - B.205","dynamic","b.205","building b","level 2"
,,"Level 2 - B.206","dynamic","building b","b.206","level 2"
,,"Level 2 - B.207","dynamic","building b","level 2","b.207"
,,"Level 3 - B.301","dynamic","b.301","building b","level 3"
,,"Level 3 - B.302","dynamic","building b","b.302","level 3"
,,"Level 3 - B.303","dynamic","b.303","building b","level 3"
,,"Level 3 - B.304","dynamic","b.304","building b","level 3"
,,"Level 3 - B.305","dynamic","building b","b.305","level 3"
,,"Level 3 - B.306","dynamic","building b","b.306","level 3"
,,"Level 3 - B.307","dynamic","b.307","building b","level 3"
,,"Level 4 - B.401","dynamic","level 4","building b","b.401"
,,"Level 4 - B.402","dynamic","level 4","b.402","building b"
,,"Level 4 - B.403","dynamic","level 4","b.403","building b"
,,"Level 4 - B.404","dynamic","level 4","building b","b.404"
,,"Level 4 - B.405","dynamic","level 4","building b","b.405"
,,"Level 4 - B.406","dynamic","level 4","b.406","building b"
,,"Level 4 - B.407","dynamic","level 4","b.407","building b"
,,"Level 5 - B.501","dynamic","b.501","level 5","building b"
,,"Level 5 - B.502","dynamic","level 5","b.502","building b"
,,"Level 5 - B.503","dynamic","level 5","building b","b.503"
,,"Level 5 - B.504","dynamic","level 5","building b","b.504"
,,"Level 5 - B.505","dynamic","b.505","level 5","building b"
,,"Level 5 - B.506","dynamic","level 5","b.506","building b"
,,"Level 5 - B.507","dynamic","level 5","building b","b.507"
,,"Level 6 - B.601","dynamic","b.601","level 6","building b"
,,"Level 6 - B.602","dynamic","level 6","building b","b.602"
,,"Level 6 - B.603","dynamic","level 6","building b","b.603"
,,"Level 6 - B.604","dynamic","b.604","level 6","building b"
,,"Level 6 - B.605","dynamic","b.605","level 6","building b"
,,"Level 6 - B.606","dynamic","level 6","building b","b.606"
,,"Level 6 - B.607","dynamic","level 6","building b","b.607"
,,"Level 7 - B.701","dynamic","building b","b.701","level 7"
,,"Level 7 - B.702","dynamic","building b","level 7","b.702"
,,"Level 7 - B.703","dynamic","b.703","building b","level 7"
,,"Level 7 - B.704","dynamic","b.704","building b","level 7"
,,"Level 7 - B.705","dynamic","building b","b.705","level 7"
,,"Level 7 - B.706","dynamic","building b","level 7","b.706"
,,"Level 7 - B.707","dynamic","b.707","building b","level 7"
,,"Level 8 - B.801","dynamic","level 8","building b","b.801"
,,"Level 8 - B.802","dynamic","level 8","b.802","building b"
,,"Level 8 - B.803","dynamic","level 8","b.803","building b"
,,"Level 8 - B.804","dynamic","level 8","building b","b.804"
,,"Level 8 - B.805","dynamic","level 8","building b","b.805"
,,"Level 8 - B.806","dynamic","level 8","b.806","building b"
,,"Level 9 - B.901","dynamic","b.901","level 9","building b"
,,"Level 9 - B.902","dynamic","level 9","b.902","building b"
,,"Level 9 - B.903","dynamic","level 9","building b","b.903"
,,"Level 9 - B.904","dynamic","level 9","building b","b.904"
,,"Level 10 - B.1001","dynamic","building b","b.1001","level 10"
,,"Level 10 - B.1002","dynamic","building b","level 10","b.1002"
,,"Level 10 - B.1003","dynamic","b.1003","building b","level 10"
,,"Level 10 - B.1004","dynamic","b.1004","building b","level 10"
,,"Level 11 - B.1101","dynamic","level 11","building b","b.1101"
,,"Level 11 - B.1102","dynamic","b.1102","level 11","building b"
,,"Level 11 - B.1103","dynamic","b.1103","level 11","building b"
,,"Level 11 - B.1104","dynamic","level 11","building b","b.1104"
,"Columns"
,,"Frame prep",,"frame prep"
,,"Glass installed correct way around",,"glass installed correct way around"
,,"Beads installed",,"beads installed"
,,"Wedge installed",,"wedge installed"
,,"Trade clean",,"trade clean"

"Building C Progress"
,"Scope",,
,"Rows"
,,"Building C","grouping","building c"
,,"CW North",,"cw north","building c"
,,"CW West",,"cw west","building c"
,,"CW Lobby",,"cw lobby","building c"
,,"Ground - C.G01","dynamic","c.g01","ground","building c"
,,"Ground - C.G02","dynamic","ground","building c","c.g02"
,,"Ground - C.G03","dynamic","ground","c.g03","building c"
,,"Ground - C.G04","dynamic","c.g04","ground","building c"
,,"Ground - C.G05","dynamic","c.g05","ground","building c"
,,"Ground - C.G06","dynamic","ground","building c","c.g06"
,,"Ground - C.G07","dynamic","ground","c.g07","building c"
,,"Ground - C.G08","dynamic","c.g08","ground","building c"
,,"Ground - C.G09","dynamic","c.g09","ground","building c"
,,"Ground - C.G10","dynamic","ground","c.g10","building c"
,,"Ground - C.G11","dynamic","c.g11","ground","building c"
,,"Ground - C.G12","dynamic","c.g12","ground","building c"
,,"Ground - C.G13","dynamic","ground","building c","c.g13"
,,"Level 1 - C.101","dynamic","level 1","building c","c.101"
,,"Level 1 - C.102","dynamic","c.102","level 1","building c"
,,"Level 1 - C.103","dynamic","level 1","c.103","building c"
,,"Level 1 - C.104","dynamic","level 1","c.104","building c"
,,"Level 1 - C.105","dynamic","level 1","building c","c.105"
,,"Level 1 - C.106","dynamic","c.106","level 1","building c"
,,"Level 1 - C.107","dynamic","level 1","c.107","building c"
,,"Level 1 - C.108","dynamic","level 1","c.108","building c"
,,"Level 1 - C.109","dynamic","level 1","building c","c.109"
,,"Level 1 - C.110","dynamic","level 1","c.110","building c"
,,"Level 1 - C.111","dynamic","level 1","c.111","building c"
,,"Level 1 - C.112","dynamic","level 1","building c","c.112"
,,"Level 1 - C.113","dynamic","c.113","level 1","building c"
,,"Level 1 - C.114","dynamic","level 1","c.114","building c"
,,"Level 2 - C.201","dynamic","c.201","level 2","building c"
,,"Level 2 - C.202","dynamic","c.202","level 2","building c"
,,"Level 2 - C.203","dynamic","level 2","c.203","building c"
,,"Level 2 - C.204","dynamic","level 2","building c","c.204"
,,"Level 2 - C.205","dynamic","c.205","level 2","building c"
,,"Level 2 - C.206","dynamic","c.206","level 2","building c"
,,"Level 2 - C.207","dynamic","level 2","c.207","building c"
,,"Level 2 - C.208","dynamic","level 2","building c","c.208"
,,"Level 2 - C.209","dynamic","c.209","level 2","building c"
,,"Level 2 - C.210","dynamic","level 2","c.210","building c"
,,"Level 2 - C.211","dynamic","level 2","building c","c.211"
,,"Level 2 - C.212","dynamic","c.212","level 2","building c"
,,"Level 2 - C.213","dynamic","c.213","level 2","building c"
,,"Level 2 - C.214","dynamic","level 2","c.214","building c"
,,"Level 3 - C.301","dynamic","c.301","building c","level 3"
,,"Level 3 - C.302","dynamic","c.302","building c","level 3"
,,"Level 3 - C.303","dynamic","building c","level 3","c.303"
,,"Level 3 - C.304","dynamic","c.304","building c","level 3"
,,"Level 3 - C.305","dynamic","c.305","building c","level 3"
,,"Level 3 - C.306","dynamic","c.306","building c","level 3"
,,"Level 3 - C.307","dynamic","building c","level 3","c.307"
,,"Level 3 - C.308","dynamic","c.308","building c","level 3"
,,"Level 3 - C.309","dynamic","c.309","building c","level 3"
,,"Level 3 - C.310","dynamic","building c","level 3","c.310"
,,"Level 3 - C.311","dynamic","c.311","building c","level 3"
,,"Level 3 - C.312","dynamic","c.312","building c","level 3"
,,"Level 3 - C.313","dynamic","c.313","building c","level 3"
,,"Level 3 - C.314","dynamic","building c","level 3","c.314"
,,"Level 4 - C.401","dynamic","level 4","c.401","building c"
,,"Level 4 - C.402","dynamic","level 4","building c","c.402"
,,"Level 4 - C.403","dynamic","level 4","c.403","building c"
,,"Level 4 - C.404","dynamic","level 4","c.404","building c"
,,"Level 4 - C.405","dynamic","level 4","c.405","building c"
,,"Level 4 - C.406","dynamic","level 4","building c","c.406"
,,"Level 4 - C.407","dynamic","level 4","c.407","building c"
,,"Level 4 - C.408","dynamic","level 4","c.408","building c"
,,"Level 4 - C.409","dynamic","level 4","c.409","building c"
,,"Level 4 - C.410","dynamic","level 4","c.410","building c"
,,"Level 4 - C.411","dynamic","level 4","c.411","building c"
,,"Level 4 - C.412","dynamic","level 4","c.412","building c"
,,"Level 4 - C.413","dynamic","level 4","building c","c.413"
,,"Level 4 - C.414","dynamic","level 4","c.414","building c"
,,"Level 5 - C.501","dynamic","level 5","building c","c.501"
,,"Level 5 - C.502","dynamic","c.502","level 5","building c"
,,"Level 5 - C.503","dynamic","level 5","c.503","building c"
,,"Level 5 - C.504","dynamic","level 5","c.504","building c"
,,"Level 5 - C.505","dynamic","level 5","building c","c.505"
,,"Level 5 - C.506","dynamic","c.506","level 5","building c"
,,"Level 5 - C.507","dynamic","level 5","c.507","building c"
,,"Level 5 - C.508","dynamic","level 5","c.508","building c"
,,"Level 5 - C.509","dynamic","level 5","building c","c.509"
,,"Level 5 - C.510","dynamic","level 5","c.510","building c"
,,"Level 5 - C.511","dynamic","level 5","c.511","building c"
,,"Level 5 - C.512","dynamic","level 5","building c","c.512"
,,"Level 6 - C.601","dynamic","c.601","level 6","building c"
,,"Level 6 - C.602","dynamic","c.602","level 6","building c"
,,"Level 6 - C.603","dynamic","level 6","c.603","building c"
,,"Level 6 - C.604","dynamic","level 6","building c","c.604"
,,"Level 6 - C.605","dynamic","c.605","level 6","building c"
,,"Level 6 - C.606","dynamic","c.606","level 6","building c"
,,"Level 6 - C.607","dynamic","level 6","c.607","building c"
,,"Level 6 - C.608","dynamic","level 6","building c","c.608"
,,"Level 6 - C.609","dynamic","c.609","level 6","building c"
,,"Level 6 - C.610","dynamic","level 6","c.610","building c"
,,"Level 7 - C.701","dynamic","c.701","building c","level 7"
,,"Level 7 - C.702","dynamic","c.702","building c","level 7"
,,"Level 7 - C.703","dynamic","building c","level 7","c.703"
,,"Level 7 - C.704","dynamic","c.704","building c","level 7"
,,"Level 7 - C.705","dynamic","c.705","building c","level 7"
,,"Level 7 - C.706","dynamic","c.706","building c","level 7"
,,"Level 7 - C.707","dynamic","building c","level 7","c.707"
,,"Level 7 - C.708","dynamic","c.708","building c","level 7"
,,"Level 7 - C.709","dynamic","c.709","building c","level 7"
,,"Level 8 - C.801","dynamic","level 8","c.801","building c"
,,"Level 8 - C.802","dynamic","level 8","building c","c.802"
,,"Level 8 - C.803","dynamic","level 8","c.803","building c"
,,"Level 8 - C.804","dynamic","level 8","c.804","building c"
,,"Level 8 - C.805","dynamic","level 8","c.805","building c"
,"Columns"
,,"Frame prep",,"frame prep"
,,"Glass installed correct way around",,"glass installed correct way around"
,,"Beads installed",,"beads installed"
,,"Wedge installed",,"wedge installed"
,,"Trade clean",,"trade clean"

