"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8dae5e7a-a2a5-4bca-b557-ad40c0e17e59","","work-in-progress","","folder","TRUE","FALSE","Ground"
"9cfb3f4c-12bc-424f-b598-8258900c100f","","pass","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","W14"
"9bcc6eab-8443-4a35-9d98-a94e107419c7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W15"
"881f1b9c-8277-4cad-b031-650342c4fccf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W16"
"df52b08f-77bf-41be-a026-5142796d1bb3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W17"
"41b43f80-39b4-4ec7-9419-9ebdcb0bf34e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W18"
"87ed5125-63ad-4289-8877-6e4dbccf69d6","","pass","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","W19"
"aa164921-78bb-48fc-9415-3083ce2a8068","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W20"
"421316cf-b96f-450a-8f8b-56f8b67e856f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W21"
"d16a3e4a-414e-4048-bede-c94dbe87fa20","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW1"
"c392b8c7-e3b6-4c1f-b81d-91a96956d474","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW2"
"9d34310d-ab50-4c10-b894-b2ee2967f197","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW3"
"ae85837c-f533-4a2e-bf76-ce43237b1a03","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW4"
"0154af41-40b1-429a-9927-077ace1d9d86","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW5"
"1758f518-a3db-46cd-ab13-a928e79618d8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW6"
"0b143263-758e-4fba-a72e-286cff693a95","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW7"
"13a8cb02-2de8-4999-ae21-1414d14daf0f","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","DW8"
"16de6a48-e344-43fd-b4a7-a31b959550e1","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","DW9"
"3296af1a-8831-406a-9713-7232a2c4eba4","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","DW10"
"40158a6b-4cb6-4a9b-bd70-d8dc41944436","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","DW12"
"1f5c3b10-1c78-4eb4-b2ca-b65858ea1858","","pass","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","DW13"
"3c042d96-e772-47d3-bacd-06710ecc8ad9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW14"
"2c299bd4-b730-421c-80ac-3abd636d7863","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW15"
"8f12d066-62ae-4924-9d8b-b71a7f98fba6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW16"
"1f6ee6f2-89b0-4779-b4b7-9199148f802e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW17"
"086291cc-3c7c-45f4-9b1b-48a0b03fc888","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DW18"
