"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8b5d44a6-b412-4035-ad31-f4620eafe03b","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","D1.20-02"
"75d1bf92-86df-446e-949e-94c9e8d09738","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","W1.203-01"
"32489908-a90a-471b-a3f9-c4a17c376494","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","D1.23-03"
"0dae581e-1ec2-4889-81b0-d44f085edb05","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","D1.43-01"
"009854f8-5b30-4e41-b960-b8735c653a28","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","W102-01"
"9977ec3f-9dd9-45d0-8302-d56fb40e735c","","pass","","folder","TRUE","FALSE","Site QA","Auto doors"
"a60bb51a-2cb2-4479-b288-2d23a5cb62e4","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.01A-02"
"ad625097-bb16-4a57-8612-25768ab50998","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.01A-04"
"4da357b9-f513-414d-ae2d-579a10b02064","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.01B-01"
"5335a08d-db39-445c-a9b2-64f20cfbd780","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.01B-02"
"26a71688-0c25-44e1-9dde-4a78300b8060","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.12A-01"
"975a34aa-279a-4e71-943e-ee298a9f96cf","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.12A-02"
"31cf1664-7cc9-48a5-868c-5c85b784854d","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.26A-01"
"602be65e-8db6-480b-8f0c-b4e1eab83da6","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.26A-02"
"75f6d85f-7c09-4af4-a8d1-2b0b52b3fdc2","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.01B-02"
"5d942fd6-dd2e-498d-863f-9284fab99e8f","","pass","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Site QA","Auto doors","WEG.01B-04"
