"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a3b2bac9-d76e-4edc-94af-457d064b7559","","fail","","folder","TRUE","FALSE","Ground"
"72a7d7e8-876f-4224-861f-2d866de42dc3","","fail","","folder","TRUE","FALSE","Ground","E001"
"1d1099f0-7d76-4770-912f-8c1f51503da4","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E014","Mirrors"
"4321742a-6596-445a-a1ea-dba549f21d1c","","fail","","folder","TRUE","FALSE","Ground","E015"
"322e1cde-8ea5-4dbf-9978-567cd1f56917","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E015","Deck balustrades"
"efaa4d08-8b90-46d9-917e-18761fc40463","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E015","Balustrade screen"
"5755d2b1-01d9-4774-8e2f-96cfc45e89ee","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E015","Return"
"9a12b2e6-4794-45c7-8f90-56ac3a814a6a","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E015","Main shower"
"72c7f01b-b359-4450-9f8b-486960757a32","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E015","Ensuite shower"
"9b1a97af-0955-416b-a63a-2033c8c6e49a","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E015","Mirrors"
"062789e6-90df-437a-bdc2-bc23a3c8bfc2","","fail","","folder","TRUE","FALSE","Ground","E016"
"cc75b932-a0bb-4850-b087-3912892c0408","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E016","Deck balustrades"
"1c3525b8-478b-40f1-baf9-d79fe0fe8798","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E016","Balustrade screen"
"f3b5bfed-5dd1-4618-8a42-ac9b48bd4094","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E016","Return"
"270428a2-1384-494b-9335-ad093e000741","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E016","Main shower"
"05fef3f6-12ea-4b4f-bcc6-2fc2396f158f","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E016","Ensuite shower"
"116d0502-118a-471f-be67-3000b9dd75fc","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E016","Mirrors"
"dea36f62-6eff-4de9-af9d-e38af807f554","","fail","","folder","TRUE","FALSE","Ground","E017"
"66663a0c-fe57-4b5d-9924-50601fb088a6","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E017","Deck balustrades"
"2348784c-a90a-4913-a0c7-b7afb49c157e","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E017","Balustrade screen"
"85b3adcb-669c-49f3-90dc-901f8471124f","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E017","Return"
"d07c153c-e4b4-40f1-9b38-8fb4de1d9db1","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E017","Main shower"
"40da08c8-0989-4a8a-a717-b81a47229b87","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E017","Ensuite shower"
"62f6e332-45a5-4bf3-8c59-2d57b01c9dd9","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E017","Mirrors"
"b4e01998-4f53-4f49-a30d-44bac8800777","","fail","","folder","TRUE","FALSE","Level 1"
"4ac82c2a-0544-44d8-8cf7-a0d511518af1","","fail","","folder","TRUE","FALSE","Level 1","E101"
"cd671f2b-8931-40ca-bc85-307c71084ed0","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E101","Deck balustrades"
"e0787d59-5054-49cd-92e4-2e0e4efcbcc3","","pass","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E101","Balustrade screen"
"6dbf6c3e-f576-4a6c-8079-04e40843587f","","pass","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E101","Return"
"7a6f03bf-6191-45e8-9a28-4ea19b0b86e1","","fail","QA - Showers","checklist","FALSE","FALSE","Level 1","E101","Main shower"
"97448768-8cbb-4c19-a1e2-5f5e3a44eb7b","","not-applicable","QA - Showers","checklist","FALSE","FALSE","Level 1","E101","Ensuite shower"
"4844e9ee-ddbf-4b70-8ce6-672aa186838c","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E101","Mirrors"
"2a4fe410-abe3-4984-b219-af6dc6b522a3","","fail","","folder","TRUE","FALSE","Level 1","E102"
"1e53de01-4043-4e6e-b3ff-58910b421d26","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E102","Deck balustrades"
"f69278b7-e0a2-46d5-b5a8-fb6760193542","","fail","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E102","Balustrade screen"
"ca933488-11e2-4446-a053-10adcd2e0257","","not-applicable","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E102","Return"
"d9b8ae06-cbd3-4d5f-a89d-05b497bd94ed","","fail","QA - Showers","checklist","FALSE","FALSE","Level 1","E102","Main shower"
"a088f4e1-8e07-4c58-b2e6-23261b057108","","not-applicable","QA - Showers","checklist","FALSE","FALSE","Level 1","E102","Ensuite shower"
"6be0b6de-c662-488d-9665-898072179149","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E102","Mirrors"
"dacbdd4b-d683-44ee-938b-b20165c5ddf0","","fail","","folder","TRUE","FALSE","Level 1","E103"
"3d117a25-aa44-4758-a880-92c1e5e30b99","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E103","Deck balustrades"
"bf56b9ad-898c-466b-a374-32d1698cf202","","fail","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E103","Balustrade screen"
"f8403349-5e91-4c01-8eaf-3426e989b76d","","fail","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E103","Return"
"fb2c6e89-2f1a-4cbb-8ffb-de0f1680bf87","","fail","QA - Showers","checklist","FALSE","FALSE","Level 1","E103","Main shower"
"13f5fc2e-449f-4bbb-827f-89c1b5f147c9","","not-applicable","QA - Showers","checklist","FALSE","FALSE","Level 1","E103","Ensuite shower"
"81de2272-077e-4eaf-a465-89013aee70c5","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E103","Mirrors"
"c7e30980-c201-4c55-89fa-33288070a5c2","","fail","","folder","TRUE","FALSE","Level 1","E104"
"bb140b33-d871-4d99-9235-2c7e92e8ac6f","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E104","Deck balustrades"
"bcb412b0-5bda-4d1c-a871-d85046c089a5","","fail","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E104","Balustrade screen"
"e5781d1e-9797-4aa5-ac14-f9097d57c62e","","pass","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E104","Return"
"59d22f29-2c60-4070-a852-24798a6eaf7d","","fail","QA - Showers","checklist","FALSE","FALSE","Level 1","E104","Main shower"
"9bf71348-d3ce-4fd6-b0aa-8ac702e02338","","not-applicable","QA - Showers","checklist","FALSE","FALSE","Level 1","E104","Ensuite shower"
"3fad8927-49ab-430c-935c-3b7d6ac9ea5a","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E104","Mirrors"
"df8a92f4-cfdf-4922-805f-74f510b3bad3","","fail","","folder","TRUE","FALSE","Level 1","E105"
"c05eaddc-8b3e-494f-915f-a94d185d8805","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E105","Deck balustrades"
"925ddc2a-8be7-46fe-8613-5c16ccd5805f","","pass","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E105","Balustrade screen"
"0de14081-ef69-4ca6-9d71-dba7d37223a4","","fail","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E105","Return"
"7aa09c92-8635-4af0-948c-4bc006acb7d8","","fail","QA - Showers","checklist","FALSE","FALSE","Level 1","E105","Main shower"
"b98b955e-56aa-46b1-aeb1-9accbea55900","","not-applicable","QA - Showers","checklist","FALSE","FALSE","Level 1","E105","Ensuite shower"
"5037b63d-9832-47d8-ad24-fd0824a586e8","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E105","Mirrors"
"cfa3ee70-4aae-48d3-8abc-57a81106e419","","fail","","folder","TRUE","FALSE","Level 1","E106"
"5d0457b5-93d3-4ddf-b38a-77918f46d905","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E106","Deck balustrades"
"c5866b59-55a2-4125-84ba-bff81e5ad170","","pass","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E106","Balustrade screen"
"8bb5d57a-fc57-4a45-8985-d259bb8176ff","","not-applicable","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E106","Return"
"d32605f1-4938-4b6e-b5bc-5cbbd0803828","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E106","Main shower"
"d1430d81-a442-4917-b447-dc47eaba60b7","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E106","Ensuite shower"
"4d766f33-0b4e-42b1-8921-e8967118c6fc","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E106","Mirrors"
"0c8854db-b197-47fa-91cc-b934c920dde6","","not-started","","folder","TRUE","FALSE","Level 1","E107"
"72ed1ced-b25c-4d5b-9b4d-7cceb9e028e5","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E107","Deck balustrades"
"c8477833-cf80-43e2-8df1-a7c4f764e5c3","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E107","Balustrade screen"
"1197acd7-f055-4559-8fcf-93f513db50c6","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E107","Return"
"c7520b92-b4f0-44c7-bfd1-b66a41da17f0","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E107","Main shower"
"fdfe5652-3fb2-4c8d-a63f-9d46af649c29","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E107","Ensuite shower"
"3122146e-3f3a-4185-8ac2-dfb2f29737d6","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E107","Mirrors"
"13b1e206-d63b-4a25-96cb-d26feab48119","","not-started","","folder","TRUE","FALSE","Level 1","E108"
"75ec4545-5d9b-4058-b31f-06811924bf7e","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E108","Deck balustrades"
"8d79e4af-b0bc-44a2-a0ed-a8a3a834a9d5","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E108","Balustrade screen"
"c0412eec-9ba0-4062-bc61-61818dfc16b0","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E108","Return"
"b3a23337-ecf9-4759-9d57-c3b4c43286b1","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E108","Main shower"
"20c1e77e-3711-4009-bd59-c8bf382d2ddd","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E108","Ensuite shower"
"2599b4e4-aad0-46a4-93d3-fe1769a2ad95","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E108","Mirrors"
"c82bceca-92c9-42d7-8e93-879d438ebf6d","","not-started","","folder","TRUE","FALSE","Level 1","E109"
"3e11ac0f-4c8d-482f-947a-eb51951fac15","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E109","Deck balustrades"
"9cf02815-f4f2-4255-b60d-1c981b0dd871","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E109","Balustrade screen"
"eb8b6c32-2d67-43b5-bd10-6ca7c0edca1f","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E109","Return"
"8fd585c6-e7c8-4294-852f-8eb39bd443df","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E109","Main shower"
"a9408460-bf90-40c8-84a0-8540d5108bb9","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E109","Ensuite shower"
"97fb5671-1314-4d91-b4fe-adc3fff8c429","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E109","Mirrors"
"b9b1a59f-6ecf-430a-8cf5-a2855d424549","","not-started","","folder","TRUE","FALSE","Level 1","E110"
"79babe5d-c793-442c-ae24-54091b41c20c","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E110","Deck balustrades"
"20849f49-fb2b-4b67-9223-25edca09b963","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E110","Balustrade screen"
"42108a2d-543f-43da-b090-fb51ce5ad30e","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E110","Return"
"455ec09f-ea22-4e44-b9fc-2b05c58afb09","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E110","Main shower"
"ac10189a-451b-4041-9223-44ecfeef68ed","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E110","Ensuite shower"
"c0a1fb2d-c7e5-4f22-bd24-d92eff877b1a","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Level 1","E110","Mirrors"
"6e267d81-be6d-4707-85ef-c23d227b0aea","","not-started","","folder","TRUE","FALSE","Level 1","E111"
"4d11a4ea-5ec3-4db6-ba25-45fea2e6c165","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","E111","Deck balustrades"
"2fa4b8f3-0437-4465-af94-9e6698918b3b","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E111","Balustrade screen"
"9effd816-6d28-4696-8449-ccc656fa5791","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level 1","E111","Return"
"0b21f705-f2d0-484f-b798-3ba0834e4ef4","","not-started","QA - Showers","checklist","FALSE","FALSE","Level 1","E111","Main shower"
