"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5cc1b28a-db5c-483d-a739-5765306f30c3","","work-in-progress","","folder","TRUE","FALSE","Building A"
"9f531ad0-29b9-471f-98ad-87321561b05a","","work-in-progress","","folder","TRUE","FALSE","Building A","Ground"
"6b58212d-527f-47ab-8fae-b5d0e9fbc671","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.21"
"e81bca0e-5476-4504-9dcb-c816c95a2385","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.22"
"22f808de-8db3-4a5b-b65e-18844fbc416a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.23"
"2972ff03-eb73-4e3a-b3f2-a5ea85a2a6e4","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.24"
"34c56fb7-5c20-4c86-8e2f-e0a7337d72f3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.25"
"d684b240-8f82-4112-b3b5-5a0914347883","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.26"
"225e878f-2e7d-44cf-952c-40ce0786338c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.27"
"bce21460-acf9-4122-8653-e646aaa8bdee","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","CW-A1"
"2cd8455a-828d-4c59-a84f-4e4ef4e80274","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","CW-A2"
"8837c89c-ef2e-47ee-961d-4d8b9a07d67a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","CW-A3a"
"470ff349-bf15-4382-9595-480bcba5c3a8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","CW-A4a"
"23621293-437d-4b83-8173-e2044dfb43e3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","DA-021a"
"c749c135-0332-4be1-9260-698e32a1208e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","DA-021b"
"68ab35ef-2492-4ab1-9df0-6f3740beaa59","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","DA-022a"
"17d4a808-bbbd-4906-be4c-2b8df74d44f3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","DA-022b"
"59514607-4c56-41a5-b8fc-59c800faa89b","","work-in-progress","","folder","TRUE","FALSE","Building A","Level 1"
"66e94a63-3126-483d-b93b-a495fb3ed3c0","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.1"
"f39398d9-5b3b-4565-b823-7e9848528f94","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.2"
"79a87369-8f8d-401f-8acf-cae880e69267","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.3"
"2675c012-3d1e-47b2-95fc-df782e2a982c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.4"
"19cdecfd-8148-4418-a72d-6ec770433f6e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.5"
"3793db27-875c-48fb-8070-fdc3b704d683","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.6"
"a270744d-9ee6-475e-823a-d0d497a7d9fe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.7"
"b20d6b72-b61f-4560-aa57-de940a3068e9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.8"
"4370fab4-01f7-45b3-81ba-25ce4bae4a37","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.9"
"14d5f92f-385d-4a42-98dc-d557bacf07be","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.10"
"9afc905a-8a9c-4f86-80f0-29edee4e917d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.11"
"4128b8ad-eefd-4402-bd12-131f10231af2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.12"
"67b82436-3a64-4d04-a87d-44a0a2c7a544","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.13"
"740f389f-d1b2-479f-89e3-130d95d3f569","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.15"
"bf4c10ae-1ccc-44b8-8810-f564880142fe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.16"
"7d996b9f-ec07-44eb-bfb0-e02c7259390b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.17"
"1d68bab8-afde-446b-9083-855bdf95e0d1","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.18"
"528bcd73-7afb-4650-8541-e278dbc9bff1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.20"
"29d20d1a-632b-4405-b2d0-29dd93fbaa5c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.21"
"6d8abd58-d5cd-4d70-87e7-a6d2e0eebc20","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.22"
"8b191d8d-f4e6-4a59-b90c-d29da9c989c5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.23"
"cebc6294-35c1-4ed2-b9dd-ffc7fbc612e6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.24"
"285e9bfc-6ad3-40d3-a800-12d4c1122b87","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.25"
"15f6df49-af60-43ef-880f-a7ed6f4ea77b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.26"
"d547bad0-b4d0-4305-a08e-78fb3787ce2c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.27"
"1f0a3c8b-97c3-4bd3-879f-8728025628c6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.28"
"134017b6-a083-4138-bb02-2e5aa9f62c18","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.29"
"86b51c24-be30-4ead-a79e-a3e69374efc4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.30"
"e8219a9f-19df-4f71-92ec-dad6fd1d73e2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","W1.31"
"eaef3bea-938a-41c1-a96c-83b9c0ba83d5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","CW-A1"
"0c9526b0-1731-4810-a022-9602cfd37fca","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","CW-A2"
"f058ebfc-2b60-4e60-88ea-13eab9ebbb79","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","CW-A3b"
"7925359b-3a8e-4db5-849a-1ae860afa4f9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 1","CW-A4b"
"d72aeefa-39f5-4a32-81ff-1d6aa388427e","","not-started","","folder","TRUE","FALSE","Building A","Level 2"
"41abd3e9-a3e7-48e1-ba9e-f7d858b781cc","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.1"
"79db3d11-54e9-4094-b932-7c8b77e87e75","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.2"
"92084e9c-a529-4326-be8d-65936694f383","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.3"
"73f57085-f14d-4769-afe9-4a052d294371","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.4"
"b8e8a093-8fda-4f82-b397-8614d3635283","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.5"
"583be983-b72a-4c14-80f7-5ef0b6229aed","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.6"
"e885689e-b37a-4c56-a968-e6ac17b42836","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.7"
"d03338ba-ca1f-496b-96e5-8eb8273c5124","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.8"
"7a421446-1208-4f6e-978b-6db1e12d29a9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.9"
"4ad273c4-5299-4ed8-9790-02fd25f08cf8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.10"
"440d3339-8c42-40d4-a96a-0d487f7a79e9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.11"
"30b81195-623e-4058-b766-fdca135e0c6a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.12"
"186fe9dd-b5c7-4240-a8ef-62a1a7fe758d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.13"
"fbd10019-f209-401f-8dd2-3084089fc124","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.15"
"40ff134d-dabd-478b-a0c6-c9669572f683","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.16"
"5b8476a8-9926-48c2-a7e9-53c5a3c37b06","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.17"
"3c64ef83-db81-419f-a04c-d78087937feb","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.18"
"c4e66de0-25ee-4f45-a287-a4f77ddc787d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.20"
"23198a6a-16b3-4954-8ff8-792b94833b78","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.21"
"efebcd8e-c897-4d7a-867d-262f0f8cfbad","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.22"
"e7abd108-d98a-41b0-809a-05d9d2795b4e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.23"
"04caddb7-9c2c-4f20-ab91-06cd504cf210","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.24"
"3c7dee18-48a6-47de-8da9-47be438b06fa","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.25"
"94b2bfa0-bc46-4c38-96be-c8372a9e6585","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.26"
"4d6ef47c-9387-4cb3-868a-bb714023c9df","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.27"
"a464de32-3a88-4ee4-acf8-0c1bc3d57a7e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.28"
"ed3585d5-e26d-4977-a8a8-9b95c2bad3fd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.29"
"3165a960-938e-4238-ae88-381e2962cb9a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.30"
"803264ae-48c0-42d7-bda9-5208b46c4dc4","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","W2.31"
"45a3720c-60d5-4217-b969-e3b8cbbfce62","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","CW-A1"
"1f2f67d7-7e37-4dff-8c3d-0c65d681f985","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","CW-A2"
"17de4ced-afda-4044-9114-f79a7e77f41e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","CW-A3b"
"3be52019-1f94-4b74-b0b4-664dda27a4f5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 2","CW-A4b"
"8aa45abf-66bd-43e2-bee1-9a3c6d56c9a8","","not-started","","folder","TRUE","FALSE","Building A","Level 3"
"d87130ea-8abc-4442-81ff-4d61835fbb23","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.1"
"024a5126-5ba7-49d9-ae31-5e43286c5b37","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.2"
"6c1948c5-db9d-40e4-b286-71f74e2fcaca","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.3"
"11f06252-0127-41b8-ab67-278e0467e753","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.4"
"be928c7a-26f9-4d7b-b025-bbb236bee8da","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.5"
"b1f94674-5462-4650-a9f6-897ceaa5ae9b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.6"
"f46f0c53-955c-47e6-937f-509b5be0872f","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.7"
"f4502834-69a5-4985-b71d-51e1a90dc131","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.8"
"ced0c9bd-b8b3-41c1-9625-ff8fe17f5e35","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.9"
"eeba136c-f8c3-4c2c-83d0-792d28b4051d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.10"
"564bc94d-ae51-497d-9c52-1b7751a7d387","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.11"
"81192988-01bd-4192-b812-611fce94cde7","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.12"
"fca64c20-b85b-466e-8bd3-9db64152a571","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.13"
"1ffcb9e7-d094-4e14-8823-77e7a0879fb8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.15"
"bd334ad4-12d0-4539-8fcd-9664784cc91c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.16"
"e0d8c70a-5144-4706-b44f-4dfe5dee98fd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.17"
"65d6f066-86aa-4208-8eab-c2bfeb5f40a9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.18"
"baef7fb6-d427-4ca2-a03e-a6281cbdbc46","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.20"
"c84fbe1a-c106-4dd2-a6a4-eea77ca64294","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.21"
"ae6d08ba-8ed6-495a-8ea9-0827b658f509","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.22"
"ee186b2e-54cc-4eca-bbda-d78b3876b744","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.23"
"18b1dbb4-594e-4cd1-b4b4-e0e5d0ee08a0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.24"
"f53f26d3-a493-4320-80ea-08812d7154ee","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.25"
"3a5b529e-fb50-4168-98d6-657f2c1adffa","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.26"
"05bc9133-1b96-4fd5-bf03-47db4ca329fd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.27"
"7ddb35f9-e0af-41c2-bdc7-ea2181f3e5f0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.28"
"0e0662bc-2bbc-44ad-87b6-f8c638cefcad","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.29"
"78e0dafb-a82c-4697-8cc2-9528fdd621c0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.30"
"ddc3f7e0-91ca-40be-9d51-c99a6510191a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","W3.31"
"e9c055a9-3526-4739-b12d-407b7653e9d2","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","CW-A1"
"ef5a0889-5ff7-4c83-ab94-0523df6dd518","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","CW-A2"
"fd025aa0-0ec9-4c97-ac34-938f41e6f242","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","CW-A3b"
"de6c602a-e785-4117-8789-70ae3644f79b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 3","CW-A4b"
"288a634e-55cb-4fd0-a016-4c615fceb603","","not-started","","folder","TRUE","FALSE","Building A","Level 4"
"1cf88a68-2570-428c-8e95-8fde1d98651b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.1"
"a681a0ff-d869-4a2b-b86f-6e9fe19aaa02","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.2"
"c3a545a6-c7e3-483e-bdea-573a0c887a60","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.3"
"c39fc32d-7634-4bb7-897c-e821874525f6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.4"
"8599b9a9-c99a-4779-88b1-29c0a706c6df","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.5"
"b1bf59da-9437-4cec-a32f-a1069ba9c054","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.6"
"7a2c7a38-17b6-4f17-bedf-a42305358a1a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.7"
"0ec186a9-87d1-4c88-ada3-b6e86c953d7b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.8"
"5022ad9c-25fe-414b-907d-747c73af17ca","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.9"
"708c2eef-57d0-4b4f-8060-55c56c3b39a1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.10"
"3142adee-b457-431e-8b67-e978fc92f0e5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.11"
"dcce3e8a-5b12-4b80-b0d0-439148b030d6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.12"
"e7f852af-8ebf-402f-9565-0003a09fa81c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.13"
"d40d0650-49dd-44f0-a69e-c9794f25c581","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.15"
"a94fa263-cad6-4a6c-8c3b-ed5adefa32e7","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.16"
"7d06c95e-88e6-4ff9-b37c-fa9f240fde81","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.17"
"83b150e8-007e-48ca-b79a-beee0d153466","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.18"
"0a4dbe2b-7eb3-487c-940e-96b75a7f058b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.20"
"6bc7690b-0757-4df4-b596-5f9355dada43","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.21"
"d55d0782-195c-47dc-88d8-04e230520ffe","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.22"
"2714d36a-5236-407a-92e5-4f419a486b41","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.23"
"2d615049-347f-4cea-b4cd-3076c2fb1728","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.24"
"3f9fb889-ff58-4e22-a318-10e19e7623a4","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.25"
"48b3b7ec-e2d3-483b-b27f-532dcb101e63","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.26"
"98dfd49b-5148-4acc-83cb-de352dba6472","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.27"
"509ab22d-3993-479a-b566-9075ff55b7a4","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.28"
"c04c5408-c2f2-4cac-8866-001c06d573cb","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.29"
"1807b69f-68de-43fb-a49e-f45983b04f8c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.30"
"1909cf6c-d606-42fc-8f29-94098d540d09","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","W4.31"
"cd777c58-2a07-4d2c-8880-10dcf6a0a943","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","CW-A1"
"3720d04f-cc92-4dad-a3f7-a4101f6cf68b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","CW-A2"
"819b06fa-935a-49cd-a94b-8d5bcce1fb99","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","CW-A3b"
"9b7a59f5-ccf9-42fd-ba93-03580e015e6c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 4","CW-A4b"
"697682e5-3d26-40e9-8338-9b30af9da630","","not-started","","folder","TRUE","FALSE","Building A","Level 5"
"0120bde4-dde8-4e34-8cd9-8fa6147278ec","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.10"
"eb12c03b-9d59-4e08-aff3-1f03466ab5b7","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.11"
"e9d8db5b-b2ea-49ca-988e-83bc678e5191","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.12"
"9b0f56f6-1c58-4912-bd8d-57d1b87ad133","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.13"
"2058e4d3-6c03-4b86-b74c-3782ada2f9b7","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.15"
"744ae317-73a9-4336-a2f9-12fc94fabb3c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.16"
"077e2caa-2d93-44b3-a206-99589cc1bbd4","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.17"
"6cab9cb2-996e-4a2a-b0d3-cfa07bc183ce","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.18"
"083d9d3d-1f8d-4216-8d85-205005973dd8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.20"
"772ff26c-88a9-42bb-bdd7-50cd806b8ec5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.21"
"80c23eb0-de97-452e-ba03-41841a3883ac","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.22"
"f4072a7e-b05f-45ff-8b8d-14a4731406d9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","W5.23"
"a55410e9-a3a7-48cd-822f-62c7d48e512b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","CW-A2"
"0cc9b233-6b40-46af-a762-bf8a4591330c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","CW-A3b"
"90c7e8ea-b8e4-4fec-951a-4bc3b2e7e156","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Level 5","CW-A4b"
"41b6d7aa-086f-4166-b682-08d793db39d6","","not-started","","folder","TRUE","FALSE","Building B"
"49c965d6-a1d2-445f-b762-62349131dfba","","not-started","","folder","TRUE","FALSE","Building B","Ground"
"14cfd302-0cbc-4f29-96a5-0883d175816a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building B","Ground","W0.1"
"f4f16e2d-f283-489d-9a07-6201ab30b8e0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building B","Ground","W0.2"
"c955c77b-a421-4308-bc97-ce34078b17b0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building B","Ground","W0.3"
