"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3dcf0148-4f31-4449-99ba-853907f788fe","","pass","","folder","TRUE","FALSE","Ground"
"ed9d74de-4f5a-4526-9b63-98672958def3","","pass","","folder","TRUE","FALSE","Level 2"
"48c46052-b393-4c9a-917f-a79614680ebf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01a"
"beb402d4-a0bf-4a95-baab-12e4f65c9ab0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01a"
"c68ec9e6-4904-400f-9f76-ea66c0ea1936","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01a"
"0d0cfb58-f074-4c49-8128-72bc43d144de","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01a"
"6d2acf08-a314-4ac7-929e-8272eca3bda8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01a"
"a35e739e-c7a8-4e2f-b112-a72d89ebac72","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01a"
"255937a1-1e6d-4018-a78a-7af67c5beeed","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01b"
"298fdde1-20e6-4f2c-ac2c-4cb65ad5ae74","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01b"
"98f2d96e-e367-4d29-805b-cb57126aad1c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01b"
"473a9643-06dc-4832-bf13-40cf97b8c57a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01b"
"b84ff400-f814-45ec-88d7-6421546d806c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","D.01b"
"78bd77ed-096c-4dd9-9577-a87e7e4f6c5e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W01"
"c5ffa336-ac61-4013-858f-110fb275b654","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W01"
"614c3bc8-7d11-404c-b7bf-7cfe2d84734b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W01"
"c0d1ebcf-7e41-4dbd-8e0b-4328ae03b3ee","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W01"
"48b68a46-1750-498f-86ce-0551db18a407","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W01"
"1de080d0-e2e9-4d23-940a-7370fae91464","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W01"
"02650cfe-ae0e-43e0-8e83-02ec60d77ca6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W0.01"
"0eaa3974-bf45-4c96-b3bc-3161e7e56cc7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W0.01"
"9986406e-39ff-48a3-a1af-f512a862feed","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W0.01"
"bd803fff-eadd-4010-86e0-ab45a22ac417","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W0.01"
"f0f606c7-f9a5-4874-ac51-c6a965a215b7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W0.01"
"a1058446-e9c9-4f2c-ab0f-338cdb4152a4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W0.01"
"28af9bcd-9f82-49fb-92e6-dbff4385942d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W02"
"cbd8bd01-fffe-4bc0-a1d0-741fdbbb96c6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W11"
"99bad568-2518-4ea9-936a-59f7ff35461e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W11.1"
"e3118eb4-401a-444c-8769-4d774bf8d16d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W12"
"0d34a4c5-3eee-4feb-8888-cdd60c979b49","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W12"
"ea48c7b7-cc2a-4758-baf8-d02672dd80b0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W12"
"7f3d02b6-edb9-4677-8e39-2d3bc0ece3b6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W13"
"b769e932-7762-4ec3-868f-2613e7404a78","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W13"
"ae9da04e-43e8-4cfc-9b00-0dc5bea87df9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W14"
"33fef18f-bb4a-4b3c-b759-a93331d14137","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","W16A"
