"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9124c0e8-b805-4c0b-aa5e-482cf1c740f7","","pass","","folder","TRUE","FALSE","T1 Western"
"0343ef39-7552-46e8-b9be-7957acef3bcd","","pass","","folder","TRUE","FALSE","T1 Western","L01"
"c3b05d01-b575-45a1-8f6b-c64200dca43b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L01","Apt 411"
"408f0530-93c5-4e2a-bbb2-0befcf5cb488","","pass","","folder","TRUE","FALSE","T2 Eastern","L02"
"a90cd316-81b3-464d-9ef1-ef35fceb0f74","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L02","Apt 509"
"0ef2d9d9-820e-4a15-bd5a-08e419b89dc7","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L02","Apt 510"
"bf96e6f1-2a54-4743-a287-e2ce2795e5a0","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L02","Apt 511"
"f8bded62-c2e9-49cf-8042-a37f726a3c91","","pass","","folder","TRUE","FALSE","T2 Eastern","L03"
"d8da6ca9-d2d8-4944-b4ce-51308f83f633","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L03","Apt 607"
"40f30de3-3efc-4bf0-b8d8-a596b636a96f","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L03","Apt 608"
"00402447-c8d4-4a51-96b4-4304bb020722","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L03","Apt 609"
"40ee9c7f-0567-4901-b377-52f38da0e7a7","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L03","Apt 610"
"09afd1aa-6257-4984-8810-0f57094c7fb4","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L03","Apt 611"
"387ebab7-f63b-45d2-ab79-227153167cf4","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L03","Apt 612"
"dc70b69b-073d-46a0-8f01-6192fe482ba6","","pass","","folder","TRUE","FALSE","T2 Eastern","L04"
"22800007-6366-4152-9f1a-b462558346cc","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L04","Apt 707"
"0f7172f6-1735-4bfb-841c-4fced6e5cfab","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L04","Apt 708"
"2ef435aa-29d8-4ec1-84e1-0dd0d1149bb8","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L04","Apt 709"
"19c846a8-4f87-4223-84e1-312b2f5e1bfd","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L04","Apt 710"
"cb22ab5f-4f07-4a56-b6c3-401bdbb4a163","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L04","Apt 711"
"86725571-fc8a-4a80-9b4d-1779777d89b3","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L04","Apt 712"
"d42805ac-016d-4ae4-a0a7-85b62dd97cd2","","pass","","folder","TRUE","FALSE","T2 Eastern","L05"
"2d9c7f31-9d23-46d8-952c-8626ea25a848","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L05","Apt 807"
"024b967d-8c71-4e71-bd96-7716da5ef39b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L05","Apt 808"
"467334bd-9e68-464d-9963-6f447f1e22a7","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L05","Apt 809"
"38f765d4-280b-4232-8bf7-87b9d4807911","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L05","Apt 810"
"86fe44f2-eb0d-4288-85d1-d58f49e9f05a","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L05","Apt 811"
"f7035a30-6a7d-4d73-b759-b0832f82ba0f","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L05","Apt 812"
"d676b2bf-c158-417f-bff7-c5fe581a5a40","","pass","","folder","TRUE","FALSE","T2 Eastern","L06"
"695c15b3-68fc-4c03-ad50-655e556df389","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L06","Apt 906"
"56db2cfd-41f2-4c65-9dd9-a18c5927ddb4","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L06","Apt 907"
"fc46a78f-8f21-49e6-afee-8bce297227c5","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L06","Apt 908"
"e53093e4-1a54-433e-8db0-90d5fae60997","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L06","Apt 909"
"7f1811bd-9b9f-489e-88cc-7455eb6cf19e","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L06","Apt 910"
"65cc6d0a-6bf7-4724-96a1-eb35712512ec","","pass","","folder","TRUE","FALSE","T2 Eastern","L07"
"40be0b66-4a59-4a13-b9e3-2121077a178a","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L07","Apt 1006"
"ef7f6ce3-677f-4543-aaf7-4c1cf7242c7b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L07","Apt 1007"
"01090201-de12-460f-a744-a670ee3ffd2f","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L07","Apt 1008"
"01ef3405-5310-4bf2-aec3-7e0bdd129d52","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L07","Apt 1009"
"558e73f3-87de-456f-a454-303a09fe45aa","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L07","Apt 1010"
"968fb2c8-5a15-4191-9221-d7f47a40ed6c","","pass","","folder","TRUE","FALSE","T2 Eastern","L08"
"5ff48234-b10f-4fae-ab1f-9efe7e6f16fb","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L08","Apt 1106"
"138a751c-429e-4fad-beee-2e08b4a5161d","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L08","Apt 1107"
"1e91209f-8993-4027-91d4-41b5872ac24a","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L08","Apt 1108"
"6a8ee754-cbbf-4793-ba91-6e7f6fcb4d03","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L08","Apt 1109"
"686d096c-b223-4fe4-bb13-28eb3065f09e","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L08","Apt 1110"
"710fa138-9c48-4ede-a370-70484af4bc18","","pass","","folder","TRUE","FALSE","T2 Eastern","L09"
"e08ea34f-cd62-496c-94dc-9a04828f7acf","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L09","PH07"
"47d6d841-8296-4039-9f56-d8bade8e157a","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L09","PH08"
"e2033013-ee08-4070-b1b0-608b2a3f0039","","pass","","folder","TRUE","FALSE","Food & Beverage"
"e0c73e0c-1398-48f2-9cc5-bd3f184ca573","","pass","","folder","TRUE","FALSE","Food & Beverage","Bar Terrace"
"615faf0e-fccb-4946-afb6-ed5bcb2086fb","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Food & Beverage","Bar Terrace","Pod 1"
"3400b944-01ef-4758-b5f6-1bc4c7af0a5a","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Food & Beverage","Bar Terrace","Pod 2"
"d529849a-fb02-4ba6-915a-d9a856e22c91","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Food & Beverage","Bar Terrace","Pod 3"
"8e000823-4d2a-46b8-8991-cb5c0901d908","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Food & Beverage","Bar Terrace","NW Terrace 1"
"232cfe13-d3d2-47ed-8725-d61a9cfa8c67","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Food & Beverage","Bar Terrace","NW Terrace 2"
"45832ada-8773-44ec-b310-c9fa43cec697","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Food & Beverage","Bar Terrace","NW Terrace 3"
"c2873ec7-4bdf-46c6-a98f-d7ee6c2ffa3e","","not-applicable","","folder","TRUE","FALSE","Townhouses"
"7a5beec8-0696-4374-9d78-1cf3d0b5b979","","not-applicable","","folder","TRUE","FALSE","Townhouses","L02"
"f9e9ef25-fa3f-40d1-90a5-e220dad45c2e","","not-applicable","QA - Ballustrades","checklist","FALSE","FALSE","Townhouses","L02","Townhouse A"
"9d4d8b80-8ddf-446a-bfec-5ef4a4fcf6d3","","not-applicable","QA - Ballustrades","checklist","FALSE","FALSE","Townhouses","L02","Townhouse B"
"e941e7f8-a11d-41db-8ccb-71190fae70cc","","pass","","folder","TRUE","FALSE","Canopies"
"400455af-768e-4108-bff9-c5e925612aca","","pass","QA - Canopies","checklist","FALSE","FALSE","Canopies","Concierge"
"9741ba66-919a-41ac-addc-0e6ac2e5820e","","pass","QA - Canopies","checklist","FALSE","FALSE","Canopies","Elizabeth St"
"1ceff473-bbdc-41e3-9f93-a067c1f706df","","pass","","folder","TRUE","FALSE","Stairs 7"
"11076f7c-04bd-4422-a5ab-b02eb1e25d77","","pass","QA - Ballustrades","checklist","FALSE","FALSE","Stairs 7","QA - Ballustrades"
