"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"033b513e-b7bd-4cc1-a624-91ce536cec57","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"882fb680-ca04-4375-a472-e86b804a7761","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B6"
"a216ee3b-ad67-4701-86b8-b8f752ff1ccb","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B3","JF B3.03"
"6d791e11-4057-40de-aa7f-8868ad455c86","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B3","JF B3.04"
"a747f68f-ebe1-437e-ab45-d102249203a6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B2"
"a97ee23f-cdb3-446a-b7ff-24722b3fb168","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B2","CPEF-B2-1"
"21abbddc-e500-4940-b678-19e79dfcb6a7","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B2","CPSF-B2-1"
"982e4ffc-628f-4914-b19b-ab8585e8a412","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B2","JF B3.01"
"0f18e316-1e0b-4072-bd8b-44df2bbed983","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B2","JF B3.02"
"88480d7f-8117-4076-b670-1437e5f00bc5","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B2","JF B3.03"
"80e0848d-c42f-4488-ae95-7005982c318a","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B2","JF B3.04"
"c3572f03-9335-4e4c-8787-95427fbd9afe","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Ground"
"bc47855c-bcda-4efd-9664-e723d1670f05","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Ground","LDEF-G1"
"f17ec89e-1ff1-4ecb-ae58-d29f265838d1","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Ground","FCRSF-M-1"
"d4d338db-1ebc-4254-9bb2-864078b57216","","checklist-sectioned","not-started","Lobby Checklist","checklist","FALSE","FALSE","Site QA","Ground","AC-Lobby 01"
"f113cb91-02f7-4906-a44f-ba76c9ab2590","","checklist-sectioned","not-started","Lobby Checklist","checklist","FALSE","FALSE","Site QA","Ground","AC-Lobby 02"
"24a9e330-e2f0-4bd7-87fc-ec9b34211e3e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 1"
"93a3bfe5-4872-442e-a16a-4b8a6d28048e","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 1","SPF-B-1"
"41516c7a-5102-49b1-a86a-6b93bd0bba4d","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 1","SPF-B-2"
"62d471ee-7a5a-4492-9907-9e8fe69fbc84","","checklist-sectioned","work-in-progress","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 1","STSF-G-1"
"43973b00-0db2-4f44-b6c8-da8bbbdfb90e","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 1","FPR-M1"
"2b50e4d7-5a07-477f-940f-96581db21f21","","checklist-flat","pass","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","NRD-L1.1"
"fa8ad1b0-b3ae-4f4f-afe3-218d56fd6a8b","","checklist-flat","pass","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","NRD-L1.2"
"a76131fb-fd6d-455d-a21a-84ff7f3ad5b0","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","FD-L1-1"
"9518ef78-6f32-4381-8355-e4fcb9387e29","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"3f27386e-7e13-4c83-bf92-e50e333fe986","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 2","CPEF-L2-1"
"15fc4282-e38c-4ca9-a996-9419c5c59ad9","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 2","CPSF-L2-1"
"89df9e59-581e-42e3-bdad-4dce20b42ae3","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 2","JF-3.01-03"
"07a04064-1a96-47d8-be45-fa556ddb4bf9","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 3"
"52220666-db08-4029-b20e-6362b50061c4","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 3","CPEF-L3-1"
"5d78418e-9400-48b2-8a73-d6ceeac0d429","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 3","CPSF-L3-1"
"d8bb4d64-4bff-496b-9807-c5f8efd7d89c","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 3","JF-3.01-03"
"ccad187a-d39a-4c63-aa78-17b34f9e2a76","","checklist-sectioned","work-in-progress","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 3","SSF-L3-1"
"05feebf0-ccd8-486a-96f5-2075fe788fc9","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","FD-3.01"
"7f28d003-16d7-4fe4-b2db-8d48730002bc","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 3","FD-3.02"
"c25b8e35-48a7-43db-af23-51bb0cfd007d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"63b2ec66-1748-4ad7-9bc7-eacd62bd1977","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 4","CPEF-L4-1"
"f68d2744-9908-445a-9a75-9c9319e955da","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 4","CPSF-L4-1"
"c9ff9dd2-bacb-4796-b03c-109f1edee504","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 4","JF-4.01-03"
"f00f8286-3dbb-4c2e-9a1e-c6844ddb759c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"4136209f-3b25-4619-81de-479bedc7a47f","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 5","CPEF-L5-1"
"b97a9ce6-2ff1-4957-8a40-906ced076bcc","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 5","CPSF-L5-1"
"5fac2f4d-12ee-404f-b008-b3d6e47bd378","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 5","JF-5.01-03"
"28a8f99c-cabe-4691-9ccd-8ba425c7cc82","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 6"
"576cf4dd-b0d2-4894-a0a6-44255056b9d5","","checklist-sectioned","work-in-progress","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-01"
"7b756877-52b9-4957-9a32-9124588a1bd8","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-02"
"65d71294-e930-4705-a84d-26d7794b1915","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-03"
"47cb60fc-3898-472a-b862-a5e5ccf6202a","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-04"
"6e416fbe-05ae-45f3-8f9f-41e7069998a1","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-05"
"5bdf400f-4777-4183-b645-577c68f759b8","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-06"
"cb2aed7e-5ecc-42ff-a58a-76a839da67d5","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-07"
"361a0f8b-9727-49b9-84f4-97f9c3207e76","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","TEF-06-08"
"b73f6c7d-4732-41cb-9453-8c75ef880fb2","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-01"
"99452906-baaa-4d3d-bcaa-825a61b75fc8","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-02"
"90a151c0-daed-4cc1-8c4f-0201ca77ff76","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-03"
"68567171-5dde-4f62-89e7-597a2168e945","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-04"
"ffd0f851-3ac1-46d5-bb6f-7d6fbb13eae0","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-05"
"be39a789-2ebf-4414-aac2-07aab459f071","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-06"
"be2e8606-83ad-4777-8d32-c163ddfbe558","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-07"
"3bee2822-0048-4855-a715-95b10890acef","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","Level 6","LEF-06-08"
"9a49102d-91a0-49b4-88e7-9fef76a760ba","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.01"
"834174b2-1c97-4812-a58a-f1f591594df4","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.02"
"72c2d4be-4718-4ef0-9a00-9fcbb0ff2d62","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.03"
"79c5917e-83f3-4627-bc72-f82942360a7f","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.04"
"ee48892a-c65b-472a-8fbf-6008b4209617","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.05"
"3910a233-2d7c-4669-b2f9-d69058d2e2e0","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.06"
"82ac7bff-4a88-44f9-b7cd-aaf70ef1b7fc","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.07"
"96adc6ba-d4d6-4613-975f-7bb813f3fea8","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","MDB-6.08"
"35fd5e6b-d4da-4cb6-9a20-bd7cb8cccebd","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.01"
"c08b8f0d-f232-4e8b-a6b0-0f91d6084203","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.02"
"0df2ae83-c6f5-468b-97f3-95e014af4546","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.03"
"35927e5f-add9-4ff8-b8d0-0fbe138a1240","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.04"
"78fed51e-44e9-464d-bce2-ba05834bc5c6","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.05"
"0088e1aa-e983-41a6-a955-5abfcc797b33","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.06"
"57b70262-0243-4323-95a4-04cf64381728","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.07"
"ff44d1cb-02c8-4592-bea3-8b450feb9941","","checklist-flat","not-started","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","FD-6.08"
"3d2d8ae9-afee-4937-a564-36c3a3e08a5d","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-01"
"8a72edbb-c000-46e2-b2fb-8f06f2093f7d","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-02"
"9bb19a1e-94e9-4167-a68d-c8232a15e9ad","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-03"
"2d856d88-5eb4-4ae4-97f7-adbfb965c792","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-04"
"fb4cb14d-d710-4b53-84a0-994ded6abd81","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-05"
"28a9ba4c-6372-485d-af19-9519d5ebcc7d","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-06"
"3e8436b8-f583-49a9-bfad-136d2b4bac74","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-07"
"6aec770d-5756-45f0-b54f-20d5d8a098fc","","checklist-sectioned","not-started","Apartment Checklist","checklist","FALSE","FALSE","Site QA","Level 6","AC-L6-08"
"9fe16762-0e9d-4755-a611-bdeac7c52473","","checklist-sectioned","work-in-progress","010bd366dd07ab5f2dc89dc8526ac87a315c6036cf12e2ec218d913d78f65026","checklist","FALSE","FALSE","Site QA","Level 6","BS-L6-1"
"b51a1c07-d78f-421e-9f4b-d865b23084d7","","checklist-sectioned","work-in-progress","010bd366dd07ab5f2dc89dc8526ac87a315c6036cf12e2ec218d913d78f65026","checklist","FALSE","FALSE","Site QA","Level 6","BS-L6-2"
"eb5f951b-722d-4fc6-80bd-79b3388431af","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 7"
"e7b47e7c-3a82-42ce-a60b-4a5bcdef4c1a","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-01"
"b4db0254-5eb1-4542-ae60-7b8246084f63","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-02"
"7f07e364-37d5-4995-a572-14738173c150","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-03"
"77816669-2cf4-4312-8e1f-2b852b0270df","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-04"
"2ba0083d-2c35-47d9-9fcd-5491e74c578f","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-05"
"1bf2debb-7c95-454f-b9be-2e229ec87380","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-06"
"61521c9f-7614-436a-82eb-b5fea74756ed","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-07"
"0088473a-6c67-4584-a2eb-daec7524225e","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","AC-L7-08"
"6a8ce48e-34c1-4df3-b18c-a877fa340f38","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","BS-L7-1"
"2c689ec1-1bac-4fb8-81a9-ef59d86f8b54","","checklist-sectioned","work-in-progress","a31a5d4e576d4e1116d354060115cf25de649b09dc4111fcf2aa13562f1c7c0d","checklist","FALSE","FALSE","Site QA","Level 7","BS-L7-2"
"52bb6d6f-e44f-4c4f-932f-7530bb1afdf5","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-01"
"648897d2-16b2-40f0-9e2c-dfb570f4dee0","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-02"
"c9b27d4e-cbdd-4ca2-a182-7d5c43f95995","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-03"
"66a9e855-642e-4883-9d33-def6b251d521","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-04"
"756b9626-2a13-4b47-acc3-2749bc42075e","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-05"
"2df90f3f-7d37-45e4-b6e0-27be03a814fb","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-06"
"fcec67f8-8ccd-435f-b422-d0c74f2b5a97","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-07"
"6cb58024-f349-49c4-8fb4-fc305c70e400","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","TEF-07-08"
"6227fc9c-2fac-4250-a132-68a8fc79f9d4","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-01"
"6697e9a0-75c3-4240-bc63-ef6d6badcc70","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-02"
"0a74fe74-6b52-4801-b5c0-c46df1aa1254","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-03"
"b7a3c68a-23b3-4a0b-96fc-76e032129d86","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-04"
"dee06ce2-c2bf-4e00-896b-a34868f68663","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-05"
"2da2d1b3-50df-42e8-9dde-0260c28f2898","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-06"
"9543e2bf-ac9c-462a-b761-8fdd9857f067","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-07"
"24d6f997-dbd3-4829-8627-ffcb9ecbacce","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","Level 7","LEF-07-08"
"be59b20f-ebd6-4744-bf8a-91926869a5b9","","checklist-flat","pass","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.01"
"a5a2dc59-a7c1-4cbd-9c9f-17f688b63c94","","checklist-flat","pass","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.02"
"d0858407-c260-4a9b-80a9-7a960a7f3064","","checklist-flat","pass","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.03"
"8461fb0a-274d-4ab6-a64f-8b7abf786b15","","checklist-flat","pass","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.04"
"d21999df-92f2-4f9d-8127-b9c992ebdbb7","","checklist-flat","pass","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.05"
"0a5e65ae-5b5f-4956-bdac-be045ec78095","","checklist-flat","pass","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.06"
"85bc5899-f196-49a4-a4ed-a9fe092daaea","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.07"
"8ed5d7eb-6295-46d3-9d09-39275397118c","","checklist-flat","not-started","Motorised Blade Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","MDB-7.08"
"4a51c8f7-f16d-49ee-8117-caaf6bd0a538","","checklist-flat","work-in-progress","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","FD-7.01"
"8697148d-d58b-44ee-a706-e1025ac01f08","","checklist-flat","work-in-progress","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","FD-7.02"
"1374d23d-90ae-41d8-a376-f11f7190724f","","checklist-flat","work-in-progress","Fire Damper Installation Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","FD-7.03"
