"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4ede2005-600b-43ac-904a-21f824b70bbb","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"4bc3236d-c079-4cbd-939c-5bdc40a17532","","not-started","","folder","TRUE","FALSE","Project QA"
"f31951fa-7148-445d-b824-092eeae5f3ed","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - W1A Living Clerestory (APL Metro TH+ Centrafix)"
"0dd71d40-01a4-4885-b995-8002eb0be71d","","not-started","177cdb9efa781da9a4aebaeef1af421e947405046a3ecbb1c51cf71f16bda043","checklist","FALSE","FALSE","Project QA","Item 4 - W1D Living Clerestory (APL Metro TH+ Centrafix)","CENTRAFIX Assembly Checklist"
"3f1c06c9-02ce-4646-b1ea-fb3398e5669f","","not-started","","folder","TRUE","FALSE","Project QA","Item 5 - D1 Living (APL Metro ThermalHEART+) FRAME ONLY"
"fa13d8b4-ae8d-45b0-bf93-28971b31f38a","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 5 - D1 Living (APL Metro ThermalHEART+) FRAME ONLY","Assembly"
"c513e20e-42cd-4166-ba72-a51e997d5fc3","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - D1 Living (APL Metro ThermalHEART+) FRAME ONLY","Glazing & Pre-Delivery"
"363a89b6-9f7b-4fc5-8f9a-3a5b599e5c49","","not-started","","folder","TRUE","FALSE","Project QA","Item 6 - W1 Living (APL Metro TH+ Centrafix)"
"43105209-447e-4e85-97d9-a30335e7101a","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - W1 Living (APL Metro TH+ Centrafix)","Glazing & Pre-Delivery"
"2f1680cc-ea95-4795-b421-8879f97b65b9","","not-started","177cdb9efa781da9a4aebaeef1af421e947405046a3ecbb1c51cf71f16bda043","checklist","FALSE","FALSE","Project QA","Item 6 - W1 Living (APL Metro TH+ Centrafix)","CENTRAFIX Assembly Checklist"
"b064904f-a8a0-4793-b251-7c82dd14f50d","","not-started","","folder","TRUE","FALSE","Project QA","Item 7 - W2&D2 Kitchen (APL Metro ThermalHEART+)"
"6ebf26f0-975c-4347-bfca-42eb5fcbad4d","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - W2&D2 Kitchen (APL Metro ThermalHEART+)","Glazing & Pre-Delivery"
"e2475374-b483-4280-8170-371c007c6d93","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - W2&D2 Kitchen (APL Metro ThermalHEART+)","Assembly Checklist"
"ef7cfc35-2952-45a4-be2e-5d09b06bd200","","not-started","","folder","TRUE","FALSE","Project QA","Item 8 - W3 Stair (APL Metro TH+ Centrafix)"
"109f8f48-0452-4b19-a56e-d81afcb88444","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - W3 Stair (APL Metro TH+ Centrafix)","Glazing & Pre-Delivery"
"22048521-faf4-4396-b813-9ca6c9993925","","not-started","177cdb9efa781da9a4aebaeef1af421e947405046a3ecbb1c51cf71f16bda043","checklist","FALSE","FALSE","Project QA","Item 8 - W3 Stair (APL Metro TH+ Centrafix)","CENTRAFIX Assembly Checklist"
"cced82f5-e024-49d8-8f4e-6a2857903795","","not-started","","folder","TRUE","FALSE","Project QA","Item 9 - D3 Living (APL Architectural Series)"
"b28f07e3-2719-459c-838f-c322b912012d","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 9 - D3 Living (APL Architectural Series)","Assembly"
"ac29658e-ef34-47fb-b9d1-a4184f46a588","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - D3 Living (APL Architectural Series)","Glazing & Pre-Delivery"
"010f2e6c-a818-469b-8795-fde482266f02","","not-started","","folder","TRUE","FALSE","Project QA","Item 10 - W5 Dining (CENTRAFIX)"
"54f1dd8d-24cd-4866-8bdb-86b7451287b7","","not-started","31f89a918eb388513c141c11ad5afd7b52392757d492fc786ac605c913e54bf2","checklist","FALSE","FALSE","Project QA","Item 10 - W5 Dining (CENTRAFIX)","CENTRAFIX Assembly Checklist"
"c6ce2497-7e36-4df6-a766-08b96984f016","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - W5 Dining (CENTRAFIX)","Glazing & Pre-Delivery Checklist"
"1d572c92-aa07-4593-8cbc-a9dd8fcabce0","","not-started","","folder","TRUE","FALSE","Project QA","Item 11 - W6 Living (APL Metro TH+ Centrafix)"
"a9e6e695-40ac-401e-bbb6-84fb36f148cb","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - W6 Living (APL Metro TH+ Centrafix)","Glazing & Pre-Delivery Checklist"
"fdf5d722-1472-4b2d-897e-8ca543da386a","","not-started","177cdb9efa781da9a4aebaeef1af421e947405046a3ecbb1c51cf71f16bda043","checklist","FALSE","FALSE","Project QA","Item 11 - W6 Living (APL Metro TH+ Centrafix)","CENTRAFIX Assembly Checklist"
