"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1464aab5-af3a-47d4-837a-967888186351","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"e913d3e1-7652-4e0f-85a9-f3c61d87ec7d","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"f401c6ef-e485-4278-b367-964b7e26ac50","","pass","","folder","TRUE","FALSE","Project QA","Item 1 - A3.W01 Unit 3 Living (APL Residential TH+)"
"ef392edc-f169-4d80-822e-9be8ff849448","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 5 - A6.W03 Unit 6 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"822894ad-96ec-43f6-81a6-bb5fd9be82ef","","pass","","folder","TRUE","FALSE","Project QA","Item 6 - A6.D01&A6.W07 Unit 6 Entry (APL Residential TH+)"
"d47d0ed4-c114-4791-8d2b-c00f56b72d3a","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - A6.D01&A6.W07 Unit 6 Entry (APL Residential TH+)","Assembly"
"ece0b4b6-fc3f-4601-bbe8-c80dd29fd52a","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 6 - A6.D01&A6.W07 Unit 6 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"b67c0ba4-c542-4ca4-9d1d-167f2662fd41","","pass","","folder","TRUE","FALSE","Project QA","Item 7 - A6 W08 Unit 6 Stairs (APL Residential TH+)"
"2cb62615-eeed-435c-bd96-2690c8e1c366","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - A6 W08 Unit 6 Stairs (APL Residential TH+)","Assembly"
"f1b0eeba-3fef-41c2-9acc-f337b9e73ae2","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 7 - A6 W08 Unit 6 Stairs (APL Residential TH+)","Glazing & Pre-Delivery"
"e5915679-2423-476b-a1dc-718d08bc9955","","pass","","folder","TRUE","FALSE","Project QA","Item 8 - A5.W04 Unit 5 Stairs (APL Residential TH+)"
"1bf0d1ec-7b22-41c5-a4c5-85520d6aa924","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - A5.W04 Unit 5 Stairs (APL Residential TH+)","Assembly"
"f6b8c23e-9d05-4990-a989-d29c46274df1","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 8 - A5.W04 Unit 5 Stairs (APL Residential TH+)","Glazing & Pre-Delivery"
"7c7c3f18-a401-4c33-b2ac-e81e0c4f8e54","","not-started","","folder","TRUE","FALSE","Project QA","Item 9 - A5.D01&A5.W03 Unit 5 Entry (APL Residential TH+)"
"06e8cdf9-83bb-4402-80bf-774e99961b95","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - A5.D01&A5.W03 Unit 5 Entry (APL Residential TH+)","Assembly"
"51f64a4c-2c4f-4e53-8ebb-e1e836f8fd33","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 9 - A5.D01&A5.W03 Unit 5 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"b69704ae-ef88-4744-9dd8-2219b2a5e77e","","not-started","","folder","TRUE","FALSE","Project QA","Item 10 - A4.D01&A4.W03 Unit 4 Entry (APL Residential TH+)"
"844ac866-adb2-4b61-bcab-c64aaee61e17","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - A4.D01&A4.W03 Unit 4 Entry (APL Residential TH+)","Assembly"
"29053840-7476-4934-9656-4ff738063f12","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 10 - A4.D01&A4.W03 Unit 4 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"bec308da-d74a-47bf-806d-7f4d55ea2a26","","pass","","folder","TRUE","FALSE","Project QA","Item 11 - A4.W04 Unit 4 Stairs (APL Residential TH+)"
"d898e9c8-f9bf-42de-89d0-bb8624f8cc2b","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - A4.W04 Unit 4 Stairs (APL Residential TH+)","Assembly"
"0adca67e-183a-496f-8e2e-07149ed00b6d","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 11 - A4.W04 Unit 4 Stairs (APL Residential TH+)","Glazing & Pre-Delivery"
"cba6819d-28c1-4a7a-af6d-82045cc83e9a","","pass","","folder","TRUE","FALSE","Project QA","Item 12 - A3.W04 Unit 3 Stairs (APL Residential TH+)"
"8606afb5-8ac7-4d1e-82b1-80ef902bf4bf","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - A3.W04 Unit 3 Stairs (APL Residential TH+)","Assembly"
"226a3c4d-1d74-4824-a6b3-7e64b90b6170","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - A3.W04 Unit 3 Stairs (APL Residential TH+)","Glazing & Pre-Delivery"
"503d43fc-525d-49dc-91b7-527a40c92402","","not-started","","folder","TRUE","FALSE","Project QA","Item 13 - A3.D01&A3.W03 Unit 3 Entry (APL Residential TH+)"
"53652089-652c-4f4a-9a93-51b0e4c99b05","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - A3.D01&A3.W03 Unit 3 Entry (APL Residential TH+)","Assembly"
"0cb67028-4fc7-444e-8f19-f011cf707c61","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - A3.D01&A3.W03 Unit 3 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"e2c46d5b-af5d-4305-be2f-155ddd5bd0c0","","not-started","","folder","TRUE","FALSE","Project QA","Item 14 - C7.D01&C7.W07 Unit 7 Entry (APL Residential TH+)"
"7a928d34-f624-4cf3-8711-d80220736c69","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - C7.D01&C7.W07 Unit 7 Entry (APL Residential TH+)","Assembly"
"a40e6982-81a5-4508-8be4-a8c436c1ef38","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - C7.D01&C7.W07 Unit 7 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"08194822-8119-4fce-a4f9-60e06271f850","","pass","","folder","TRUE","FALSE","Project QA","Item 15 - C7.W08 Unit 7 Stairs (APL Residential TH+)"
"9c513418-7775-4bcb-af8c-fe5ce6b04275","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - C7.W08 Unit 7 Stairs (APL Residential TH+)","Assembly"
"c2f5ac56-9ff5-466b-b95f-b4d48bf5505a","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - C7.W08 Unit 7 Stairs (APL Residential TH+)","Glazing & Pre-Delivery"
"47da1425-d16e-48d7-bd32-e0cdf09d6d8b","","pass","","folder","TRUE","FALSE","Project QA","Item 16 - C8.W08 Unit 8 Stairs (APL Residential TH+)"
"60236d74-7e9e-46ec-934e-3cdb1df2d3f9","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - C8.W08 Unit 8 Stairs (APL Residential TH+)","Assembly"
"240c9317-0103-495c-8cf4-d31506a863c9","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - C8.W08 Unit 8 Stairs (APL Residential TH+)","Glazing & Pre-Delivery"
"341da220-1e50-41da-b669-5a75396656db","","not-started","","folder","TRUE","FALSE","Project QA","Item 17 - C8.D01&C8.W07 Unit 8 Entry (APL Residential TH+)"
"c0f2b5c1-1a7e-49e9-990a-a0441bc6d6f7","","not-started","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - C8.D01&C8.W07 Unit 8 Entry (APL Residential TH+)","Assembly"
"04340f28-1548-4684-84df-ca1babd71c6c","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - C8.D01&C8.W07 Unit 8 Entry (APL Residential TH+)","Glazing & Pre-Delivery"
"5363073c-95e8-4982-80a3-d43dc6b2160a","","pass","","folder","TRUE","FALSE","Project QA","Item 18 - C8.W04 Unit 8 Dining (APL Residential TH+)"
"95dded82-04cf-423a-9638-96852b2dc837","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - C8.W04 Unit 8 Dining (APL Residential TH+)","Assembly"
"1c23792e-3289-4430-a63a-18c9788128de","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - C8.W04 Unit 8 Dining (APL Residential TH+)","Glazing & Pre-Delivery"
"4d03fb48-7c7d-43d9-a5f8-edb931e32101","","pass","","folder","TRUE","FALSE","Project QA","Item 19 - C8.W05 Unit 8 Living (APL Residential TH+)"
"d13e65b7-d717-4cdc-b6fe-dcc0c452d5b8","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - C8.W05 Unit 8 Living (APL Residential TH+)","Assembly"
"8cb05424-8752-4c97-a7d2-5177be9cb217","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - C8.W05 Unit 8 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"266bd692-dc8e-4a29-b268-14e918722ed5","","pass","","folder","TRUE","FALSE","Project QA","Item 20 - C7.W05 Unit 7 Living (APL Residential TH+)"
"6872af18-66a3-4ada-b3d0-4fa67232b82f","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 20 - C7.W05 Unit 7 Living (APL Residential TH+)","Assembly"
"50990162-b9ff-4732-a7e5-4b701d24dc5b","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 20 - C7.W05 Unit 7 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"32e199fb-0df8-4174-96b7-464165f0ec93","","pass","","folder","TRUE","FALSE","Project QA","Item 21 - C7.W04 Unit 7 Dining (APL Residential TH+)"
"556c769e-538e-40b4-85e2-b515173b9a24","","pass","Assembly Checklist","checklist","FALSE","FALSE","Project QA","Item 21 - C7.W04 Unit 7 Dining (APL Residential TH+)","Assembly Checklist"
"738d5a66-343d-4759-8b83-62a847f6595a","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 21 - C7.W04 Unit 7 Dining (APL Residential TH+)","Glazing & Pre-Delivery Checklist"
