"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"dd9389c7-51e3-44e0-a57a-dcb24e8f2a8f","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"f4b3f793-d81b-481d-9f62-338e3b9bc16f","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"ea2b8fdb-bd36-46d6-a771-93a7bc2ae92a","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)"
"7daf75d6-6d0c-40ce-a11a-9deefa199b32","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 13 - W10 Master Bedroom (APL Residential TH+)","Assembly"
"3b5525ec-b9fc-41cc-9a18-a4a8de8ed8f9","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 13 - W10 Master Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"aa290935-c3bf-4f05-b6ac-ea7663a5e377","","not-started","","folder","TRUE","FALSE","Project QA","Item 14 - D5 Bedroom 2 (APL Residential TH+)"
"5ae7b0fb-351b-4955-babd-f87d8b7f6987","","not-started","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 14 - D5 Bedroom 2 (APL Residential TH+)","Assembly"
"2017388c-986f-4626-88f2-d2c6b489ad3d","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 14 - D5 Bedroom 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"1a48c280-4209-45b8-a6ac-784b847b363d","","work-in-progress","","folder","TRUE","FALSE","Project QA","Item 15 - D6 Bed 3 (APL Residential TH+)"
"b63f5ecd-94a3-4c1f-b870-abc4fb7a40ec","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 15 - D6 Bed 3 (APL Residential TH+)","Assembly"
"1b697d97-0612-407c-9672-0be7e0cc640e","","not-started","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 15 - D6 Bed 3 (APL Residential TH+)","Glazing & Pre-Delivery"
"adb29c59-b299-4d30-998b-b8ddaf9364c7","","pass","","folder","TRUE","FALSE","Project QA","Item 16 - D7 Living/Dining (APL Metro TH+)"
"e85115be-2c5d-43e5-aa03-782ad2bc53ec","","not-applicable","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 16 - D7 Living/Dining (APL Metro TH+)","Assembly"
"76d5f997-e758-4cf7-bbfe-b76fd9978fba","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 16 - D7 Living/Dining (APL Metro TH+)","Glazing & Pre-Delivery"
"c0f98e65-12f2-413d-9ba1-42cdc99f993e","","pass","","folder","TRUE","FALSE","Project QA","Item 17 - W11 Living/Dining (APL Residential TH+)"
"3599089f-2961-409d-bf51-a5b1677a5e8c","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 17 - W11 Living/Dining (APL Residential TH+)","Assembly"
"a133af6a-0cfe-48d4-a595-4cd907e75430","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 17 - W11 Living/Dining (APL Residential TH+)","Glazing & Pre-Delivery"
"7a2225de-1300-4261-bde5-9b4a3e171e29","","pass","","folder","TRUE","FALSE","Project QA","Item 18 - D5 Bedroom 2 (APL Residential TH+)"
"550c5dc2-a615-4ea9-a464-c15d6ed7c2b0","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 18 - D5 Bedroom 2 (APL Residential TH+)","Assembly"
"2205f4e8-1e71-42df-abc6-539afe473a65","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 18 - D5 Bedroom 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"9c1dc3fa-4efa-4900-9cfb-e7822984ead0","","pass","","folder","TRUE","FALSE","Project QA","Item 19 - W12 Hallway (APL Residential TH+)"
"b380bfdf-ed10-4679-8ed4-1c23c46f17e0","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 19 - W12 Hallway (APL Residential TH+)","Assembly"
"573956f9-84c3-4d8e-9eac-02abb02fd160","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 19 - W12 Hallway (APL Residential TH+)","Glazing & Pre-Delivery"
"1d396a34-51e5-4f7d-b369-e48681ff5179","","pass","","folder","TRUE","FALSE","Project QA","Item 20 - D6 Rumpus (APL Metro TH+)"
"9ed320a4-8c1d-4496-ac84-2d335bccd2a2","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 20 - D6 Rumpus (APL Metro TH+)","Assembly"
"2ff9c02e-4841-44ef-9f36-7c5f1dc3a319","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 20 - D6 Rumpus (APL Metro TH+)","Glazing & Pre-Delivery"
"196df048-de5f-4e6e-b693-d83b9a06eae0","","pass","","folder","TRUE","FALSE","Project QA","Item 21 - W13 Rumpus (APL Residential TH+)"
"13723e36-e13d-43bf-a054-5a39948fcd6b","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 21 - W13 Rumpus (APL Residential TH+)","Assembly"
"3c831791-ee0b-4572-87c4-aad593595bbb","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 21 - W13 Rumpus (APL Residential TH+)","Glazing & Pre-Delivery"
"0846d5ac-0c51-4b0b-b64b-559ff974785a","","pass","","folder","TRUE","FALSE","Project QA","Item 22 - W14 Rumpus (APL Residential TH+)"
"ebd53c3b-452e-43d9-8538-ab7e9a829827","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","Item 22 - W14 Rumpus (APL Residential TH+)","Assembly"
"006bca78-8a3e-4aea-8d0b-5d85f1fcc957","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","Item 22 - W14 Rumpus (APL Residential TH+)","Glazing & Pre-Delivery"
