"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1acf5c1a-889e-407c-82b0-374b7c547b45","","pass","","folder","TRUE","FALSE","Project QA","Item 14 - WG-16 Laundry (APL Residential TH+)"
"52327d82-03cc-481d-942b-dc65eb354068","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 14 - WG-16 Laundry (APL Residential TH+)","Assembly"
"ee582525-4355-40f6-9503-0d61306fea86","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - WG-16 Laundry (APL Residential TH+)","Glazing & Pre-Delivery"
"a1abede5-47d9-410c-b18b-b5753b6c8c60","","pass","","folder","TRUE","FALSE","Project QA","Item 15 - WG-17 Laundry (APL Residential TH+)"
"061cd964-7723-4ddf-9442-f048074330af","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 15 - WG-17 Laundry (APL Residential TH+)","Assembly"
"28d3aee5-bdf6-4694-85d1-88d34ac36f77","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - WG-17 Laundry (APL Residential TH+)","Glazing & Pre-Delivery"
"a3f7466c-0716-4ebb-b11a-b0611092f0d4","","pass","","folder","TRUE","FALSE","Project QA","Item 16 - WG-18 Garage (APL Residential TH+)"
"e8824bec-9f2e-4ce3-82c6-cc153f659644","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 16 - WG-18 Garage (APL Residential TH+)","Assembly"
"5452ce3d-595a-47bf-bb65-6bc4fd08dfd4","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - WG-18 Garage (APL Residential TH+)","Glazing & Pre-Delivery"
"573b976e-10f3-46c2-ae4f-dbe13155f195","","pass","","folder","TRUE","FALSE","Project QA","Item 17 - WF-01 Bed 1 (APL Residential TH+)"
"e547a1a7-cbcc-4b32-9778-e2d6ce904563","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 17 - WF-01 Bed 1 (APL Residential TH+)","Assembly"
"4f0552d2-bbf3-4311-9cf1-04044657d178","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - WF-01 Bed 1 (APL Residential TH+)","Glazing & Pre-Delivery"
"ee906585-689c-4058-b705-9b27d4ecf625","","pass","","folder","TRUE","FALSE","Project QA","Item 18 - WF-02 Bed 1 (APL Residential TH+)"
"38a138be-e3cb-4e39-ad99-86213e428b48","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 18 - WF-02 Bed 1 (APL Residential TH+)","Assembly"
"dd1ffb18-7b67-477b-8cda-b37ddd8aeb09","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - WF-02 Bed 1 (APL Residential TH+)","Glazing & Pre-Delivery"
"3e6d4993-3648-47fc-9584-a2b2e60eb6e3","","fail","","folder","TRUE","FALSE","Project QA","Item 19 - WF-03 Bed 1 (APL Residential TH+)"
"2a51d129-425f-43d7-85e6-939fc525a39d","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 19 - WF-03 Bed 1 (APL Residential TH+)","Assembly"
"bb8cf836-184d-46b2-a308-ff8700edde6d","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - WF-03 Bed 1 (APL Residential TH+)","Glazing & Pre-Delivery"
"0b98b96c-9f00-446e-8942-2fd28b3b8823","","fail","","folder","TRUE","FALSE","Project QA","Item 20 - WF-04 Passage (APL Residential TH+)"
"16de365b-a3fd-4508-86fe-52af63ffada2","","work-in-progress","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 20 - WF-04 Passage (APL Residential TH+)","Assembly"
"b1fbdc43-5592-4282-9038-2676fc434b00","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 20 - WF-04 Passage (APL Residential TH+)","Glazing & Pre-Delivery"
"e3fd3d05-03f9-4862-93bf-a365e8b1a851","","pass","","folder","TRUE","FALSE","Project QA","Item 21 - WF-05 Bath (APL Residential TH+)"
"4221abd8-33f1-4e5b-8790-aa93558809d2","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 21 - WF-05 Bath (APL Residential TH+)","Assembly"
"fc56ab9a-740c-4d41-8120-3ad03241fb5e","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 21 - WF-05 Bath (APL Residential TH+)","Glazing & Pre-Delivery"
"668f19c9-311d-4106-b660-f11d9ee2fa89","","pass","","folder","TRUE","FALSE","Project QA","Item 22 - WF-06 Bath (APL Residential TH+)"
"89839d2a-6567-46a2-a2fb-8c727b1b1457","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 22 - WF-06 Bath (APL Residential TH+)","Assembly"
"dcad1b82-ff54-4e8f-87d5-80f3110a49a5","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 22 - WF-06 Bath (APL Residential TH+)","Glazing & Pre-Delivery"
"be6b0fe2-da0b-4de9-8f21-ed55044b71c7","","pass","","folder","TRUE","FALSE","Project QA","Item 23 - WF-07 Bed 3 (APL Residential TH+)"
"f9b06dfc-3d4b-4391-b2f3-6a6362c33f9a","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 23 - WF-07 Bed 3 (APL Residential TH+)","Assembly"
"c1b2291f-d93d-4243-9e2c-71e5ff7772b4","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 23 - WF-07 Bed 3 (APL Residential TH+)","Glazing & Pre-Delivery"
"9935d3cc-8ce8-41ca-b9f4-7148b9685a21","","pass","","folder","TRUE","FALSE","Project QA","Item 24 - WF-08 Stairs (APL Residential TH+)"
"14ff17e6-c1ca-46a2-9b6b-a2f484e12ac0","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 24 - WF-08 Stairs (APL Residential TH+)","Assembly"
"90372cf4-59bd-4757-a5f2-095573355fbc","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 24 - WF-08 Stairs (APL Residential TH+)","Glazing & Pre-Delivery"
"55a75e0f-3337-493b-8f92-4280f4be027f","","fail","","folder","TRUE","FALSE","Project QA","Item 25 - WF-09 Bed 2 (APL Residential TH+)"
"b16e93c0-00c3-4c5e-8507-a7e2e4dbbdad","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 25 - WF-09 Bed 2 (APL Residential TH+)","Assembly"
"9812a41a-efe2-49cf-89cc-8a88490a09c5","","fail","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 25 - WF-09 Bed 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"93a0d54f-3993-4993-a699-bd9fa7495a6b","","pass","","folder","TRUE","FALSE","Project QA","Item 26 -WF-10 W.I.W (APL Residential TH+)"
"13b2db24-f586-4aba-a406-b2e96ec9d321","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 26 -WF-10 W.I.W (APL Residential TH+)","Assembly"
"ec68bf15-39a3-4052-8b43-aa720650f973","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 26 -WF-10 W.I.W (APL Residential TH+)","Glazing & Pre-Delivery"
"010b9b80-6db0-4e5c-8484-be65857fe779","","pass","","folder","TRUE","FALSE","Project QA","Item 27 - WF-11 Ensuite 1 (APL Residential TH+)"
"078a6f59-6776-44a5-b251-ab21ca5bfeab","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 27 - WF-11 Ensuite 1 (APL Residential TH+)","Assembly"
"db09935f-1967-4685-a14e-9b2797838544","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 27 - WF-11 Ensuite 1 (APL Residential TH+)","Glazing & Pre-Delivery"
"af7a4a16-edf1-4372-9600-1681792d2404","","pass","","folder","TRUE","FALSE","Project QA","Item 28 -WF-12 Ensuite 1 (APL Residential TH+)"
"9435ae60-69ef-4972-8093-2350bcf3891e","","pass","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 28 -WF-12 Ensuite 1 (APL Residential TH+)","Assembly"
"eedb405d-c0d6-4306-80ec-40dd8e59ebe0","","pass","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 28 -WF-12 Ensuite 1 (APL Residential TH+)","Glazing & Pre-Delivery"
