"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ddbb07d4-aa77-4dfc-ab45-92b3e1e910be","","pass","b670127d166a50e96549e934793d6b2120aae4106e7c91c87c5b7e8c2c1a7b36","checklist","FALSE","FALSE","Job Details"
"5ae813c4-9ed0-42fd-b7a1-17aff6389c9b","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"ff501df0-d97e-47fa-bba5-3924f6a0f189","","work-in-progress","","folder","TRUE","FALSE","Project QA","W01 Entry (APL Architectural Series) 106MM SUITE"
"e75eb04d-1552-4f6c-82f6-663c9459b19d","","pass","","folder","TRUE","FALSE","Project QA","W11 Hallway (APL Metro Series)"
"1fe155b0-2684-4798-a65b-67fc5cd8eb31","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W11 Hallway (APL Metro Series)","Assembly"
"6f46e324-eefd-4747-bd51-eb1b6c136c55","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W11 Hallway (APL Metro Series)","Glazing & Pre-Delivery"
"f09a67f5-d161-4d9e-b3e7-31cde4d2459c","","pass","","folder","TRUE","FALSE","Project QA","W12 Bathroom (APL Metro Series)"
"6ea3433d-9700-49ae-9f9b-9fce81b65bdf","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W12 Bathroom (APL Metro Series)","Assembly"
"d3caa734-ceba-45ea-a4b1-4115f490eec9","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W12 Bathroom (APL Metro Series)","Glazing & Pre-Delivery"
"2cb1582e-3e6a-4ff3-9b03-2116f2c9e444","","pass","","folder","TRUE","FALSE","Project QA","W15 Kitchen (APL Architectural Series)"
"841c0c57-8d0d-421a-a8f6-d9e843cadf75","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W15 Kitchen (APL Architectural Series)","Assembly"
"e5615943-c2c2-421b-9687-ac28c204a70d","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W15 Kitchen (APL Architectural Series)","Glazing & Pre-Delivery"
"1060abf8-b004-4eda-a15c-e1e3942b165a","","pass","","folder","TRUE","FALSE","Project QA","W16 Living / Dining (APL Metro Series)"
"15a4cc79-cef1-4343-aa4b-c253ba451e63","","pass","1cc2708fed63a944c613025e70b77c16fbb3a3967bb20f61363c47a64b19f1fe","checklist","FALSE","FALSE","Project QA","W16 Living / Dining (APL Metro Series)","Assembly"
"4dfd3391-415d-4b7e-b1d3-cf8450333faf","","pass","8deaba00d5f28b21062e5e07e394667f3b1662b09bcd0cafb3ddcf54362462c2","checklist","FALSE","FALSE","Project QA","W16 Living / Dining (APL Metro Series)","Glazing & Pre-Delivery"
