"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"87f5bc1b-a3ef-49c6-a586-1753dc511f5e","","pass","Job Details","checklist","FALSE","FALSE","Job Details"
"9b3f98bc-adf6-418d-b5c3-bcd2ea6b8cac","","not-started","","folder","TRUE","FALSE","Project QA"
"32985459-3cd6-4adb-8c7e-c840c7e1b626","","not-started","","folder","TRUE","FALSE","Project QA","Item 1 - D1 Entry (APL Residential TH+)"
"f1da2c57-fd11-48ce-94a0-019bde65e956","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 12 - W7 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"28a0b283-3398-4553-a8da-88b4c25ca5e2","","not-started","","folder","TRUE","FALSE","Project QA","Item 13 - W8 Living (APL Residential TH+)"
"e1477fae-be00-49ec-859f-6dc6ac015793","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 13 - W8 Living (APL Residential TH+)","Assembly"
"7784996c-0eda-407c-92b4-b6e5bef3301e","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 13 - W8 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"018e7864-3d87-4695-93e5-4bf52ea240cb","","not-started","","folder","TRUE","FALSE","Project QA","Item 14 - W9 Living (APL Residential TH+)"
"36472664-98bb-4ca6-a85c-7db73b6139e6","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 14 - W9 Living (APL Residential TH+)","Assembly"
"3ea8266d-cbb2-4301-be79-757781f10761","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 14 - W9 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"6a1070c7-40b7-493f-8232-77a74c26fcbb","","not-started","","folder","TRUE","FALSE","Project QA","Item 15 - W10 Living (APL Residential TH+)"
"cd6be74c-399c-488f-a4ed-4490bb68b90d","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 15 - W10 Living (APL Residential TH+)","Assembly"
"ea54a83d-3185-4024-aced-ee4ecda5a788","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 15 - W10 Living (APL Residential TH+)","Glazing & Pre-Delivery"
"9576c3b6-5f83-4606-baab-136078558347","","not-started","","folder","TRUE","FALSE","Project QA","Item 16 - W11 Media Room (APL Residential TH+)"
"05aa8a10-61f1-474e-b6e1-a9c921220945","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 16 - W11 Media Room (APL Residential TH+)","Assembly"
"b0680d28-9782-4545-b97c-b909ff12b1ea","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 16 - W11 Media Room (APL Residential TH+)","Glazing & Pre-Delivery"
"488d53a5-68f7-4c35-9c0e-e2c11ff79e4c","","not-started","","folder","TRUE","FALSE","Project QA","Item 17 - W12 Media Room (APL Residential TH+)"
"2dc22995-58cc-49cf-b4e5-ff5b7bcbbd30","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 17 - W12 Media Room (APL Residential TH+)","Assembly"
"6f48054d-ec28-4280-9590-db554ce3d510","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 17 - W12 Media Room (APL Residential TH+)","Glazing & Pre-Delivery"
"4e1929f6-17c2-483c-8318-657be48951e6","","not-started","","folder","TRUE","FALSE","Project QA","Item 18 - W13 Master Bedroom (APL Residential TH+)"
"fb2549de-176d-470c-989a-083dd0b4dd02","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 18 - W13 Master Bedroom (APL Residential TH+)","Assembly"
"4074548b-c4e7-410c-98c8-cfa49ecb3222","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 18 - W13 Master Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"67f36c84-5089-400d-9c93-3dc584924b57","","not-started","","folder","TRUE","FALSE","Project QA","Item 19 - W14 Master Bedroom (APL Residential TH+)"
"22dd0631-5243-4df3-ba8a-b5f9bb399f04","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 19 - W14 Master Bedroom (APL Residential TH+)","Assembly"
"45443df4-936f-47da-bb8d-0d82a8a89e45","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 19 - W14 Master Bedroom (APL Residential TH+)","Glazing & Pre-Delivery"
"8edb2ad2-e823-42d8-8588-5bdb158b2c64","","not-started","","folder","TRUE","FALSE","Project QA","Item 20 - W15 Ensuite (APL Residential TH+)"
"7a68d0ea-7b32-4726-a6fa-1a6aa60681d4","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 20 - W15 Ensuite (APL Residential TH+)","Assembly"
"bafcbef0-de72-4176-a887-c75c2e1b60e6","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 20 - W15 Ensuite (APL Residential TH+)","Glazing & Pre-Delivery"
"515dcc13-3070-4883-b22c-e41856782cad","","not-started","","folder","TRUE","FALSE","Project QA","Item 21 - W16 Stairwell (APL Residential TH+)"
"9b0d6271-68ee-464e-8926-da5b0c3567fc","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 21 - W16 Stairwell (APL Residential TH+)","Assembly"
"3586d6e5-deb7-46d1-850c-be3f78d43208","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 21 - W16 Stairwell (APL Residential TH+)","Glazing & Pre-Delivery"
"c526aa2f-2f4a-4937-acb0-a63bc86ffdc1","","not-started","","folder","TRUE","FALSE","Project QA","Item 22 - W17 Bathroom (APL Residential TH+)"
"4610334c-b012-49d5-92ae-9cb5cf4a23c2","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 22 - W17 Bathroom (APL Residential TH+)","Assembly"
"eab9e918-958e-43a0-9a09-ad1f641d680b","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 22 - W17 Bathroom (APL Residential TH+)","Glazing & Pre-Delivery"
"a3ddb264-bccd-43fa-bf3c-cbbf429e1a21","","not-started","","folder","TRUE","FALSE","Project QA","Item 23 - W18 WC (APL Residential TH+)"
"03e3fd6a-911a-4913-ba6d-ba304ca97d69","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 23 - W18 WC (APL Residential TH+)","Assembly"
"c3fa29ad-a7d2-4449-b3da-ac71d7aaf5f5","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 23 - W18 WC (APL Residential TH+)","Glazing & Pre-Delivery"
"7f6565d5-2e09-4710-8fe5-4a4e5efb5abc","","not-started","","folder","TRUE","FALSE","Project QA","Item 24 - W19 Bed 3 (APL Residential TH+)"
"675804c8-706e-4c00-9dcc-52fc64753530","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 24 - W19 Bed 3 (APL Residential TH+)","Assembly"
"a028e8aa-0643-4156-8f99-738fb8b96941","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 24 - W19 Bed 3 (APL Residential TH+)","Glazing & Pre-Delivery"
"043a6091-a659-4d32-8b21-f17567d32b32","","not-started","","folder","TRUE","FALSE","Project QA","Item 25 - W20 Bed 3 (APL Residential TH+)"
"04d8994e-ac16-471f-907a-3d43febc85af","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 25 - W20 Bed 3 (APL Residential TH+)","Assembly"
"54af8f42-1d05-4aff-aa9d-550f90499559","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 25 - W20 Bed 3 (APL Residential TH+)","Glazing & Pre-Delivery"
"c868b27e-c277-4bf6-97cb-b5356222c545","","not-started","","folder","TRUE","FALSE","Project QA","Item 26 - W21 Bed 2 (APL Residential TH+)"
"0a62c1e6-8333-4ab2-8e06-ac3a364072b0","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 26 - W21 Bed 2 (APL Residential TH+)","Assembly"
"26dc2f2a-8a03-4ab2-aee8-a4751297f908","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 26 - W21 Bed 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"7109850b-fb3a-4dc1-87da-c918cf4cf2bf","","not-started","","folder","TRUE","FALSE","Project QA","Item 27 - W22 Bed 2 (APL Residential TH+)"
"61cfaa81-5733-4123-9027-8bdcac257f3f","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 27 - W22 Bed 2 (APL Residential TH+)","Assembly"
"c90483b1-db01-4fcd-9ecc-4e9bacd34e09","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 27 - W22 Bed 2 (APL Residential TH+)","Glazing & Pre-Delivery"
"5075f1f3-cb4e-4c2a-b42c-19f0e296f63c","","not-started","","folder","TRUE","FALSE","Project QA","Item 28 - W23 Library (APL Residential TH+)"
"fb14ae5a-d131-45a9-b7f0-ac8efed9bf16","","not-started","f6e117519ba484c2609f15a78fab27f58e0d0e851e437423513bfddf0c709a40","checklist","FALSE","FALSE","Project QA","Item 28 - W23 Library (APL Residential TH+)","Assembly"
"b48faa5a-d189-4e6f-b5be-afae4e0f2947","","not-started","Glazing & Pre-Delivery Checklist","checklist","FALSE","FALSE","Project QA","Item 28 - W23 Library (APL Residential TH+)","Glazing & Pre-Delivery"
