"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fc08a4b2-f467-4fa2-b6ee-1f855e811622","","work-in-progress","Tahunanui Back Beach Remediation ITP","checklist","FALSE","FALSE","Tahunanui Back Beach Remediation ITP"
"32c59b34-d20f-5d40-bb79-749eea5f25ed","","work-in-progress","Tahunanui Back Beach Remediation ITP:04b3eb31-5c30-4d06-967e-529c0c27a897","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","1.1 - Pre Construction"
"bb87afbd-adf9-5815-a970-ddb28fc350be","","not-started","Tahunanui Back Beach Remediation ITP:b803644c-dac6-4191-b56f-383696e2fa4f","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","2 - Stage 1"
"0cbf8e29-b364-5523-b748-9f0eac2d088f","","not-started","Tahunanui Back Beach Remediation ITP:b803644c-dac6-4191-b56f-383696e2fa4f:39cfe3c9-f1c5-4f08-8cd8-756930767cc9","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","2 - Stage 1","2.1 - Removal of carpark gravel and placement of new benched haul road area and capping layer to protect exposed contaminated material."
"06a8044e-a3be-5d25-aae6-5647e7d852d2","","not-started","Tahunanui Back Beach Remediation ITP:b803644c-dac6-4191-b56f-383696e2fa4f:00bc7422-dfc1-4213-b146-780bd9720297","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","2 - Stage 1","2.2 - Excavation has reached the proposed first cut level."
"019e035b-946f-542d-8d46-892c95dcb29d","","not-started","Tahunanui Back Beach Remediation ITP:6b5226d6-0361-46d2-984e-13a9b1bac5cc","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","3 - Zone A Excavation - Stage 2A"
"791db2fd-9b5f-50d6-92fa-2647ebc79e37","","not-started","Tahunanui Back Beach Remediation ITP:6b5226d6-0361-46d2-984e-13a9b1bac5cc:a22696cf-ad15-4895-bbea-69241b4e30b0","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","3 - Zone A Excavation - Stage 2A","3.1 - Confirmation of survey limits of excavation"
"145beec7-b875-58e0-9d4c-78e17a43d2b4","","not-started","Tahunanui Back Beach Remediation ITP:6b5226d6-0361-46d2-984e-13a9b1bac5cc:6b67e428-7004-40e1-9652-7d5cb6ed78d1","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","3 - Zone A Excavation - Stage 2A","3.2 - Final Excavation Level"
"3d961033-a04c-5cae-9755-93ac9fcf00cf","","not-started","Tahunanui Back Beach Remediation ITP:6b5226d6-0361-46d2-984e-13a9b1bac5cc:6b67e428-7004-40e1-9652-7d5cb6ed78d1:8d3aadfe-265b-4839-97dc-7148bd82591f","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","3 - Zone A Excavation - Stage 2A","AUTHORITY HOLDPOINT"
"da0e8b72-8eef-5ffb-be52-a6d0ce2a2c9d","","not-started","Tahunanui Back Beach Remediation ITP:6b5226d6-0361-46d2-984e-13a9b1bac5cc:9db0218b-f126-469f-8c69-a8db36a2c653","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","3 - Zone A Excavation - Stage 2A","3.3 - Final Excavation Level"
"822c9979-6ba6-55f0-8059-6c94b91ab1db","","not-started","Tahunanui Back Beach Remediation ITP:6b5226d6-0361-46d2-984e-13a9b1bac5cc:9db0218b-f126-469f-8c69-a8db36a2c653:b2c718b1-6fc0-412a-ab12-34d9a897d1bb","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","3 - Zone A Excavation - Stage 2A","AUTHORITY HOLDPOINT"
"6604bbf5-4142-5632-8280-9daf485d2c23","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining"
"460ea386-459e-5594-84c8-845e4c3c30a7","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873:31ec2cc2-3f72-4b04-8500-e69472d1eeff","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining","4.1 - Ecological Clearance"
"56866fcf-b4b7-520f-bda2-549fa8dd2dbb","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873:0a514b37-af96-4f34-87cb-af349b7169fc","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining","4.2 - Limits of excavation established"
"d08d42f6-9155-5406-9933-1233b167ea01","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873:a2d9b633-d847-45bc-bc48-e8819a56cf7b","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining","4.3 - Washdown of equipment between used beach and site"
"5c36a11e-58a8-5605-935e-8d1e1e3455e3","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873:b5524ad7-d4de-4ae6-aa3e-024426f88c36","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining","4.4 - Minimum 10 buffer established between MHWS and sand extraction area"
"1128f16b-6c3d-5453-afa0-62999bde212b","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873:441455b7-3aa4-4483-83df-d7093358ef29","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining","4.5 - Haul Route demarcated and established in allignment with high tide mark."
"da5bdcff-5158-58e2-a206-4f504cfca157","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873:1f47fe07-7414-42a3-90d0-dc1903382e38","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining","4.6 - Sand deposited to create temporary bund adjacent to Stage 2B works."
"f3a93e5d-d527-5134-b96a-604787fdfc0b","","not-started","Tahunanui Back Beach Remediation ITP:81323f8c-4994-4de1-b802-22a1ad16a873:7a10b53f-bafd-4835-912f-c3b21066b09e","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","4 - Sand Mining","4.7 - Site maintained in good order"
"931ace07-1a13-5919-b915-2b41e4c46230","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B"
"864dd75a-e56e-51fd-a6ff-e1606eb18160","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6:f7c778a7-4322-4bef-9b50-b6502a4be9d9","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B","5.1 - Sufficient sand stockpiles for Stage 2B excavation to commence."
"021ce31a-20f9-562a-9afc-9954785cabb0","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6:47961162-503b-498a-9902-d432753f8f24","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B","5.2 - Confirmation of survey limits of excavation"
"634da309-43c3-5e31-ba8f-6aeae343f6e9","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6:9b950358-3d58-485d-8a13-cc281e3b3c56","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B","5.3 - Excavation confirmed not to be performed under Highest Astronomical Tide."
"ac04e748-5a38-5ed0-9fef-79cf9afbad2e","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6:f0f678d1-624c-4441-a6b1-9c64301a2342","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B","5.4 - Final Excavation Level"
"512571a3-5b62-5d20-bc14-cb598ac898e8","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6:f0f678d1-624c-4441-a6b1-9c64301a2342:b7d8a0b5-e2d0-463c-b938-4f4a63c0598e","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B","AUTHORITY HOLDPOINT"
"aa8f5af0-6d9a-5a16-950d-d326e5c5ce44","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6:1113e14a-2739-4d2f-9ef3-23c3e3be257b","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B","5.5 - Final Excavation Level"
"8dcb287f-e598-5daa-b395-07bbf0463d4a","","not-started","Tahunanui Back Beach Remediation ITP:4b631845-f327-4643-ac03-d3a17b8af4d6:1113e14a-2739-4d2f-9ef3-23c3e3be257b:09c451db-fbae-4b3e-be1e-3aadc9d695d5","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","5 - Zone B Excavation - Stage 2B","AUTHORITY HOLDPOINT"
"b8960a32-26f4-5ad8-885a-a3556f933589","","not-started","Tahunanui Back Beach Remediation ITP:bb2b6f35-7de1-47bc-9674-f5c41b056665","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","6 - Stage 2C"
"04653dfa-7f03-5908-8f0e-8bf8c2dc1cf3","","not-started","Tahunanui Back Beach Remediation ITP:bb2b6f35-7de1-47bc-9674-f5c41b056665:c6c27458-b6a5-4d7c-8db6-54183814faf2","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","6 - Stage 2C","6.1 - Stage 2B excavation and fill complete"
"c320b591-37d9-5caa-a493-7692c735441a","","not-started","Tahunanui Back Beach Remediation ITP:bb2b6f35-7de1-47bc-9674-f5c41b056665:a42e0f49-033a-4265-b987-42b534cf6807","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","6 - Stage 2C","6.2 - Exacavation to final level for all areas of Stage 2A and 2C."
"0cca9ea3-5c7f-5818-9586-4fdff5e49bff","","not-started","Tahunanui Back Beach Remediation ITP:bb2b6f35-7de1-47bc-9674-f5c41b056665:7e072bc9-b4ac-4e61-9642-86ca08183904","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","6 - Stage 2C","6.3 - Final Excavation Level"
"4d95919c-8552-5423-a213-175abbeed9db","","not-started","Tahunanui Back Beach Remediation ITP:bb2b6f35-7de1-47bc-9674-f5c41b056665:7e072bc9-b4ac-4e61-9642-86ca08183904:58b34b3d-067b-4ea8-b946-06dd7285a952","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","6 - Stage 2C","AUTHORITY HOLDPOINT"
"5f1fe177-67ed-53ac-9fd0-7da53239bbd0","","not-started","Tahunanui Back Beach Remediation ITP:bb2b6f35-7de1-47bc-9674-f5c41b056665:a86eb41a-3774-40a3-8081-942885d2d1c9","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","6 - Stage 2C","6.4 - Grading of site for subsequent reinstatment complete"
"ea1b12e6-cd56-5007-b671-30f6444376ed","","not-started","Tahunanui Back Beach Remediation ITP:bb2b6f35-7de1-47bc-9674-f5c41b056665:802e50cf-73eb-444b-b4f0-fbaf64e6171b","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","6 - Stage 2C","6.5 - New fill/ Dune profile enstated."
"804c3c67-6d0a-5fc4-bc19-ad275a0e46ca","","not-started","Tahunanui Back Beach Remediation ITP:a5a7d686-43cd-497f-8886-aa98c79c3996","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","7 - Carpark Construction"
"7f7dc1c0-139a-59f8-9a7d-2c4894f83aae","","not-started","Tahunanui Back Beach Remediation ITP:a5a7d686-43cd-497f-8886-aa98c79c3996:6399ab42-56b5-4f51-9fc9-10c36bd537ff","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","7 - Carpark Construction","7.1 - AP40 Compaction"
"105b7fad-2f42-5013-ae90-e5c9e950113b","","not-started","Tahunanui Back Beach Remediation ITP:a5a7d686-43cd-497f-8886-aa98c79c3996:e7273d9a-0953-4af7-a1a6-aa8f1432d046","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","7 - Carpark Construction","7.2 - AP40 Compaction"
"2744f288-6ab7-56b8-9289-70c41f5f48df","","not-started","Tahunanui Back Beach Remediation ITP:a5a7d686-43cd-497f-8886-aa98c79c3996:be609d67-9fde-4022-9ee4-d7a93616c123","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","7 - Carpark Construction","7.3 - Survey and Set out of carkpark timber fence, concrete pad, and gravel extents."
"dddbfa59-b969-544a-9ad2-2f2395ba7bb6","","not-started","Tahunanui Back Beach Remediation ITP:a5a7d686-43cd-497f-8886-aa98c79c3996:be609d67-9fde-4022-9ee4-d7a93616c123:ff639c13-9559-4859-93d1-fe9376da2118","signoff","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","7 - Carpark Construction","AUTHORITY HOLDPOINT"
"381209bc-ce78-5235-9690-8fc9c237ef73","","not-started","Tahunanui Back Beach Remediation ITP:a5a7d686-43cd-497f-8886-aa98c79c3996:029f9240-edfa-4174-930b-664d8cbe61f7","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","7 - Carpark Construction","7.4 - Waterworks"
"ae236dee-b6ad-592e-be94-8d48acaa6b25","","not-started","Tahunanui Back Beach Remediation ITP:a5a7d686-43cd-497f-8886-aa98c79c3996:9e44f8e9-ccdb-4eb1-a742-632ae2ce8710","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","7 - Carpark Construction","7.5 - Reinstatement of existing post and rope fence around new gravel car park`"
"a67d869d-2f04-5746-8caf-88e226aba773","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b","section","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing"
"c785a0fa-0b12-53e5-9300-3bea9d434ca9","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:bfe18144-fe78-4a08-9e97-48f8e8ca0922","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.1 - As-built Survey"
"2ab978dc-dbc0-5f1c-9d5f-163845ed583c","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:f112c228-5f7a-49c3-ac76-98a36027cb5b","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.2 - Post Condition Assessment of existing infrastructure."
"459a39ae-83f5-5cb1-b6c5-34ad99f4dbc1","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:d2596499-7416-4006-9d43-55cd16f5c16d","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.3 - PC Walkover"
"d7349ada-2fa1-523c-8555-ab239c20bdef","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:3263d353-6fc9-4cc7-a941-39c49507479a","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.4 - Ecological Clearance"
"d12a5ee0-c33a-5f9b-9afe-62ad0f522b04","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:f01049da-e5d9-493d-91ab-6ed46842a5c4","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.5 - Boundary Fencing"
"d988d878-22cd-5b62-b20e-136976e1fc9a","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:3ec5bcc9-6eb5-40cd-a424-59dae4f726d6","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.6 - Topsoil and grass sowing"
"5d6c09f8-4b18-50dd-8512-e197c3369c17","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:8da5274c-bd8f-42e5-9d99-cc882825d414","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.7 - Grass strike"
"e6e8ad1c-52dc-57a8-940c-ea5345008529","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:dc9f706b-9c0a-49d0-a0fc-d7e03e693ee0","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.8 - Geofabric installation"
"b1c89db3-d481-50d5-8d5f-46084eefe816","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:e50a4e9c-7690-4228-a247-218cc413ba24","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.9 - Sand bund protection during construction"
"7b8356a0-4ef5-58fe-914e-346580828344","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:c3e6cf5a-6a33-47c2-8ac7-6cba55c45951","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.10. - Dust control"
"f5bc3ab6-71ef-582f-86f5-ac60820237f5","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:67a24def-04c5-4ad6-861d-b43d194ce699","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.11 - Dust control"
"ec5ae451-d1c6-5847-90e8-c53f22518dcf","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:1710a645-1e8f-4fb6-bc46-b9b821b7f19d","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.12 - Stockpiling"
"b9adcb52-e7cf-5087-b537-d721e05437ff","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:a4f6b69a-44f6-4a3e-989d-be4b36d1a8a8","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.13 - Equipment Decontamination"
"d97ac419-b7f8-5284-8fd4-84c6faf3a9ba","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:ab38337e-ba7a-4305-ada8-bb8322e7ba73","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.14 - Offsite transport"
"ea2e9807-e85e-51cd-980b-0a28298eb049","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:a963d59b-8128-4d61-b4a0-aed65606d391","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.15 - Offsite transport"
"0c256194-8136-51e4-aafa-23730d999b43","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:fe1f305b-7199-4615-a867-275ff0ffb410","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.16 - Offsite transport Load Tracking"
"eb9ef525-8973-5437-b178-05c5983ac653","","not-started","Tahunanui Back Beach Remediation ITP:97d2f8a8-9a7c-49c2-9099-615fa13a159b:e16741c8-2f2a-45c8-9559-89ca0fe5daf5","checkpoint","TRUE","TRUE","Tahunanui Back Beach Remediation ITP","8 - Miscellaneous and Finishing","8.17 - Unexpected Contamination"
