resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
Balustrade Checklist,folder-with-checklists,,,,,,801,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,802,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,803,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,804,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,805,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,806,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,807,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,808,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,809,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,810,,,,,,
,step,,,,,Level 9,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,901,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,902,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,903,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,904,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,905,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,906,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,907,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,908,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,909,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,910,,,,,,
,step,,,,,Level 10,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1001,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1002,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1003,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1004,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1005,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1006,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1007,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1008,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1009,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1010,,,,,,
,step,,,,,Level 11,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1101,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1102,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1103,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1104,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1105,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1106,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1107,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1108,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1109,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1110,,,,,,
,step,,,,,Level 12,,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1201,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1202,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1203,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1204,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1205,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1206,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1207,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1208,,,,,,
Balustrade Checklist,folder-with-checklists,,,,,,1209,,,,,,
