"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b148b904-9ce0-4650-81db-ca052d2d6cb9","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"4e680595-3bcf-453a-a93e-5e66029d20e5","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/1"
"14deb8ee-1e42-451c-9481-8681275d4a2f","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/4"
"998bc843-42d1-49f1-864e-fe87ad21c577","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/4","Pre-Pour Checklist 1"
"ae72ddce-7413-444e-890e-eccb7dfbaf1c","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/4","Concrete Delivery Checklist"
"5992783b-322e-4e79-9a75-f78890213904","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/4","Concrete Delivery Checklist"
"44900668-d7ef-468b-881f-d9bff704d92e","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/5"
"3222a74e-2739-4435-b031-db59da01d6a0","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/5","Pre-Pour Checklist 1"
"a91724ca-0f33-41a7-bc7b-5309522c8716","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/5","Concrete Delivery Checklist"
"7cb117a7-9007-475f-a2b7-4012c58ec8a6","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/5","Concrete Delivery Checklist"
"cfe7c5de-dc75-4b01-8c7a-2092358a598a","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/5","Concrete Delivery Checklist"
"c4ac8aed-dbe3-4ddf-aab8-7bc8ffdd7161","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/6"
"b775b591-3483-4cf9-9829-b8db1673450c","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/6","Pre-Pour Checklist 1"
"64391efb-f009-4579-bd3a-b60318fd51e8","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/6","Concrete Delivery Checklist"
"08b0a9b8-1660-4818-abf1-c82258baafe8","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/6","Concrete Delivery Checklist"
"c0851458-6c69-49d9-8077-109703673779","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/6","Concrete Delivery Checklist"
"83c7e5e3-52e4-446f-a485-657b7e262049","","checklist-flat","pass","Defects Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/6","Defects Checklist"
"0cb8ac38-7f5f-48e8-bc2b-2f19daffdeb3","","checklist-flat","pass","Defects Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/6","Defects Checklist"
"dccc9ebc-f5eb-44ec-987d-d46e18efbdea","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/7"
"b047d563-327e-4b66-a834-c8515b1ab998","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/7","Pre-Pour Checklist 1"
"05ee55b8-bb72-4a33-a8d1-792da21c93e1","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/7","Concrete Delivery Checklist"
"12bf5838-2c0a-4582-bd08-9ba1dc4ef73f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/7","Concrete Delivery Checklist"
"1c34c99e-f40d-4804-b4e3-792b59e0a716","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/8"
"e54e75e0-34a4-442f-9822-3975ba2672f5","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/8","Pre-Pour Checklist 1"
"fccf0165-6dd4-42b8-9700-7fa9d4ff07fd","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/8","Concrete Delivery Checklist"
"407d518f-9fca-48e2-babe-d3c61754573c","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/8","Concrete Delivery Checklist"
"614faa91-471a-4168-8fc0-2beff2a889e5","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","PC/8","Concrete Delivery Checklist"
"b9b50345-f432-4661-9d4e-cd3bb7384f35","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Transport to Site"
