Step Id,Warnings,State,Checklist Template,Type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,,
1ae0abcf-cc2f-4b1c-ae16-8c19b52287a0,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,LOUNGE AREA 1 (1009),Pre Nail Framing Checklist,Details,LVL beam connections
7a387599-bd1d-446c-8a7d-ce19ffb651c6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,ACTIVITY (1010),Pre Nail Framing Checklist,Details,LVL beam connections
85ea9022-5291-42c9-9275-d8dfa64f3373,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,NOOK (1011),Pre Nail Framing Checklist,Details,LVL beam connections
2a8e63de-d0b9-4859-8be6-90c85a1119cd,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,MC3 (001),Pre Nail Framing Checklist,Details,LVL beam connections
ec920eac-35b1-47a8-9c5a-b3807783d611,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,MC3 (002),Pre Nail Framing Checklist,Details,LVL beam connections
c8c9aaba-88ca-4e32-8eb8-08300f10dac8,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,MC4 (003),Pre Nail Framing Checklist,Details,LVL beam connections
c23abdb8-ed42-4b82-b7cd-652904f6aa87,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,MC2 (004),Pre Nail Framing Checklist,Details,LVL beam connections
764db142-35d5-41dd-9976-653336b21b07,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,MC1 (005),Pre Nail Framing Checklist,Details,LVL beam connections
14def350-b8c1-4fb1-bc8d-fb48e8b0e6c9,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 1 ,Zone 1D ,MC2 (006),Pre Nail Framing Checklist,Details,LVL beam connections
1995b857-2418-4bc0-a66e-5f733f93d93a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,MEETING RM 2 (2003),Pre Nail Framing Checklist,Details,LVL beam connections
c677f68b-f0db-4cf0-8943-ae110f5dedeb,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,CHEF'S OFFICE (2004) ,Pre Nail Framing Checklist,Details,LVL beam connections
c6070296-65bb-4214-b3e0-f3afc245c045,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,CLEANERS (2005) ,Pre Nail Framing Checklist,Details,LVL beam connections
0c5d34dc-f7ab-481e-a413-a42dd467e317,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,CIVIL DEFENCE (2006),Pre Nail Framing Checklist,Details,LVL beam connections
a5b460ed-d4f3-4969-9058-2c05bdabbe72,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,VILLAGE MANAGER (2007) ,Pre Nail Framing Checklist,Details,LVL beam connections
35b10050-0003-43be-8761-d1e6ee600893,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,COMMERCIAL KITCHEN (2008) ,Pre Nail Framing Checklist,Details,LVL beam connections
47bb7c99-adf1-4a3d-9d7e-cf77ca210b42,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,CHILLER (2009 & 2010) ,Pre Nail Framing Checklist,Details,LVL beam connections
69bc1945-49bf-4dd1-901d-35d8facae386,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,"WC-M; ACC. WC 3; WC-F (2011, 2012, 2013) ",Pre Nail Framing Checklist,Details,LVL beam connections
db14d228-b344-4122-b746-c971cf61a71b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,STAFF OFFICE (2014) ,Pre Nail Framing Checklist,Details,LVL beam connections
5fa8d58d-298d-4907-8ee5-b9a59497f0e7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,DRY STORE (2015) ,Pre Nail Framing Checklist,Details,LVL beam connections
80d39af4-fe73-4050-b66b-68f6fba156f7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,SHOP (1017) ,Pre Nail Framing Checklist,Details,LVL beam connections
4d4f0e09-9cde-427b-92b9-f1c67e1bfe6f,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,RECEPTION 1 (2018) ,Pre Nail Framing Checklist,Details,LVL beam connections
e67eae5d-8121-4510-8346-3444557a15f1,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,ENTRY FOYER (2024) ,Pre Nail Framing Checklist,Details,LVL beam connections
be556dd9-979d-4529-8b58-5dc8dc7d96e8,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,WIND LOBBY (2025) ,Pre Nail Framing Checklist,Details,LVL beam connections
d755fb98-71b6-4757-a5f1-dcca08f8777a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,CORRIDOR (2001) ,Pre Nail Framing Checklist,Details,LVL beam connections
0fd5292f-9658-43ef-803c-a98eb6da588b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2A,GARBAGE RM (2002) ,Pre Nail Framing Checklist,Details,LVL beam connections
9e1ff317-40d2-44c4-b423-eb23322d4371,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2B ,TV AREA (2020) ,Pre Nail Framing Checklist,Details,LVL beam connections
ba5a343f-ddc4-4f7c-87ac-fa8f22537933,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2B ,LIBRARY (2021) ,Pre Nail Framing Checklist,Details,LVL beam connections
754a3f6f-963e-4c48-86b6-7c189c9e237b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2B ,MAIN LOUNGE (2026) ,Pre Nail Framing Checklist,Details,LVL beam connections
1c37d1fe-5d27-4d20-879f-73613d76bc36,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2B ,"BAR LOUNGE (2027, 2028) ",Pre Nail Framing Checklist,Details,LVL beam connections
a91a2239-d285-4d6f-801c-1d306f83a01a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2B ,CAFE DINING (2029) ,Pre Nail Framing Checklist,Details,LVL beam connections
a304f9bd-09b3-44c5-a426-6d3510269d89,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2C ,SALES (2030) ,Pre Nail Framing Checklist,Details,LVL beam connections
fd64ba41-11b6-44f8-a0db-694a8aee6186,,not-started,,checkpoint,TRUE,TRUE,Site QA,Level 0 ,Zone 2 ,Zone 2C ,SALON (2031) ,Pre Nail Framing Checklist,Details,LVL beam connections
