"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5001308e-7721-4e48-a252-7614224412d5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Precast Elements"
"db6f0468-b8fd-42aa-9c61-2b1237b271d8","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TC352"
"7ae4ec45-0ea9-446b-afae-06fb26622b59","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW201"
"ee4fdaa5-9ec1-4f0a-8ec0-1adcca972cbb","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW202"
"b50434e8-f13f-4e4e-9fca-a1cbf738b055","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW205"
"148be5bf-4095-44e2-b691-bc7475c4b595","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW253"
"ee0946f3-836b-48dc-9d9c-71ec73d66c8e","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW301"
"2ddae589-b844-491c-8a7f-52f1738ad821","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW302"
"6c666c04-6de3-46f0-9e62-6e799a6b3385","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW321"
"cca400fe-bb41-411e-8500-beee6d1029f4","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L22-TW353"
"7bad9ff8-c14e-4e57-aa08-d34a7e6a10f3","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW252"
"1b1a7ba3-c1d0-4532-a9c9-a977585e8130","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW254"
"a05e27da-276b-4837-bc74-9ccbf12efb65","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW353"
"bdc6894b-bb10-4b2c-bf02-d4942a760989","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23-TC355"
"38b9c7fc-0a3a-4bc2-a7cd-75a78889b803","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L33-TC115"
"f777bf7b-4759-4858-ab7c-ead56625da98","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L33-TC116"
"af3fb5bc-3207-4970-8339-c17b785e4345","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC101"
"9b0a5ee0-b525-4b25-9532-393d9c79d732","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC102"
"99bebc36-d135-46aa-a1c5-33a5d79949a7","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC105"
"141e9b05-fa01-403b-ab8f-83938eee5137","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC115"
"83c15c9f-a5cd-455e-bb99-e65d3262e3d6","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC116"
"cbb7c93f-7f58-42ee-b642-a10710d5b27c","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC101"
"6c3fff8c-fac1-4c3f-9a8a-7656634fb0c0","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC102"
"b34c418e-b60f-4bb9-a042-831825f8eecc","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC105"
"d0a56f1c-5601-41c2-af22-97a99a130787","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC115"
"0105a58f-02f3-45b6-ba76-f6a148b76551","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC116"
"43b313e8-e1aa-4b82-b921-1b47309b317b","","checklist-sectioned","work-in-progress","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC125"
"181dd975-7139-4a88-ada7-9791166a341a","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC101"
"d8aa4a6e-d025-44c5-bdc1-342487a5f5b6","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC102"
"29bb9601-0aca-4833-bcf9-d3bf94f3dddc","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC105"
"c49d5c9c-45e7-428c-a0f2-4046a27382b7","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC115"
"a7d396d0-872b-4b64-901d-d43811c5cc68","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC116"
"82e16667-b70a-439a-8814-6898c22ba651","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC124"
"481c432b-479e-403d-b739-1ef17ea9e81b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC101"
"c4ece73a-5095-4ad8-ac72-7de01e60d82b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC102"
"1fe035f7-22af-49f0-be36-7eee76772154","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC104"
"a6e3ec88-3031-4443-8512-dbc7f83bd86f","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC105"
"d9ac34ec-01d6-4b6f-9df7-91bd5b65b7be","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC108"
"5727c20c-fd63-4223-916b-a5a6d7cfe034","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC109"
"5b424770-dbb5-449e-810d-cd9374e1dbba","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC115"
"f27ab608-abc7-49b4-9a04-2eed1a612f50","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC116"
"38d3d280-5a5a-4ee4-ae56-9b9afcabd103","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC121"
"9a08ce5a-dedf-4559-9657-33dec3948079","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC122"
"e5463ef2-1df1-413e-80f1-4c5160695c20","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC123"
"9c2376e5-9ba4-4aa7-9b61-c38857bb772e","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC124"
"0e5d72c9-a184-4182-b883-4e8824295d68","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC125"
"0eeddab0-ab3c-4e37-824b-1828af5b57ef","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC126"
"f3351a13-f5e2-4306-9a67-2b40d45d52d5","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC127"
"8a266e6a-a9d2-4096-ba86-2ee62ec789fb","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC128"
"cafef167-a8a6-40e3-8649-d492b7733502","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC129"
"b29931a5-1171-4f48-a042-b0bbd369856a","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L37-TC130"
"8b10dc71-b1a3-4921-80ed-dad5d8f13c2b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC101"
"97c9d18e-1759-4f40-a493-260f1493c73a","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC102"
"3578bbb0-620b-4e52-ba48-d47a679a4f7d","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC104"
"4986c3b1-d0fa-4265-800d-697d4d9fc1aa","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC105"
"5ab7ecfc-6b7d-4a06-b384-32648b556986","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC108"
"02e52ec2-c1a6-4c5f-a01f-80c22282a4d9","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC109"
"4a16a2c7-5a1f-4416-a12c-f8d1fb2b5d7f","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC112"
"dca3342d-f178-4c04-968a-4ce7a3bf41f8","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC113"
"df3e2a13-6f41-425c-9eb6-66e921fb83cc","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC115"
"1f73d7ec-5854-45cb-9df3-16ab798182ed","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC116"
"1db2e974-e2ef-47a1-9e06-ba97231574de","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC121"
"f5833843-9b13-4b5b-96ad-172c076b6edf","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC122"
"2b12cdfb-21e3-4edd-b574-518017b9e830","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC123"
"313b1565-6556-453d-ab80-61412133df2a","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC124"
"a493db0e-b57c-47dc-ad46-f7e66f75f194","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC125"
"c76b322b-bcf9-4943-ad9c-1889e6be99a6","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC126"
"d4166186-3e9b-4a2e-9082-76ba56f3265b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC127"
"8707512e-56f6-4de2-a83c-1f167cd430a2","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC128"
"a4be660d-22f7-49ff-8e5e-0cd9779f2f51","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC129"
"19b476af-9215-403e-84ec-ba7c3bc9abe3","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L38-TC130"
"9ce178af-6bb5-49b1-8d21-2ee95209a6cc","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC101"
"ca17ee13-ac9b-4326-9ff5-7da0c2f5dafe","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC102"
"8c0d87bb-16e5-45b3-8be0-5622d30572ae","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC104"
"1bd0684b-6800-4651-9a10-6fb8f55101cb","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC105"
"a01ce945-2a8a-4a98-a691-8adcc6a5d0b5","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC108"
"fc4cec2f-1a37-4065-8d49-405f94d24616","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC109"
"88c3899c-1490-4383-aa45-a1e917ffbe6e","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC112"
"07da072e-b53a-4562-a82b-ce6852119457","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC113"
"356a5f4a-2edd-4411-8b5b-71f47f5eec35","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC115"
"fc91adf4-8692-48b8-a61c-58922431ed59","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC116"
"6774b3a6-a6f4-4ec9-a858-f8e86fa121da","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC121"
"83cd462b-3bc1-42ad-874b-16ba551d11c1","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC122"
"435495ad-f61c-4399-91b9-dbc2b8131d1f","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC123"
"66b46893-0210-4530-b6fd-1e8301567772","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC124"
"6b78b88d-baf0-46a9-a6f0-8154a4b66f83","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC125"
"5102292b-5c21-42d5-a073-1aea81065a89","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC126"
"869e38e3-b1d6-46d5-bc9f-43c635d41a28","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC127"
"058bef8e-a608-486c-8325-97390fd9b4ad","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC128"
"71ab1242-e78c-41f0-ad00-4f29d594439d","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC129"
"a9ca4b2a-5ef8-40fd-97a9-64cb0fa78b85","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L39-TC130"
"eaa8cd47-eb4a-4e8e-bf3f-ac99eeceba42","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC101"
"0a7305e5-a05e-4ea0-9710-40f3e7b892fb","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC102"
"42858525-96f9-4a75-b3eb-234b41ebf807","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC104"
"f7a931f8-dafd-4bd5-be09-578dce6b2ceb","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC105"
"b4b959e8-3c1f-498d-b997-a69f8268a8a6","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC108"
"c3a65803-145b-4feb-9d95-28b4a94bb1c9","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC109"
"1bef5ddf-1437-48b5-b03d-da9336b27120","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC112"
"c32e0993-8bd8-47fa-8d80-eece02326cfe","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC113"
"d85d290c-5a9a-41ba-9133-40eb52564cf2","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC115"
"fbe57010-30b3-477b-991e-8cfefdc671c9","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC116"
"4038a13e-222c-49c2-b25d-6925965576ac","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC121"
"b2e3d40f-b86b-4f1f-b17f-9751e41f3bb6","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC122"
"f3667786-23aa-4950-8faa-67ada0e6d810","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC123"
"f94f8172-3216-47cd-996b-675de3aca2ea","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC124"
"75b6e537-ea5b-4628-b8c4-d96c903ed83e","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC125"
"7fbd279d-91b3-48ea-ba5e-4899bfe7ad13","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC126"
"fbec70ba-bcaa-4e49-a46d-dc4a33456f61","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC127"
"76d3088c-aece-432d-b820-62520afb4f55","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC128"
"e0cc2234-577f-4105-92d6-39f3b21718f9","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC129"
"0fba8650-502d-472a-9885-cae4a3d179ec","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L40-TC130"
"b0dd9804-ce4e-45ca-893b-e2dfc0581189","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW251"
"975477f8-7b85-491d-a0be-3975332503dc","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW252"
"dc453310-d6f5-4f0d-adb2-e1246cf2c094","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW254"
"ce9b9356-bae8-4e8e-bf21-d6afa7590a8d","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW261"
"879822f5-f6ba-4ac5-9c57-26e35d279b30","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW262"
"847ef811-233c-49da-be65-1a86b707cafd","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW262"
"c3a8b78b-2de5-4563-9b73-0dcfbcd95bd1","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW263"
"2b58b819-bcfc-46ca-86b4-ac1942dcef4e","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW263"
"b3a867ed-b197-472d-a42d-f6379fac0df1","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW351"
"be9b8ebe-8319-4c67-90b6-57a934e48e97","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW352"
"2ee81907-e2a5-4e9d-af99-181e9d18605f","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW354"
"5f61cbd9-7f90-43c1-ad6a-df21f09262ed","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW361"
"7253cd4f-2b80-46bc-9336-405e88898cfb","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW361"
"f0d61867-9fc6-4430-a17c-4f3d97cfd7a4","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW362"
"399680b3-038d-4dbb-8c2f-97551d94fb80","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L23M-TW363"
"49a70c70-ac18-4de7-956c-ce4453ae9211","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L33-TC101"
"be1fc573-9ec0-48b7-b569-1a6616cf4361","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L33-TC102"
"60bc493e-2c7c-44bd-9e35-16058517ed1b","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L33-TC105"
"8faa4cba-02ef-4954-8b3d-3fc19f40a4fd","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC124"
"62fd6669-7dfb-4535-84e3-26a54a38b8b0","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC125"
"50be4186-485e-4d0d-b668-ab90a7bdfb57","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC126"
"f37370dd-ab86-4814-b1ac-4c84193e95fc","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L34-TC130"
"b0f2fa73-b4fd-4001-a0cd-cc59d9957cd1","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC104"
"1eadf4da-236b-4175-9fce-1448c56350fe","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC108"
"b050be94-6900-472e-a32e-9fcdd674761d","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC109"
"17ffbbb5-4e8c-4ad2-96b9-42769b502d07","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC112"
"a7a8969e-e609-4d4f-88eb-6f81b92ce979","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC113"
"08ed5f07-d0c6-4ff1-8174-ada57ed45882","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC121"
"6a51d52c-36b2-4898-8793-d6ebedbb0c61","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC122"
"ab809adc-ef18-42fd-b06e-837160f52dc9","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC123"
"a2a3c5fc-fe5e-4130-91f2-88df61d2eaf1","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC124"
"6e0e9079-9d42-4e02-ad01-19b7ba1a8ab0","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC126"
"b0fbe7ea-a78d-455f-aa9b-c45f11fc25ab","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC127"
"3707c533-54e7-4ce7-8b3d-86c586c141bd","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC128"
"b6dbf3c0-8705-4240-9be5-0f4ba6809454","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC129"
"1b7f308d-55ba-438d-9575-f74663802cd3","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L35-TC130"
"9b41476d-4f67-4abd-b671-441ffbad74d4","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC104"
"f70f90ca-3c1f-4dcf-b682-d4784688c6fe","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC108"
"0bf316eb-64cc-406f-9475-1d8509f80093","","checklist-sectioned","not-started","Precast Checklist","checklist","FALSE","FALSE","Precast Elements","L36-TC109"
