"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c6ae79c5-d25e-463a-9890-7ae53b5e64ce","","folder-normal","fail","","step","TRUE","FALSE","3000 - Provision of Civil and Structural elements for the Tauhara Project Field Facilities - Establishment Audit"
"bf937e00-4327-5390-9e0f-5086da9ed465","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6950 Dome Valley Stage 3 and Stage 5"," 20210603 - 6950 - Dome Valley Stage 3 ConQa Project  Audit"
"8aa0ba9d-48f6-5dc6-afa0-ee26abd12b68","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6950 Dome Valley Stage 3 and Stage 5","20210701 - 6950 - Dome Valley Stage 3 ConQa Project Audit"
"8e0fad23-5697-4c48-bdd5-5aa2e47fdaea","","folder-normal","fail","","step","TRUE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park"
"5d9b7dd8-f48e-5c66-abce-e3c2672edf7a","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","20201216 Project Audit Pohe Island Bike Park Dec 2020"
"a1644cc7-1088-5008-ac71-3810a618da6a","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","6951 - 20210305 Pohe Island Bike Park ConQa Audit"
"e55d2802-797b-59ad-acc7-40bfd28c2403","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","20210513 6951 - Pohe Island Bike Park - Stage 1 (Civil) ConQa Audit"
"1ec5d276-3dbc-5d0a-8aff-f6fe2d8898ab","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park"," 20210629 - 6951/6963/6965  Pohe Island Bike Park ConQa Audit"
"1cfe6766-cd2a-5719-a76f-7bf6353af527","","checklist-sectioned","pass","sys - Project Audit Checklist V0","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","20210722 - 6951/6963/6965 Pohe Island Bike Park ConQa Audit"
"8f589f5f-b2e8-458a-b6d6-29a091e84f6f","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","20210923 - 6951/6963/6965 Pohe Island Bike Park ConQa Audit"
"7280deb9-de99-4dc2-a411-b39a0d89ab21","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","20220531 - 6992 - Pohe Island Bike Park Building Works RFQ Project Audit"
"17d976fb-3872-48ab-8f05-bf4435813442","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","20220830 - 6963 - Pohe Island Playground Construction CON20053"
"0647e858-75e3-4b7c-a6b1-d26cf8adc504","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE"," 6951-6963-6965-6992 Pohe Island Bike Park","20220922__6963__Pohe_Island_Playground_Construction_CON20053"
"fd0cf0bd-4262-4079-acd5-1c21101dd273","","folder-normal","pass","","step","TRUE","FALSE","6961 - Whangarei's Civic Centre BC02"
"d8cae834-b791-4816-8b7c-ed55432764ff","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6961 - Whangarei's Civic Centre BC02","20220707 - 6961 - Whangarei's Civic Centre BC02 Project Audit"
"289f46b3-a218-4a96-a662-a55621a9bebd","","folder-normal","fail","","step","TRUE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972"
"4e51eca8-19ca-55f2-9789-df889e6c053c","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20210617  6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"59dc667d-a652-5953-b302-a28dae40eb26","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20210713 6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"c49bda43-9641-49cc-9d2a-6730493b3d0b","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20210817 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"8e0d2794-ca97-4fb6-9fd0-aea940329238","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20220120 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"b17bc160-4614-4553-a90d-c521554b2e62","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20220218 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"355286e9-904c-4c64-934e-020ff6d95f7a","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20220324 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"7b6596d4-8107-45f6-9c20-15a43afd8d0a","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20220428 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"efe780b3-6977-4e47-9644-04860817db08","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20220525 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972 Project Audit"
"b2bca24a-7348-4576-a046-9a6fa32fd4b4","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20220609 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972"
"866dee4b-ee23-4a89-80df-3402a4ba880e","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6968 - Mangawhai Shared Path and Intersections Improvements CON972","20220802 - 6968 - Mangawhai Shared Path and Intersections Improvements CON972"
"b808991e-7c5a-4fee-a659-27692a05c370","","folder-normal","fail","","step","TRUE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade"
"bb436662-9ca4-5fe8-bcf5-4b16d2f6b1e9","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20210730 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - ConQa Audit"
"ba382d1b-c118-4375-8487-5443e7ba14c5","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20210917 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - ConQa Audit"
"50eb57a2-01e1-4f93-8d2a-d43fa069e9c8","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20211215 - 6970 - Port Road Bridge - Spiral Drillers - Audit"
"533044ae-f2b2-4cf0-a7ca-cf9d70fabe23","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20220103  - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit "
"ee9c1bb6-d29b-4cc0-ae15-0b428f27d589","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20220301 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit"
"9bb65723-bca5-4e00-adc9-254d5b951127","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20220412 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit"
"c5fcc9ff-9b02-4bc1-8164-a17f434389bf","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20220510 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit"
"4b262d72-f8e8-45a2-8623-16d00d62015d","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20220621 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit"
"531afc6c-c903-4bb7-903b-5cc2d87aac08","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20220719 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit"
"3334c2b0-c57d-4a9c-b9f4-f921bdee907b","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20222309 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit"
"650f7f6e-0708-49fd-8414-2490e83f166d","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","Project Audit Port Road 220823"
"b0dc8e2a-d090-44bd-ac9d-4f9b5b308577","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade","20221129 - 6970 - Port Road Bridge Widening & Kioreroa Intersection Upgrade - Project Audit"
"c0179984-92a7-432d-9d23-87025daa181b","","folder-normal","fail","","step","TRUE","FALSE","6978 - Ruapekapeka Road Seal Extension"
"197e43ee-9ff6-498f-8727-e954ed9beca9","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20211123 6978 - Ruapekapeka Road Seal Extension -ConQa Audit "
"59feb6d8-a935-42a3-9f09-795b81a06966","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20220304 - 6978 - Ruapekapeka Road Seal Extension "
"15b235d7-540a-492c-8f05-a62de6982bb8","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20220414 - 6978 - Ruapekapeka Road Seal Extension Project Audit"
"d6a8dc10-4837-490d-8441-ecafdf8667d4","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20220512 - 6978 - Ruapekapeka Road Seal Extension Project Audit "
"404551dc-3d48-4bae-814d-d453dab19c15","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20220701 - 6978 - Ruapekapeka Road Seal Extension Project Audit"
"17f0c41f-fae0-4b97-ac6a-77997b902a24","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20220729 - 6978 - Ruapekapeka Road Seal Extension Project Audit "
"00bf7ee2-2f29-4de6-be70-0db985995dbd","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20220927 -  6978 - Ruapekapeka Road Seal Extension Project Audit PB"
"f9425a40-1957-4fa3-b548-8e2b8a76b9f0","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20221011 - 6978 - Ruapekapeka Road Seal Extension Project Audit"
"148f124b-1122-47e0-89d1-423f9509284f","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20221103 - 6978 - Ruapekapeka Road Seal Extension Project Audit"
"bd103ed3-6b73-4c6f-ae96-148338cc4546","","checklist-sectioned","not-started","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6978 - Ruapekapeka Road Seal Extension","20221206 - 6978 - Ruapekapeka Road Seal Extension Project Audit"
"2cf974fc-fe98-4336-b47e-bdcb493e9ed4","","folder-normal","fail","","step","TRUE","FALSE","6979 - Ballance Development Whangarei - Civil Works"
"3f2264ba-c1ee-45a7-8e25-a17de5047268","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6979 - Ballance Development Whangarei - Civil Works","6979 - Ballance Development Whangarei - Civil Works"
"81c3a1ba-6307-4e85-9d12-7f7ec72fde78","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6979 - Ballance Development Whangarei - Civil Works","20220308 6979 - Ballance Development Whangarei - Civil Works Project Audit"
"1361ca63-d4bf-4639-8421-71519b92dc4f","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6979 - Ballance Development Whangarei - Civil Works","6979 - Ballance Development Whangarei - Civil Works Project Audit"
"f099cfde-32b6-4a70-b6f6-2d924585e5ee","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6979 - Ballance Development Whangarei - Civil Works","20220517 6979 - Ballance Development Whangarei - Civil Works Project Audit"
"fa77c743-edfa-4c9e-889d-920f742d0594","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6979 - Ballance Development Whangarei - Civil Works","20220616 6979 - Ballance Development Whangarei - Civil Works Project Audit"
"17c5b2e4-77df-4356-b618-569047b89a3e","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6979 - Ballance Development Whangarei - Civil Works","20220715 - 6979 - Ballance Development Whangarei - Civil Works - Project Audit"
"e9c49c2e-a0f0-4731-8a8a-3ff72328e460","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6979 - Ballance Development Whangarei - Civil Works","20221014 -- 6979 - Ballance Development Whangarei - Civil Works - Project Audit"
"662567d5-45d3-4c8d-a894-cbf2e9fca3a7","","folder-normal","fail","","step","TRUE","FALSE","6984 - Northpower Foundations 2021-2022"
"a45688d2-3e1a-43f4-903c-cf5908166b0c","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6984 - Northpower Foundations 2021-2022","20220317 - 6984 - Northpower Foundations 2021-2022 Project Audit"
"77a264a6-e5ab-4eb0-9a19-51b0940c0c8c","","checklist-sectioned","not-started","Project Audit Checklist V2","checklist","FALSE","FALSE","6984 - Northpower Foundations 2021-2022","20220428- 6984 - Northpower Foundations 2021-2022 Project Audit"
"311c052a-5aac-4dd2-9b15-afe7a7ff90b6","","folder-normal","fail","","step","TRUE","FALSE","6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2)"
"48b07887-3b8b-4ce4-b29f-e28e26f9e17e","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2)","20220331- 6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2) - Conqa Audit"
"cf2faec1-3295-4bdf-b3bc-5ee5541d26df","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2)","20220421 - 6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2) - Conqa Audit"
"9bf1cc7d-75be-4459-9977-d7904ac9193c","","checklist-sectioned","work-in-progress","Project Audit Checklist V2","checklist","FALSE","FALSE","6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2)","20220525 - 6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2) - Conqa Audit"
"ddc93923-85e8-4b00-87fd-297ff17e93d3","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2)","20220628 - 6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2) - Conqa Audit"
"9a07b755-8a0e-4a59-8ced-8670fbcb8694","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2)","20220726  - 6987 - Silver Fern Farms Dargaville Anaerobic Lagoon Liner and Cover Replacement project (Stage 2) - Conqa Audit"
"360d7dfd-3398-4fcc-a330-b29f24bb7f47","","folder-normal","fail","","step","TRUE","FALSE","6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066"
"5b1f71a1-3ed6-4b9b-88ba-bb77cc0f6c1a","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066","20220405 - 6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066 Project Audit"
"47f22fbe-faed-4656-92f5-98552473fb41","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066","20220503 - 6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066 Project Audit"
"853f77a6-1444-4a69-aff1-09d1fcf8fe58","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066","20220614 -20220503 - 6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066 Project Audit"
"0efe509a-8817-430a-9c72-fbfc00ef6df6","","checklist-sectioned","pass","Project Audit Checklist V2","checklist","FALSE","FALSE","6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066","20220712 - 6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066 Project Audit"
"874cd3d9-323e-4e67-a240-23aacc396cb0","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066","20220906 - 6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066 Project Audit"
"9b16b7db-a27e-4480-aef4-f6d6c551b761","","checklist-sectioned","fail","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066","20221018 - 6988 - Marsden Bay-Ruakaka WWTP Rising Main Upgrade CON21066 Project Audit"
"47d7375a-8f15-40ed-bef6-f878fafa95b9","","folder-normal","fail","","step","TRUE","FALSE","6991 - DARGAVILLE WASTEWATER NETWORK RENEWALS CON 977"
"bdddb0b3-fee8-4361-b1cf-e2a5034c2d2d","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6991 - DARGAVILLE WASTEWATER NETWORK RENEWALS CON 977","20220512 - 6991 - DARGAVILLE WASTEWATER NETWORK RENEWALS CON 977"
"3eb40123-9f12-431c-af64-97a5607ff6fc","","checklist-sectioned","fail","Project Audit Checklist V2","checklist","FALSE","FALSE","6991 - DARGAVILLE WASTEWATER NETWORK RENEWALS CON 977","20220628 - 6991 - DARGAVILLE WASTEWATER NETWORK RENEWALS CON 977"
"e7e8c88b-8886-4223-b0cc-c8cd1943a282","","checklist-sectioned","pass","SYS - Periodic Project Audit V0","checklist","FALSE","FALSE","6991 - DARGAVILLE WASTEWATER NETWORK RENEWALS CON 977","20220726 - 6991 - DARGAVILLE WASTEWATER NETWORK RENEWALS CON 977"
"dd4ad674-698c-4959-88d6-021fd79a66ac","","folder-normal","not-started","","step","TRUE","FALSE","Workshop/Yard Audits "
"d3ed146d-21b0-4552-b754-54596c1543fb","","checklist-sectioned","not-started","Project Audit Checklist V2","checklist","FALSE","FALSE","Workshop/Yard Audits ","Project Audit"
"eeb1d72e-ee93-4a0e-9fc2-fb9ade7f2be2","","folder-normal","fail","","step","TRUE","FALSE","Archived"
"ddd9f7c5-2c72-4363-8cd7-600bf9661e51","","folder-normal","fail","","step","TRUE","FALSE","Archived","6917 Ngawha Fluid Conveyance"
"05f5ee54-d387-5382-b70d-9538bc8f29fe","","checklist-sectioned","fail","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6917 Ngawha Fluid Conveyance","Project Audit Date: 18/05/20"
"4ac928b0-a5af-5d1b-a021-754685565834","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6917 Ngawha Fluid Conveyance","6917 Ngawha June 2020"
"fdde569f-3c9e-4e7d-bc45-510a8660b4c1","","folder-normal","fail","","step","TRUE","FALSE","Archived","6918 Porowini/ Maunu Rd Intersection"
"8af20dc8-adfc-49ad-8e58-d2f39113f6ee","","checklist-sectioned","fail","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6918 Porowini/ Maunu Rd Intersection","Project Audit Date: 12/05/2020"
"768bfe4f-e9d1-4eb4-9184-5be83fd724ea","","folder-normal","fail","","step","TRUE","FALSE","Archived","6930 Ngawha"
"aa9271c2-fd84-57c7-a198-2b04cba7d1e0","","checklist-sectioned","work-in-progress","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6930 Ngawha","6930 Ngawha August 2020"
"77a0c94a-abf8-5ed1-93a5-9307718843a6","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6930 Ngawha","20201111 Project Audit Ngawha Nov 2020"
"88579708-d12d-5427-bc87-67e91f4975fa","","checklist-sectioned","not-started","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6930 Ngawha","Ngawha 20210217"
"2a4caca2-d22f-417d-8041-d32130e8744f","","folder-normal","fail","","step","TRUE","FALSE","Archived","6931 Otaua Bridge"
"5bdc0077-a214-5aa5-a39e-34023324e54e","","checklist-sectioned","fail","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6931 Otaua Bridge","Project Audit Date: 18/05/20"
"43b3ff64-9ac7-5376-abc1-4f3ea58b3f0d","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6931 Otaua Bridge","6931 Otaua Bridge June 2020"
"940b57d1-dd34-51c9-a711-b16195b9110d","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6931 Otaua Bridge","6931 Otaua Bridge August 2020"
"639b8f75-de8f-5c6c-8912-112af04d4726","","checklist-sectioned","fail","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6931 Otaua Bridge","6931 - 20200930 - Otaua Bridge Replacement Sept 2020"
"4439b6b0-7b3a-4d8e-af7e-7f44d8716cd8","","folder-normal","fail","","step","TRUE","FALSE","Archived","6932 Whangarei Boys’ High School – Civil Works – New Access from SH1 "
"dce0c112-861d-4dc3-95e8-73ea93ebd86f","","checklist-sectioned","pass","sys - Project Audit Checklist V0","checklist","FALSE","FALSE","Archived","6932 Whangarei Boys’ High School – Civil Works – New Access from SH1 ","Project Audit Date: 13/05/20"
"0a4b03fb-ae62-5921-8197-54e6b563bdfa","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6932 Whangarei Boys’ High School – Civil Works – New Access from SH1 ","6932 WBHS June 2020"
"63962e4b-8474-53b3-9b88-6d9a2215232c","","checklist-sectioned","pass","sys - Project Audit Checklist V1","checklist","FALSE","FALSE","Archived","6932 Whangarei Boys’ High School – Civil Works – New Access from SH1 ","Project Audit 6932 WBHS July 2020"
