"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"91040870-d64b-4b76-82f9-954ed3653c66","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 25"
"5b9e78c1-cf92-41fa-b704-f2db0e157574","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 30"
"04b21691-7e70-48c4-b64f-5e9872424b91","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 35"
"8a5070e9-5243-4112-8350-13ab33a19962","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 40"
"df599b59-56c0-4306-a54d-078efe4a28e6","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 45"
"ae40fa06-8edd-434a-a02f-e0107809bc77","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 50"
"abe7b8e1-b1a6-4d7f-a3d4-64a50aa12ac5","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 55"
"25cc749c-ca63-490e-bd4d-5938267e3600","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 60"
"4176ed5d-ca45-44e8-ae58-f053d8f6755a","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 65"
"444b0459-b569-4322-a7c7-2fe33376533a","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 70"
"49bc42cb-eaf6-4464-9318-3b06b339b227","","checklist-flat","not-started","QA - Stormwater Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Stormwater Risers","SWR 75"
"a3fd5e63-82ee-422f-9406-e25678809873","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","GF","Preline"
"59564626-0281-4e0b-9b9a-0fdf0dde843d","","checklist-sectioned","not-started","QA - Plumbing Preline (Ground Floor)","checklist","FALSE","FALSE","Site QA","First Fix","North Elevation","GF","Preline","Ground Floor"
"79d7f230-fc51-4cda-83cc-97def49df382","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","Level 1"
"4c639bfb-be2b-466d-8626-788beb986ebe","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers"
"a4782aca-04c7-4945-9edd-f17b9b38a745","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 5"
"546b2279-f8aa-4c0e-b868-2ba241c33c27","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 10"
"37cd0656-fe17-49fc-ad59-dd22bb740fd1","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 15"
"32f38b11-8704-4c29-9a3b-233741eb84bd","","checklist-flat","not-started","QA - Water Risers","checklist-flat","FALSE","FALSE","Site QA","First Fix","North Elevation","Level 1","Water Risers","Riser 20"
