"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b7c64a46-3089-4712-9c87-ca210b15c800","","pass","","folder","TRUE","FALSE","Frame 1"
"88cd0810-4579-4bf5-9be6-d2a3e7c63707","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 2","2G"
"64e25e1e-464c-44d5-a701-df24ec3f99c9","","pass","","folder","TRUE","FALSE","Frame 3"
"5259baaf-dec6-4a97-9a8b-d2cb25ed9223","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 3","3A"
"0edadc64-7190-4027-861c-8473b8269d85","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 3","3B"
"fa1d3f40-d953-4acc-9be9-76fc93e3109b","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 3","3C"
"5fcb6dc5-db07-4bdb-9474-19485947c434","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 3","3D"
"ea6a6048-ccce-484a-b8fb-158d457f1a25","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 3","3E"
"459e81ef-2e62-43c4-a97b-eabe72f6854d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 3","3F"
"d5de8bb8-6da2-4f58-b26c-2ba885b6e164","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 3","3G"
"b5f5bce6-a927-4b6a-bf5f-49792e644631","","pass","","folder","TRUE","FALSE","Frame 4"
"d6971214-0938-478f-883f-e8f6a8451324","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 4","4A"
"3c3d574a-52a6-4fa1-9d0a-2e48e2333f50","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 4","4B"
"4999967e-2332-4158-8cc6-95d01d8c6e2a","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 4","4C"
"67c408ca-5183-4ecb-a644-914c6b618975","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 4","4D"
"0689ca0c-ba56-4ce2-94c9-f9c7f025c702","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 4","4E"
"7713ddc8-238d-45c2-8013-d018cb124bd2","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 4","4F"
"4e181de7-ac6e-4ce8-994e-1d6d611a0ccc","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 4","4G"
"695095bc-2a74-4ef4-a6c4-2ca35d289ee3","","pass","","folder","TRUE","FALSE","Frame 5"
"a9386ac3-3822-4fb4-bc98-6e438dcb5bcc","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 5","5A"
"49babd32-1592-4666-b6a3-5e9e8e20a502","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 5","5B"
"4ff91fa4-77d4-4f51-9bc4-74b627cda582","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 5","5C"
"d1e644ce-3ab9-4c29-9c3e-cffb1556ea44","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 5","5D"
"5bff3745-5730-46d0-8a3f-e0a8a15c5f59","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 5","5E"
"e46b490c-54e0-455c-bd13-99d57d5f1046","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 5","5F"
"541ad356-5060-4732-9009-813b38cf82a4","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 5","5G"
"bb2f3c1c-5a0b-44f8-b2cf-d436bfbed9ef","","pass","","folder","TRUE","FALSE","Frame 6"
"b1651fa4-170c-4005-b269-3b31e7f84e66","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 6","6A"
"59e0d3fd-02a3-4623-b43a-c83aeff21307","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 6","6B"
"ce8053ad-f3d4-4240-87e1-e3e203f5ceee","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 6","6C"
"e4bc7048-a2cf-40fe-a6ea-f8c428e29543","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 6","6D"
"8aa132af-0951-4377-b822-22b2c33edf9d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 6","6E"
"2040c8ce-c783-4281-9166-ff94f5ac1266","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 6","6F"
"4d8be39a-5571-4223-b97e-3a22daff88d7","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 6","6G"
"58fd5b2a-f406-488a-9600-efc2349b887c","","work-in-progress","","folder","TRUE","FALSE","Frame 7"
"06c43bd4-8f41-44e3-ac17-f3f7bf6545c9","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 7","7A"
"c2af080a-1b8f-4504-acab-280d7d118f14","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 7","7B"
"e7517505-4d9b-47bf-8b84-5a127e8114de","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 7","7C"
"b5b3f535-66c1-4297-a9f0-1399e4ce966d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 7","7D"
"090ce843-733a-4df2-8c3c-3b5d3164825d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 7","7E"
"46bfe37b-d187-4393-b541-bf1ed76e9ee0","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 7","7F"
"4f82c26f-9fc2-45f0-b344-56eda9bb4646","","not-started","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 7","7G"
"47ff53a8-69b3-4e6f-86e3-a939f516c85d","","work-in-progress","","folder","TRUE","FALSE","Frame 8"
"78e1c6c7-827a-4d05-b2a2-02b5db3e96d5","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 8","8A"
"484f9f29-f57a-4462-85f4-3aee27c28184","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 8","8B"
"a9a5586a-7ed3-4335-bdd2-2d2515058176","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 8","8C"
"29b7c81c-0038-46c3-abf7-50cd1fb6f6c5","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 8","8D"
"374c844f-a0e7-48ec-8000-468b8c8456e1","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 8","8E"
"413580ed-ccc7-49de-b92f-4ba9cf3fe3b3","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 8","8F"
"6a49e8b4-e103-4bdd-a5f1-3b325270b6c9","","not-started","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 8","8G"
"dbc20000-bb35-4ad2-8c52-695c27aec36f","","work-in-progress","","folder","TRUE","FALSE","Frame 9"
"b2000ff5-ea7d-4179-bf41-f430cd29cbd4","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 9","9A"
"b8f6e0bd-d70b-4901-80b2-5ff8827453c1","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 9","9B"
"a6b070a8-f776-4475-9dbd-082763ccf5f6","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 9","9C"
"117f38b3-81ca-4ced-b8ea-0d22443b1523","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 9","9D"
"57214dd5-319f-432e-8946-ec87de58e7d2","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 9","9E"
"9127393b-f8a9-4e3b-b9d3-bdc52f9b31f7","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 9","9F"
"e18e7aa5-e9ae-4b3d-b6ad-0ede04ecd747","","not-started","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 9","9G"
"d0308579-3ea4-4271-aeef-6ab83048ad91","","work-in-progress","","folder","TRUE","FALSE","Frame 10"
"711c8c72-6baa-49df-94d6-42ffdf1e1144","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 10","10A"
"5674efe6-f064-4a80-9aaa-dfe962023590","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 10","10B"
"cd474fdf-6725-4494-9a98-308c34818f41","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 10","10C"
"2b9f258c-f8db-415d-b760-323afc3f4e2d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 10","10D"
"919822cb-a893-486c-ae01-f9853204b8bd","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 10","10E"
"f3015c49-9087-4f56-9f1b-55307fcd605a","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 10","10F"
"c582a597-d1b4-4cff-92e5-5033a27756b6","","not-started","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 10","10G"
"ec99f888-ca97-489e-96a0-3fbc7d2afe9f","","work-in-progress","","folder","TRUE","FALSE","Frame 11"
"ac0ff2be-0365-4ac0-985b-3a01c6439423","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 11","11A"
"a526366d-488d-4097-82df-d2e21476ab35","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 11","11B"
"bef37281-f6df-4516-905e-b12630f6e9ae","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 11","11C"
"6a1c51b5-fbdc-4bfa-bf63-ef1b394ab8d6","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 11","11D"
"1c66b9c1-f385-4141-8655-fdbdf9405dcd","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 11","11E"
"5e0b3e41-89f7-4282-9ec3-314f1d316501","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 11","11F"
"38bd247b-9371-48f2-ae80-a09670b22be7","","work-in-progress","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 11","11G"
"8b675b85-2ecc-4266-918d-2daebcef854b","","pass","","folder","TRUE","FALSE","Frame 12"
"5e8908de-6407-4d92-b1f0-06a548ca2273","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 12","12A"
"3a49c9c4-c01b-4198-958a-1e799fab7673","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 12","12B"
"4386745b-1686-4c9a-8815-9700c4f0e1c7","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 12","12C"
"13ebc8df-5fe5-46ed-859c-554a4429735b","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 12","12D"
"693b8b8c-db3f-4260-b527-5a4a6ec3e5b8","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 12","12E"
"13baa28f-7911-4fc4-a9a3-4f1a345671c2","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 12","12F"
"7f18a415-736c-48f0-aa49-f51aca51ebea","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 12","12G"
"1a5cd72f-a098-4d3f-b3dc-e3e04908c169","","pass","","folder","TRUE","FALSE","Frame 13"
"7bd4a1da-0159-4126-a456-504c9b2305a5","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 13","13A"
"f3ef9898-c31c-4814-853b-91051bade995","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 13","13B"
"748aae2b-f692-48f9-b824-acf00607507e","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 13","13C"
"e2f8bee2-d6eb-4b10-864e-a7fc359892c9","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 13","13D"
"a7451c2e-b0e8-4287-847f-990ea0728856","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 13","13E"
"11f9c24d-06bf-42a7-a120-dae398ee1042","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 13","13F"
"eb5c7951-df13-467e-8056-34dc79d8d680","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 13","13G"
"b8628e90-ef19-4a8e-a5af-c23e2ffcec65","","pass","","folder","TRUE","FALSE","Frame 14"
"73989862-88e6-4d0b-aabb-d6239d63132b","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 14","14A"
"8d7502d5-f130-4ae8-91cd-eaf227a1235f","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 14","14B"
"90366b6b-5961-4f4a-9be5-33720b0926d6","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 14","14C"
"6c7f0f8d-0b35-4ea3-bf8e-715f6f8223de","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 14","14D"
"caaca616-ed94-4178-88c1-f927d0c02e57","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 14","14E"
"6d9c3031-e8f8-4b15-b5ba-ba49751fefbd","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 14","14F"
"81d4eabf-d2fc-4a2c-b9cf-6b1baf8fe12a","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 14","14G"
"eece2d4c-1fad-436f-ae42-16ca2364dc5f","","pass","","folder","TRUE","FALSE","Frame 15"
"1f40982b-c0f9-4320-beff-938e6dc02de1","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 15","15A"
"765c948e-d016-41fd-9beb-cd22f108059f","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 15","15B"
"34dd0f58-1505-4a9a-af1c-959d60974df5","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 15","15C"
"7b17530e-abc3-435f-b58d-ef7558d86a32","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 15","15D"
"127ce955-cfa0-4713-b73f-d051089956d7","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 15","15E"
"3f0b4133-1998-4b04-8b64-c9d515e7f9b4","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 15","15F"
"ddd6001b-568d-4074-bf8e-5f96d4d07ed1","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 15","15G"
"5d81ba7e-d19d-4c24-bfaf-5a891fbab5f3","","pass","","folder","TRUE","FALSE","Frame 16"
"90e27b4d-2f43-4f95-984f-cd7a4d91616e","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 16","16A"
"cc026da3-adc9-4e98-b188-64c3ecaaddaa","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 16","16B"
"4079664b-459a-4eb3-9f0f-a1feee69321c","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 16","16C"
"b53bc86d-1858-4b07-b55b-f28d8da01633","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 16","16D"
"0fed7dba-76d3-4d61-93b0-db7d52f5d3c0","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 16","16E"
"3fde269b-9120-4796-aaaf-174dbec4349d","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 16","16F"
"0dffcfae-2d68-4247-a0a4-cc451c9602a6","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 16","16G"
"76ede6e1-9631-4e31-9d83-7a51e6384ee3","","pass","","folder","TRUE","FALSE","Frame 17"
"10fab419-a7ff-43c7-adda-74e1efd2e791","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 17","17A"
"791e7e1e-0b6d-4659-8225-28405cc3450e","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 17","17B"
"9bbbf3a1-50fa-4784-a8c4-376d215e879c","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 17","17C"
"01f0001a-26c8-4050-bf66-8a8c154c3827","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 17","17D"
"150aa8a9-588e-4423-9b71-4552004b1e80","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 17","17E"
"0542bcec-91fa-49f9-bbbb-1c97cc766e52","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 17","17F"
"8fa23105-67c3-4240-833c-a7bd605d88d9","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 17","17G"
"bfa1643d-ae15-40f7-a745-4f4f307472fc","","pass","","folder","TRUE","FALSE","Frame 18"
"5566f2bf-c73d-4002-934d-71a9af646f96","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 18","18A"
"0768211f-b54b-47d2-a17c-b7b15d233fa6","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 18","18B"
"afb5f14e-0d6f-41a4-8c54-cba8b40a45e4","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 18","18C"
"0d9380ba-1550-4f31-8cb8-0f56e29b6fa6","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 18","18D"
"02a2b1ad-0ac3-446d-aec3-c64130bb4c2c","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 18","18E"
"762e7ef5-f92f-4da1-a4a1-3f86abeca802","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 18","18F"
"06b701c8-46af-48be-a5f7-565edd0c2b2a","","pass","Site Specific re-wedging (118 Broadway)","checklist","FALSE","FALSE","Frame 18","18G"
