"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a6d667d0-7f06-40d7-9273-101e0c9b7d70","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"fd58f035-ff7d-452a-b51e-ed457ae42be7","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","SOG B-1"
"1bc7a37f-c53d-4d5b-95f5-d4ce658d3374","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Walls"
"ac3cda6d-1d11-4353-a892-a562cebf07fa","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 4","System"
"a0d76c23-a20c-4770-8e52-67649334d271","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 4","Slab"
"6e02ff0a-5213-4390-8e12-6fa3c4b0e1dc","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 4","Stairs"
"7b7bd6ca-1f9a-4663-b323-cf0021d41a9c","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 4","Screens"
"a3bb59e7-f843-4185-95cc-006a0b3a9b5f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 4","Hoist"
"8525f246-af1d-4a82-b5ad-8eaccadf51c3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"4e9eb61c-c472-4bde-aa10-78bdeaa9ea81","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Columns"
"e36e8c87-cfcb-452d-b41c-9e535da3fbfd","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Walls"
"6d453120-d9d9-4513-916e-335210c3c976","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 5","System"
"8484a0ef-ee27-4d9f-8b22-f8965b99e655","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 5","Slab"
"7004508e-66cc-41d8-9799-1b2e28b58b0f","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 5","Stairs"
"be66a6f4-f8ef-4926-a4d3-aedee117ab75","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 5","Screens"
"abdf08da-4077-4ac4-a6db-e2a874457e8a","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 5","Hoist"
"4e911cef-2811-4139-84b2-ffb63d41f3c6","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 6"
"e75cf62b-efa6-44c6-a9f4-0121845842a8","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Columns"
"df18abc2-b3de-47a7-950b-e7768550bcef","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Walls"
"fc5508ab-0cc7-46de-aecb-348811fae206","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 6","System"
"bff8c318-3e9a-497a-b06c-5cd516cb7f5b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 6","Slab"
"662b9d9c-37c1-4123-abd5-f16672b5baf4","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 6","Stairs"
"52624a00-4b36-41e7-9a85-8916816109cc","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 6","Screens"
"b0dc3c0a-d675-40e9-ba64-5bf3c7920c1f","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 6","Hoist"
"aee250d2-bb41-4896-b053-536279f38c22","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 7"
"19516eb4-d7c8-42c7-9545-b6f5780f0ed4","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Columns"
"4e170fed-3c81-4f1f-afee-4982a899d5c0","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Walls"
"3c9e2268-11d6-43ee-8a26-88a562ffcc87","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 7","System"
"07e73d1d-b901-4336-9532-5eb609b95783","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 7","Slab"
"f616c359-0f18-48be-af63-51f1a1831618","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 7","Stairs"
"9581f861-42b1-41d3-94c1-f2b5030de50e","","checklist-sectioned","not-started","Screens","checklist","FALSE","FALSE","Site QA","Level 7","Screens"
"3fde87c8-c57c-4e66-947f-fc9858964a4c","","checklist-sectioned","not-started","Hoist","checklist","FALSE","FALSE","Site QA","Level 7","Hoist"
"1f8c6e6d-a204-4d9f-8d3d-341b330cdb93","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 8"
"334cbd8e-0ba4-4704-b222-00136c33ec11","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Columns"
"f42f9220-4b97-4c7f-b1a9-8d9568d7f89e","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 8","Walls"
