type,name,values,prefix,postfix,usage count,user addable,template name,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 13,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 14,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 15,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 16,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 17,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 18,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 19,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 20,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 21,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 22,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 23,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 24,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 25,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 26,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 27,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 28,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 29,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 30,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 31,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 32,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 33,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 34,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 35,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 36,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 37,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 38,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 39,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 40,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 41,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 42,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 43,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 44,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 45,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 46,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 47,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 48,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 49,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 50,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 51,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 52,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 53,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 54,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 55,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 56,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 57,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 58,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 59,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 60,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 61,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 62,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 63,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 64,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 65,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 66,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 67,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 68,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 69,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 70,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 71,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
section,Inspection 72,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Number of Points,,,,,,,
bool,Fit Off - Visual Check - All points have been fit off/terminated,,,,,,,
bool,"Fit Off - Identification - Ensure cable is appropriately identified, post termination",,,,,,,
bool,"Final Check - All fit off complete, ready for switchboard termination",,,,,,,
,,,,,,,,
checklist-sectioned,QA_TEM_042_Rough In Checklist,,,,,Yes,QA_TEM_042_Rough In Checklist,5a8893a1-5de9-4e41-b3ba-c3b06b003cb5
section,Inspection 1,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Cable Size/Type,,,,,,,
text,Number of Points,,,,,,,
bool,Feeds - Visual Check - All feeds have been roughed in,,,,,,,
bool,Feeds - Identification - All feed cables have been identified/marked,,,,,,,
bool,1st Rough In - Visual Check - All cable loops have been roughed in,,,,,,,
bool,1st Rough In - Identification - All cable loops have been identified/marked,,,,,,,
bool,2nd Rough In - Visual Check - All cable loops have been positioned and ready for fit off,,,,,,,
bool,"2nd Rough In - Final Check - Ensure cable is appropriately identified and made safe, if required",,,,,,,
section,Inspection 2,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Cable Size/Type,,,,,,,
text,Number of Points,,,,,,,
bool,Feeds - Visual Check - All feeds have been roughed in,,,,,,,
bool,Feeds - Identification - All feed cables have been identified/marked,,,,,,,
bool,1st Rough In - Visual Check - All cable loops have been roughed in,,,,,,,
bool,1st Rough In - Identification - All cable loops have been identified/marked,,,,,,,
bool,2nd Rough In - Visual Check - All cable loops have been positioned and ready for fit off,,,,,,,
bool,"2nd Rough In - Final Check - Ensure cable is appropriately identified and made safe, if required",,,,,,,
section,Inspection 3,,,,,,,
checkpoint,Has all information been recorded and checks completed?,,,,,,,
text,Circuit ID,,,,,,,
text,Cable Size/Type,,,,,,,
text,Number of Points,,,,,,,
