"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"edad3789-cab5-46ac-b300-b0b67d2d7089","","work-in-progress","","folder","TRUE","FALSE","STAGE #1"
"2d90abd3-13e1-4bb0-a7a4-33f28a8393e8","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","W02 Resturarant"
"a8124aa5-a47c-4e7f-870e-6f7995ea714b","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","W03 Restuarant","Glazing"
"b71bb8dd-cb63-4278-aaff-275c62f8c223","","not-applicable","Performance Tests","checklist","FALSE","FALSE","STAGE #1","W03 Restuarant","Performance Tests"
"e3398bf4-7bf1-4917-a99e-f412b54bcab6","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","W03 Restuarant","Handover Checklist"
"2881cf58-4287-45fd-964f-39fb5af6ef31","","work-in-progress","","folder","TRUE","FALSE","STAGE #1","W04 Delivery"
"065affb6-a0e7-4719-ac3d-8c1d6d5d6e38","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","W04 Delivery","Pre Install Checklist"
"e7313573-dac7-47dd-b977-8f230f40508a","","pass","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #1","W04 Delivery","Installation"
"d0f26374-60a6-4bdd-9974-e122611ea122","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","W04 Delivery","Glazing"
"65192e2b-dad9-4edd-ab96-df20d092c90d","","not-applicable","Performance Tests","checklist","FALSE","FALSE","STAGE #1","W04 Delivery","Performance Tests"
"1a1117da-2719-4e53-96ac-a1e3f6525811","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","W04 Delivery","Handover Checklist"
"8be48f4c-18fa-46e8-86fd-a0ebbd021d11","","work-in-progress","","folder","TRUE","FALSE","STAGE #2"
"d440ef44-20d5-4bdb-8f3d-5bfbf008ee0f","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#5 W07 Delivery Window"
"e091b52d-4133-43a9-ba67-da87216086cb","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#5 W07 Delivery Window","Pre Install Checklist"
"e14891c5-4aaf-4dde-ab9e-ad34023fed3c","","pass","Light Commercial - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#5 W07 Delivery Window","Installation"
"3d7eae00-7718-4a13-b412-819bda852b39","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#5 W07 Delivery Window","Glazing"
"b35ef67f-fe96-4ef2-a3a3-146c123e7b7c","","not-applicable","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#5 W07 Delivery Window","Performance Tests"
"eb36f1b6-bee9-484d-a2e0-3ea1dda0cf20","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#5 W07 Delivery Window","Handover Checklist"
"73e9c62b-32b8-44f9-9d59-1e1d19a1472e","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#6 W05 Drive Through Window 2"
"85b44893-c976-4a56-8a15-a68f37249001","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#6 W05 Drive Through Window 2","Pre Install Checklist"
"189610f1-2cb4-48ba-bd8b-4865f7101b01","","pass","Light Commercial - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#6 W05 Drive Through Window 2","Installation"
"125f5b39-3a66-4b95-90a9-a130e95faf1c","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#6 W05 Drive Through Window 2","Glazing"
"fb5031ec-5611-44d3-b8f7-111da6220329","","not-applicable","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#6 W05 Drive Through Window 2","Performance Tests"
"002926a5-04ce-4653-953b-ad829aa8b368","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#6 W05 Drive Through Window 2","Handover Checklist"
"e64613cb-e4c5-496d-a1fb-6fbbe2527260","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#7 W06 Drive Through Window 1"
"60aa708a-8c4d-4642-9113-9e9ff018645d","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#7 W06 Drive Through Window 1","Pre Install Checklist"
"a8b51cb3-8bd6-4a4d-af51-99777569755f","","pass","Light Commercial - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#7 W06 Drive Through Window 1","Installation"
"dae3c5e5-d8b2-4a4e-8c8a-d24e28a678dd","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#7 W06 Drive Through Window 1","Glazing"
"37996000-2aa7-4d16-a275-727cbc167959","","not-applicable","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#7 W06 Drive Through Window 1","Performance Tests"
"dab9cb99-9fe3-4464-be53-70e59f6fc759","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#7 W06 Drive Through Window 1","Handover Checklist"
