"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"eb44252f-d35e-4e27-bdc9-557ae088547d","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","W202 Extra Item","Glazing"
"6a1a3d1c-b8ab-42a3-85e6-fb2fd4c798b6","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","W202 Extra Item","Performance Tests"
"31d9ed76-148d-4f10-9436-4a1a0f5dba82","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","W202 Extra Item","Handover Checklist"
"845b12c3-d7ff-419f-ad19-7a6f0e857acc","","not-started","","folder","TRUE","FALSE","STAGE #3"
"7376f496-49f6-41d9-b58e-29d091928610","","not-started","","folder","TRUE","FALSE","STAGE #3","#1 W115 High Level"
"6bcd5d5d-eabc-4f05-afbc-d9aaeb02179c","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#1 W115 High Level","Pre Install Checklist"
"0b107714-7002-46e5-b1e6-d3f9410fc99c","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#1 W115 High Level","Installation"
"1af2bbfd-0bd5-4e09-82a3-89012b2818de","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#1 W115 High Level","Glazing"
"c2d99edc-adf8-426f-bb82-14d17ae93d57","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#1 W115 High Level","Performance Tests"
"4bb2c65d-6255-4b05-8520-48356a8580aa","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#1 W115 High Level","Handover Checklist"
"0124ab38-fe93-43f0-8fd3-31d10e4441a3","","not-started","","folder","TRUE","FALSE","STAGE #3","#2 W114 High Level"
"f54cd0ce-a77f-4d9a-a8e9-f8789e2aeb06","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#2 W114 High Level","Pre Install Checklist"
"2356caca-1ab5-47ce-b361-1c8e161ee1c8","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#2 W114 High Level","Installation"
"b12853f2-18be-404c-82fa-319916d37eec","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#2 W114 High Level","Glazing"
"7c477df7-eb73-4c02-ab0c-91c413bcc848","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#2 W114 High Level","Performance Tests"
"9dabab22-8469-4453-ad04-41b786c0fa74","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#2 W114 High Level","Handover Checklist"
"a5a1b53f-a26c-4a90-ba23-25e65f0c3e9f","","not-started","","folder","TRUE","FALSE","STAGE #4"
"f91294e8-8183-4602-ab34-a860d0496a08","","not-started","","folder","TRUE","FALSE","STAGE #4","W201 Extra Window"
"ddc5e592-9219-48e2-831b-346a4ccead0e","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #4","W201 Extra Window","Pre Install Checklist"
"2a1a2c42-4937-41f7-898f-b2109867a2f6","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #4","W201 Extra Window","Installation"
"d515c9e4-03ec-4319-8e65-b9fa938856b9","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #4","W201 Extra Window","Glazing"
"564d6cc1-29b0-44ef-b67b-6d0eba0243b8","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #4","W201 Extra Window","Performance Tests"
"29ff49b4-f249-44a9-b791-3fc5650d322b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #4","W201 Extra Window","Handover Checklist"
