"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"825b7f7c-8c58-46f4-a7e7-682c622f7d2c","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#17 W2.26J","Pre Install Checklist"
"c6dc84f3-b8e6-4744-a03a-fd2729bd5794","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#17 W2.26J","Installation"
"87f42031-c181-4291-8dfd-364419e28099","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#17 W2.26J","Glazing"
"405064ca-8cdb-45ac-bb6e-efe62906a81d","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#17 W2.26J","Performance Tests"
"9e4bf481-62fb-4e24-8c93-eae7b3f5d745","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#17 W2.26J","Handover Checklist"
"62016d72-86c1-4702-b7cd-f709f067dc78","","not-started","","folder","TRUE","FALSE","STAGE #3","#18 W2.26K"
"4b0ee37d-c204-4517-87c0-67c87fe00060","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#18 W2.26K","Pre Install Checklist"
"26904516-9b91-4207-8d84-388817d8098c","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","STAGE #3","#18 W2.26K","Installation"
"d9331058-e0db-48d1-8697-c9fcf27e58a1","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#18 W2.26K","Glazing"
"2019370b-c33e-4068-aa0e-103e9ae15063","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#18 W2.26K","Performance Tests"
"54957090-7c95-4968-afe8-10335c587b47","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#18 W2.26K","Handover Checklist"
"c9233a8e-ad34-4732-ae04-9ad2052c6bd4","","not-started","","folder","TRUE","FALSE","STAGE #3","#19 W2.26L"
"9e115fd1-2897-4994-9ced-ea2e69b6bddc","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#19 W2.26L","Pre Install Checklist"
