"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f4072f4d-8669-4774-8bf4-1c7f30b2aaf8","","not-started","","folder","TRUE","FALSE","STAGE #1"
"d79fecfb-1328-431a-b8a9-d17d48dd85d8","","not-started","","folder","TRUE","FALSE","STAGE #1","#18 W019-2 MC2 019"
"70291b10-2cd0-4754-a283-85ddf9946359","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#25 W016-2 MC2 016","Installation"
"23486cfe-5da2-427f-aabc-aebf9bff6696","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#25 W016-2 MC2 016","Glazing"
"ac1b3c18-cf3b-428f-8e85-ad8bb84ed5ab","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#25 W016-2 MC2 016","Performance Tests"
"03dc888a-d4f8-44ed-bc3c-9e09e8af0335","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#25 W016-2 MC2 016","Handover Checklist"
"250b3673-b65d-41d8-89de-2d60d37215b3","","not-started","","folder","TRUE","FALSE","STAGE #1","#26 W015-1 MC1 015"
"1003f855-2e2c-46b7-8f28-473e6596cd41","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#26 W015-1 MC1 015","Pre Install Checklist"
"5ee4c818-c417-4d42-ab81-83079a8a4865","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#26 W015-1 MC1 015","Installation"
"91e06712-db1d-42a7-a68e-ec6c8f101534","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#26 W015-1 MC1 015","Glazing"
"96a18abe-2962-40bb-954f-676e271743bc","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#26 W015-1 MC1 015","Performance Tests"
"16664767-fffc-4aef-8268-03c2a6b7c652","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#26 W015-1 MC1 015","Handover Checklist"
"7b03c264-8d08-425a-9fa8-16a256275e88","","not-started","","folder","TRUE","FALSE","STAGE #1","#27 W015-2 MC1 015"
"d6c0838f-e4a6-4f14-973b-17c21533848f","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#27 W015-2 MC1 015","Pre Install Checklist"
"ac77edf4-2d26-48fb-9130-7da69b6ac1df","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#27 W015-2 MC1 015","Installation"
"c666ed54-991e-4fff-aa71-54068f8e6fdc","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#27 W015-2 MC1 015","Glazing"
"b5957cc8-b5d0-49f5-b101-22949baf04c2","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#27 W015-2 MC1 015","Performance Tests"
"38e5105b-0552-4a2f-8561-cce284ed1878","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#27 W015-2 MC1 015","Handover Checklist"
"581725cf-f904-4047-ba17-daf1ae16ce88","","not-started","","folder","TRUE","FALSE","STAGE #1","#28 W015-3 MC1 015"
"7f045fe0-eafc-4a0b-8a71-4242f17a2782","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#28 W015-3 MC1 015","Pre Install Checklist"
"f0ca93d2-c6a9-4ee6-ac94-f6951ada972a","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#28 W015-3 MC1 015","Installation"
"a03b4745-2a23-4036-88ce-dc477a08d4c5","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#28 W015-3 MC1 015","Glazing"
"9ed8224b-0107-49e7-a3fa-b11520e27298","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#28 W015-3 MC1 015","Performance Tests"
"6e74d844-9b41-406a-8867-4f8a84af6412","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#28 W015-3 MC1 015","Handover Checklist"
"3dbbcd65-c64e-462b-ae97-159411d55402","","not-started","","folder","TRUE","FALSE","STAGE #1","#29 W015-4 MC2 015"
"1161dd83-0b9b-461a-9bde-30fb6330cc26","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#29 W015-4 MC2 015","Pre Install Checklist"
"b9615e9f-392e-447a-8c84-07c45b9776f4","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#29 W015-4 MC2 015","Installation"
"cdd0614d-3075-4cf7-839b-264494e2c23d","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#29 W015-4 MC2 015","Glazing"
"6174a1ca-135d-4952-b898-49fb10391a54","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#29 W015-4 MC2 015","Performance Tests"
"bcd946d9-d8a2-47d2-a9c5-7312e12023f3","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#29 W015-4 MC2 015","Handover Checklist"
"0faecaa3-fa29-4a44-8f8a-90e8dd6bc349","","not-started","","folder","TRUE","FALSE","STAGE #1","#31 W014-1 MC2 014"
"4342d9d2-0f47-4386-a68a-2773ef36bf79","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#31 W014-1 MC2 014","Pre Install Checklist"
"e712d49a-1f07-486e-b364-f058222338ba","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#31 W014-1 MC2 014","Installation"
"9234af8c-e975-4487-9629-53052bb29c7d","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#31 W014-1 MC2 014","Glazing"
"5720add4-a6df-42d7-b9d4-67873faa9a0b","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#31 W014-1 MC2 014","Performance Tests"
"9dd8ed63-94fe-4aa4-9f2f-a9b0f1c6c76b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#31 W014-1 MC2 014","Handover Checklist"
"2c9535e8-e44b-4080-a34d-76fc9622175f","","not-started","","folder","TRUE","FALSE","STAGE #1","#52 W013-1 MC4 013"
"3e5ce39f-8d06-4bbc-8a55-378836385b7f","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#52 W013-1 MC4 013","Pre Install Checklist"
"d861459e-f1e8-4620-b463-39c5bfbc5f30","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#52 W013-1 MC4 013","Installation"
"1b4ae1b2-c410-466c-9b99-a758e6d30837","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#52 W013-1 MC4 013","Glazing"
"c34f7a4d-8d6d-4fcc-a8ee-560a64a8b5ac","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#52 W013-1 MC4 013","Performance Tests"
"3e5569c8-bfeb-4c1a-860b-c33dcc5b28f9","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#52 W013-1 MC4 013","Handover Checklist"
"ecec811a-dcc3-47b1-8374-3da1026af4ca","","not-started","","folder","TRUE","FALSE","STAGE #1","#53 W013-2 MC4 013"
"2bec0cca-28f5-4779-9395-6154f002bdd8","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#53 W013-2 MC4 013","Pre Install Checklist"
"ac57f7ac-1b8b-4cf1-b8a1-51e49b2d6cda","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#53 W013-2 MC4 013","Installation"
"ad396c06-c535-4bd1-9e3d-d16dc45a9e91","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#53 W013-2 MC4 013","Glazing"
"bc351552-a987-4073-9aed-d89d3170f561","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#53 W013-2 MC4 013","Performance Tests"
"6c61f31f-a80f-440f-bcb9-5224b016d953","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#53 W013-2 MC4 013","Handover Checklist"
"947f3915-f910-44fe-8488-ccaab2f1126e","","not-started","","folder","TRUE","FALSE","STAGE #1","#54 W1025-1 Kitchenette 1 1025"
"53288f60-7124-464c-99fb-7591e19dd533","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#54 W1025-1 Kitchenette 1 1025","Pre Install Checklist"
"b9e53108-9966-424e-8744-56c5e3991384","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#54 W1025-1 Kitchenette 1 1025","Installation"
"535e4f64-8584-458a-8193-de1fd73c5d64","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#54 W1025-1 Kitchenette 1 1025","Glazing"
"3777b132-29c8-4f30-a48b-d3ba1c39a76c","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#54 W1025-1 Kitchenette 1 1025","Performance Tests"
"3175f033-f017-4357-8b41-b7c0c03235dc","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#54 W1025-1 Kitchenette 1 1025","Handover Checklist"
"4c1b68dc-5a42-40f4-91b5-43c828f8ac47","","not-started","","folder","TRUE","FALSE","STAGE #1","#55 D1027-1 Dining 1 1027"
"7dcb6d3a-1cd4-4f85-b27f-8a089e1580ed","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#55 D1027-1 Dining 1 1027","Pre Install Checklist"
"e0e66e36-e86d-41e6-b333-f1f6f99748b6","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#55 D1027-1 Dining 1 1027","Installation"
"8c773f03-4749-44ca-80f1-b08f8b6ea7d8","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#55 D1027-1 Dining 1 1027","Glazing"
"69794fa3-c9e1-4493-977c-483323443af9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#55 D1027-1 Dining 1 1027","Performance Tests"
"243cbd53-80a4-4576-a8f5-9dd321d7ed11","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#55 D1027-1 Dining 1 1027","Handover Checklist"
"d4288317-a8a2-4e42-9766-4dba810b68d2","","not-started","","folder","TRUE","FALSE","STAGE #1","#56 D1028-1 Lounge 1 1028"
"fb17532d-28fb-4cc4-93b5-f007de97fbcd","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#56 D1028-1 Lounge 1 1028","Pre Install Checklist"
"377e7b4d-707b-4dee-94c1-1bb2b98cb357","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#56 D1028-1 Lounge 1 1028","Installation"
"f3b8e37f-d580-462b-8aa6-e3f0424e0ec4","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#56 D1028-1 Lounge 1 1028","Glazing"
"ac75c7a8-bc8e-44f5-9087-ec79ee621999","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#56 D1028-1 Lounge 1 1028","Performance Tests"
"6c919540-6f8a-44f5-81ef-48ef9a10c3bb","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#56 D1028-1 Lounge 1 1028","Handover Checklist"
"013aa80c-6b92-4a34-b340-8c63dd409454","","not-started","","folder","TRUE","FALSE","STAGE #1","#57 W1030-1 Post Area 1030"
"eba7439d-698a-4a61-bb02-7f9354ee1068","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#57 W1030-1 Post Area 1030","Pre Install Checklist"
"35343125-19da-4275-aa47-8eaf63cd1e0e","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#57 W1030-1 Post Area 1030","Installation"
"b77761b7-2853-4195-97b8-84afa9a94c6a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#57 W1030-1 Post Area 1030","Glazing"
"4693b471-af12-45c8-a558-4c4f05db0ca1","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#57 W1030-1 Post Area 1030","Performance Tests"
"97e8ea98-8545-41d4-a1c1-4c9509cff74a","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#57 W1030-1 Post Area 1030","Handover Checklist"
"f70f1f28-7dc0-41a2-97e4-602de7151bc9","","not-started","","folder","TRUE","FALSE","STAGE #1","#58 W020-2 MC4 020"
"3217ac39-8bd5-460e-820f-33012f5f2b68","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#58 W020-2 MC4 020","Pre Install Checklist"
"a5fcc9b9-71e9-475e-942c-b832b24336a9","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#58 W020-2 MC4 020","Installation"
"d14f06ff-6fba-438d-8f45-8698eff6511e","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#58 W020-2 MC4 020","Glazing"
"62b7b219-6256-443b-af79-ab86c5131a74","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#58 W020-2 MC4 020","Performance Tests"
"92c1f994-7d05-4dab-a6e4-6376018ef96c","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#58 W020-2 MC4 020","Handover Checklist"
"0f1e3c97-9308-46a0-8f1b-fcc7dc62ae0f","","not-started","","folder","TRUE","FALSE","STAGE #1","#59 W020-1 MC4 020"
"cab56ea6-81fb-4452-ae93-f49cd0ab9b40","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1","#59 W020-1 MC4 020","Pre Install Checklist"
"67a0a300-9e98-4e39-bdbd-e48b86bd42c7","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #1","#59 W020-1 MC4 020","Installation"
"4ab52749-c826-467e-9307-b749380fb499","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1","#59 W020-1 MC4 020","Glazing"
"b49c3b1b-925e-40d9-a95f-a02bbbce98df","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1","#59 W020-1 MC4 020","Performance Tests"
"a43a716c-830d-4758-87c7-26aa5285a4cd","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1","#59 W020-1 MC4 020","Handover Checklist"
"45dfdb62-c0ec-46e7-9fb6-5924a7384d67","","not-started","","folder","TRUE","FALSE","STAGE #2"
"442b4300-7b9e-4bf2-9943-133065b13428","","not-started","","folder","TRUE","FALSE","STAGE #2","#32 W014-2 MC2 014"
"7cbf3bc1-d5d8-4b98-b37e-5b93fae8d2b1","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#32 W014-2 MC2 014","Pre Install Checklist"
"c7e28198-8454-49bd-b551-fabe611f8f81","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#32 W014-2 MC2 014","Installation"
"492d17d0-8d9e-4e59-ba8c-72fc7c5587e2","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#32 W014-2 MC2 014","Glazing"
"bde6fc5a-3278-4a29-8e98-3b4d304ac8c3","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#32 W014-2 MC2 014","Performance Tests"
"d4f11de2-db93-4229-a5d5-a12a4ec744ad","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#32 W014-2 MC2 014","Handover Checklist"
"a36a8071-eec4-42ba-8fb2-e0dd41d5a348","","not-started","","folder","TRUE","FALSE","STAGE #2","#33 W012-2 MC2 012"
"d3919d91-04b2-44b6-b149-897f27d342cb","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#33 W012-2 MC2 012","Pre Install Checklist"
"386fa331-7e96-4630-a88c-ab67d3738f32","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#33 W012-2 MC2 012","Installation"
"22ba04d1-c60b-43fd-b110-e81f60942c75","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#33 W012-2 MC2 012","Glazing"
"cdf7b532-6630-4847-9394-5588cada5dab","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#33 W012-2 MC2 012","Performance Tests"
"49c27f6f-70d9-4c2d-99f2-d97d4e8b563a","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#33 W012-2 MC2 012","Handover Checklist"
"186a797d-f694-4e3d-bab2-0ddf71c3e3af","","not-started","","folder","TRUE","FALSE","STAGE #2","#34 W012-1 MC2 012"
"cd99f015-e1ad-47af-a987-4335b1e03f13","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#34 W012-1 MC2 012","Pre Install Checklist"
"ad3b645c-07ca-4a06-8656-d108c8eda7c1","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#34 W012-1 MC2 012","Installation"
"36d3d64c-7ccb-41a5-a5d6-4ff88f49280a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#34 W012-1 MC2 012","Glazing"
"f6c3bc3c-56c2-4738-a22d-443a5fc9a938","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#34 W012-1 MC2 012","Performance Tests"
"f64aea49-5d2e-44f0-8058-85bbcc037e0f","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#34 W012-1 MC2 012","Handover Checklist"
"5f73ceea-89db-48fd-bead-2803237cc9ea","","not-started","","folder","TRUE","FALSE","STAGE #2","#35 W010-2 MC2 010"
"c7a5445b-52d5-48fb-8ef3-4458cbaec5b2","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#35 W010-2 MC2 010","Pre Install Checklist"
"42e5242a-b0a2-4e21-94e6-a9975c1b04b6","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#35 W010-2 MC2 010","Installation"
"1350cece-a3b5-483b-b8b7-ee1d3ef5e20a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#35 W010-2 MC2 010","Glazing"
"95980697-2e98-4274-98ba-eebcb52789e9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#35 W010-2 MC2 010","Performance Tests"
"dfca9c41-c258-456e-8e6f-261f2866c656","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#35 W010-2 MC2 010","Handover Checklist"
"ae4ac06e-4346-4e25-823b-f4418d97da82","","not-started","","folder","TRUE","FALSE","STAGE #2","#36 W010-1 MC2 010"
"64b4ea11-c1a4-4070-9d9b-62085dcd5474","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#36 W010-1 MC2 010","Pre Install Checklist"
"c193829c-e8f3-4af5-873b-469bab1d9130","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#36 W010-1 MC2 010","Installation"
"c719e0d5-7e04-4beb-9f97-587b112ab059","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#36 W010-1 MC2 010","Glazing"
"ccd7aa42-830f-4b47-a422-79f1d3f4c814","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#36 W010-1 MC2 010","Performance Tests"
"96bb7bd7-57e5-485c-8d83-604541cccd48","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#36 W010-1 MC2 010","Handover Checklist"
"a7b8dbe4-d96a-4549-90aa-c3f399d2726d","","not-started","","folder","TRUE","FALSE","STAGE #2","#37 W008-4 MC1 008"
"b76f9bf6-bffc-4f75-91d7-c0cdfa5cd6fb","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#37 W008-4 MC1 008","Pre Install Checklist"
"f1d64e83-602e-4da5-b475-d880b87c1558","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#37 W008-4 MC1 008","Installation"
"e54e6cad-9a59-4c0d-9437-3d18d0397379","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#37 W008-4 MC1 008","Glazing"
"1c201dc7-c7fd-4d41-aca8-754926ff0f6b","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#37 W008-4 MC1 008","Performance Tests"
"66f2ccf4-79d1-4de4-8236-5becd93bf977","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#37 W008-4 MC1 008","Handover Checklist"
"6864ea09-e414-438b-b9e4-2071bccc2de9","","not-started","","folder","TRUE","FALSE","STAGE #2","#38 W008-3 MC1 008"
"4194097f-13aa-4273-b576-cd2fd906c7f1","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#38 W008-3 MC1 008","Pre Install Checklist"
"430bc985-5ee4-42bc-be81-aa756e939f7c","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#38 W008-3 MC1 008","Installation"
"b98251e8-9d91-4014-83d0-8daa62dc4bb9","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#38 W008-3 MC1 008","Glazing"
"b7edb1bc-b31e-4dd9-87d3-5eff5438f36f","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#38 W008-3 MC1 008","Performance Tests"
"e25ee942-ceca-4962-adbc-46edfe1b6b48","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#38 W008-3 MC1 008","Handover Checklist"
"f8c5aff3-ae60-4e00-91e6-e1e97dffb7af","","not-started","","folder","TRUE","FALSE","STAGE #2","#39 W008-2 MC1 008"
"d0b941b9-5a72-4384-b6bf-f63c31877b1d","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#39 W008-2 MC1 008","Pre Install Checklist"
"de352622-9662-41fe-83e6-6f8b014491ee","","not-started","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#39 W008-2 MC1 008","Installation"
"c9fc8e08-2243-4204-b5c7-e797f4a7cb8e","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#39 W008-2 MC1 008","Glazing"
"d93a353a-d088-41b3-982c-1d73074ee672","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#39 W008-2 MC1 008","Performance Tests"
"bfb8cb33-2b33-4cb5-953d-a9d4b814ee9b","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#39 W008-2 MC1 008","Handover Checklist"
"37a386ed-e21b-4030-99b4-c198c1ceb92a","","not-started","","folder","TRUE","FALSE","STAGE #2","#40 W008-1 MC1 008"
