"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fec36ddc-d1fa-4540-96f8-d92f3d183149","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#40 TYPE 066 - W008-1 Kitchen"
"156733f7-d81f-43b3-a301-6ce58f200a23","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#40 TYPE 066 - W008-1 Kitchen","Pre Install Checklist"
"1661835d-54d7-4f04-94a9-0cb1bf2405ba","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#40 TYPE 066 - W008-1 Kitchen","Installation"
"e4dc9619-92c0-41d6-ac92-9dfbf39840af","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#40 TYPE 066 - W008-1 Kitchen","Glazing"
"211e540d-494b-422a-b94d-6e2d9951c876","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#40 TYPE 066 - W008-1 Kitchen","Performance Tests"
"8f6fe2d8-9c42-4fbf-a5fe-af172e201504","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#40 TYPE 066 - W008-1 Kitchen","Handover Checklist"
"4b958be6-d53a-4a04-8e4a-e98e4d790627","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#41 TYPE 149 - W007-1 Living"
"c68daaa1-db97-4141-9c62-16c92cde29a5","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#41 TYPE 149 - W007-1 Living","Pre Install Checklist"
"40e5ee65-abe3-4a3c-8f1a-8d38b09ba0f8","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#41 TYPE 149 - W007-1 Living","Installation"
"02e4fb8b-ef3e-4253-9955-aa5979a9f97b","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#41 TYPE 149 - W007-1 Living","Glazing"
"4b38473a-6161-468b-91e1-b5d5ad225cfa","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#41 TYPE 149 - W007-1 Living","Performance Tests"
"940e87c5-6ba3-41ae-8cb1-d33de0e76884","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#41 TYPE 149 - W007-1 Living","Handover Checklist"
"93be8844-cf82-4118-881d-0e8842f198b6","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#42 TYPE 149 - W007-2 Bedroom"
"e3a4e64f-c2ae-4957-b547-5bfd6b1525c3","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#42 TYPE 149 - W007-2 Bedroom","Pre Install Checklist"
"86b4228f-029f-41d3-a66b-da3c76e862ac","","pass","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#42 TYPE 149 - W007-2 Bedroom","Installation"
"f8d4972e-ac96-48d2-b948-e79c9a802e6f","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#42 TYPE 149 - W007-2 Bedroom","Glazing"
"54ceaf46-a1a6-4372-9105-498b3f0c7459","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#42 TYPE 149 - W007-2 Bedroom","Performance Tests"
"771debe4-35c8-498e-bc08-343bdb3fb596","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#42 TYPE 149 - W007-2 Bedroom","Handover Checklist"
"dcc15f45-0871-4d0d-a670-f0587dd9a928","","fail","","folder","TRUE","FALSE","STAGE #2","#90 TYPE 607 - D118-1 Bedroom SD"
"c035c92b-b0e8-43f2-bf26-43e01b15342c","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#90 TYPE 607 - D118-1 Bedroom SD","Pre Install Checklist"
"fa9b61f1-0f91-44ca-8d5f-413fd9320b38","","fail","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#90 TYPE 607 - D118-1 Bedroom SD","Installation"
"3f4a5395-4f9f-4f94-927b-965fd29aae55","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#90 TYPE 607 - D118-1 Bedroom SD","Glazing"
"43aa055f-1770-47ac-a38e-e7667aa51dd0","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#90 TYPE 607 - D118-1 Bedroom SD","Performance Tests"
"4a0c4385-9ad9-4f95-bcbf-4305707541bc","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#90 TYPE 607 - D118-1 Bedroom SD","Handover Checklist"
"78632b3c-6f5a-4ee1-86b2-fbe12e30219b","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#91 TYPE 608- D117-1 Bedroom SD"
"7d32c2ce-8f99-4e6b-9f44-92bff2cfbc20","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#91 TYPE 608- D117-1 Bedroom SD","Pre Install Checklist"
"1ee5bfbb-e2e9-4a5e-a487-5a24b110957b","","work-in-progress","Metro-Resi - Install Checklist","checklist","FALSE","FALSE","STAGE #2","#91 TYPE 608- D117-1 Bedroom SD","Installation"
"d16a06c7-953a-4700-bdd1-dc6e676c18cf","","pass","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#91 TYPE 608- D117-1 Bedroom SD","Glazing"
"4b657db5-f492-45c2-b5ae-f4e76c4abc99","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#91 TYPE 608- D117-1 Bedroom SD","Performance Tests"
"71ae3002-b8f6-424a-b43a-02eb41b9b089","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#91 TYPE 608- D117-1 Bedroom SD","Handover Checklist"
