"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e22561cc-bee4-402f-9363-485daae85398","","not-started","","folder","TRUE","FALSE","Project QA"
"dee14eb5-b2f5-4106-97f7-2449493e4003","","not-started","","folder","TRUE","FALSE","Project QA","CW01"
"43a228c4-4349-40cb-a3f4-f376fa938c8c","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.01","Pre Install"
"b26fa816-1728-4a62-8e1c-ab6ad7c56874","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.01","Installation"
"27f855dd-5205-40c6-9309-63daff7b5574","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","DE1.01","Glazing"
"aa4d6ae0-ea8d-4970-96ab-3d99194dad98","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","DE1.01","Handover"
"f6571ca3-cb65-4ab8-98ac-895d9e36d80c","","not-started","","folder","TRUE","FALSE","Project QA","DE1.02"
"6b95c535-e7cf-4794-9a50-d599ee0b0201","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.02","Pre Install"
"725277cc-4731-441f-9832-55ad27e3dcaa","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.02","Installation"
"cffc9c1d-8a5d-4dfa-b37b-4672ba55c66c","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","DE1.02","Glazing"
"2148451a-ed08-4893-82f3-571aed3647e5","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","DE1.02","Handover"
"33b444e6-c1e7-4399-8144-af31f4b3bbc4","","not-started","","folder","TRUE","FALSE","Project QA","DE1.03"
"ce963757-9001-4bed-890e-506f8a130bd5","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.03","Pre Install"
"4c1af5ae-737d-45ae-bc11-9dfb8fe0e5b8","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.03","Installation"
"47e300f3-a047-4e62-896c-7d1b026ff7db","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","DE1.03","Glazing"
"9dddb3be-9f79-49f2-a1c8-0daf3a28ce0c","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","DE1.03","Handover"
"3d956474-7514-4700-bffa-8362b5afd27d","","not-started","","folder","TRUE","FALSE","Project QA","DE1.04"
"2dc6106a-5e8c-40d8-99c0-7183fe61e802","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.04","Pre Install"
"f2c62346-8cda-4786-a1b8-ebc5d6adf5a7","","not-started","Shopfront - Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.04","Install"
"df00b61d-c5b6-4ca4-9e6c-afd5dae5db33","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","DE1.04","Glazing"
"5ce11fff-f27d-46d5-aaee-a44c7bdef95f","","not-started","Performance Tests","checklist","FALSE","FALSE","Project QA","DE1.04","Performance Tests"
"424b7ff8-aeb8-4b4f-9e4d-0a442de9016a","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","DE1.04","Handover"
"ec358a47-42f0-481b-a8e0-21c67a8df544","","not-started","","folder","TRUE","FALSE","Project QA","DE1.05"
"cd4f3044-8564-49d8-84a8-3e4037f6a6eb","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.05","Pre Install"
"39ad9220-4e0e-4101-8762-08322987723e","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","DE1.05","Installation"
"5c7d2331-018f-49af-9799-4f1ac7a922e5","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","DE1.05","Glazing"
"40851c12-c7ab-4281-8624-6085811efd50","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","DE1.05","Handover"
"31780c65-24ae-4f53-86f2-206b697d0794","","not-started","","folder","TRUE","FALSE","Project QA","WE1.01"
"1b1731b5-573a-4747-90d8-9789771c8670","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","WE1.01","Pre Install"
"8a38992f-f246-4f5c-b1dd-08b54c81ed04","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","WE1.01","Installation"
"08763243-1a7f-40ca-9454-be3972e65185","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","WE1.01","Glazing"
"ed0ece46-122e-4f96-a6be-74f900153bfe","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","WE1.01","Handover"
"8dda596f-6a55-4cfb-bdd8-138a2263f20a","","not-started","","folder","TRUE","FALSE","Project QA","WE1.02"
"533b4927-a7f2-47f4-bfdc-42b0cc8206b3","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","WE1.02","Pre Install"
"3737a7fa-bc38-4489-a20c-6cc03002ce33","","not-started","Flush Glaze - Install Checklist","checklist","FALSE","FALSE","Project QA","WE1.02","Installation"
"66793d3e-0ebc-4aba-86cb-b96ec7e4ec84","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","WE1.02","Glazing"
"931949b3-4a69-41a5-8d50-afe5b4958597","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","WE1.02","Handover"
"4d81e202-bbaf-4ed7-ad75-7da07093d228","","not-started","","folder","TRUE","FALSE","Project QA","CW06"
"a12b6b4f-39e0-42c5-85b2-60eef645dda8","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW06","Pre Install"
"a6507a8f-fddb-4dd1-9a7b-6f3a3905d8eb","","not-started","Box Fins - Install Checklist","checklist","FALSE","FALSE","Project QA","CW06","Install"
"24fb82b9-6d69-4f89-a220-d16eae10468e","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW06","Glazing"
"2177e8d8-2622-4cb9-8fe2-ec7d45c5390d","","not-started","Performance Tests","checklist","FALSE","FALSE","Project QA","CW06","Performance Tests"
"f537ac43-1780-4841-8c0f-52e574c51e90","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW06","Handover"
"b8d57a9d-9986-40bf-8cb5-7be0a7031fa5","","not-started","","folder","TRUE","FALSE","Project QA","CW05"
"3b36b001-d3c4-486a-b70f-ae06e41e391a","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","Project QA","CW05","Pre Install"
"27303b06-50c1-4c01-97ac-8984033aa56b","","not-started","Box Fins - Install Checklist","checklist","FALSE","FALSE","Project QA","CW05","Install"
"77690551-7dd2-4236-a66d-1e3ef9f0ea6c","","not-started","Glazing Checklist","checklist","FALSE","FALSE","Project QA","CW05","Glazing"
"8f0369e1-4bec-466f-8ac0-fd9325403793","","not-started","Performance Tests","checklist","FALSE","FALSE","Project QA","CW05","Performance Tests"
"f719519b-ca6c-41c6-8d38-9816df476f97","","not-started","Handover Checklist","checklist","FALSE","FALSE","Project QA","CW05","Handover"
