"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"46d33736-2aaf-47f8-b9e8-f0ad3102086f","checkpoint","Is the joinery clean and tidy?",,,,
"422423ad-b706-4f41-bde8-598fa9c52761","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"187d9873-f685-4600-bcaa-4389d97a2ab4","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"4edaa0bc-db04-45ef-abf0-1ec53d3b4b7d","checkpoint","Frames installed correctly?",,,,
"e6c104ac-5ed7-4291-9394-c9782ded114f","checkpoint","Drains are not blocked?",,,,

"c43c66de-9bbb-431f-a360-05655e70ea5b/1","checklist","Flush Glaze - Install Checklist","","Flush Glaze - Install Checklist",0,"466d35c8-f430-4101-901e-68b9b2344ba3"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"8895d648-20e3-47cb-8d47-7b3293b53fcc","checkpoint","Has the window/door installation been completed?",,,,
"5da16926-1f3a-4473-a9e7-2bdf9604222c","checkpoint","Is interior sealants installation neat and continuous.",,,,
"95ae0c27-b7a7-431c-9dba-04bcfc852a26","checkpoint","Is exterior sealants installation neat and continuous.",,,,
"f024554a-c1e4-4b80-8ff0-d7a397595283","checkpoint","Is sill flashing installed per plans and as detailed in the shop drawings?",,,,
"3ff65db5-9e5b-4862-9622-d73ac6095356","checkpoint","Is head flashing installed per plans and as detailed in the shop drawings?",,,,
"5936eb4f-e213-43eb-a095-f577cb3b38d5","checkpoint","Are all window and doors working?",,,,
"0b8c508e-bbb1-4227-acd5-068ceef789ae","checkpoint","All handles installed correctly?",,,,
"5258a682-2c33-4dc9-86e1-adebd7d7f703","checkpoint","Are all the hardware installed correctly?",,,,
"ce7a42cb-9401-459f-a046-8570b0c7ba0c","checkpoint","Is the joinery free of scratches?",,,,
"7444579d-375a-445a-8107-48b84a515e25","checkpoint","Is the joinery clean and tidy?",,,,
"363e6c47-64f7-44be-a358-d5dd71ce4142","checkpoint","Hinge doors strikes adjusted and locking easily",,,,
"98a6692f-ff62-460a-8ec6-28392c64fd94","checkpoint","Hinge doors 4 or 3 point lock operate easily",,,,
"28b342c3-e045-416c-85e1-2d1ee429d135","checkpoint","Hinge doors and sliding doors - Bungs are fitted (every hole)",,,,
"cb9403c0-4a2a-40ef-886f-9984b351c8f2","checkpoint","Sliding doors - panels are adjusted and locking easily",,,,
"b0ba6b89-d648-4d50-9db1-b98c0a375f0a","checkpoint","Sliding doors - Strikes are adjusted",,,,
"f3eec064-2af7-43d0-8ad4-7cb1f7ecd415","checkpoint","Sliding doors - Anti lift blocks and stops fitted properly",,,,
"a76c78b6-5d90-4c52-a47b-cea8c04d2653","checkpoint","Proper spacing and clearances are maintained around the window units.",,,,
"9e353abe-f40f-4892-9bea-6a79fb434fdf","checkpoint","Fasteners used are correct in type, size, and spacing",,,,
"0650c8b7-9829-48e9-9459-41e33bb809e8","checkpoint","End Caps Installed",,,,
"36e68fe3-fa22-47d8-a161-9275a5e9fac4","checkpoint","Frames installed correctly?",,,,
"4c8dbc8a-4621-4e69-926b-170bfe341905","checkpoint","Modules installed correctly?",,,,
"d0681e4a-3f33-4d59-849f-26e763820dc7","checkpoint","Drains are not blocked",,,,

"1e2fd745-b431-47f0-bb77-853d08ded0be/1","checklist","Glazing Checklist","","Glazing Checklist",71,"d095561e-1afb-46a5-99d8-38284113baf8"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"ae9cddbd-ad30-45c0-9f0b-7b6a062cdd7b","checkpoint","Frame installed securely",,,,
"5efda26c-6681-4e09-9ca5-3b37702db77b","checkpoint","Correct glass installed",,,,
"51b41eba-2b0d-468f-9a30-e5e89e2e575e","checkpoint","Glass installed with correct face to the outside",,,,
"87198846-03b2-48aa-bea5-99e5330df6f4","checkpoint","Setting/location blocks correctly installed",,,,
"26954f34-fad8-456f-8249-be279a48dbd8","checkpoint","Beads installed",,,,
"3e852ed1-de29-447d-816a-21f9e0d23884","checkpoint","Wedge rubber complete",,,,
"8bf2d720-3276-4952-86c0-358f64128841","checkpoint","Trade clean",,,,

"289d9f06-9ac8-4672-b495-6baaf483d489/1","checklist","Handover Checklist","","Handover Checklist",71,"77584e13-34d5-4154-9ef7-213cf63fda94"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"641a6d91-f3a0-410a-8ed1-357966b0bc11","checkpoint","All works completed as per specifications",,,,
"3fa5b2f0-84ec-567c-86db-bcce6c828235","date","Date:",,,,
"9b794506-0745-4709-992b-48d10022889f","checkpoint","Company Signoff",,,,
"f1de614c-021f-45bf-91bc-c8d82253e2a1","signoff","SIGN HERE",,,,
"6f80145f-7fff-4763-91b8-071808890a8e","checkpoint","Client Signoff",,,,
"85ac4f02-9a78-4095-8b14-a117f98739b7","signoff","SIGN HERE",,,,

"960866f5-0dd3-4924-b596-637d290978f1/1","checklist","Metro-Resi - Install Checklist","","Metro-Resi - Install Checklist",71,"ea0367f6-4017-40d5-aca5-a4ee7fbe7e2c"
"45e8814a-82cf-423b-a9fd-c3a56e777229","section","Details",,,,
"94a6fc00-cb90-491c-bd32-4b6ae256da5f","checkpoint","Has the window/door installation been completed?",,,,
"363b8b59-6dd5-4ace-aa05-9f23300db9f0","checkpoint","Is interior sealants installation neat and continuous.",,,,
"6238400f-7429-49d0-b688-421ffd3b2839","checkpoint","Is exterior sealants installation neat and continuous.",,,,
"7ec5a1f0-7be6-402b-9784-8fcdb9ad4a3a","checkpoint","Is sill flashing installed per plans and as detailed in the shop drawings?",,,,
"cf75c736-f343-44b5-92ac-a1e1918fa88e","checkpoint","Is head flashing installed per plans and as detailed in the shop drawings?",,,,
"a334660d-5159-4aca-9b78-659025bb8a1b","checkpoint","Are all window and doors working?",,,,
"76b4f8a1-47f4-483d-9b90-8af4000c3965","checkpoint","All handles installed correctly?",,,,
