"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"09d57bc1-7337-4e17-a6ec-cf6206a0fd1f","","fail","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders"
"f1979c44-56b0-4cdd-8b4c-c7a67c162f44","","work-in-progress","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#4 W3- W2.04 Living (UA02) SD"
"512d09e6-aae4-4f98-89f9-ae64bec21c17","","fail","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#17 W3- W2.18 Living (UI02) SD"
"e626c96c-9e5a-47cc-816d-c7fe022ada14","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#17 W3- W2.18 Living (UI02) SD","Pre Install Checklist"
"6056c408-e2c3-4370-ad64-10aa1a9b586b","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#17 W3- W2.18 Living (UI02) SD","Installation"
"9057045a-35af-4aee-8a94-42f7a222dea8","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#17 W3- W2.18 Living (UI02) SD","Glazing"
"724b25f2-e5be-4e79-9e73-50e84362d722","","fail","Performance Tests","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#17 W3- W2.18 Living (UI02) SD","Performance Tests"
"d21e80e4-e5fc-45f2-a656-c708a320d31c","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#17 W3- W2.18 Living (UI02) SD","Handover Checklist"
"ef34f6b8-9312-490a-a58f-81594209c7f8","","work-in-progress","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#20 W3- W2.21 Living (UH02) SD"
"93f98af6-1a82-4f3d-8510-6766819da8d3","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#20 W3- W2.21 Living (UH02) SD","Pre Install Checklist"
"afd19a1b-b87e-447d-91b1-31114419ce9e","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#20 W3- W2.21 Living (UH02) SD","Installation"
"d7499b67-377f-4ace-b875-47718521987a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#20 W3- W2.21 Living (UH02) SD","Glazing"
"0a44276e-5294-4f32-a849-27a510f9e8f7","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#20 W3- W2.21 Living (UH02) SD","Performance Tests"
"723c442f-6877-4cf3-9650-a6c3662d599d","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#20 W3- W2.21 Living (UH02) SD","Handover Checklist"
"d11a049d-b71f-470d-9b89-b1cc20b9563e","","work-in-progress","","folder","TRUE","FALSE","STAGE #1 - Level 2 - Sliders","#23 W3- W2.24 Living (UG02) SD"
"e8b654b7-d730-40af-a399-0d7785c95b6c","","pass","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#23 W3- W2.24 Living (UG02) SD","Pre Install Checklist"
"ff91c4e6-4b32-4af8-9673-4bf817925101","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#23 W3- W2.24 Living (UG02) SD","Installation"
"16f1fbc4-43e7-4281-8e4a-12c657cf1c1b","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#23 W3- W2.24 Living (UG02) SD","Glazing"
"6aa01e29-f4c5-4387-a860-8c5b05dd1a8c","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#23 W3- W2.24 Living (UG02) SD","Performance Tests"
"e16e23a0-293f-43a4-a476-be00a65c3841","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #1 - Level 2 - Sliders","#23 W3- W2.24 Living (UG02) SD","Handover Checklist"
"a460ef18-18c2-444c-951d-c55937ae2f22","","work-in-progress","","folder","TRUE","FALSE","STAGE #2"
"a1e1d7c8-1c82-4186-9a18-a08db97de48a","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#26 W11m-W2.27 Living (UF02) SD"
"b553de49-4518-4c35-ae05-7752f1875930","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#26 W11m-W2.27 Living (UF02) SD","Pre Install Checklist"
"8358f7fd-3eaa-4767-94f0-c1fd51c60af4","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #2","#26 W11m-W2.27 Living (UF02) SD","Installation"
"60c06b9e-bec5-424d-abc9-e2cf3443fa2e","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#26 W11m-W2.27 Living (UF02) SD","Glazing"
"497480e0-4cdc-4b2a-891e-7730af253280","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#26 W11m-W2.27 Living (UF02) SD","Performance Tests"
"17b8f0ab-a558-4c16-a028-dace06536c84","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#26 W11m-W2.27 Living (UF02) SD","Handover Checklist"
"4775069f-1823-4df8-926b-bd91b8b8c3d4","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#27 W11-W2.29 Living (UE02) SD"
"3b8dd91b-e852-4439-a2cb-3d163d904264","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#27 W11-W2.29 Living (UE02) SD","Pre Install Checklist"
"c1da2665-5706-45b7-84e3-a2b0be93e833","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #2","#27 W11-W2.29 Living (UE02) SD","Installation"
"3a3a5447-65ff-46c0-94d1-a826d8569860","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#27 W11-W2.29 Living (UE02) SD","Glazing"
"2222cbe3-80f6-4dd1-b6c6-cc93893244c9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#27 W11-W2.29 Living (UE02) SD","Performance Tests"
"16ff21b3-0f48-40f4-b4a8-c9e65faca9e0","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#27 W11-W2.29 Living (UE02) SD","Handover Checklist"
"90043352-6c19-4e56-bfe1-2922ab7f8501","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#32 W3- W2.34 Living (UD02) SD"
"37b2d99b-10a8-4080-a9c4-14cda090711a","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#32 W3- W2.34 Living (UD02) SD","Pre Install Checklist"
"5547d6f6-8ef5-4d74-9e04-472ddbe7ed2d","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #2","#32 W3- W2.34 Living (UD02) SD","Installation"
"ac83610d-076e-4d4d-85d4-d22444629e62","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#32 W3- W2.34 Living (UD02) SD","Glazing"
"9f155811-edcf-44b2-a7d8-d3ed0b0255c3","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#32 W3- W2.34 Living (UD02) SD","Performance Tests"
"451c8eab-1baa-469b-a67e-398b665a377c","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#32 W3- W2.34 Living (UD02) SD","Handover Checklist"
"4072b659-3bba-4e59-a28f-db455559f129","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#35 W3- W2.37 Living (UC02) SD"
"57d98f52-b7c6-4bec-83c6-e5a9fd315552","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#35 W3- W2.37 Living (UC02) SD","Pre Install Checklist"
"eb2b4024-5a57-4717-9869-76e839364cf7","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #2","#35 W3- W2.37 Living (UC02) SD","Installation"
"6a3697b5-31d8-43a9-9168-19d38d8f5d61","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#35 W3- W2.37 Living (UC02) SD","Glazing"
"21bdad35-e4b1-490e-8eee-e151cbe2300d","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#35 W3- W2.37 Living (UC02) SD","Performance Tests"
"12826e99-e476-4c1f-a77f-034ee45696ab","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#35 W3- W2.37 Living (UC02) SD","Handover Checklist"
"70b3d58a-a23e-47b6-93c1-fd022531c195","","work-in-progress","","folder","TRUE","FALSE","STAGE #2","#38 W3- W2.40 Living (UB02) SD"
"798d9676-228a-404c-b2a1-41845f244720","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #2","#38 W3- W2.40 Living (UB02) SD","Pre Install Checklist"
"0c17912d-a4c1-4d3f-9a18-999b5dc89507","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #2","#38 W3- W2.40 Living (UB02) SD","Installation"
"4bb2526d-372f-4ca3-bfc1-eed40f86e996","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #2","#38 W3- W2.40 Living (UB02) SD","Glazing"
"38e2d5e7-024e-46bf-b703-2c451972d8d3","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #2","#38 W3- W2.40 Living (UB02) SD","Performance Tests"
"ed30b507-5af3-45c2-8bfa-2a90f12d0891","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #2","#38 W3- W2.40 Living (UB02) SD","Handover Checklist"
"e4a6dd31-d16a-49d0-a476-2ce630ba13b8","","fail","","folder","TRUE","FALSE","STAGE #3"
"5eb50f0d-a99d-4f06-818c-69f2ec23b9d7","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#2 W1- W2.02 Bedroom (UA02)"
"cdb95dc0-3104-45e6-977a-2cc15144b2ab","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#2 W1- W2.02 Bedroom (UA02)","Pre Install Checklist"
"08941760-0afe-487a-b2f1-ba727e802c96","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#2 W1- W2.02 Bedroom (UA02)","Installation"
"7383c77a-6281-465b-842f-0b9596c25019","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#2 W1- W2.02 Bedroom (UA02)","Glazing"
"042cc81c-9af8-4e2b-ac77-6c465eb03e2b","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#2 W1- W2.02 Bedroom (UA02)","Performance Tests"
"068d7db2-ab5c-4548-b5bb-f6995846cfc4","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#2 W1- W2.02 Bedroom (UA02)","Handover Checklist"
"d006c609-d32d-4dcc-a1f8-1e5e845d9bcc","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#3 W2- W2.03 Bedroom (UA02)"
"db822ef0-a2d9-4430-8896-be0d740c8c95","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#3 W2- W2.03 Bedroom (UA02)","Pre Install Checklist"
"12ee7a53-6a3e-4c6e-a386-ab8aa7a89a71","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#3 W2- W2.03 Bedroom (UA02)","Installation"
"a568ddd0-46a6-4238-ab85-c9688fe92b4a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#3 W2- W2.03 Bedroom (UA02)","Glazing"
"dc0b5c8d-7ad9-49fa-90b6-f8bb8e13bad4","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#3 W2- W2.03 Bedroom (UA02)","Performance Tests"
"dea41070-9588-4003-a5e7-58c172331405","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#3 W2- W2.03 Bedroom (UA02)","Handover Checklist"
"a99ae5f2-dd14-4641-9ff8-89bbfd53159b","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#5 W5- W2.05 Living (UA02)"
"49c8adaf-c141-43d4-8011-13bfa7e2e899","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#5 W5- W2.05 Living (UA02)","Pre Install Checklist"
"876e2025-7a1d-4493-bdd1-01d8e1a7046a","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#5 W5- W2.05 Living (UA02)","Installation"
"241bff86-ae57-4770-a725-d36460a7535d","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#5 W5- W2.05 Living (UA02)","Glazing"
"f903ea69-402f-4138-b236-7986429fe4a2","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#5 W5- W2.05 Living (UA02)","Performance Tests"
"66587d05-9da3-4d4b-af95-526d95a28952","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#5 W5- W2.05 Living (UA02)","Handover Checklist"
"336473b2-d7cb-483f-b339-f83ae9d9a293","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#6 W5- W2.07 Stairs"
"e36d150f-2b9f-44ac-bdf7-a7bc634ee0b2","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#6 W5- W2.07 Stairs","Pre Install Checklist"
"e52cb421-fab2-4e82-be81-223b56e1adf1","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#6 W5- W2.07 Stairs","Installation"
"75eb5108-c708-413e-bf45-37af14d3e2b0","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#6 W5- W2.07 Stairs","Glazing"
"8176d148-a93b-4d16-988d-4d8c98e6e6d5","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#6 W5- W2.07 Stairs","Performance Tests"
"a9fcd269-8e3c-46c7-ac93-bca050bb3ea6","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#6 W5- W2.07 Stairs","Handover Checklist"
"6a1a0e29-c3c6-461d-af2b-f2026f083745","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#7 W5- W2.08 Bedroom UK02 40mm SEISMIC @ 1200mm"
"73375254-82d0-4e77-a776-d75d441c062f","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#7 W5- W2.08 Bedroom UK02 40mm SEISMIC @ 1200mm","Pre Install Checklist"
"4ebb3ca9-20cf-4f56-ba92-0dbba377fd78","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#7 W5- W2.08 Bedroom UK02 40mm SEISMIC @ 1200mm","Installation"
"026150c7-d47f-452b-bd94-ad321b283c4a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#7 W5- W2.08 Bedroom UK02 40mm SEISMIC @ 1200mm","Glazing"
"28af57e0-568e-448b-9138-57f5cb138542","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#7 W5- W2.08 Bedroom UK02 40mm SEISMIC @ 1200mm","Performance Tests"
"e697db33-1c0a-490a-9281-9243544021ad","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#7 W5- W2.08 Bedroom UK02 40mm SEISMIC @ 1200mm","Handover Checklist"
"e11ee183-d1b5-435f-8983-10979b92779c","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#8 W13-W2.09 Dining (UK02)"
"d4fb875d-1a12-4589-8a95-e6d9f9f3a1d0","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#8 W13-W2.09 Dining (UK02)","Pre Install Checklist"
"f2791135-577c-4048-b2c8-4559e2166809","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#8 W13-W2.09 Dining (UK02)","Installation"
"43db48ae-82a8-4351-afc2-a73e6f4fdf10","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#8 W13-W2.09 Dining (UK02)","Glazing"
"73b8a38e-d5f9-4122-af24-fd660751f53b","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#8 W13-W2.09 Dining (UK02)","Performance Tests"
"b6a16964-4b21-4485-9754-fa7134705f11","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#8 W13-W2.09 Dining (UK02)","Handover Checklist"
"ccf1e95d-3397-4699-b25e-f65cc4f52b00","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#10 W5A W2.11 Bedroom UJ02 40mm SEISMIC @ 1000mm"
"7ba9c51f-3a2e-42dc-8907-2ac00b3cd6ab","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#10 W5A W2.11 Bedroom UJ02 40mm SEISMIC @ 1000mm","Pre Install Checklist"
"1f7faff8-42eb-48c1-9343-25d206437fcf","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#10 W5A W2.11 Bedroom UJ02 40mm SEISMIC @ 1000mm","Installation"
"83fa5807-2c94-49d1-a375-4e829b755af1","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#10 W5A W2.11 Bedroom UJ02 40mm SEISMIC @ 1000mm","Glazing"
"f85358df-5ec0-45a0-ba04-7f29c30d9782","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#10 W5A W2.11 Bedroom UJ02 40mm SEISMIC @ 1000mm","Performance Tests"
"80221e1b-be86-47a5-af2e-028c9f80b3a0","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#10 W5A W2.11 Bedroom UJ02 40mm SEISMIC @ 1000mm","Handover Checklist"
"e4d183d9-cc6e-47e7-af0d-abe926073db1","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#11 W15-W2.12 Bedroom (UJ02)"
"b876bb52-7d63-4665-a5a8-ffafb03a6ec2","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#11 W15-W2.12 Bedroom (UJ02)","Pre Install Checklist"
"0c6a28c5-8969-4221-8ef4-d8d3cc8c45d0","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#11 W15-W2.12 Bedroom (UJ02)","Installation"
"2e5456b8-7a73-4cd9-986b-90c51d4580b2","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#11 W15-W2.12 Bedroom (UJ02)","Glazing"
"2839f319-3883-45fb-8a00-8b4ae2298e80","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#11 W15-W2.12 Bedroom (UJ02)","Performance Tests"
"fd2ac893-9942-40cd-9a83-ec26d653a4f9","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#11 W15-W2.12 Bedroom (UJ02)","Handover Checklist"
"3c06078f-88a5-4299-b050-19ad9d25fe48","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#13 W5- W2.14 Kitchen UJ02 40mm SEISMIC @ 1200mm"
"144e3eeb-e574-4518-ade2-50f5f1186196","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#13 W5- W2.14 Kitchen UJ02 40mm SEISMIC @ 1200mm","Pre Install Checklist"
"14fe28ca-9985-47f6-9053-8d09cb3dc8c9","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#13 W5- W2.14 Kitchen UJ02 40mm SEISMIC @ 1200mm","Installation"
"0a7ce458-9756-42ed-8ea5-12b66313aad1","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#13 W5- W2.14 Kitchen UJ02 40mm SEISMIC @ 1200mm","Glazing"
"7d3fb7ac-40b0-4291-803e-8a6dee6dbeb9","","not-started","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#13 W5- W2.14 Kitchen UJ02 40mm SEISMIC @ 1200mm","Performance Tests"
"e20a4efb-6424-4417-8aed-7f627357e12c","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#13 W5- W2.14 Kitchen UJ02 40mm SEISMIC @ 1200mm","Handover Checklist"
"e38fc1a9-ac2b-43b9-84c4-6a5a7185d2f5","","fail","","folder","TRUE","FALSE","STAGE #3","#15 W1- W2.16 Bedroom (UI02)"
"256fe0cb-e24d-4216-a7d1-b29fe0ff6558","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#15 W1- W2.16 Bedroom (UI02)","Pre Install Checklist"
"e4638c0f-4cf1-480f-b433-3cdd7a8f0a5d","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#15 W1- W2.16 Bedroom (UI02)","Installation"
"3d99b13b-5c0b-48f9-929f-81caa0aaa61a","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#15 W1- W2.16 Bedroom (UI02)","Glazing"
"cb588c36-2040-4024-8caf-184fec088ce7","","fail","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#15 W1- W2.16 Bedroom (UI02)","Performance Tests"
"76c83c0a-f7fd-4b0f-823f-0e39b8e368ed","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#15 W1- W2.16 Bedroom (UI02)","Handover Checklist"
"20f39814-fa03-4e60-a381-ee94ead341df","","fail","","folder","TRUE","FALSE","STAGE #3","#16 W2- W2.17 Bedroom (UI02)"
"c03315ae-9641-4356-b56f-d870e78b0d5e","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#16 W2- W2.17 Bedroom (UI02)","Pre Install Checklist"
"e492c384-5af7-4ca4-a096-5b427a1ead30","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#16 W2- W2.17 Bedroom (UI02)","Installation"
"ba453213-c8fa-4431-837f-ad3a96ea22da","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#16 W2- W2.17 Bedroom (UI02)","Glazing"
"be848792-6d83-4479-8189-8914249e9dcd","","fail","Performance Tests","checklist","FALSE","FALSE","STAGE #3","#16 W2- W2.17 Bedroom (UI02)","Performance Tests"
"9e938144-f702-443f-bde0-4d39965a7620","","not-started","Handover Checklist","checklist","FALSE","FALSE","STAGE #3","#16 W2- W2.17 Bedroom (UI02)","Handover Checklist"
"f8ece2dc-c5a4-4c7c-8aab-359d26d76638","","work-in-progress","","folder","TRUE","FALSE","STAGE #3","#18 W1- W2.19 Bedroom (UH02)"
"bf766752-af87-4ccd-8bec-eb249c64c7a3","","not-started","Pre-Install Checklist","checklist","FALSE","FALSE","STAGE #3","#18 W1- W2.19 Bedroom (UH02)","Pre Install Checklist"
"0db9ce65-f495-4282-bbc1-73df80e5c5a8","","pass","Metro-Resi - Install Checklist / 40mm Seismic Frame hung windows","checklist","FALSE","FALSE","STAGE #3","#18 W1- W2.19 Bedroom (UH02)","Installation"
"8f669204-3ff1-45ad-83c0-560b6d344e78","","not-started","Glazing Checklist","checklist","FALSE","FALSE","STAGE #3","#18 W1- W2.19 Bedroom (UH02)","Glazing"
