"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aa4cb4a6-e550-4378-a3fc-f96dca96e135","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"00b6b8a6-3caf-4408-a558-10c1aeddd2bd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Jul-23"
"c45b3308-1f64-4f5f-9d08-b7dedb7852c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Aug-23"
"150e6463-9afc-455a-b7d9-cf8937659197","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Sep-23"
"8e8ae71c-cce0-4799-97cc-580b606e4dbe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Oct-23"
"59c7d157-9e80-49af-bbfe-9448f28703e8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Nov-23"
"075a9bd6-9bfd-411d-a0dc-c471ce005c4e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site Diary","Dec-23"
"331d8c27-eaf1-4f65-91b9-778d9bcd54d0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox"
"365624a5-41ac-4598-a669-f9eb67901ada","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Apr-23"
"43bce057-ae02-46a3-bf5d-4c4d64c446d7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","May-23"
"d6de8a84-f32e-4b42-ad04-52e25b419e6d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Jun-23"
"cb3e3103-ebea-43ee-984e-61ff27259afe","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Jul-23"
"73bf1302-49f7-4690-b55c-5db56f50c659","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Aug-23"
"3c033bb9-5103-43fd-96ae-b897e2166000","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Sep-23"
"3a63a866-8d1a-458d-b5f2-221f83090cc7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Oct-23"
"ea613a94-2377-4990-90f6-120c4335b08d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Nov-23"
"dd7d6a97-47e8-42d7-ba03-f89e9f567f5c","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox","Dec-23"
"1530a931-c4c3-421e-a77b-cac0ffe176b3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start"
"9fd2a478-7eb0-4be7-adf9-3a8d0c55ac63","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Apr-23"
"676da1c7-5a24-4fe6-aa7d-5ac7bfec9118","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","May-23"
"59ecef7a-4bf2-41dd-b8ae-e95475349a26","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Jun-23"
"77d9c11e-47b3-45b3-ad0b-22029d708d53","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Jul-23"
"fd66faa6-a1e2-425f-addb-fe47a092ebd5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Aug-23"
"f33987f4-07d6-4aa6-b50a-15f51dde1dd5","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Sep-23"
"4c58b259-676b-42bd-900d-572683be51c0","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Oct-23"
"1c55968d-785f-4801-a65b-135a5daa9989","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Nov-23"
"3ebe846c-af76-45b3-b743-b58e32e93994","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Pre Start","Dec-23"
"6ac0fea4-17b5-4a97-8742-c31493167ee6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report"
"f54ac126-3db9-4fc2-9a41-61bb04873f67","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Apr-23"
"0904575b-8f79-4c7f-b011-96eb67a6fd88","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","May-23"
"83df9e6a-d2b6-4c83-8245-4a309e3add4d","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Jun-23"
"6d86dbbe-ce4b-4669-b837-265c457a1b93","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Jul-23"
"3bf923e1-1f8c-4bee-bfc5-84e3e249947b","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Aug-23"
"d8c63738-f9ea-4b0f-afca-1d94cfafb8fd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Sep-23"
"82b3767e-5b8d-45bb-a19d-f39517d1a720","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Oct-23"
"f2da7f68-a2f6-4655-9e57-015ec4c7c0ce","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Nov-23"
"c0f73898-5158-4743-8dd5-bb68e8e65dcd","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Incident Report","Dec-23"
"2b0318f5-8e80-4d1a-b129-0db254b57780","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI"
"44d398b6-c70d-40c2-8610-9cf58133709e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Apr-23"
"9b27955a-6bdf-42a6-801b-75eab1e06dc6","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","May-23"
"524f76b7-d65a-4286-8033-3790ca416da9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Jun-23"
"07b239a6-2a86-431f-8e2d-2e92606d42c9","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Jul-23"
"014f6a46-4013-4ac7-93f8-b5f3fafbd189","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Aug-23"
"ddebea5f-a242-430c-98e6-f0a5d12e2e1e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Sep-23"
"575e6adb-7768-4c08-af5f-55049b5fd2ac","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Oct-23"
"be0eb24e-271b-4ad9-aa51-98388c0ee682","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Nov-23"
"4feec027-43ab-46ad-925b-c0841ad85569","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Variations / SI","Dec-23"
"cdeb4ccb-a948-4676-b741-5396354f5e83","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim"
"43944fb4-ed3f-4d95-8225-7aa66d1cc520","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Apr-23"
"bf60c9ed-3c7c-4d4f-88b6-30f875362dca","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","May-23"
"ec42e9f0-e52f-45ae-b1de-78be24fb39ad","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Jun-23"
"c5438cd5-44dc-4171-afcf-3093bf00519a","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Jul-23"
"1a961505-d1fc-49a7-8736-2923342c694e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Aug-23"
"6fd4d278-7c4f-42e4-b306-433672fe94e8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Sep-23"
"d4f28d4a-de7f-4aad-aa76-72ac2b452612","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Oct-23"
"f42d3d35-f461-434d-bbf6-5388799aae77","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Nov-23"
"f470e853-0c10-4231-ab30-58540af22f72","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Progress Claim","Dec-23"
