"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"11812f1b-ba5a-4d11-a489-14a2ede22823","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","OAF","OAF-1-01"
"5d71ec7a-68e1-4980-8717-76771a7bc106","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","OAF","OAF-1-02"
"9ca941a7-d78c-4c67-a1bf-6755da55def4","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","OAF","OAF-1-03"
"91242f1e-0743-405d-bf46-2880daa55c71","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS","GEF"
"bc1b7616-dadb-4010-94d3-653138225b37","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","GEF","GEF-1-01"
"b48a1c62-4017-4cd7-ab1b-95f5c5e692e0","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","GEF","GEF-1-02"
"43dc9301-c621-4494-9659-6ad8f93e75f6","","folder-normal","","","step","TRUE","FALSE","QA","LEVEL 1","FANS","TEF"
"ac0e5b3c-dd79-4351-9a1b-f8f374e3968e","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","LEVEL 1","FANS","TEF","TEF-01"
"60041a83-b830-4e20-985b-e827040e6d86","","folder-normal","","","step","TRUE","FALSE","QA","ROOF"
"7ba64ad6-cea5-44fb-882a-cbd4db358274","","folder-normal","","","step","TRUE","FALSE","QA","ROOF","FANS"
"505a6999-8ce3-47de-a983-8780a848df9d","","folder-normal","","","step","TRUE","FALSE","QA","ROOF","FANS","GEF"
"906e9752-9ca6-4e53-86ef-a79ba2ac01ab","","checklist-sectioned","","Fans Rough In","checklist","FALSE","FALSE","QA","ROOF","FANS","GEF","GEF-G-01"
"e22f79c4-4cfb-4442-bff7-d706c261af76","","folder-normal","","","step","TRUE","FALSE","QA","ROOF","FANS","ROOF COWL"
"444bc742-10cd-479a-917c-6aefaeb5777b","","checklist-sectioned","","Roof Cowl (RC)","checklist","FALSE","FALSE","QA","ROOF","FANS","ROOF COWL","RC-OAF-G-01"
"17338853-67ea-4589-89e9-3959f5a55a4e","","checklist-sectioned","","Roof Cowl (RC)","checklist","FALSE","FALSE","QA","ROOF","FANS","ROOF COWL","RC-GEF-01"
"12e105b5-2e32-4b20-877f-c4e37a69320a","","checklist-sectioned","","Roof Cowl (RC)","checklist","FALSE","FALSE","QA","ROOF","FANS","ROOF COWL","RC-TEF-01"
"93848b1b-f5c7-4f6a-a6c1-79238d780675","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING"
