"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3e46b765-524a-4bb6-98cb-1adacb04c739","","folder-normal","","","step","TRUE","FALSE","QA","COMMISSIONING","AC","CU-1"
"6e3779f3-0ad2-4570-9f22-d45d0caf8022","","checklist-sectioned","","AC High wall mounted Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-03A"
"1d60e063-7456-4801-80c3-d24b50fbb8cd","","checklist-sectioned","","AC High wall mounted Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-03B"
"568e96b9-5dbf-4084-8b0c-ff8063746581","","checklist-sectioned","","AC High wall mounted Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-03C"
"ef01940d-c7b7-4a95-83be-8debfc5e8fb6","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-04"
"3128ba9d-738c-4add-992a-6573fb4c65bc","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-07A"
"8d0a913f-5bef-421f-8825-781408b84e4e","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-07B"
"03400b66-fba5-4a80-ab94-40470b32bf49","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-08A"
"901f1e57-522b-4fa8-8bc5-fd601cbea13c","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-08B"
"a9af2436-3757-4263-a4ed-b039cecf291b","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-41A"
"c8f0ef23-de75-4813-9637-37ea212cc623","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-41B"
"eab8ec67-472b-4ff4-bb53-874ff28f9c58","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-42A"
"96f41b14-6acf-4c3d-83ca-f7c70d7b80f9","","checklist-sectioned","","Cassette Commissioning","checklist","FALSE","FALSE","QA","COMMISSIONING","AC","CU-1","FCU-G-42B"
