"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6747fad1-e2cb-4758-85c1-ae4123abdbb0","","folder-normal","","","step","TRUE","FALSE","Site QA"
"cf2f1e7c-9896-4489-9dad-149c0a4c7e4e","","folder-normal","","","step","TRUE","FALSE","Site QA","Suspended Drainage Services"
"7929d169-a088-4df3-829e-7434629ae6da","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8439"
"3fad4d7a-316d-402e-874e-940a1c2db5a3","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8476"
"ccaaf150-0788-447d-ab10-baf85d343cb4","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8477"
"01c8299c-8ddc-4649-9a22-63c34ae7d614","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8478"
"16baaf20-5c10-4742-8f4c-ea146683f9fd","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8479"
"3e62cc8f-bd07-4254-b07a-e4af7fa42187","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8480"
"289ef66d-c51b-4943-9c87-0ce84f72e4bd","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8481"
"1cb399d4-537b-4a81-b1c7-dc0c9706af40","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8482"
"9ca970ac-416c-40ac-9bba-9b43fdb0066e","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8483"
"a8664911-526b-4158-806b-ca0b4d1d039a","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8484"
"44e7a0fc-cbd4-4a14-9f15-59daa6c8b99b","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8485"
"3bea2c54-600c-4b40-b507-e87cd75bbbd3","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8486"
"a72229bd-6ab8-4500-b38e-16829c0187ac","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8487"
"8a44bb02-5759-4940-a813-23d266ee4efa","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8488"
"9ca7402f-6a65-4943-b346-7c2dcafa247b","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8489"
"f5345447-1c0b-499e-82b0-bbb3185c6315","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8490"
"5cd726ea-a333-43e3-9987-9f22619ef1a8","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8491"
"2e7a02b5-fc67-4164-aa28-c8a80ec44c4e","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8492"
"c9116476-9404-4d0a-8450-1b2866567d36","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8493"
"4af80278-8582-4ed0-a74b-827a4d06da4c","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8494"
"03fc0dde-288b-4606-b175-e95602befae3","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8495"
"031b056a-1c07-4267-89d8-413417911146","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8496"
"d3b01464-3616-41df-932e-defc99dfaf3f","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8497"
"9e38e405-43fe-4fc8-8c61-ca9c61353da9","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8505"
"03fdc2e2-7ea1-49a8-87f1-5c0a5e2db19e","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8506"
"038d6595-29e5-44f1-9289-fcc1e47af65b","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8507"
"78b50c8c-537d-44fe-ba50-9872e4646bd0","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8508"
"d9216fde-bb7f-47a7-a52f-375ede102a71","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8509"
"5d660c20-88b2-4b21-9fc4-b59bafd971f0","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8511"
"7cd59db7-f26b-43ba-9bf4-c88f630a289d","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8512"
"0cf23ec8-dce4-4355-9035-0749528489ca","","checklist-flat","","Passive Fire / Collars Penetration","checklist-flat","FALSE","FALSE","Fire Register","L4","8513"
