"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6f69b477-4022-42c0-853f-fb7bbe343980","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site QA"
"9ef568b4-1073-4238-8132-76c41e82e311","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Central Utilities (CU)"
"30102865-edae-409c-8ee4-580b1b01850b","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Cultural Centre (CC)"
"2b9fb340-d473-4583-b88b-79f70c734049","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 001 - Drainage In Ground"
"b7fd878d-bad9-4c79-ae4f-c80d0d6af938","Child Inspection & testing prior to Concealing(c182987b-5948-4e69-95f4-d7cdeaade4b0): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(c182987b-5948-4e69-95f4-d7cdeaade4b0): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(c182987b-5948-4e69-95f4-d7cdeaade4b0): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"1d444255-2300-45ea-9d7d-6b41d81423e5","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 003 - Drainage Above Ground"
"dd9cd6a1-1c9e-4269-ac46-e5736ab77e96","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 004 - Reticulated Systems Above Ground"
"d5ea0f38-cce2-4ac5-b509-2ca8c8b7abf2","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","ITP 005 – Fixtures & Fittings"
"865ce701-4092-4c30-be39-4e144092e037","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Cultural Centre (CC)","Stormwater"
"ed0b57ce-dc6e-547e-8daf-8ae93efa3612","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","Stormwater","ITP 001 - Drainage In Ground Stormwater"
"5cc1c20e-250b-41e0-9c91-f0441ad2e9e0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Cultural Centre (CC)","External Sewer"
"deffca44-ec05-56cd-97ef-cdb8a7b0da65","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Cultural Centre (CC)","External Sewer","ITP 001 - Drainage In Ground External West Sewer"
"a8b7c4d1-9f18-47f2-87e3-3d917e324ab1","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Education and Program (EP)"
"fe085601-83cc-4440-962a-6ce56a2050a2","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 001 - Drainage In Ground Grids 01 - 03, C1 - G"
"88f0e63a-b42f-40c1-94b3-9316faae5b94","Child Inspection & testing prior to Concealing(8075817d-034e-49e3-897f-fa2e96470ae2): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(8075817d-034e-49e3-897f-fa2e96470ae2): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(8075817d-034e-49e3-897f-fa2e96470ae2): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 002 – Reticulated Systems in Ground (Prefab)"
"9d04f21b-e46b-4350-a0a8-3a5bc1a8aff9","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 003 - Drainage Above Ground"
"5a645e2d-8026-42a0-a966-dd58bdf3d849","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 004 - Reticulated Systems Above Ground"
"7ad4bf0e-da2d-4b81-80e4-56825787d24c","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 005 – Fixtures & Fittings"
"d8f8569b-e70c-453d-9021-204441efd33c","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 001 - Drainage In Ground Grids 03 - 05, B - D"
"709801c7-38a8-425e-b274-111dc6e300e2","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","ITP 001 - Drainage In Ground Stormwater (Inside Building Surrounds) Pits 939 to 944"
"1a1cdea7-6025-4e30-ab9d-650278e924e2","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Education and Program (EP)","Stormwater"
"2038e3d6-3efb-5bda-bfdf-d25e643a06c1","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","Stormwater","ITP 001 - Drainage In Ground Stormwater"
"d20c0d4a-2f2d-418b-a912-9d4119ab2ec3","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Education and Program (EP)","External Sewer"
"11396260-3dc5-5339-9b37-8fbc94a7da99","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Education and Program (EP)","External Sewer","ITP 001 - Drainage In Ground External Sewer"
"22db9dbe-33f9-4640-b779-0b7071be495e","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Entry Building 1 (EN 1)"
"ebea3ebf-0771-424b-b6cd-69dfbf03cb69","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 07 - 08, C - G"
"a8f6509b-2e81-4d8d-bfaa-40e9a194c7b9","Child Inspection & testing prior to Concealing(00900265-3b4c-4550-9f25-c738845025c7): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(00900265-3b4c-4550-9f25-c738845025c7): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(00900265-3b4c-4550-9f25-c738845025c7): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"416ed333-d6b2-4958-876e-d8d35741eb54","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 003 - Drainage Above Ground"
"b936ce73-5c0f-43a4-9657-7e5d539f87f6","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 004 - Reticulated Systems Above Ground"
"1e3ae851-196e-432f-963d-c9faddcf8325","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 005 – Fixtures & Fittings"
"b97a142e-cba3-4028-a21f-3a1c01509e2c","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 05 - 07, C - G"
"ffcb9a0b-d61b-4c27-89cd-8894928e3aad","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 02 - 03, A - B"
"8a537ed6-8407-4122-95d3-0769835df1bf","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)","ITP 001 - Drainage In Ground Grids 01 - 03, C - G"
"eeb22832-7667-4f58-b150-c7301ed38878","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 1 (EN 1)"," External Sewer"
"e5664f23-9210-5260-8179-fb11c59954ba","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)"," External Sewer","ITP 001 - Drainage In Ground External Sewer"
"61c9f7c3-65e1-4707-9c8a-1b6b1ca890c0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 1 (EN 1)"," Stormwater"
"f1e9e42f-3638-5774-97ed-e74e510a43f1","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 1 (EN 1)"," Stormwater","ITP 001 - Drainage In Ground Stormwater Pits 376 - 383, 833, 996, 1001, 1014 - 1020, 1031 - 1033"
"280fb227-1b01-438d-8ca8-483f2e8565ee","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Entry Building 2 (EN 2)"
"d2c41be8-0415-45b6-9895-72041ab9805f","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 001 - Drainage In Ground Grids 07 - 08, C - G"
"4130f321-41f9-45cf-aaf1-656fd08a5819","Child Inspection & testing prior to Concealing(80c3e506-8cdc-4dce-a208-2ac45a4ea1e4): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(80c3e506-8cdc-4dce-a208-2ac45a4ea1e4): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(80c3e506-8cdc-4dce-a208-2ac45a4ea1e4): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"493977e4-9d80-4ffc-adea-e89d54b683a6","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 003 - Drainage Above Ground"
"4f36400a-199f-43e4-bae5-2cdbd85bc6f4","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 004 - Reticulated Systems Above Ground"
"7bd2c80f-0ccd-4b46-b95d-ae5bd96d6178","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 005 – Fixtures & Fittings"
"76d5570f-6e1e-42ee-938d-ee19a08ee5e1","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 001 - Drainage In Ground Grids 05 - 07, C - G"
"29735d32-fb2c-4ef3-967d-5b2216455060","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 001 - Drainage In Ground  Grids 02 - 03, A - B"
"5f78ed45-89a6-4b48-a32a-78e254920763","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","ITP 001 - Drainage In Ground Grids 01 - 03, C - G"
"7ea4432e-13ca-404c-9a90-01cfbb570ee8","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 2 (EN 2)","Stormwater"
"21c15d34-566a-5561-8b45-efc00e942de8","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","Stormwater","ITP 001 - Drainage In Ground Stormwater Pits 365 - 374, 984 - 988, 993 - 996"
"1a18c224-099e-4053-ab9c-3074384138f0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 2 (EN 2)","External Sewer"
"13b3f357-7b3c-5c3b-97c5-1365d312af32","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 2 (EN 2)","External Sewer","ITP 001 - Drainage In Ground External Sewer"
"c6a122dc-55ba-4d7b-9b48-e2985bb5db4d","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Entry Building 3 (EN 3)"
"1086e4c8-8cf8-4c8f-a327-e7db8fdcf40b","Child Inspection & testing prior to Concealing(284d6ccd-3c06-4a30-9c8d-1fdbe98a7d57): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(284d6ccd-3c06-4a30-9c8d-1fdbe98a7d57): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(284d6ccd-3c06-4a30-9c8d-1fdbe98a7d57): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"45b0959a-49fe-44cd-a980-e2ac321d63f4","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 001 - Drainage In Ground Grids 02 - 03, A - B"
"822dcea6-655e-4775-9892-84c4db7bb8ee","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 001 - Drainage In Ground Grids 01 - 03, C - G"
"337e6fef-843e-43b0-9529-6eb45eded079","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 001 - Drainage In Ground Grids 05 - 07, C - G"
"8d5bd648-aa76-426a-b37c-f50741da3355","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 001 - Drainage In Ground Grids 07 - 08, C - G"
"d3cae9c2-40a8-4b42-b692-6b159222350d","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 3 (EN 3)","External Sewer"
"95c5a82f-0e33-591b-ab2b-25507e51284c","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","External Sewer","ITP 001 - Drainage In Ground External Sewer"
"557b410b-da54-4f5a-ac95-e8d191ce5121","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Entry Building 3 (EN 3)","Stormwater"
"7545426b-5d19-53d3-924e-485fd82c8475","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","Stormwater","ITP 001 - Drainage In Ground Stormwater"
"6e45591e-11c1-5741-86f9-8f08bae2063d","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 003 - Drainage Above Ground"
"0bdeab96-68c8-56b8-b919-4d854c180198","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 004 - Reticulated Above Ground"
"8250a03f-5627-4a09-b965-5c509b7f9160","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","Entry Building 3 (EN 3)","ITP 005 – Fixtures & Fittings"
"48e83ee3-36f2-4a51-9b25-9dbf27a6b38c","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","West Entry Building 1 (WE 1)"
"d5c1c11f-6108-49fe-a4ca-dc885a666325","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 001 - Drainage In Ground Grids 02 - 03, A - B"
"9d601e46-e60c-498e-be85-ed4cd399c10b","Child Inspection & testing prior to Concealing(00c32cf1-3ebf-4de4-bef5-a9e586d53bc1): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(00c32cf1-3ebf-4de4-bef5-a9e586d53bc1): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(00c32cf1-3ebf-4de4-bef5-a9e586d53bc1): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"e1ddea75-df00-4b69-9bc8-8482dd09e8b5","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 003 - Drainage Above Ground"
"accc5be9-129a-437f-b4b5-cf675f5d0c48","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 004 - Reticulated Systems Above Ground"
"f1456ee7-8001-40b8-8589-f045ea77bc34","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 005 – Fixtures & Fittings"
"c0223621-535f-4731-8ae7-9371bdd1be0e","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 001 - Drainage In Ground Grids 01 - 03, C - G"
"423e4db7-490b-4be3-a4a6-010a89dac283","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 001 - Drainage In Ground Grids 06 - 08, E - H"
"bd8f5b0f-23cd-472e-99a9-70f4e8cacaca","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","ITP 001 - Drainage In Ground Grids 08 - 09, H"
"c5227453-a1ca-4fa7-b36d-50353e6f2455","","folder-normal","pass","","step","TRUE","FALSE","Site QA","West Entry Building 1 (WE 1)","External Sewer"
"807822d4-ef81-54ff-95f9-8ccc1db05c3a","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","External Sewer","ITP 001 - Drainage In Ground External Sewer"
"77ac4124-c8a7-4592-aff8-60cdafde064b","","folder-normal","pass","","step","TRUE","FALSE","Site QA","West Entry Building 1 (WE 1)","Stormwater"
"164d0d25-0ddc-547f-bf85-6af955de5fee","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 1 (WE 1)","Stormwater","ITP 001 - Drainage In Ground Stormwater"
"40ab9056-7e3d-4688-947e-d527751550bf","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","West Entry Building 2 (WE 2)"
"2642dadc-5c8c-4323-8b02-c66074b08349","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 001 - Drainage In Ground Grids 02 - 03, A - B"
"6bfdceef-8455-4897-bb92-6a6bb62597f6","Child Inspection & testing prior to Concealing(0d6c8fe1-be03-4fab-bbbc-705fa0af4f78): DataPoint Pressure:(cbb41993-a2ca-4d82-a14d-6545f7a7c729) has hidden property width:100
Child Inspection & testing prior to Concealing(0d6c8fe1-be03-4fab-bbbc-705fa0af4f78): DataPoint Duration:(58a6507f-3e8d-484a-b7eb-2abac0337f6e) has hidden property width:100
Child Inspection & testing prior to Concealing(0d6c8fe1-be03-4fab-bbbc-705fa0af4f78): DataPoint Gauge Number:(8f3793b7-2716-46c8-8e40-bc4863a9fc4c) has hidden property width:100","checklist-flat","pass","ITP 002 – Reticulated Systems In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 002 – Reticulated Systems In Ground (Prefab)"
"3040c64f-af5c-4962-b5d3-1b233af3685e","","checklist-flat","pass","ITP 003 - Drainage Above Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 003 - Drainage Above Ground"
"c1cf5955-b2b0-4e23-a677-9ab0fe0c71f9","","checklist-flat","pass","ITP 004 - Reticulated Above Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 004 - Reticulated Systems Above Ground"
"6a6ea2ea-4545-431c-b754-785e03ede7d6","","checklist-flat","pass","ITP 005 – Fixtures & Fittings","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 005 – Fixtures & Fittings"
"5251b5a9-06ff-4077-a8c1-459af2dfad54","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 001 - Drainage In Ground Grids 01 - 03, C - G"
"3181ed19-b965-485c-8180-98458d314d19","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 001 - Drainage In Ground Grids 06 - 08, E - H"
"483c756e-efd1-4268-8c54-475e078d9d75","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","ITP 001 - Drainage In Ground Grids 08 - 09, H"
"ed65e741-b093-4319-a120-42d1e116cc16","","folder-normal","pass","","step","TRUE","FALSE","Site QA","West Entry Building 2 (WE 2)"," External Sewer"
"c34ee351-fa9d-501d-a21d-8353c5850079","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)"," External Sewer","ITP 001 - Drainage In Ground External Sewer"
"d3be4ce8-e270-4f50-ae89-33a2bbee09b4","","folder-normal","pass","","step","TRUE","FALSE","Site QA","West Entry Building 2 (WE 2)","Stormwater"
"0a9ab47a-2767-510e-83bd-16f3d9212466","","checklist-flat","pass","ITP 001 - Drainage In Ground","checklist-flat","FALSE","FALSE","Site QA","West Entry Building 2 (WE 2)","Stormwater","ITP 001 - Drainage In Ground Stormwater"
"ec207110-d73c-46ef-9e2d-5ee8b9806d4d","","folder-progress","pass","","checklist","TRUE","FALSE","Site QA","Entry Building 6 (EN 6)"
