"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"25cbc7e5-f866-4d0c-96d7-5e33dbe66daa","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 02","Townhouse East","W.02.38.D"
"dd17d39a-4751-4846-88b4-a085875f85c4","","folder-normal","not-started","","step","TRUE","FALSE","Level 03"
"71f7dd42-55b0-40f2-8466-2b41417efd55","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Townhouse North"
"19c005b5-356d-45a1-8c99-916e90402294","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.01.J1"
"6ea69389-8790-4612-961a-efefc14e13bc","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.02.D"
"6b8f5f72-099a-4b9e-ae8a-88764a1b92d6","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.03.J"
"aef72cbf-d556-4b2b-bd38-3c4299e4bc51","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.04.K"
"30cc1474-3740-468c-bf74-d6bb69688f06","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.05.D"
"3efc09e7-261f-4cae-9fda-304007ec2d25","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.06.J"
"246ab2db-a5dc-4afd-b73e-68601c3613fe","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.07.K"
"5b950206-2ea1-4940-bf1b-e666c686fdf1","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.08.D"
"6b2d8683-4b8f-4aab-86d6-0c57237cf70c","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.09.J"
"c40923c1-24e2-4a68-950a-705c40817a1e","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.10.K"
"8c43ac22-3146-47a4-b537-675806d443b4","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.11.D"
"30b747a9-681c-4285-9c4e-ebb23b50aa96","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.12.J"
"add83834-b7cd-44da-87b8-a8240454ac60","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.13.K"
"72656ae9-7f98-471e-85b4-daba75362104","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.14.D"
"cb82622a-67c5-430d-b044-b9f6f5ffe10e","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.15.J"
"58c99b10-4f6d-4a72-91e3-c56a5974122b","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.16.K"
"8e9e73da-26a6-4489-8257-93965fb079eb","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.17.D"
"da18f720-7a5f-4829-b499-e1f78f5e64ec","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.18.J"
"9cff0d65-1fae-41c9-be5d-95e5c1b983dd","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.19.K"
"d547e5fa-98f8-4d8f-94fe-6afda66991f3","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.20.L"
"ebaa529e-323c-4b3e-9ce6-fde7adf3f728","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse North","W.03.21.I"
"4935deaf-55f6-49d1-bcd2-56e76c378341","","folder-normal","not-started","","step","TRUE","FALSE","Level 03","Townhouse East"
"62ba5ea2-8e91-4bb1-a34d-a9662eaf16d8","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.22.M"
"09ae9a3c-20ba-463b-8aa2-7a7a4e22c973","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.23.D"
"bb15d1c6-0c43-4090-87c0-925414f282d9","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.24.L"
"05758fba-1cd7-4259-b954-fb93f2abd3a5","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.25.I"
"14553c04-727b-4c59-9f08-9a4f5c096c7a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.26.D"
"0d9b9adf-bfd4-453f-b9be-4927bc53e938","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.27.L"
"5f74ed5a-7b82-4487-8948-923efc7dac43","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.28.I"
"f6e96af0-2de2-4f50-a8cf-7d90d085f394","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.29.D"
"8b8600af-0f70-4298-839e-ef5ff4b84ffe","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.30.J"
"e3e3cab4-891c-4868-922d-1795cd3b362a","","checklist-sectioned","not-started","Install QA","checklist","FALSE","FALSE","Level 03","Townhouse East","W.03.31.I"
