"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c5de2373-0b28-4f5a-aeee-abb768c32941","","work-in-progress","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024"
"4bc3ea4a-97e5-4f1f-9cee-0c029f216668","","work-in-progress","","folder","TRUE","FALSE","September 23, 2024 - September 27, 2024","Monday"
"e6910864-95bc-435b-ad36-198722de0461","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Tuesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"2b2b62b0-625c-48f6-a9ae-d9ccd6150afb","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Tuesday","3/30 Albert Street, Cambridge, 3434"
"4a2390b0-2c36-484b-b934-3bf676f93b4b","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Tuesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"3c77069f-01c2-4685-aecb-802d78031d15","","pass","","folder","TRUE","FALSE","September 30, 2024 - October 4, 2024","Wednesday"
"1f79aace-70aa-4f9b-a7e8-7c08c4f4d4af","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Wednesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"a2d7d776-3d1c-4f60-b680-9d0cb3b55992","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Wednesday","3/30 Albert Street, Cambridge, 3434"
"360344a4-e061-4784-be9e-5ad53315cdf1","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Wednesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"a688cd30-959c-4ebe-8872-41ca099149de","","pass","","folder","TRUE","FALSE","September 30, 2024 - October 4, 2024","Thursday"
"9ef531c3-d045-4a51-b549-29046d14ddcc","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Thursday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"ba06c487-4361-43b7-a049-90708121fb43","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Thursday","3/30 Albert Street, Cambridge, 3434"
"75b7e51f-9102-4e62-b073-28aad8ec493c","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Thursday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"00b6d6bb-9e8f-4af6-912f-9571732647b1","","pass","","folder","TRUE","FALSE","September 30, 2024 - October 4, 2024","Friday"
"657927c4-071c-4692-bcd0-bb3503ca0053","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Friday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"eb1b8341-b49c-4111-a3fb-a371443490e1","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Friday","3/30 Albert Street, Cambridge, 3434"
"33c92abc-bb32-4723-a495-c1287a3f8627","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","September 30, 2024 - October 4, 2024","Friday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"819b0977-3398-4aff-a146-442244f99a8f","","pass","","folder","TRUE","FALSE","October 7, 2024 - October 11, 2024"
"ecf32aa8-19db-4fb3-9261-573b4e16ea6c","","pass","","folder","TRUE","FALSE","October 7, 2024 - October 11, 2024","Monday"
"fb0d1926-c14b-4f60-bbe7-587caf466d8c","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Monday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"209b2f60-a968-46a7-ab60-7786f68c45ae","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Monday","3/30 Albert Street, Cambridge, 3434"
"e039a877-fb48-4458-9870-551750f25663","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Monday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"141e2e19-d3b7-4761-bdca-b8ced755c6ed","","pass","","folder","TRUE","FALSE","October 7, 2024 - October 11, 2024","Tuesday"
"dc5016e6-aec4-4391-b68e-5d1b4ac7ba3f","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Tuesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"2ed0af1d-1ad4-477e-af12-25ece929d2e1","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Tuesday","3/30 Albert Street, Cambridge, 3434"
"b03500f9-1e1e-48d0-b29e-01c3965b0610","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Tuesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"f1af41e2-fc80-46c2-b3ca-ea338b6b7fa1","","pass","","folder","TRUE","FALSE","October 7, 2024 - October 11, 2024","Wednesday"
"c62eefc9-5ca1-402e-ba42-fe14cf0d28d3","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Wednesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"ab1790a5-b1c3-497a-884f-5575c375480d","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Wednesday","3/30 Albert Street, Cambridge, 3434"
"d2060096-6b8b-4a1f-8ea0-2eaa249539be","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Wednesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"1ed85f2d-6659-4704-a88f-6e2247e73a58","","pass","","folder","TRUE","FALSE","October 7, 2024 - October 11, 2024","Thursday"
"de48bdf4-7318-4154-aa29-0ef8d99eecbe","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Thursday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"6da601f8-88cd-4f55-a4ec-929fcaeb2572","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Thursday","3/30 Albert Street, Cambridge, 3434"
"9fee99bd-cf74-451f-b603-4021c3b3d33a","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Thursday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"d24329e0-5dbf-4048-bdd2-62990804fe69","","pass","","folder","TRUE","FALSE","October 7, 2024 - October 11, 2024","Friday"
"0b099fa6-623f-4fc0-b87f-80c6e3db662f","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Friday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"492ba9d4-9021-4bdd-a66a-bd908f751c7b","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Friday","3/30 Albert Street, Cambridge, 3434"
"b14ba4fd-557c-4a7a-83b4-f920d6b4416c","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 7, 2024 - October 11, 2024","Friday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"4e55414d-5a2f-4342-9881-34136699f299","","work-in-progress","","folder","TRUE","FALSE","October 14, 2024 - October 18, 2024"
"7a8f205e-70fa-4db7-9061-b44a626654ae","","work-in-progress","","folder","TRUE","FALSE","October 14, 2024 - October 18, 2024","Monday"
"fb851aae-8a74-453b-a66e-4033301bf682","","work-in-progress","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Monday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"6c4734de-c5e7-4218-a4b1-74064969bab1","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Monday","3/30 Albert Street, Cambridge, 3434"
"37e82626-6a98-4951-b8e3-8f094a49b927","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Monday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"add590ae-c712-432d-936b-a0bce51a3ea3","","pass","","folder","TRUE","FALSE","October 14, 2024 - October 18, 2024","Tuesday"
"503ee87a-52a1-4ca0-b6a5-0571015f582a","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Tuesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"538b94c7-da8e-4d0c-83c1-ac61a7bbe7cc","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Tuesday","3/30 Albert Street, Cambridge, 3434"
"04c631ad-d3c9-4b17-b426-7a0609ee5c28","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Tuesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"10ac5efe-ae5f-47a9-9ef5-9a31d1527e54","","pass","","folder","TRUE","FALSE","October 14, 2024 - October 18, 2024","Wednesday"
"2ea9387b-eddb-44ca-937d-d462fb5f11f5","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Wednesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"1c3640e3-9ce7-406c-a7ad-b635aa5e7d07","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Wednesday","3/30 Albert Street, Cambridge, 3434"
"e221e111-73a9-4488-88c2-c26381abe3ad","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Wednesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"144ba95c-48cf-4248-8971-4bd3c5c1ff20","","pass","","folder","TRUE","FALSE","October 14, 2024 - October 18, 2024","Thursday"
"a1e4cd5a-4482-4baf-9880-0ea05ec6ef8f","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Thursday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"8cfbeae4-5e91-4771-a01b-a3097debd2b2","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Thursday","3/30 Albert Street, Cambridge, 3434"
"ab543ef9-c7eb-41bd-a68a-1e2d7e4697c8","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Thursday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"e8b30087-4737-44bc-8fa7-744f4d5307f4","","pass","","folder","TRUE","FALSE","October 14, 2024 - October 18, 2024","Friday"
"1b2af74a-f837-4d90-83e9-e5586b2ab013","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Friday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"a3e6a05e-3690-46e0-9f37-b0048b030c39","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Friday","3/30 Albert Street, Cambridge, 3434"
"ef386e51-ebd5-4c3d-a63c-cacd5be49563","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 14, 2024 - October 18, 2024","Friday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"b2c2bf0c-7795-4f4c-8518-228126f6fdf5","","pass","","folder","TRUE","FALSE","October 21, 2024 - October 25, 2024"
"2dae74cb-2668-4022-b64a-805d5f8941ea","","pass","","folder","TRUE","FALSE","October 21, 2024 - October 25, 2024","Monday"
"106ba033-2a8e-46d7-83a2-e39ca454bbab","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Monday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"cd61c264-8021-4e7c-8140-23ab1ddcb641","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Monday","3/30 Albert Street, Cambridge, 3434"
"e5fe2817-e6ee-4170-b2b8-c446a9d6892e","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Monday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"7f06e1b2-0e14-4c8f-935b-222c352dd968","","pass","","folder","TRUE","FALSE","October 21, 2024 - October 25, 2024","Tuesday"
"2fe436c7-9778-4950-a7e9-ecbcdb390a57","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Tuesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"e0c8198a-eca1-4c40-b69c-ea55afdfdda3","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Tuesday","3/30 Albert Street, Cambridge, 3434"
"97207b2a-855b-46d9-8eb5-a7b26eae8500","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Tuesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"4b4dc0e4-83b4-4392-a4cc-a350074b3998","","pass","","folder","TRUE","FALSE","October 21, 2024 - October 25, 2024","Wednesday"
"d9f757d5-d37b-4c2d-91a8-2fc535ce6ea1","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Wednesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"106ddc48-c9d7-4f1c-a519-a0c293064d8a","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Wednesday","3/30 Albert Street, Cambridge, 3434"
"168aee65-b616-455c-a269-f20eebd305b7","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Wednesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"34c3a175-31f9-4086-b0a5-e6167afd4444","","pass","","folder","TRUE","FALSE","October 21, 2024 - October 25, 2024","Thursday"
"9052546e-5771-4bb1-92c6-dff4a0fb9e37","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Thursday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"b4a937cc-5004-40f6-86ef-36a6e9aaf807","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Thursday","3/30 Albert Street, Cambridge, 3434"
"8fda878d-1b51-4e8f-8d36-073df6cab191","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Thursday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"374d8f48-f4f6-407c-b727-33e480e36c13","","pass","","folder","TRUE","FALSE","October 21, 2024 - October 25, 2024","Friday"
"a9c9c4d5-c7fb-4fb6-9043-74bad78d6429","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Friday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"f1413c51-bf36-4664-a4bf-87ee5e928347","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Friday","3/30 Albert Street, Cambridge, 3434"
"acd2d047-8aa8-4a31-a441-d8a28924c730","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 21, 2024 - October 25, 2024","Friday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"c4c62a7c-ccc0-4942-b539-dbbddd43bd58","","work-in-progress","","folder","TRUE","FALSE","October 28, 2024 - November 1, 2024"
"dabc8137-07eb-4694-b840-84a004ebb8d2","","work-in-progress","","folder","TRUE","FALSE","October 28, 2024 - November 1, 2024","Monday"
"7993f30c-1bbd-4e1d-a238-04c11c3b6042","","work-in-progress","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Monday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"663970a9-3b76-4282-a3af-e6536b60b09c","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Monday","3/30 Albert Street, Cambridge, 3434"
"575c63ea-e8b6-42cf-aaff-644a12cbe8be","","not-started","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Monday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"87231a03-b2c2-454c-8df5-b6afd0255c87","","pass","","folder","TRUE","FALSE","October 28, 2024 - November 1, 2024","Tuesday"
"0afdcdc5-044e-4af4-a1b3-c16605ef648d","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Tuesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"a4996e8e-fa5b-4f21-8635-fd593bbab132","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Tuesday","3/30 Albert Street, Cambridge, 3434"
"716d397b-bcd5-4922-964e-1cb263ab327a","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Tuesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"715f4f6a-1019-4db9-a757-27dfb5906410","","pass","","folder","TRUE","FALSE","October 28, 2024 - November 1, 2024","Wednesday"
"9193c8bb-8137-4abf-adf2-58063e64cf07","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Wednesday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"8743d1d1-0dc9-448f-8739-d1d3d30199c8","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Wednesday","3/30 Albert Street, Cambridge, 3434"
"d1b5b857-7e7f-45c2-a11f-f0ce25606295","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Wednesday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"cdddabaf-4733-42cc-89eb-90fe908048db","","work-in-progress","","folder","TRUE","FALSE","October 28, 2024 - November 1, 2024","Thursday"
"1c076ebc-71b4-4ebb-bcbe-20e2954291cb","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Thursday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"321fee03-fce6-43f2-ab8e-188169039b57","","work-in-progress","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Thursday","3/30 Albert Street, Cambridge, 3434"
"668e1942-237a-45b7-9ea9-9bdc7b357a0b","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Thursday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"9fe2b0ae-b305-44e3-9766-639cc4046d5b","","pass","","folder","TRUE","FALSE","October 28, 2024 - November 1, 2024","Friday"
"2facbb40-4ec8-4f69-848f-92ecd5286d91","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Friday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"250310bb-00ed-4187-8d27-982a63df91fb","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Friday","3/30 Albert Street, Cambridge, 3434"
"80a0aece-021c-485f-bfe5-fcf15861161a","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","October 28, 2024 - November 1, 2024","Friday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"2c293db8-b71f-4c46-befa-c5adc1837d4d","","work-in-progress","","folder","TRUE","FALSE","November 4, 2024 - November 8, 2024"
"1b38de13-3c76-4435-b224-8d22ef098120","","pass","","folder","TRUE","FALSE","November 4, 2024 - November 8, 2024","Monday"
"310272fc-580c-4af3-8a77-149cf8233fec","","pass","91 Matakokiri Drive, Tauriko, Tauranga 3110","checklist","FALSE","FALSE","November 4, 2024 - November 8, 2024","Monday","91 Matakokiri Drive, Tauriko, Tauranga 3110"
"cb8f8088-4899-43d4-924e-fbf2cb1648fa","","pass","3/30 Albert Street, Cambridge, 3434","checklist","FALSE","FALSE","November 4, 2024 - November 8, 2024","Monday","3/30 Albert Street, Cambridge, 3434"
"cdde7b86-fee2-4918-b6ba-d7d210d58bd7","","pass","1/8 Puriri Street, Hilltop, Taupo, 3330","checklist","FALSE","FALSE","November 4, 2024 - November 8, 2024","Monday","1/8 Puriri Street, Hilltop, Taupo, 3330"
"205afe1b-6950-4056-a86d-66e7fd38433a","","work-in-progress","","folder","TRUE","FALSE","November 4, 2024 - November 8, 2024","Tuesday"
