"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3b906e21-6fc0-46a3-8dbb-c875ba96e5d5","","fail","","folder","TRUE","FALSE","Tasks 2024"
"03b38ee6-c0df-4b9e-af1e-49657109d40e","","fail","","folder","TRUE","FALSE","Tasks 2024","March 11, 2024 - March 15, 2024"
"a9925116-9c48-4e86-93ed-30d7b5833fd4","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","April 22, 2024 - April 26, 2024","Tuesday"
"8dc830d5-2c9c-400c-ac84-cc3b480dfb6a","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","April 22, 2024 - April 26, 2024","Wednesday"
"9a2c96e5-68ff-4d21-b3f1-dd0297926064","","not-applicable","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","April 22, 2024 - April 26, 2024","Thursday"
"60508967-e002-4cd6-8441-46deecc9a477","","not-applicable","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","April 22, 2024 - April 26, 2024","Friday"
"4ac38320-d531-4999-a282-abf0058b145d","","pass","","folder","TRUE","FALSE","Tasks 2024","April 29, 2024 - May 3, 2024"
"9b6b227c-d741-40ad-9e2e-149686bc1257","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","April 29, 2024 - May 3, 2024","Monday"
"4cfea333-3b2f-4fe3-8cde-1c326df396e1","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","April 29, 2024 - May 3, 2024","Tuesday"
"2edc2c42-e8f2-46a3-99cd-1b4633e8f4fe","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","April 29, 2024 - May 3, 2024","Wednesday"
"b8c96945-3c2c-4bee-8e12-8d229519d76a","","pass","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","April 29, 2024 - May 3, 2024","Thursday"
"061aa1c2-ac6a-4595-b455-c770c04192d7","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","April 29, 2024 - May 3, 2024","Friday"
"376afaad-8ea6-46ca-ab90-e5cf09ea1bed","","pass","","folder","TRUE","FALSE","Tasks 2024","May 6, 2024 - May 10, 2024"
"0941c0ca-f246-4a38-aac6-ee01f2cba3b1","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","May 6, 2024 - May 10, 2024","Monday"
"4039adb4-0c9e-4e86-882b-3683303b2826","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 6, 2024 - May 10, 2024","Tuesday"
"b170490b-938e-47c8-b9da-370ad4dad620","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 6, 2024 - May 10, 2024","Wednesday"
"327e1bce-710a-40b6-a8ee-b09a6dcd26dc","","pass","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","May 6, 2024 - May 10, 2024","Thursday"
"aa653a1e-77a8-458d-b25d-afc31166fcfd","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 6, 2024 - May 10, 2024","Friday"
"3d928bf4-52f2-4ce3-a45d-1a9fe1f61f2b","","fail","","folder","TRUE","FALSE","Tasks 2024","May 13, 2024 - May 17, 2024"
"9b21cb4d-7f29-43ba-8acd-7b9eaf3995aa","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","May 13, 2024 - May 17, 2024","Monday"
"eb28ebd3-57c6-47b1-bd3f-f90a8f5fe952","","fail","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 13, 2024 - May 17, 2024","Tuesday"
"6b6ce991-1cba-41e0-bc22-da7682e4f69f","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 13, 2024 - May 17, 2024","Wednesday"
"9c311ead-0c4f-42af-a633-406e748625a2","","fail","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","May 13, 2024 - May 17, 2024","Thursday"
"d6ca5065-b139-4526-bda2-ef2e1e1e77f3","","work-in-progress","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 13, 2024 - May 17, 2024","Friday"
"c11a27b4-b85c-4dc2-b5f6-bbe3b0e95326","","fail","","folder","TRUE","FALSE","Tasks 2024","May 20, 2024 - May 24, 2024"
"e22c6387-13e0-4025-a0eb-c0669f6d269e","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","May 20, 2024 - May 24, 2024","Monday"
"4cab15ad-8478-4e4d-bf42-a2c2ace3f22a","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 20, 2024 - May 24, 2024","Tuesday"
"651953ff-3004-4c0c-a441-7532e7ac548e","","fail","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 20, 2024 - May 24, 2024","Wednesday"
"c727d574-685f-46ae-afe7-e054b0034666","","fail","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","May 20, 2024 - May 24, 2024","Thursday"
"dbb0ff64-0fb3-4eb3-a05c-9c2c568bbfa7","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 20, 2024 - May 24, 2024","Friday"
"15472d59-53af-4819-b17b-0bba7dbe1cf7","","pass","","folder","TRUE","FALSE","Tasks 2024","May 27, 2024 - May 31, 2024"
"84dda012-1f4a-40f9-be2e-d5495895acc7","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","May 27, 2024 - May 31, 2024","Monday"
"a8845b09-326c-4ded-881a-6266e6c41ef7","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 27, 2024 - May 31, 2024","Tuesday"
"dd6e3769-9c13-43af-847b-175e46b9b595","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 27, 2024 - May 31, 2024","Wednesday"
"66707edd-3dc5-4a87-bd5f-422f4369aa85","","pass","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","May 27, 2024 - May 31, 2024","Thursday"
"9fae4987-3a7a-4050-867d-f1a99c6c6890","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","May 27, 2024 - May 31, 2024","Friday"
"ff54548f-31ea-4350-bf40-66e0928cb925","","fail","","folder","TRUE","FALSE","Tasks 2024","June 3, 2024 - June 7, 2024"
"f4c3d603-811a-4ae9-bee0-10a8c4f214b2","","not-applicable","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","June 3, 2024 - June 7, 2024","Monday"
"48bacf64-21ca-46cf-938a-b32b8b5f180f","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 3, 2024 - June 7, 2024","Tuesday"
"61d88b42-07b3-4526-98c7-55711aeefbb3","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 3, 2024 - June 7, 2024","Wednesday"
"af19bb5a-cf14-433f-aaf1-88c23ff268e2","","fail","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","June 3, 2024 - June 7, 2024","Thursday"
"edc8181d-7c5f-4fb5-94ad-28ad5e2959cc","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 3, 2024 - June 7, 2024","Friday"
"07d8c1a6-a4d7-4397-b104-df15d025985e","","pass","","folder","TRUE","FALSE","Tasks 2024","June 10, 2024 - June 14, 2024"
"6aad7dd6-bd8c-49a0-8746-a4f16e3bc3ae","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","June 10, 2024 - June 14, 2024","Monday"
"4d394a49-7699-4393-b88d-2ec4dea4d9c3","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 10, 2024 - June 14, 2024","Tuesday"
"16ca2c13-2179-45b1-b227-5c267a35f141","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 10, 2024 - June 14, 2024","Wednesday"
"4689e2f3-3a73-4365-ae4b-8a0fcbbcee9e","","pass","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","June 10, 2024 - June 14, 2024","Thursday"
"840de6b5-656f-4b9f-af2f-ef5305660e02","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 10, 2024 - June 14, 2024","Friday"
"6ed74ed1-1a53-4223-9607-9b7aae52b0bb","","pass","","folder","TRUE","FALSE","Tasks 2024","June 17, 2024 - June 21, 2024"
"7201d847-73aa-45a1-a1ad-e7ad678ff0b0","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","June 17, 2024 - June 21, 2024","Monday"
"e037d583-75ff-4e29-b5e0-1f51f82d3147","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 17, 2024 - June 21, 2024","Tuesday"
"3bba2902-6f71-46c2-b8db-660b0fb2e185","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 17, 2024 - June 21, 2024","Wednesday"
"0bee3142-afc6-46ec-84a7-164ada06382f","","pass","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","June 17, 2024 - June 21, 2024","Thursday"
"9e14159b-8ec1-4a86-8033-3810ac3e6fc4","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 17, 2024 - June 21, 2024","Friday"
"ab58380e-f5fd-4a7f-8f85-64a7618ae05e","","fail","","folder","TRUE","FALSE","Tasks 2024","June 24, 2024 - June 28, 2024"
"a9c5e258-0b06-41ee-8cf1-865afdbcb797","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","June 24, 2024 - June 28, 2024","Monday"
"1079dcd5-ba0e-4753-ab98-5b254bda615c","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 24, 2024 - June 28, 2024","Tuesday"
"9ec764cf-23f1-4c0a-8263-5d44757a00cb","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 24, 2024 - June 28, 2024","Wednesday"
"0febcc44-f0c4-4b44-8a45-440f554e1937","","fail","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","June 24, 2024 - June 28, 2024","Thursday"
"1255dbc6-5a18-4cb8-9cf2-36b922a003e0","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","June 24, 2024 - June 28, 2024","Friday"
"8f4deec0-0485-4c77-acae-b677ae72c66b","","pass","","folder","TRUE","FALSE","Tasks 2024","July 1, 2024 - July 5, 2024"
"e27f1ce9-bfdb-40ce-9730-e4e03b6ddcb8","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","July 1, 2024 - July 5, 2024","Monday"
"e3703364-b217-4f82-b50b-c78941ea266e","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","July 1, 2024 - July 5, 2024","Tuesday"
"b2698394-535f-436f-8722-49ed3a053777","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","July 1, 2024 - July 5, 2024","Wednesday"
"77f1d535-2a7a-4a8d-96f6-3143d0694823","","pass","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","July 1, 2024 - July 5, 2024","Thursday"
"d2b076eb-63dd-410c-a897-d3406a7fa47c","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","July 1, 2024 - July 5, 2024","Friday"
"d1afef47-1576-4c64-b1db-9e3415e729d8","","fail","","folder","TRUE","FALSE","Tasks 2024","July 8, 2024 - July 12, 2024"
"2bfab21c-d462-48a2-89ad-7cde7568fadb","","pass","SYS - Monday - v2","checklist","FALSE","FALSE","Tasks 2024","July 8, 2024 - July 12, 2024","Monday"
"d9766efc-cfdf-488e-9899-94006ec094f9","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","July 8, 2024 - July 12, 2024","Tuesday"
"0c78eadb-19a4-4b49-9e3b-2b4cf4a8bbe6","","pass","SYS - Wednesday - v2","checklist","FALSE","FALSE","Tasks 2024","July 8, 2024 - July 12, 2024","Wednesday"
"f69c80c1-91df-4675-acc4-cbb7394380f0","","fail","SYS - Thursday - v2","checklist","FALSE","FALSE","Tasks 2024","July 8, 2024 - July 12, 2024","Thursday"
"3e11af9c-a91c-4144-8563-76ac4386fc76","","pass","SYS - Tuesday - v2","checklist","FALSE","FALSE","Tasks 2024","July 8, 2024 - July 12, 2024","Friday"
"f42dd7ae-1130-480f-a374-beff8bf34500","","fail","","folder","TRUE","FALSE","Tasks 2024","July 15, 2024 - July 19, 2024"
"d0cae06c-5743-4775-8f18-9bedcdef3efe","","pass","156f8de3f915e943953ef5c1ecd0e9fea0b2acc9e2e2412786567ae958f1d7f8","checklist","FALSE","FALSE","Tasks 2024","July 15, 2024 - July 19, 2024","Monday"
"316f1596-b64f-4595-bae2-15826a662722","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","July 15, 2024 - July 19, 2024","Tuesday"
"6c73104d-ea35-418b-9d5c-94d024f3d829","","work-in-progress","378708c06054dc1fda148f49d6eaaecb2b45680ddbc36cc5597dbb0d4c1ddce7","checklist","FALSE","FALSE","Tasks 2024","July 15, 2024 - July 19, 2024","Wednesday"
"39394acd-3671-4d5e-bbb0-1553dedc5b45","","fail","46256d60c2a117c8df31509daf52ce0bb2bd4134be6b1a00c97bb3c7d48d0081","checklist","FALSE","FALSE","Tasks 2024","July 15, 2024 - July 19, 2024","Thursday"
"f3bb6b4f-d12c-410d-907c-bb09349a938d","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","July 15, 2024 - July 19, 2024","Friday"
"7ea6f814-e5ea-4bcf-af35-b55488eb9651","","pass","","folder","TRUE","FALSE","Tasks 2024","July 22, 2024 - July 26, 2024"
"50645409-1df2-4b66-83ac-e9d050853255","","pass","156f8de3f915e943953ef5c1ecd0e9fea0b2acc9e2e2412786567ae958f1d7f8","checklist","FALSE","FALSE","Tasks 2024","July 22, 2024 - July 26, 2024","Monday"
"92e2331c-2ce4-455f-addc-c7bc6aabd003","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","July 22, 2024 - July 26, 2024","Tuesday"
"ae3caabd-45ee-4df1-9fd6-3b760f1e7f7b","","pass","378708c06054dc1fda148f49d6eaaecb2b45680ddbc36cc5597dbb0d4c1ddce7","checklist","FALSE","FALSE","Tasks 2024","July 22, 2024 - July 26, 2024","Wednesday"
"8621ff57-0c5d-49e4-acbf-94aaf4b35a6a","","pass","46256d60c2a117c8df31509daf52ce0bb2bd4134be6b1a00c97bb3c7d48d0081","checklist","FALSE","FALSE","Tasks 2024","July 22, 2024 - July 26, 2024","Thursday"
"56f92d02-3d4c-4af7-813e-54d74c8e2779","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","July 22, 2024 - July 26, 2024","Friday"
"d898d23c-0e90-40ba-8a3c-b4c12b607093","","pass","","folder","TRUE","FALSE","Tasks 2024","July 29, 2024 - August 2, 2024"
"ecdcb1c5-462a-40da-b95b-9dbbe42f056e","","pass","156f8de3f915e943953ef5c1ecd0e9fea0b2acc9e2e2412786567ae958f1d7f8","checklist","FALSE","FALSE","Tasks 2024","July 29, 2024 - August 2, 2024","Monday"
"c9812329-d9a5-4408-99ee-28145e9b3f63","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","July 29, 2024 - August 2, 2024","Tuesday"
"4aa02f2d-0192-4edd-bbf9-506abbbd69f1","","pass","378708c06054dc1fda148f49d6eaaecb2b45680ddbc36cc5597dbb0d4c1ddce7","checklist","FALSE","FALSE","Tasks 2024","July 29, 2024 - August 2, 2024","Wednesday"
"88ec3e07-0da0-434d-bfee-233aebad07af","","pass","46256d60c2a117c8df31509daf52ce0bb2bd4134be6b1a00c97bb3c7d48d0081","checklist","FALSE","FALSE","Tasks 2024","July 29, 2024 - August 2, 2024","Thursday"
"16aecfe4-184c-4b0d-b300-54edabe87021","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","July 29, 2024 - August 2, 2024","Friday"
"f787e3d3-ede8-40af-afe8-5e81c28bf047","","pass","","folder","TRUE","FALSE","Tasks 2024","August 5, 2024 - August 9, 2024"
"e33dd1bb-6efa-4b28-9167-3e0e61099ee2","","pass","156f8de3f915e943953ef5c1ecd0e9fea0b2acc9e2e2412786567ae958f1d7f8","checklist","FALSE","FALSE","Tasks 2024","August 5, 2024 - August 9, 2024","Monday"
"849d967d-aae5-4dfe-bd0c-66483b0ce6a0","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","August 5, 2024 - August 9, 2024","Tuesday"
"2965bb01-80ab-4401-843f-a160bd95b480","","pass","378708c06054dc1fda148f49d6eaaecb2b45680ddbc36cc5597dbb0d4c1ddce7","checklist","FALSE","FALSE","Tasks 2024","August 5, 2024 - August 9, 2024","Wednesday"
"eb545ca6-bcc7-4941-8bdc-bf1906465998","","pass","46256d60c2a117c8df31509daf52ce0bb2bd4134be6b1a00c97bb3c7d48d0081","checklist","FALSE","FALSE","Tasks 2024","August 5, 2024 - August 9, 2024","Thursday"
"6ba1ec0a-e588-4c78-8407-3ead89f63f64","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","August 5, 2024 - August 9, 2024","Friday"
"90ea198e-97f8-4e2d-a4f9-674cdb4bb856","","fail","","folder","TRUE","FALSE","Tasks 2024","August 12, 2024 - August 16, 2024"
"9ca8b16f-9c9f-465c-8f42-1e44cb4a3d40","","pass","156f8de3f915e943953ef5c1ecd0e9fea0b2acc9e2e2412786567ae958f1d7f8","checklist","FALSE","FALSE","Tasks 2024","August 12, 2024 - August 16, 2024","Monday"
"14b63557-62bd-484d-95d4-9564aa8c8e11","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","August 12, 2024 - August 16, 2024","Tuesday"
"49f20b31-77bc-4407-9ce5-53e6112038de","","pass","378708c06054dc1fda148f49d6eaaecb2b45680ddbc36cc5597dbb0d4c1ddce7","checklist","FALSE","FALSE","Tasks 2024","August 12, 2024 - August 16, 2024","Wednesday"
"6a780927-029c-4731-9ccc-912ef0d64c5c","","fail","46256d60c2a117c8df31509daf52ce0bb2bd4134be6b1a00c97bb3c7d48d0081","checklist","FALSE","FALSE","Tasks 2024","August 12, 2024 - August 16, 2024","Thursday"
"0bdb2997-a904-4d8c-b93b-4a6ce645b644","","fail","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","August 12, 2024 - August 16, 2024","Friday"
"00875db8-8f63-4d4c-8d65-b2a172cf9573","","work-in-progress","","folder","TRUE","FALSE","Tasks 2024","August 19, 2024 - August 23, 2024"
"92f96195-49d1-4c82-8a41-17c24af7281f","","pass","156f8de3f915e943953ef5c1ecd0e9fea0b2acc9e2e2412786567ae958f1d7f8","checklist","FALSE","FALSE","Tasks 2024","August 19, 2024 - August 23, 2024","Monday"
"619458bf-2390-4dd5-b851-4988a1d862f9","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","August 19, 2024 - August 23, 2024","Tuesday"
"5104c2db-2ddc-4b68-9d33-e8a9082ca822","","pass","378708c06054dc1fda148f49d6eaaecb2b45680ddbc36cc5597dbb0d4c1ddce7","checklist","FALSE","FALSE","Tasks 2024","August 19, 2024 - August 23, 2024","Wednesday"
"58990655-7d5b-44f7-a349-2ab58f7db4d1","","work-in-progress","46256d60c2a117c8df31509daf52ce0bb2bd4134be6b1a00c97bb3c7d48d0081","checklist","FALSE","FALSE","Tasks 2024","August 19, 2024 - August 23, 2024","Thursday"
"f33955b6-6322-4bbc-b27c-c46f3e295b8d","","pass","d21daf0b90ea0583c4ee7e6529832943c8430ae3aadadb270466cf2d9ec42567","checklist","FALSE","FALSE","Tasks 2024","August 19, 2024 - August 23, 2024","Friday"
"1f5de8dd-c4df-4a90-a73f-b2e4f93e9524","","work-in-progress","","folder","TRUE","FALSE","Tasks 2024","August 26, 2024 - August 30, 2024"
"ca141f29-9a32-4c87-a3f3-f9bf93179ed8","","pass","156f8de3f915e943953ef5c1ecd0e9fea0b2acc9e2e2412786567ae958f1d7f8","checklist","FALSE","FALSE","Tasks 2024","August 26, 2024 - August 30, 2024","Monday"
