"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"56e40a72-2b25-49db-868e-36914e8abc92","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"cd18e247-535f-41a0-8ae9-bf368e7df6f3","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Pool Terrace"
"1e1e065a-e0a0-4577-94f6-f3b36d62a661","","checklist-flat","not-started","29caa27820af3e5abcf2f5b958b2ed5d05691673c63cd76b0a7f2a5613d757df","checklist-flat","FALSE","FALSE","Site QA","Level 1","Window Reveals"
"9a56d1df-3879-48de-8ac2-24417db844be","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 2"
"ff618d1f-9858-4738-96d4-8cf8979735bb","","checklist-flat","pass","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 2","Internal Wet Areas - Floors and Walls"
"de700eb6-8aa1-48ed-b612-d86170efcae8","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 2","Planters - Floors and Walls"
"5b1e6f1e-5fcc-4143-b71e-a1aa848022d9","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Level 2","Terrace - Floors"
"ffb2c2ba-3dd8-4bb0-9953-b5bdbd4059f8","","checklist-flat","not-started","29caa27820af3e5abcf2f5b958b2ed5d05691673c63cd76b0a7f2a5613d757df","checklist-flat","FALSE","FALSE","Site QA","Level 2","Window Reveals"
"866ff2b0-b47a-472f-a209-fe90670d3145","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Level 3"
"39b63c28-eb0d-488f-a566-10e4e37ef64f","","checklist-flat","pass","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 3","Internal Wet Areas - Floors and Walls"
"7c24ad1a-2184-4246-92b8-869fe7f50eb5","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Level 3","Terrace - Floors"
"9525ca3e-01c3-45a7-b840-0946f118f718","","checklist-flat","not-started","29caa27820af3e5abcf2f5b958b2ed5d05691673c63cd76b0a7f2a5613d757df","checklist-flat","FALSE","FALSE","Site QA","Level 3","Window Reveals"
"e4be2c87-0020-4947-a801-bd65904fb16b","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 4"
"c5d31edc-104a-4de9-bbaf-fa65a4e5ee62","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 4","Internal Wet Areas - Floors and Walls"
"a42e0d1b-0e17-473a-b296-90c455bc06a6","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 4","Planters - Floors and Walls"
"53889c4e-f9db-41cc-85bc-56ee68e21437","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Level 4","Terrace - Floors"
"1268fdd7-3cde-4aaf-9844-bdd832dc50c3","","checklist-flat","not-started","29caa27820af3e5abcf2f5b958b2ed5d05691673c63cd76b0a7f2a5613d757df","checklist-flat","FALSE","FALSE","Site QA","Level 4","Window Reveals"
"75297d9d-f6e7-4b9b-b216-f9b2b380ab8c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 5"
"58af3acd-3d17-45cf-ad2d-9f69cd4e6ff9","","checklist-flat","not-started","a869727860719b229b2e4c5b311952cb70336b2ab217910bf65d94a044b1f676","checklist-flat","FALSE","FALSE","Site QA","Level 5","Internal Wet Areas - Floors and Walls"
"a9180c42-03c9-42f6-a145-9d709b6db5ce","","checklist-flat","not-started","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Level 5","Terrace - Floors"
"0c9feeeb-85ae-4da1-8fbc-8eb539875af0","","checklist-flat","not-started","29caa27820af3e5abcf2f5b958b2ed5d05691673c63cd76b0a7f2a5613d757df","checklist-flat","FALSE","FALSE","Site QA","Level 5","Window Reveals"
"dbe360e0-5088-4b51-83b0-6eca8d2261da","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Roof"
"10a7bf0a-fdf7-42fa-98f7-89dd72889ba5","","checklist-flat","pass","94abbeaf1d02bdbb4c26bb3d8c7e621ffeb7c7a4dba925cbb586c7ce9be9ee75","checklist-flat","FALSE","FALSE","Site QA","Roof","Roof - Floors"
