"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1173a02e-4d35-4b4c-9dc4-550a0b480bea","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-001 - Clearing and Grubbing"
"1ed41c1b-b0f3-4e76-8d17-b41dd90e2bb1","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0334 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-07"
"17fb4543-0f6d-469c-a60d-f9f03d15df67","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0335 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-08"
"9e30ac3d-4eb5-4649-b047-199cbd825885","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0336 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-09"
"dc2e8cd3-7cd5-4145-8fa3-95331f47349a","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0337 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-10"
"a434772a-1140-41d1-8bd1-31477796562c","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0338 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-11"
"2d28328b-5a0d-498e-81a4-90a3137fa3a4","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0339 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-12"
"e587d110-cbb8-4e08-af0b-64523bd9ac37","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0340 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-13"
"7360fec7-4b47-4710-bceb-641d3fd3a259","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0341 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-14"
"93e5c66c-450e-4ed4-a7b6-a8819d3113e4","","checklist-sectioned","work-in-progress","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","FHC-ITP-008 - Stormwater Drainage","708-0342 - Stormwater Drainage - Bus Interchange - FHC-ITP-008-15"
"c132d8d4-81f7-4a87-8186-80b7079393dc","","checklist-sectioned","pass","FHC-ITP-009 - Profiling Rev1","checklist","FALSE","FALSE","FHC-ITP-009 - Profiling"
"67d8a266-10a8-4bd8-b2b0-38199de1a273","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-011 - FLA Subgrade Remediation Works"
"98c07ea7-b482-4619-bd55-1c9cf1a13099","","checklist-sectioned","pass","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Subgrade Remediation Works","FHC-ITP-003 - LOT 1 - Subgrade Remediation Works"
"78dcf68c-7394-4606-adae-a54191369d29","","checklist-sectioned","work-in-progress","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Subgrade Remediation Works","FHC-ITP-003 - LOT 2 - Subgrade Remediation Works"
"46b28797-b2f1-4ebc-b95f-1f5d6f4de40a","","checklist-sectioned","work-in-progress","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Subgrade Remediation Works","FHC-ITP-003 - LOT 3 - Subgrade Remediation Works"
"e07c9fc5-a4c5-4e29-b89b-d17cba208e6a","","checklist-sectioned","work-in-progress","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Subgrade Remediation Works","FHC-ITP-003 - LOT 4 - Subgrade Remediation Works"
"116786d6-1ed3-414b-bb19-1cad85e94d5a","","checklist-sectioned","work-in-progress","FHC-ITP-003 - Subgrade Preparation Rev1","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Subgrade Remediation Works","FHC-ITP-003 - LOT 5 - Subgrade Remediation Works - Widening"
"2499ee29-8771-4a21-8fc8-893d579c5a7c","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-011 - FLA Class 4 Crushed Rock"
"47321ba1-7a20-43fb-b8e3-daededa6c393","","checklist-sectioned","work-in-progress","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Class 4 Crushed Rock","708-0302 - LOT 1 - FLA - Class 4 Crushed Rock"
"4b7f1a12-385b-4bd8-9ef4-0b6af4b3af0b","","checklist-sectioned","work-in-progress","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Class 4 Crushed Rock","708-0303 - LOT 2 - FLA - Class 4 Crushed Rock"
"f5298148-d5ba-47fd-9a85-fb888b6415ee","","checklist-sectioned","work-in-progress","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Class 4 Crushed Rock","708-0304 - LOT 3 - FLA - Class 4 Crushed Rock"
"438c4476-8b8e-4d09-8d0d-3ad1725217eb","","checklist-sectioned","work-in-progress","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Class 4 Crushed Rock","708-0305 - LOT 4 - FLA - Class 4 Crushed Rock"
"50af4b52-2991-4643-b906-9ab54835bcf5","","checklist-sectioned","work-in-progress","FHC-ITP-011 - Class 4 Crushed Rock Rev3","checklist","FALSE","FALSE","FHC-ITP-011 - FLA Class 4 Crushed Rock","708-0306 - LOT 5 - FLA - Class 4 Crushed Rock"
"19d2761c-5baf-4d39-9d58-ed11c4e8fbc2","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-014 - Subsoil Drainage"
"083ac29d-81cb-4a86-a14a-bc2f599f0bf0","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0378 - Subsoil Drainage - FHC-ITP-014-01 (Road Crossing on 17/06/2023)"
"7339b606-1f10-4d8e-ad2f-835d3a2ac8e8","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0379 - Subsoil Drainage - FHC-ITP-014-02 (Western widening - Interface on 12/07/2023)"
"29364d9e-39fa-48c0-883e-0f1a8155b7da","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0380 - Subsoil Drainage - FHC-ITP-014-03 (Western Widening - Back of Kerb on 13/07/2023)"
"217d093f-d42d-4a46-b196-95b5f52fd5fc","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0381 - Subsoil Drainage - FHC-ITP-014-04 (Bus bays infront of kerb on 14/07/2023)"
"5d0e8fd6-bb48-4bdc-87e5-5e56ef19288f","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0382 - Subsoil Drainage - FHC-ITP-014-05 ( Bus Bays Interface on 17/07/2023)"
"7c011018-c846-4118-a443-b80343e51fa7","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0383 - Subsoil Drainage - FHC-ITP-014-06 (18/07/2023)"
"a0f5d033-4b14-4c5e-b3b9-bdc1d7f4f4de","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0384 - Subsoil Drainage - FHC-ITP-014-07 (19/07/2023)"
"e052d77c-df27-4061-a52a-71ebff568c37","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0385 - Subsoil Drainage - FHC-ITP-014-08 (20/07/2023)"
"790dc6f4-e762-4539-89ae-1a0a294d67db","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0386 - Subsoil Drainage - FHC-ITP-014-09 (25/06/2023)"
"ab442cef-3096-436e-aebf-8b1890f08c70","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0447 - Subsoil Drainage - FHC-ITP-014-10"
"b234ffc6-ea45-4b5d-a9b7-0fa84eda6212","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0451 - Subsoil Drainage - FHC-ITP-014-11"
"9535de3c-2205-4dc2-a742-02db097f22e8","","checklist-sectioned","work-in-progress","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","FHC-ITP-014 - Subsoil Drainage","708-0452 - Subsoil Drainage - FHC-ITP-014-12"
"17b8196d-26d4-4074-ba98-fac5f48bdc96","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-023 - Conduit, Pit & OCS Installation"
"5bad62e7-b94b-496c-bd0f-8b71acdf1001","","checklist-sectioned","work-in-progress","FHC-ITP-023 - Conduit, Pit & OCS Installation Rev1","checklist","FALSE","FALSE","FHC-ITP-023 - Conduit, Pit & OCS Installation","	708-0348 - Electricals & OCS - Bus Interchange - FHC-ITP-023-01"
"8a67727e-5ee1-41c0-bd04-4c3dce50e340","","checklist-sectioned","work-in-progress","FHC-ITP-023 - Conduit, Pit & OCS Installation Rev1","checklist","FALSE","FALSE","FHC-ITP-023 - Conduit, Pit & OCS Installation","708-0349 - Electricals & OCS - Bus Interchange - FHC-ITP-023-02"
"15a16110-0cc8-47ea-8609-c50aea8d354a","","checklist-sectioned","work-in-progress","FHC-ITP-023 - Conduit, Pit & OCS Installation Rev1","checklist","FALSE","FALSE","FHC-ITP-023 - Conduit, Pit & OCS Installation","708-0350 - Electricals & OCS - Bus Interchange - FHC-ITP-023-03 "
"06ef98f4-6efd-4c86-ba3d-a79109657246","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-027 - Pole Footings "
"363963b3-4639-4782-a610-0693688755e1","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0392 - Pole Footings - Bus Interchange - FHC-ITP-027-01"
"cd910132-0197-496e-b160-ef705eae40d1","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0393 - Pole Footings - Bus Interchange - FHC-ITP-027-02"
"a89d7ebe-339b-4246-a4a8-14d8dbea64ca","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0394 - Pole Footings - Bus Interchange - FHC-ITP-027-03"
"c5667b3c-ecdd-4283-a0bd-801337cf51af","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0395 - Pole Footings - Bus Interchange - FHC-ITP-027-04"
"cd67f5f6-b6ac-4a51-98d0-a7bf7fb9dacd","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0396 - Pole Footings - Bus Interchange - FHC-ITP-027-05"
"a3ecbad8-2917-4a38-a953-f003b55478db","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0397 - Pole Footings - Bus Interchange - FHC-ITP-027-06"
"f5b05f3e-636d-4415-9ae4-6cc0c972c6be","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0398 - Pole Footings - Bus Interchange - FHC-ITP-027-07"
"a943649f-4d92-41c8-9a60-6696aec77ce1","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0399 - Pole Footings - Bus Interchange - FHC-ITP-027-08"
"00fd90fa-719d-48bd-bc49-72ce303a2ebf","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0400 - Pole Footings - Bus Interchange - FHC-ITP-027-09"
"084ea450-154a-49a7-997b-1c74f24509c9","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0401 - Pole Footings - Bus Interchange - FHC-ITP-027-10"
"0484906b-1a19-4f49-ad7b-1a63fc6f41b0","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0448 - Pole Footings - Bus Interchange - FHC-ITP-027-11"
"6de6a25d-9784-4169-941b-1eb047b6c8f6","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0449 - Pole Footings - Bus Interchange - FHC-ITP-027-12"
"8dcda807-d697-45d3-95cd-46d367890aa2","","checklist-sectioned","work-in-progress","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","FHC-ITP-027 - Pole Footings ","708-0450 - Pole Footings - Bus Interchange - FHC-ITP-027-13"
"19aa83e4-c611-41b5-9d93-7fa283193acc","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-015 - Kerb and Channel"
"b00abeb7-706c-4170-b913-533e5c2c6a22","","checklist-sectioned","work-in-progress","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0368 - Lot 1 - Kerb and Channel"
"41707d53-010f-47fe-a950-e245c1742f29","","checklist-sectioned","work-in-progress","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0369 - LOT 2 - Kerb and Channel "
"b4d2de65-ee40-426c-b5a4-ce6968106b24","","checklist-sectioned","work-in-progress","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0370 - LOT 3 - Kerb and Channel "
"a9c791f2-67cb-4d7c-87d2-f19cadbdbc7f","","checklist-sectioned","work-in-progress","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","FHC-ITP-015 - Kerb and Channel","708-0371 - LOT 4 - Kerb and Channel "
"44d83167-34c5-42e7-9a49-932768d46dcd","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-012 - Asphalt"
"ca971eaf-d6ce-46f5-b4a8-a735adf885d4","","checklist-sectioned","work-in-progress","FHC-ITP-012 - Hot Mix Asphalt Placement Rev2","checklist","FALSE","FALSE","FHC-ITP-012 - Asphalt","FHC-ITP-012 - Hot Mix Asphalt Placement - Lot 1"
"62876c33-97aa-4934-9a77-30f1d917a9fe","","checklist-sectioned","not-started","FHC-ITP-012 - Hot Mix Asphalt Placement Rev2","checklist","FALSE","FALSE","FHC-ITP-012 - Asphalt","FHC-ITP-012 - Hot Mix Asphalt Placement - Lot 2"
"adb01b0d-f388-45ac-8329-7910345b63a4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","FHC-ITP-00 - Concrete Footpath"
"1289b244-1011-4028-ba84-56aee902b50a","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-013 - Concrete Footpath"
"46cd847c-bab2-4109-aa62-7945824c4820","","checklist-sectioned","work-in-progress","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0402 - Concrete Footpath - Bus Interchange - FHC-ITP-013-01"
"29bfbe8d-4cde-43f7-bb15-73356acae243","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0403 - Concrete Footpath - Bus Interchange - FHC-ITP-013-02"
"7041f026-05ce-46c4-9926-54b657f629da","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0404 - Concrete Footpath - Bus Interchange - FHC-ITP-013-03"
"32daa6df-2f41-4c6a-8861-459de0a40562","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0405 - Concrete Footpath - Bus Interchange - FHC-ITP-013-04"
"2da8faa3-0b4f-4cc7-b6e7-dade84b34596","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0406 - Concrete Footpath - Bus Interchange - FHC-ITP-013-05"
"1bfd6113-4558-44b0-908c-fef0c61e3886","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0407 - Concrete Footpath - Bus Interchange - FHC-ITP-013-06"
"d2ca9a7a-56fa-4c16-8107-78a124e1eb46","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0408 - Concrete Footpath - Bus Interchange - FHC-ITP-013-07"
"98e5c90c-1e8b-438e-9bdb-39d8de92f674","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0409 - Concrete Footpath - Bus Interchange - FHC-ITP-013-08"
"9643cd75-19db-4a5a-9c17-eef9565acebe","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0410 - Concrete Footpath - Bus Interchange - FHC-ITP-013-09"
"915d417e-93d6-4f35-b91f-c764b8621ab3","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-013 - Concrete Footpath","708-0411 - Concrete Footpath - Bus Interchange - FHC-ITP-013-10"
"90f8e6c1-6934-4492-9a00-0ce39901451d","","folder-normal","work-in-progress","","step","TRUE","FALSE","FHC-ITP-025 - Bike Facility Footings"
"4eb1ffeb-47f5-4d28-a050-8e7468e68569","","checklist-sectioned","work-in-progress","FHC-ITP-037 - Structural Concrete Construction Rev1","checklist","FALSE","FALSE","FHC-ITP-025 - Bike Facility Footings","708-0453 - Bike Parking Facility - Bus Interchange - FHC-ITP-025"
