"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"78513a7e-4171-41aa-be68-a0795577b93a","","folder-normal","pass","","step","TRUE","FALSE","ITP-001 - Clearing and Grubbing"
"9e7c5096-698d-499b-8900-b19e74130ac4","","checklist-sectioned","pass","FHC-ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-003 - Subgrade Preparation","708-0242 - Sub-grade Preparation - South East Carpark - FHC-ITP-003-03"
"95b9a79c-e295-44af-b181-d5e2cc66266d","","checklist-sectioned","pass","FHC-ITP-003 - Subgrade Preparation","checklist","FALSE","FALSE","ITP-003 - Subgrade Preparation","708-0266 - Sub-grade Preparation - South East Carpark - FHC-ITP-003-04"
"06321330-97f4-4a33-bb17-9aee41616a0a","","folder-normal","pass","","step","TRUE","FALSE","ITP-004 - Type A Placement"
"62cb2396-4081-4a0d-8821-36f9a034df91","","checklist-sectioned","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-004 - Type A Placement","708-0206 - Capping - South East Carpark - FHC-ITP-004-01"
"b17bc95d-a064-40fe-bb1c-33b403f2e456","","checklist-sectioned","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-004 - Type A Placement","708-0207 - Capping - South East Carpark - FHC-ITP-004-02"
"5a303c37-00ad-45f2-8457-e1a27144aa70","","checklist-sectioned","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-004 - Type A Placement","708-0208 - Capping - South East Carpark - FHC-ITP-004-03"
"d9609b01-de00-4d54-8968-bd4904356752","","checklist-sectioned","pass","FHC-ITP-004 - Type A Fill Placement Rev3","checklist","FALSE","FALSE","ITP-004 - Type A Placement","708-0268 - Capping - South East Carpark - FHC-ITP-004-04"
"03293bd9-8987-44a8-9bbd-26db70f80303","","folder-normal","pass","","step","TRUE","FALSE","ITP-006 - Class 3 Crushed Rock"
"aacd4665-5a3e-4bf8-a500-00c118b66928","","checklist-sectioned","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-006 - Class 3 Crushed Rock","708-0209 - Class 3 - South East Carpark - FHC-ITP-006-01"
"d002e758-2cd4-4551-982b-309c32a58e6e","","checklist-sectioned","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-006 - Class 3 Crushed Rock","708-0210 - Class 3 - South East Carpark - FHC-ITP-006-02"
"0622a77b-6f3b-4f40-9f29-18fcead282b8","","checklist-sectioned","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-006 - Class 3 Crushed Rock","708-0211 - Class 3 - South East Carpark - FHC-ITP-006-03"
"714a6e8d-6c81-421a-ae42-5efa3aff1d82","","checklist-sectioned","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-006 - Class 3 Crushed Rock","708-0265 - Class 3 - South East Carpark - FHC-ITP-006-04"
"6818257d-2e9c-414d-b0cb-e33ad44f2f01","","checklist-sectioned","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-006 - Class 3 Crushed Rock","708-0267 - Class 3 - South East Carpark - FHC-ITP-006-05"
"d95bf28f-08ad-4daf-b63b-faad9398a426","","folder-normal","not-started","","step","TRUE","FALSE","ITP-008 - Stormwater Drainage"
"0bd46b9e-ca50-4c86-b832-0fb46d69aafb","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0191 - Stormwater Drainage - South East Carpark - FHC-ITP-008-01"
"ad32d7aa-9549-4531-812f-adf8d4630e04","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0192 - Stormwater Drainage - South East Carpark - FHC-ITP-008-02"
"05b5e178-4db6-4c80-9126-8534110262d1","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0193 - Stormwater Drainage - South East Carpark - FHC-ITP-008-03 "
"12447ba9-c74c-4602-9031-be38718aadf5","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0194 - Stormwater Drainage - South East Carpark - FHC-ITP-008-04 "
"7894609d-1706-481a-96a9-34b68bcbc797","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0195 - Stormwater Drainage - South East Carpark - FHC-ITP-008-05 "
"d4a73f7f-d536-4323-8c06-138a3d80ee68","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0196 - Stormwater Drainage - South East Carpark - FHC-ITP-008-06 "
"60e38c4a-4b85-46b6-adf0-b628e303084d","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0197 - Stormwater Drainage - South East Carpark - FHC-ITP-008-07 "
"67a7053a-f295-4563-b999-1b368394612c","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0198 - Stormwater Drainage - South East Carpark - FHC-ITP-008-08 "
"8c2e79fb-c30c-4a6a-a33b-e831e6e46647","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0199 - Stormwater Drainage - South East Carpark - FHC-ITP-008-09"
"e4c1bea6-c381-4be0-acb8-2c824748eaef","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage"," 708-0200 - Stormwater Drainage - South East Carpark - FHC-ITP-008-10"
"56284ff1-a000-48f0-a7b2-e8b281211336","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-201 - Stormwater Drainage - South East Carpark - FHC-ITP-008-11 "
"689d6e7f-4045-4383-acdb-5e683c2e7180","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0202 - Stormwater Drainage - South East Carpark - FHC-ITP-008-12 "
"7bd55265-a009-42ff-b507-62a3ead2c3bc","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0203 - Stormwater Drainage - South East Carpark - FHC-ITP-008-13"
"f76dac86-a8c3-4490-bd8f-0123a3921405","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0204 - Stormwater Drainage - South East Carpark - FHC-ITP-008-14"
"7bd61d88-118b-4cf5-877a-87a058c99708","","checklist-sectioned","not-started","FHC-ITP-008 - Stormwater Drainage Rev3","checklist","FALSE","FALSE","ITP-008 - Stormwater Drainage","708-0205 - Stormwater Drainage - South East Carpark - FHC-ITP-008-15 "
"85ac2add-60b6-4f91-8ece-60830f170a62","","folder-normal","pass","","step","TRUE","FALSE","ITP-013 - V/Line Service Protection Slab"
"0a2da7f0-16fc-49c6-bb21-a8672d8f10fd","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-013 - V/Line Service Protection Slab","708-0174 - Protection Slab - South East Carpark - FHC-ITP-013"
"e6cecc11-a43a-41d8-a8bf-1ab88f9955b0","","folder-normal","pass","","step","TRUE","FALSE","ITP-014 - Subsoil Drainage"
"b063d925-f2ae-4d4f-af8a-f6187b29557e","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0182 - Subsoil Drainage - South East Carpark - FHC-ITP-014-01"
"b4f422bc-3aca-4281-a228-ef00c393f756","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0183 - Subsoil Drainage - South East Carpark - FHC-ITP-014-02"
"c377151c-e8fe-4d99-9b0d-2acda7be47fd","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0184 - Subsoil Drainage - South East Carpark - FHC-ITP-014-03"
"4b602700-345c-4b1b-88f4-9a2c843c654c","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0185 - Subsoil Drainage - South East Carpark - FHC-ITP-014-04"
"020bf5ec-b944-4d30-b2b2-7edf5389ff73","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0186 - Subsoil Drainage - South East Carpark - FHC-ITP-014-05"
"667bd97f-3ded-4816-9450-b15e7be42494","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0187 - Subsoil Drainage - South East Carpark - FHC-ITP-014-06"
"48bebc16-f64f-4e72-a9e5-f82daa1a8da6","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0188 - Subsoil Drainage - South East Carpark - FHC-ITP-014-07"
"92cf3d9b-f060-4b51-8b32-56ec3bb0ea13","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0189 - Subsoil Drainage - South East Carpark - FHC-ITP-014-08"
"322f614c-7f4f-405a-a273-21cc0c8ef52d","","checklist-sectioned","pass","FHC-ITP-014 - Subsurface Drainage Rev2","checklist","FALSE","FALSE","ITP-014 - Subsoil Drainage","708-0190 - Subsoil Drainage - South East Carpark - FHC-ITP-014-09"
"17724092-654f-421b-b974-ea9137d78275","","folder-normal","pass","","step","TRUE","FALSE","ITP-015 - Kerb and Channel"
"6e334619-9dcd-4e96-aa72-99e010e8634f","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0175 - Kerb and Channel - South East Carpark - FHC-ITP-015-01"
"3838a73f-7351-4e2f-802f-3826f18d62a7","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0176 - Kerb and Channel - South East Carpark - FHC-ITP-015-02"
"317b8a77-2ccc-4a8e-aa91-6218fb85d581","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0177 - Kerb and Channel - South East Carpark - FHC-ITP-015-03"
"df437091-7398-4827-859a-730a3914e176","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0178 - Kerb and Channel - South East Carpark - FHC-ITP-015-04"
"ccf4d9bf-e37d-418b-9cb2-36e97e9575c3","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0179 - Kerb and Channel - South East Carpark - FHC-ITP-015-05"
"4115d8be-fdc0-4776-8483-3b9adbe9c0bb","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0180 - Kerb and Channel - South East Carpark - FHC-ITP-015-06"
"6eb6f47d-a4c1-4232-988a-6f2ed84454fe","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0181 - Kerb and Channel - South East Carpark - FHC-ITP-015-07"
"94f34af8-b4ad-439c-9933-2a8ed125d543","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0296 - Kerb and Channel - South East Carpark - FHC-ITP-015-08"
"185cddfb-278f-4ff8-837f-70383a556787","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0297 - Kerb and Channel - South East Carpark - FHC-ITP-015-09"
"e81fc34a-f68c-4b75-bf27-691b80df9c38","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0298 - Kerb and Channel - South East Carpark - FHC-ITP-015-10"
"b15082d9-db71-4b86-8bf8-b48a9f1b94bc","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0299 - Kerb and Channel - South East Carpark - FHC-ITP-015-11"
"7af48a51-b00c-4291-a20f-245b1a3f5f3a","","checklist-sectioned","pass","FHC-ITP-015 - Kerb and Channel Rev2","checklist","FALSE","FALSE","ITP-015 - Kerb and Channel","708-0300 - Kerb and Channel - South East Carpark - FHC-ITP-015-12"
"36efcf42-9f70-4861-85a3-7c97024bc37e","","folder-normal","no-status-not-started","","step","TRUE","FALSE","ITP-021 - Type B Placement"
"b2dc999c-dcba-44b7-a592-d6323a3f89ef","","folder-normal","pass","","step","TRUE","FALSE","Tarneit Class 3 crushed rock"
"3a132922-c5a3-46d4-bd4a-1dd51a93dd51","","checklist-sectioned","pass","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","Tarneit Class 3 crushed rock","FHC-ITP-006 - Class 3 Crushed Rock - Lot 07"
"9e7a667f-ee50-40a6-a02b-05c156474124","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-009 - Concrete Footpath"
"bf630adf-db0e-46d0-8896-f6ab5771e0f4","","checklist-sectioned","work-in-progress","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-009 - Concrete Footpath","708-0224 - Concrete Footpath - FHC-ITP-013-01"
"f41312f6-7311-440e-8d68-337a8c33bf25","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-009 - Concrete Footpath","708-0255 - Concrete Footpath - FHC-ITP-013-02"
"73331cff-09ac-445c-91b4-d9d1c764df99","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-009 - Concrete Footpath","708-0256 - Concrete Footpath - FHC-ITP-013-03"
"7c4ce13f-a6a6-478e-b54e-c7dfe89919a4","","checklist-sectioned","work-in-progress","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-009 - Concrete Footpath","708-0257 - Concrete Footpath - FHC-ITP-013-04"
"1d774951-ab17-40b6-b59e-85d9ca6d0d8c","","checklist-sectioned","not-started","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-009 - Concrete Footpath","708-0258 - Concrete Footpath - FHC-ITP-013-05"
"b75a1bbb-0f22-49ce-a71a-9b51d222b30b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Fencing"
"40c52d48-7fe8-43cc-b2b7-1af32ee888e1","","checklist-sectioned","work-in-progress","FHC-ITP-028 - Chainwire Fence Installation","checklist","FALSE","FALSE","Fencing","FHC-ITP-028 - Chainwire Fence Installation"
"d467054f-a9d1-4d34-9cad-2152c0f067cc","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-030 - Handrail"
"827a6e89-c8ac-4756-b16d-6d73b7173e0f","","checklist-sectioned","pass","FHC-ITP-030 - Handrail Installation","checklist","FALSE","FALSE","FHC-ITP-030 - Handrail","FHC-ITP-030 - Handrail Installation"
"1d0fae78-f6ef-437e-900b-fdc6b3d746e2","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-026 - Guard rail"
"addd2a0b-884d-4325-acc3-2541421c6f6d","","checklist-sectioned","pass","FHC-ITP-026 - Safety Barrier Installation","checklist","FALSE","FALSE","FHC-ITP-026 - Guard rail","FHC-ITP-026 - Safety Barrier Installation"
"c8eba349-d499-454e-bf50-00a86546c880","","folder-normal","pass","","step","TRUE","FALSE","FHC-ITP-025 - Omni Bollards"
"52574135-bea3-4842-a3d9-cc88896d3416","","checklist-sectioned","pass","FHC-ITP-025 - Structural Concrete Construction","checklist","FALSE","FALSE","FHC-ITP-025 - Omni Bollards","708-0273 - Omni Bollards Footing - FHC-ITP-025 - Lot 1"
"1559b3ae-7677-49cc-b046-7d31e3d6ff07","","checklist-sectioned","pass","FHC-ITP-025 - Structural Concrete Construction","checklist","FALSE","FALSE","FHC-ITP-025 - Omni Bollards","708-0274 - Omni Bollards Footing - FHC-ITP-025 - Lot 2"
"7bab5611-7f9c-47d2-8e4f-c640acca7d2d","","checklist-sectioned","pass","ITP - 019 Line / Road Marking","checklist","FALSE","FALSE","708-0260 - Line / Road Marking - FHC -ITP-019-01"
"222c769a-b402-492a-bf0d-8720d111141a","","checklist-sectioned","pass","FHC-ITP-032 - Concrete Structural Slab","checklist","FALSE","FALSE","708-0221 - Structural / Cabinet Slab - FHC-ITP-032 -01"
"8d2f764d-5a9f-4698-83d6-43fd09e28c13","","checklist-sectioned","pass","ITP-012 - Signage Installation","checklist","FALSE","FALSE","708-0259 -  Lot 1 - Signage Installation "
"f968a26f-8821-47ed-842a-7bcdb65c6747","","checklist-sectioned","work-in-progress","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","FHC-ITP-034 - Concrete Vehicle Crossings"
"493a45a2-1bbe-446e-8f7d-e4b16fb90104","","checklist-sectioned","pass","FHC-ITP-025 - Structural Concrete Construction","checklist","FALSE","FALSE","708-0275 - FHC-ITP-025 - FLS Cabinets - Lot 1"
"5f64c0ab-c9c6-4b47-bed1-c83f87a456be","","folder-normal","pass","","step","TRUE","FALSE","ITP-027 - Pile Footing Construction"
"97a2d4f8-a3f5-4779-8c5b-ff653c662ed6","","checklist-sectioned","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0218 - Pole Footings - South East Carpark - FHC-ITP-027-01"
"b7f6ead2-6384-48f6-8894-84dbb5f20c4f","","checklist-sectioned","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0219 - Pole Footings - South East Carpark - FHC-ITP-027-02"
"702071b5-046e-4783-9e8a-203c53085e7a","","checklist-sectioned","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0220 - Pole Footings - South East Carpark - FHC-ITP-027-03"
"aa6a307a-76b8-4f60-b8d6-6bd49bbf4060","","checklist-sectioned","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0222 - Pole Footings - South East Carpark - FHC-ITP-027-04"
"6324f4d4-4176-45ab-b718-edd4a1e5a948","","checklist-sectioned","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0443 - Pole Footings - South East Carpark - FHC-ITP-027-05"
"7766d937-ce01-4593-b2b5-34dde6b5b6c4","","checklist-sectioned","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0444 - Pole Footings - South East Carpark - FHC-ITP-027-06"
"ddd911ef-9430-4f3c-b76f-ddd27b3c3a26","","checklist-sectioned","pass","FHC-ITP-027 - Pile Footing Construction","checklist","FALSE","FALSE","ITP-027 - Pile Footing Construction","708-0445 - Pole Footings - South East Carpark - FHC-ITP-027-07"
"a4e19742-c56f-46bc-8fb2-ae7fb13684b8","","checklist-sectioned","pass","FHC-ITP-013 - General Concrete Paving","checklist","FALSE","FALSE","ITP-033 - Concrete Nib Wall"
"3aeea44e-129a-4921-8240-1f0611de9b63","","folder-normal","pass","","step","TRUE","FALSE","ITP-023 - Electrical Conduits"
"83024fdb-f149-4841-96b4-3447436e7e9f","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - Electrical Conduits","708-0223 - Electricals - South East Carpark - FHC-ITP-023-01"
"c13ef6cf-d82a-4474-9478-683777af0f3f","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - Electrical Conduits","708-0224 - Electricals - South East Carpark - FHC-ITP-023-02"
"4c994f9a-d0a0-41be-b378-9c8635ab5904","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - Electrical Conduits","708-0225 - Electricals - South East Carpark - FHC-ITP-023-03"
"5a33dca3-002d-48ca-819a-ce5fdd00ce48","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - Electrical Conduits","708-0226 - Electricals - South East Carpark - FHC-ITP-023-04"
"2c70f49e-1e39-438d-b0d6-cc3a2c8d2f0a","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - Electrical Conduits","708-0227 - Electricals - South East Carpark - FHC-ITP-023-05"
"4e0b6058-9fbd-43a3-ab6f-b9823529c274","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - Electrical Conduits","708-0228 - Electricals - South East Carpark - FHC-ITP-023-06"
"403f817a-0dd9-42cc-8026-bc406be52a3e","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - Electrical Conduits","708-0229 - Electricals - South East Carpark - FHC-ITP-023-07"
"a80c7a3a-75c8-4a85-8cda-c71cc65115a4","","folder-normal","pass","","step","TRUE","FALSE","ITP-023 - CCTV Conduits"
"6640bfb5-2717-4ab0-a4d1-3a22012295bb","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - CCTV Conduits","708-0230 - CCTV - South East Carpark - FHC-ITP-023-01"
"0b0de0bc-84bb-4b44-ae3b-270a2e3fef9b","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - CCTV Conduits","708-0231 - CCTV - South East Carpark - FHC-ITP-023-02"
"b8b581ed-4ad5-49eb-bb6b-bc57c67e3ad8","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - CCTV Conduits","708-0232 - CCTV - South East Carpark - FHC-ITP-023-03"
"14d27bb5-560a-48f7-ae99-8b80e85e775a","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - CCTV Conduits","708-0233 - CCTV - South East Carpark - FHC-ITP-023-04"
"e866d8cc-2d5e-4639-9bac-2ffb4a1d98ca","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - CCTV Conduits","708-0234 - CCTV - South East Carpark - FHC-ITP-023-05"
"ad15ea39-66d0-4d2c-ab23-1c122c8404ca","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - CCTV Conduits","708-0235 - CCTV - South East Carpark - FHC-ITP-023-06"
"d9b46134-35c7-4f6d-8b36-d71e9a38426a","","checklist-sectioned","pass","FHC-ITP-023 - Conduit, Pit & OCS Installation","checklist","FALSE","FALSE","ITP-023 - CCTV Conduits","708-0236 - CCTV - South East Carpark - FHC-ITP-023-07"
"b8734818-445a-462f-a86d-c314163a3f30","","checklist-sectioned","pass","FHC-ITP-017 - Basin Construction","checklist","FALSE","FALSE","708-0286 - FHC-ITP-017 - Basin Construction"
"2adb06b6-59e5-4bb8-b230-6cbedca54370","","folder-normal","work-in-progress","","step","TRUE","FALSE","ITP-006 - Access Track"
"d5ede872-4c61-490e-8ded-417b96d2ab31","","checklist-sectioned","work-in-progress","FHC-ITP-006 - Class 3 Crushed Rock Rev3","checklist","FALSE","FALSE","ITP-006 - Access Track","708-0290 - Access Track - South East Carpark - FHC-ITP-006 - Lot 1 - Layer 1"
"364a0562-1190-453c-a18a-1c26043304b8","","folder-normal","pass","","step","TRUE","FALSE","ITP-028 - Chainwire Fencing"
"2d4e1a1a-e7d0-4436-a5fa-38c83c97094d","","checklist-sectioned","pass","FHC-ITP-028 - Chainwire Fence Installation","checklist","FALSE","FALSE","ITP-028 - Chainwire Fencing","708-0264 - Chain Wire Mesh Fence - South East Carpark - FHC-ITP-028-01 "
