resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 6,,,,,,
,,,,,,step,,,,Level 10,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
,,,,,,step,,,,Roof,,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 1,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 2,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 3,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 4,,,,,,
Peno - Floor,Peno - Wall,Peno - Cast In,,,,folder-with-checklists,,,,,Pour 5,,,,,,
