resource,resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Level 4,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Level 5,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Level 6,,,,,,
Downpipe & Overflow Installation,,,,,,,,,folder-with-checklists,,,,,Roof,,,,,,
,,,,,,,,,step,,,,Water Mains/Risers,,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Basement Level,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Ground Level,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 1,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 2,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 3,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 4,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 5,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 6,,,,,,
Water Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Roof,,,,,,
,,,,,,,,,step,,,,Gas Mains/Risers,,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Basement Level,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Ground Level,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 1,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 2,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 3,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 4,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 5,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Level 6,,,,,,
Gas Service Installation (Mains/Risers),,,,,,,,,folder-with-checklists,,,,,Roof,,,,,,
,,,,,,,,,step,,,,Wastes & Vents (Apts Only),,,,,,,
,,,,,,,,,step,,,,,Ground Level,,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,T1 (Lwr),,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,T2 (Lwr),,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.01,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.02,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.03,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.04,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.05,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.06,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.07,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.08,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.09,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.10,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,G.11,,,,,
,,,,,,,,,step,,,,,Level 1,,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,T1 (Upr),,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,T2 (Upr),,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.01,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.02,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.03,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.04,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.05,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.06,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.07,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.08,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.09,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.10,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.11,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,1.12,,,,,
,,,,,,,,,step,,,,,Level 2,,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.01,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.02,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.03,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.04,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.05,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.06,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.07,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.08,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.09,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.10,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.11,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,2.12,,,,,
,,,,,,,,,step,,,,,Level 3,,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.01,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.02,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.03,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.04,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.05,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.06,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.07,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.08,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.09,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,3.10,,,,,
,,,,,,,,,step,,,,,Level 4,,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,4.01,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,4.02,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,4.03,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,4.04,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,4.05,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,4.06,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,4.07,,,,,
,,,,,,,,,step,,,,,Level 5,,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,5.01,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,5.02,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,5.03,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,5.04,,,,,
,,,,,,,,,step,,,,,Level 6,,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,6.01,,,,,
Waste & Vent Installation,,,,,,,,,folder-with-checklists,,,,,,6.02,,,,,
,,,,,,,,,step,,,,Water Rough-Ins (Apts Only),,,,,,,
,,,,,,,,,step,,,,,Ground Level,,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T1 (Lwr),,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T2 (Lwr),,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.01,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.02,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.03,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.04,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.05,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.06,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.07,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.08,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.09,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.10,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.11,,,,,
,,,,,,,,,step,,,,,Level 1,,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T1 (Upr),,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T2 (Upr),,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.01,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.02,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.03,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.04,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.05,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.06,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.07,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.08,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.09,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.10,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.11,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.12,,,,,
,,,,,,,,,step,,,,,Level 2,,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.01,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.02,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.03,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.04,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.05,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.06,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.07,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.08,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.09,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.10,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.11,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.12,,,,,
,,,,,,,,,step,,,,,Level 3,,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.01,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.02,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.03,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.04,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.05,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.06,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.07,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.08,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.09,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.10,,,,,
,,,,,,,,,step,,,,,Level 4,,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.01,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.02,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.03,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.04,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.05,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.06,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.07,,,,,
,,,,,,,,,step,,,,,Level 5,,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.01,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.02,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.03,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.04,,,,,
,,,,,,,,,step,,,,,Level 6,,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,6.01,,,,,
Water Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,6.02,,,,,
,,,,,,,,,step,,,,Gas Rough-Ins (Apts Only),,,,,,,
,,,,,,,,,step,,,,,Ground Level,,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T1 (Lwr),,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T2 (Lwr),,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.01,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.02,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.03,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.04,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.05,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.06,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.07,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.08,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.09,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.10,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,G.11,,,,,
,,,,,,,,,step,,,,,Level 1,,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T1 (Upr),,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,T2 (Upr),,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.01,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.02,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.03,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.04,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.05,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.06,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.07,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.08,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.09,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.10,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.11,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,1.12,,,,,
,,,,,,,,,step,,,,,Level 2,,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.01,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.02,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.03,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.04,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.05,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.06,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.07,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.08,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.09,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.10,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.11,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,2.12,,,,,
,,,,,,,,,step,,,,,Level 3,,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.01,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.02,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.03,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.04,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.05,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.06,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.07,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.08,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.09,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,3.10,,,,,
,,,,,,,,,step,,,,,Level 4,,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.01,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.02,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.03,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.04,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.05,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.06,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,4.07,,,,,
,,,,,,,,,step,,,,,Level 5,,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.01,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.02,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.03,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,5.04,,,,,
,,,,,,,,,step,,,,,Level 6,,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,6.01,,,,,
Gas Service Installation (Rough-ins),,,,,,,,,folder-with-checklists,,,,,,6.02,,,,,
,,,,,,,,,step,,,,Fixtures & Tapware (Apts Only),,,,,,,
,,,,,,,,,step,,,,,Ground Level,,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,T1 (Lwr),,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,T2 (Lwr),,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.01,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.02,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.03,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.04,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.05,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.06,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.07,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.08,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.09,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.10,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,G.11,,,,,
,,,,,,,,,step,,,,,Level 1,,,,,,
Toilet & Cistern Installation,Wash Basin & Tapware Installation,Shower & Tapware Installation,Bath & Tapware Installation,Kitchen Sink & Tapware Installation,Washer Machine Installation,Laundry Trough & Tapware Installation,Tundish Installation,Hose Tap Installation,folder-with-checklists,,,,,,T1 (Upr),,,,,
