Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 7,C6,,,,,,
,,Level 8,grouping,Columns,Level 8,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 8,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 8,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 8,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 8,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 8,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 8,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 8,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 8,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 8,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 8,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 8,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 8,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 8,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 8,C6,,,,,,
,,Level 9,grouping,Columns,Level 9,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 9,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 9,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 9,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 9,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 9,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 9,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 9,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 9,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 9,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 9,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 9,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 9,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 9,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 9,C6,,,,,,
,,Level 10,grouping,Columns,Level 10,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 10,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 10,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 10,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 10,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 10,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 10,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 10,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 10,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 10,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 10,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 10,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 10,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 10,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 10,C6,,,,,,
,,Level 11,grouping,Columns,Level 11,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 11,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 11,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 11,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 11,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 11,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 11,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 11,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 11,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 11,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 11,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 11,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 11,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 11,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 11,C6,,,,,,
,,Level 12,grouping,Columns,Level 12,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 12,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 12,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 12,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 12,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 12,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 12,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 12,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 12,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 12,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 12,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 12,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 12,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 12,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 12,C6,,,,,,
,,Level 13,grouping,Columns,Level 13,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 13,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 13,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 13,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 13,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 13,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 13,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 13,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 13,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 13,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 13,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 13,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 13,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 13,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 13,C6,,,,,,
,,Level 14,grouping,Columns,Level 14,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 14,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 14,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 14,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 14,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 14,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 14,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 14,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 14,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 14,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 14,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 14,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 14,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 14,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 14,C6,,,,,,
,,Level 15,grouping,Columns,Level 15,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 15,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 15,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 15,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 15,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 15,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 15,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 15,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 15,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 15,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 15,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 15,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 15,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 15,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 15,C6,,,,,,
,,Level 16,grouping,Columns,Level 16,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 16,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 16,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 16,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 16,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 16,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 16,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 16,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 16,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 16,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 16,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 16,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 16,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 16,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 16,C6,,,,,,
,,Level 17,grouping,Columns,Level 17,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 17,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 17,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 17,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 17,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 17,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 17,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 17,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 17,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 17,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 17,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 17,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 17,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 17,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 17,C6,,,,,,
,,Level 18,grouping,Columns,Level 18,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 18,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 18,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 18,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 18,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 18,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 18,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 18,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 18,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 18,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 18,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 18,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 18,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 18,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 18,C6,,,,,,
,,Level 19,grouping,Columns,Level 19,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 19,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 19,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 19,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 19,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 19,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 19,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 19,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 19,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 19,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 19,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 19,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 19,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 19,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 19,C6,,,,,,
,,Level 20,grouping,Columns,Level 20,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 20,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 20,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 20,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 20,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 20,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 20,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 20,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 20,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 20,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 20,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 20,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 20,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 20,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 20,C6,,,,,,
,,Level 21,grouping,Columns,Level 21,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 21,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 21,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 21,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 21,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 21,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 21,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 21,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 21,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 21,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 21,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 21,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 21,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 21,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 21,C6,,,,,,
,,Level 22,grouping,Columns,Level 22,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 22,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 22,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 22,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 22,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 22,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 22,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 22,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 22,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 22,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 22,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 22,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 22,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 22,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 22,C6,,,,,,
,,Level 23,grouping,Columns,Level 23,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 23,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 23,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 23,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 23,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 23,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 23,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 23,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 23,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 23,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 23,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 23,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 23,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 23,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 23,C6,,,,,,
,,Level 24,grouping,Columns,Level 24,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 24,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 24,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 24,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 24,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 24,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 24,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 24,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 24,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 24,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 24,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 24,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 24,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 24,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 24,C6,,,,,,
,,Level 25,grouping,Columns,Level 25,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 25,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 25,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 25,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 25,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 25,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 25,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 25,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 25,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 25,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 25,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 25,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 25,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 25,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 25,C6,,,,,,
,,Level 26,grouping,Columns,Level 26,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 26,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 26,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 26,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 26,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 26,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 26,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 26,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 26,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 26,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 26,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 26,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 26,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 26,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 26,C6,,,,,,
,,Level 27,grouping,Columns,Level 27,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 27,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 27,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 27,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 27,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 27,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 27,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 27,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 27,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 27,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 27,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 27,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 27,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 27,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 27,C6,,,,,,
,,Level 28,grouping,Columns,Level 28,,,,,,,,,
,,South - C9,expanded,Columns,South,Columns,Level 28,C9,,,,,,
,,South - C10,expanded,Columns,South,Columns,Level 28,C10,,,,,,
,,South - C11,expanded,Columns,South,Columns,Level 28,C11,,,,,,
,,South - C12,expanded,Columns,South,Columns,Level 28,C12,,,,,,
,,South - C13,expanded,Columns,South,Columns,Level 28,C13,,,,,,
,,South - C14,expanded,Columns,South,Columns,Level 28,C14,,,,,,
,,West - C7,expanded,Columns,West,Columns,Level 28,C7,,,,,,
,,West - C8,expanded,Columns,West,Columns,Level 28,C8,,,,,,
,,North - C1,expanded,Columns,North,Columns,Level 28,C1,,,,,,
,,North - C2,expanded,Columns,North,Columns,Level 28,C2,,,,,,
,,North - C3,expanded,Columns,North,Columns,Level 28,C3,,,,,,
,,North - C4,expanded,Columns,North,Columns,Level 28,C4,,,,,,
,,North - C5,expanded,Columns,North,Columns,Level 28,C5,,,,,,
,,North - C6,expanded,Columns,North,Columns,Level 28,C6,,,,,,
,Columns,,,,,,,,,,,,,
,,Details,,Details,,,,,,,,,,
,,Installation,,Installation,,,,,,,,,,
,,Installation Verification,,Installation Verification,,,,,,,,,,
