"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c3a98be6-3e7b-40ea-89ec-e6d727cfddaa","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 5","Tanking","Shoring Wall 4"
"8df749ab-af2f-4c23-8eff-e0fdaede0620","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 5","Tanking","Shoring Wall 5"
"df9ba220-3dc6-45bb-aca5-b163c49b9b1e","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 5","Tanking","Shoring Wall 6"
"19e43714-fc00-4cbc-adb7-333a34c30fb9","","checklist-flat","pass","Basement Tanking","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 5","Tanking","Shoring Wall 7"
"6e3b8e2e-3135-4e97-8430-8eb4025d97a5","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 5","Top Down Construction"
"35ce24a2-eb5c-4750-b0b1-e1eef15bee10","","checklist-sectioned","pass","Formwork & Reinforcing","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Top Down Construction","Formwork & Reinforcing"
"5dabac99-4f7a-4fea-9b5c-eb5555ab24fb","","checklist-flat","pass","Suspended Slab","checklist-flat","FALSE","FALSE","Site QA","Earthworks","Basement 5","Top Down Construction","Suspended Slab"
"48fb0cf1-6124-4d1e-9416-dcc6eb3c762d","","checklist-sectioned","pass","Columns","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 5","Top Down Construction","Columns"
"d34f9cc1-8a94-411a-b04e-d2ea32d9af2d","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 4"
"1ecfe129-a934-4435-b2e1-6257247869d0","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles"
"fffed983-ff72-4664-9ed3-d24e0b4d5392","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles","Shoring Wall 1"
"ea090081-4999-4c89-879d-41bc8c553a1b","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles","Shoring Wall 2"
"43627564-f262-4165-8cda-e1a9bb8ffeea","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles","Shoring Wall 3"
"1f8be9e3-c256-4ec8-89bf-f2f25bfdb499","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles","Shoring Wall 4"
"f68314f5-1d40-467d-ae1e-599b5fcf2f2e","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles","Shoring Wall 5"
"45a3f188-17e7-48bd-9954-f6d4edb92516","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles","Shoring Wall 6"
"3b100de3-1c6a-45f3-b222-ec4e74766c12","","checklist-sectioned","pass","Excavation & Shoring (V140421)","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shoring Piles","Shoring Wall 7"
"f6b879b4-949b-43a5-a629-39376135534f","","folder-normal","pass","","step","TRUE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete"
"410317db-ed3f-4faa-ac97-804deb4dbc4d","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete","Shoring Wall 1"
"bac614b7-3ed7-4761-a766-10ec5af32a3a","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete","Shoring Wall 2"
"7036c519-7c9c-4a77-9f15-15b9e575caa3","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete","Shoring Wall 3"
"8c285c7a-0a48-4548-9f1e-5eea96fa4c2d","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete","Shoring Wall 4"
"429a81c0-2148-4f74-b207-720e9b29e268","","checklist-sectioned","pass","Shotcrete","checklist","FALSE","FALSE","Site QA","Earthworks","Basement 4","Shotcrete","Shoring Wall 5"
