"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a331114b-f404-4840-b2ca-6892f849a456","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230826","Load 4"
"7b7d40ba-10b7-456e-af54-6d44e13bdb36","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230826","Load 5"
"5690c4ed-9c28-4635-a6ac-8bc3171ce7f2","","checklist-flat","pass","1d65c89b793b004575817092f4abd4ca55f0bf52e8fa7435c42c6925f09f9ffd","checklist-flat","FALSE","FALSE","Building Y","Delivery / Installation Day","230826","Load 6"
"150f680b-3426-4c88-bf0d-10dde10d9731","","checklist-sectioned","not-started","Delivery / Installation Day Checklist","checklist","FALSE","FALSE","Building Y","Delivery / Installation Day","230826","Delivery / Installation Day Checklist"
"9718cbaf-c141-4a16-be9d-dea22688f2d4","","folder-normal","not-started","","step","TRUE","FALSE","Building Y","Installation QA"
"13d43437-a70b-4dfe-aba0-e007e65659af","","folder-normal","not-started","","step","TRUE","FALSE","Building Y","Installation QA","Level BY"
"03d7ffb1-2def-4213-add6-aa1de162f8bc","","folder-normal","not-started","","step","TRUE","FALSE","Building Y","Installation QA","Level BY","Core Lift"
"cbba7148-9d5e-431a-ba40-18a1f45b92ac","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Lift","BY-P38"
"66c6d52f-9aab-4632-a0b4-5915ca7b2406","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Lift","BY-P39"
"e5303a7f-ba6c-4556-bbe7-6b1ac6222025","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Lift","BY-P40"
"a23fb00a-fb21-45fd-b999-ed94be839158","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Lift","BY-P41"
"2e296c56-b1ba-4c7a-8095-8df33af5049c","","folder-normal","not-started","","step","TRUE","FALSE","Building Y","Installation QA","Level BY","Core Stair"
"78f1230c-f0ef-4778-95f1-6d050bcc1858","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P42"
"e2af4300-b981-4af6-96d2-9ad0ecfd2ae8","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P43"
"f37fdac0-b7d6-4b86-aebb-474ef316cd8d","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P44"
"fc157db4-f641-47ba-9ce8-3aa1d95ca415","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P45"
"cdfe11bc-5d07-47f6-9216-ced3408ecfde","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P46"
"97bfe35d-1618-49a4-8952-f41671f67785","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P47"
"25b878ca-22d0-4d02-ba3c-73087b024940","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P48"
"64efc64c-c1ea-4e86-93fa-38da3d7c42df","","checklist-sectioned","not-started","59afc7a75b17bf0cc5314853b2fad698e0c6309f53d6ba60ce9dc08071514c26","checklist","FALSE","FALSE","Building Y","Installation QA","Level BY","Core Stair","BY-P49"
