"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"cebf4bb2-baf2-4ac6-a35c-fa02f0a1178b","","folder-normal","","","step","TRUE","FALSE","Site QA"
"30f82176-f395-4026-adc3-88453384585b","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 1 – Bunkers Hill Road"
"94bf2188-954f-4d34-a525-92a8d8756c17","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 6 – Kangaroo Valley Road","DM00805"
"bb72dad3-7d8b-4931-ad6c-a5d63f9960a3","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road"
"17fc4d83-6d87-4d26-82ec-71e6305159d4","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00755"
"5268fcb2-ae4f-4392-bf41-7adfdeb3394d","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00533"
"d233f67f-bf0f-4eb9-89e2-629efc499c33","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","NH00013"
"a3754174-1f89-4ade-964d-bffb82211518","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00757"
"50e02535-5834-4f73-aaec-112f54f3c67e","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00864"
"e50765ee-6b63-4c16-84c3-b6ebfbe71b10","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00822"
"1da91d26-f072-4406-b0e2-fde396ad42e9","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00718"
"388fd52a-09ea-49f6-99ea-128c3779b455","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 8 – Mount Scanzi Road","DM00577"
"d3335c97-b7f7-4e47-becc-fb74db227efa","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 9 – Suffolk Road"
"1a19cd5d-726f-424c-b888-69b158b71d4a","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 9 – Suffolk Road","DM00523"
"171f4805-971b-427e-a98f-06cbda6c3610","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 5 – Wattamolla Road"
"fe3e6fff-4325-453c-a5ff-1f3f0322d4a8","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 5 – Wattamolla Road","DM00513"
"63c21915-2697-4794-a7c3-5c4e5849c65d","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 5 – Wattamolla Road","DM00863"
"29a52c2b-7ca3-45c6-a960-80372ad1d0f6","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 10 – Hughes Road"
"8289d316-4bd7-495a-9d89-d07ab0259e5b","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 10 – Hughes Road","DM00610"
"472a7074-bf16-4416-9ef6-8f831c7a4bbe","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 10 – Hughes Road","DM00611"
"c82e87c7-8890-495b-9d17-0be165931c06","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 13 – Browns Mountain Road"
"1a1fafae-6b57-4d20-8daf-0e72db8fc5fd","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 13 – Browns Mountain Road","DM00706"
"ecbb2955-cefa-4a15-9223-4f524caeb0a4","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 14 – Wogamia Road"
"9efd6b6a-3396-430b-937f-0e72d1de723e","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 14 – Wogamia Road","SH00276"
"17f52f54-f7de-4835-b1c6-426b7e75051b","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 11 – Abernathys Road"
"25c4a161-0176-4ea4-8209-23e82357d595","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 11 – Abernathys Road","DM00865"
"3cca4bff-b912-4331-80a7-051983c37c33","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 12 – Bamarang Road"
"5049b189-1efc-472b-b5eb-b0b4975dd706","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 12 – Bamarang Road","SH00290"
"1b54f95e-c230-4543-afe5-4c7015dc702e","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 12 – Bamarang Road","DM00899"
"79b7b3af-0302-46da-a71c-c0973b28c302","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 15 – Yalwal Road"
"4079fc7b-9cf6-4a0e-b3e2-412a8ebcf65c","","folder-normal","","","step","TRUE","FALSE","Site QA","Milestone 15 – Yalwal Road","NR00016"
