"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8e12bb11-6e0b-4097-95c7-154203689a29","","work-in-progress","","folder","TRUE","FALSE","QA Checks"
"bc0bc1c6-7664-4dcc-89ac-1207acbcf824","","not-started","","folder","TRUE","FALSE","QA Checks","August"
"e73568ca-d191-4b68-97f7-7f40c7829893","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14146. Pilbara Port","14146. ITP 14.10.2024"
"b25f8342-675e-4d83-a429-c075bb40529c","","work-in-progress","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14146. Pilbara Port","14146. ITP 16.10.2024"
"898b677a-d4e4-46d9-a012-70d7a2167c5c","","work-in-progress","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14146. Pilbara Port","14146. ITP 18.10.2024"
"ef26959d-49b7-4e7a-9048-103a62942a0f","","work-in-progress","","folder","TRUE","FALSE","QA Checks","14131. Highway Construction"
"0ba4db2f-9609-4d42-a5d7-05d003913793","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14131. Highway Construction","2700x2700x1200 - 14.10.2024"
"68925d46-8ba1-4b28-af2c-16bb211c6b05","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14131. Highway Construction","2700x2700x1200 - 15.10.2024"
"1ef08cda-d02c-4eb9-887f-7f877ef5cdc2","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14131. Highway Construction","2700x2700x1200 - 16.10.2024"
"6f3c54ea-cd60-41e6-b63d-2ac389ff479a","","work-in-progress","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14131. Highway Construction","2700x2700x1200 - 17.10.2024"
"40594373-371a-4332-8ba9-12ab705b2416","","work-in-progress","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14131. Highway Construction","2700x2700x1200 - 18.10.2024"
"25ab0cce-fbd7-4a6c-aa55-4593444cda8c","","work-in-progress","","folder","TRUE","FALSE","QA Checks","14184. Jonor"
"65600f81-eae3-4f24-8ff9-c0cee2553c49","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14184. Jonor","2100x2100x1200 14.10.2024"
"f33c05b1-847f-4d7e-a5fe-6e19eb92ea36","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14184. Jonor","2100x2100x1200 15.10.2024"
"6484ddf8-d896-432b-a9ab-1f1c85c636f6","","pass","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14184. Jonor","2100x2100x1200 16.10.2024"
"f8a27e61-af97-45b2-9cac-36e2429199bb","","work-in-progress","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","14184. Jonor","2100x2100x1200 17.10.2024"
"22f650c6-48e6-4701-b224-424a955e85e1","","not-started","","folder","TRUE","FALSE","Checklists"
"18141251-15e3-4bb6-ae64-246b1b723b29","","not-started","d213d1b1ac07b6fe98a02b64310250c14f7f7b0308a2719b4fdcb9d947421eee","checklist","FALSE","FALSE","Checklists","Form 12 - Box Culvert, Base & Link Slab Dimensional Accuracy Check"
"7d3dacd8-b2bf-4893-a7c6-4a292e07961e","","not-started","eed4faf5bfdc53044be6b53f8f92b7eabe58639eefdd792b92942524014370b5","checklist","FALSE","FALSE","Checklists","Form 17 - Load Test"
"94b7a871-dba7-4b5b-ad03-55629bb390de","","not-started","ffe8752fae68839b8a463626f0cff83acee8eaabbe7158ced6e71d0455cd9aa7","checklist","FALSE","FALSE","Checklists","Form 17 - Load Test (Covers)"
"824b1f12-4ec0-4bd3-b854-e1a1e120488e","","not-started","2e49d26cce8b56d288d2144ba3485ae8f083ddb4ef4f65a9487b4e659d7d640d","checklist","FALSE","FALSE","Checklists","Form 17 - Load Test (Liners and Bases)"
"5d1f5b88-6f1d-4a5e-a56c-432145b93d2f","","not-started","86af746377f919060549cee87b14364cd8d5b2954683e4df903b3fd2dd8c7723","checklist","FALSE","FALSE","Checklists","Form 17 - Load Test (Small Box Culverts)"
"e733e5da-5349-4186-b533-f7ee02c271d9","","not-started","a84b3bbb6069458e9501f2a782545d726435e186bf9c9bcd60489d8d2a35bc7e","checklist","FALSE","FALSE","Checklists","Form 62 - Measurement of Concrete Cover to Steel (Covers, Bases & Liners)"
"befcb451-fc59-4c4e-9065-799d169e0bb3","","not-started","9b4e3b383da7541f08ce787b5a0029ada0d540e0fcffdb66b05f1c9719c7ecd1","checklist","FALSE","FALSE","Checklists","Form 62 - Measurement of Concrete Cover to Steel (Measurement Box)"
"9d4b0b80-5bc8-4fdc-97a4-e3ee6a65b7ff","","not-started","f787913e948d139c6f8f20f42a66f9bb1097de2fc6ae8f38f96ebe12b2a02d1c","checklist","FALSE","FALSE","Checklists","Form 62 - Measurement of Concrete Cover to Steel (Measurement Pipe)"
"d512c293-272a-4f62-8cf7-28918217ce37","","not-started","3d1fd7b19c2556546afda124dbf93310368f7434a8bff241d355144c04fb384e","checklist","FALSE","FALSE","Checklists","Form 63 - Joint Assembly Test for Concrete Pipes with Flexible Joints AS4058-2007 Appendix H"
"fe55912e-3942-412c-a888-fe45bc210396","","not-started","8ad3275e9b23ce882e577e6c1f807b548aed9e6c861e2d09d623df01243bacab","checklist","FALSE","FALSE","Checklists","Form 65a - Pipe Dimensional Accuracy Check (AS/NZS 4058:2007, Clause 3.3)"
"c91b49ae-1b08-407b-8258-3460b0acff8d","","not-started","415cd9ac8188d16b04c414c0b06ba4efe5273141379bd2b261c0a00b923e4d8f","checklist","FALSE","FALSE","Checklists","Form 87 - Quality Assurance Form - Inspection and Test Plan"
"813afbf8-b294-49c6-96af-e16695e5ab2d","","work-in-progress","","folder","TRUE","FALSE","Load Checks (Dont Use)"
"8f233951-82bd-4e2d-96f7-f147da727bdd","","not-started","8bd3ff5311bf810627e8907a5f1433809be5d628e56732fc17a1ba86e0f74442","checklist","FALSE","FALSE","Load Checks (Dont Use)","Load Check [DEMO]"
"7816faf2-6ee2-40a6-a44f-2a31c8d3abcb","","work-in-progress","d2b32062030b9615d0219d82568c15be719c34724f5780823e5594e00d3bb343","checklist","FALSE","FALSE","Load Checks (Dont Use)","Load Check [DEMO] V.2"
"91847dc6-c127-4ecc-8f2d-cb583e4bfd3f","","not-started","ea932e43ad1e31b32a5b3e4c0440ba37e642674521598e30fea24046bcc64116","checklist","FALSE","FALSE","Load Checks (Dont Use)","Load Check [DEMO] V.3"
"3d0d6791-2905-4e00-8b98-f33749779215","","fail","","folder","TRUE","FALSE","Load Checks"
"284280a3-4b26-4746-8257-074a07c4ee72","","fail","","folder","TRUE","FALSE","Load Checks","September"
"0a1f8124-117a-483e-96fd-f01654b8e893","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","Load Check - 013755-8"
"d82d9b84-9388-4211-8c16-a46dc66693d8","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014130-2"
"a1eb56b9-22a1-4b53-b32f-5a96db6e05be","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014086"
"d3e112b2-d633-44c5-8929-45f8f5fef1f8","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","Load Check - Andrew"
"8a54c95e-a884-4390-a277-86988879c1da","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014156"
"368241d2-fec1-4000-b7f6-ff91ae6bf1d6","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - Nigel "
"5d35a6b3-749c-4edf-af28-ba06ba96e00b","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - SWGA 7572"
"29d9e988-738c-4952-8c53-61a3911b4b8e","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014005-4"
"b55261ec-5aa5-4577-9758-9cb52d310c55","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014005-5"
"0601b22d-6dad-499f-b6c7-ff58fbf20051","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014130-7"
"79eee55a-35ca-41e4-8b6d-f4581ca74df0","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014005-6"
"d1f556f7-dd71-46f0-9265-97673cd2a580","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - 013834-3"
"54be1263-e3e2-49e4-95af-409dfbfc57a8","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check- SO-13774-2"
"305d6386-5b17-40a0-92df-bbfc15a3631f","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check-SO 14190"
"87c64478-3570-45de-a9ce-d9ece9758c9e","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","Load Check - 014012"
"6736f340-87c5-4a9d-88de-5e2fa8d03712","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","SO014010-3"
"46a3de6f-6a1a-4110-9909-d12ffd038eeb","","work-in-progress","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","SO014202"
"79e2a59d-7d3a-4598-bea8-079c06880afa","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","SO014172"
"28a98e72-9378-49d0-af3c-98f8021f08eb","","pass","Ω (Deprecated) Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","SO014049"
"6a53b2ee-c237-4f6e-8c4f-1a4ac7754aeb","","not-started","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO16458"
"b47a3109-2346-42fd-8663-63baea75284f","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14035"
"e136634b-a676-458a-9e8a-b534c43574a3","","pass","","folder","TRUE","FALSE","Load Checks","September","SO14200"
"b1a094a1-0522-4b1d-bb92-7728ebc964e9","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14200","SO14200"
"05cf2d63-e56b-43b7-bafa-4099f977dc42","","pass","","folder","TRUE","FALSE","Load Checks","September","SO14204"
"3f9f2629-3527-47d3-9191-d1251920f6ba","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14204","SO14204"
"1b96f486-83b2-43b5-9f34-b17657a99329","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14212"
"19b99d65-05e7-4179-b901-a8f752eff5a1","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14204-2"
"4f786b32-0630-4b65-b440-fda5f612b490","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO13963-4"
"df19854c-a6d7-46ab-897c-7c0ee5374406","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14095-1"
"f83e3522-4f5f-467c-8a61-1fcd183795ae","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14088-2"
"26480f82-b2ca-4274-85e4-388e4b801d3b","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO013050-13"
"91f3653d-75ad-4263-9784-3060b7970b3f","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014130-9"
"3f0b3fe5-0ef9-43ee-9bb6-cc9441e353fd","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO013932-8"
"576861c7-87b8-4462-871e-45c997d6f899","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14231"
"f8dc6426-7be2-4046-8f6b-22e71c7709f2","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14230"
"8283a8d4-8a19-4b36-b93f-e05b661316b1","","work-in-progress","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO7572"
"6a3f9245-b641-4dbb-9d5d-6e312d3a7889","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO7572-1053"
"b72a06f8-07fd-4577-a5d5-edf472f5b8eb","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14154-2"
"38f76cd9-e2fb-47d8-acc2-3821d8f96e03","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14215-2"
"caf5e4fc-f690-4070-a680-715f4dfd1f05","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14240"
"f5ecd6ac-3038-4624-b7ae-26aadb3dd85f","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-7572-1054"
"5f9fbb62-4c65-47ca-9053-e69285966dd6","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-7572-1055"
"501280b4-12df-46b9-8e50-1d3b8781ebdf","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14241"
"69cf5e9c-2c49-400a-bd0f-2d39f052f285","","not-started","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14014"
"fc3f631c-4cb7-43aa-9fca-398c8c5a9016","","fail","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14216"
"4fc68bac-7594-4270-81fc-3e3bd12f9eca","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14235"
"a0d08afa-afd8-4ee9-9017-2d3aec399193","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO13755-9"
"c5b4b234-b869-468a-ac6a-db72ebe9aff2","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14215-3"
"7fe236e2-4e45-4d23-9798-6b446f8a46d4","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14228"
"ed7db9a8-b108-4611-aa1f-605bd2978bc3","","fail","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14014"
"3eef306d-964c-40f5-8044-5203db4dca5f","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014099-3"
"3da6be4c-e4be-4079-995b-92f45ab21de1","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014235-2"
"1202ceb5-8810-4819-acad-075ea863b6d0","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014216-2"
"657e5e5d-9d1d-4d59-bd36-a290e7be4fbc","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14209"
"bd821a3d-05d2-4738-a676-08fafe945fec","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14249"
"0b77b2d6-f792-47ce-8c39-76746fe7abab","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14253"
"d4476825-c031-405e-b910-98750bb65e8e","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14222"
"c646e59e-9dbc-47e9-8198-25de4f654769","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14257"
"cd8c6ff8-5039-4d63-af59-053d5876020f","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14263"
"38e4f24b-d15f-4ccc-9645-5f6bbecda4ca","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14269"
"f7716d0b-927b-4730-8147-8f161af3d25b","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14271"
"6efaa5ed-7671-4f8b-a87f-1b8ecac7008a","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14035-2"
"be808bf9-fac5-4535-89d6-04c09eb26626","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14239"
"3329f4a1-e4fc-489c-87f1-fc144f9b6474","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014246"
"adf45949-7425-41d7-968c-e76c5f457e1a","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14270"
"30c4c507-7de2-44f7-a3ae-47e7c4f8d8b8","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14278"
"79264d05-62cd-41bf-844d-a9ece7a17699","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO013908-2"
"a9232efb-e0c5-4ef8-9b87-66cbb6f40548","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14266"
"75291bbe-3adb-4a6f-948e-7072bb751c4e","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14095-2"
"1a7d67e7-26fd-4b69-bf97-407e5a39e5ab","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014130-12"
"d83784ce-c3c6-45c0-897c-97bc5fc7e884","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014259"
"ca39d1aa-427d-4b16-85be-9dd461a3f040","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014242"
"43574f06-f66b-44f9-8d95-d37c8a165ad8","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014275"
"2865cde3-cfef-4587-8c7a-6dc8ca790750","","pass","","folder","TRUE","FALSE","Load Checks","September","So14277"
"bae14800-5625-4974-af8b-103a155a53b0","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","So14277","SO14277"
"7c5e5467-eae3-42b1-9573-4abaa3b81d1e","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014265"
"f8ba939f-c8d1-44f4-a8ae-ac5b56066c29","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14264"
"aacc8579-e444-4318-b0f6-ca4eb30c78a1","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14246-2"
"12c8d883-dbe9-4254-aeb1-c59ef7d503a8","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14274"
"80ff4a3d-0a5c-4be2-868a-17dec28a84a4","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14283"
"43f0515f-c958-4fb6-b429-b869525edfaf","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO013908-3"
"b5e2442e-6ced-4e85-a6dc-e5b406288f4a","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014260"
"e2efad72-7174-4f22-a9e0-7f7071a00706","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014130-13"
"e9326302-9c98-4c9d-96ad-45d2646253da","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014256"
"95339046-74d4-4ac2-b4e2-5929c43185fd","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014191-3"
"96771c9f-2d1e-4588-aa45-045572e0a7e0","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014251"
"23a44161-c240-463e-a42f-bbd36b0f8bc7","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO013782-3"
"4fb91cdf-0819-46cb-bbcc-c0fc8dc50394","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14276"
"27121639-bfae-47a2-b41e-d629b11cb912","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14246-3"
"248d1368-12e4-4f25-abf9-557a61830825","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014276-2"
"55fc7ef5-590c-40b7-b31c-2eadd763b12a","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14287"
"9189aaa4-baa3-4c72-8ede-df2d5ecee45c","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14289"
"8665a819-fec5-4220-862f-6a993f31d18a","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014246-3"
"4d6ee2b5-4ae7-473d-a17e-c3b475e8a080","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014191-4"
"1d8b6d3f-ddcb-4f03-b6d6-029c780b4d8e","","fail","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014246-5"
"6fd7288d-ad05-45ad-aa6a-165d072bedb8","","fail","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO013908-4"
"c8b1858b-9e21-4f79-9702-222c29cbbc29","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14288"
"3f76df44-0cbe-48f2-84f1-b8e2f553dafb","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014286"
"24a283d4-acbc-44d3-8ae9-ec652fbd580e","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014219"
"519beda6-b633-433a-8666-f95b68e01771","","work-in-progress","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014130-14"
"16b04c0f-193b-4626-ad13-119e0fb0e583","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO7572"
"5cc55385-8d26-497d-aae6-c146af21f7e5","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014099-5"
"f838b5aa-fbc8-469e-99fb-c0e4d116ff87","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO7572"
"08d6e43c-6d4c-4409-84fb-076f78c0b257","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014113-3"
"2f82a959-a840-4640-9b31-dfcb1fdd324b","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO014099-5"
"1205e729-e4a0-4cda-b076-fc35f7bad659","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO- 7572-1060"
"a1ac50fc-2a89-4dcd-86c6-1e89e3778672","","no-status-not-started","","folder","TRUE","FALSE","Load Checks","September","14310"
"24b410b7-bd37-4567-a27f-3e44d30e08fd","","work-in-progress","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14310"
"99eb64e8-790b-4817-bfd7-fd1b8575ac81","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14090-4"
"1d0ba2ba-8010-4450-b579-0933fb7eb0b1","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14090-5"
"866a4d02-7c53-41bd-be51-e7b07392ee13","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14243"
"d2830cdc-5f54-4a1f-abcb-34db060cfb9b","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14299"
"dde37aa8-1e2c-422e-8f48-514ef7fa28df","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14298"
"c5b27fb9-a6bb-462b-83c1-4bdfc0bfbf1b","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO14314"
"588f79b4-150f-4f16-aedc-262980de0266","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14006-2"
"33816c44-bb52-4899-b5ac-fea01ebe7f83","","fail","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14191-6"
"ea82d6ca-06fd-4c6e-a3b1-bc30f845f68a","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14330"
"da8f3bf7-a8bd-4756-a98d-31bb7ac654d2","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","September","SO-14302"
"fa6e5421-14fc-44f6-8b7a-6d4472b7b294","","fail","","folder","TRUE","FALSE","Load Checks","October"
"820d37f8-5df0-47c2-bc4d-074b7686b649","","work-in-progress","","folder","TRUE","FALSE","Load Checks","October","Week beginning 1st Oct"
"aa12326a-6245-4eec-a240-26c86afdf55a","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14006"
"4eaef70c-4655-4813-a0ad-27668db20ac0","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14195-2"
"e32aa7f8-18e9-41d8-98ec-97ddab3c7fa5","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14323"
"36deacaa-7937-4e3e-9db9-a2441ed55316","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14332"
"4d148cde-b526-4316-b6fa-59d1eee91282","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14335"
"bb54666b-767a-4e73-8b61-4c23e41a553c","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14336"
"7ce04a65-09dc-4481-bf84-f3f90afd1665","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14331"
"d282cf94-e7ee-4580-a7e3-b1cdb9b89710","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14334"
"d7274c24-627b-442c-9745-21b91173f7c5","","work-in-progress","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14313"
"1a4d94c8-9feb-435a-9abf-7893e5e5c2fa","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14340"
"e16c1f9b-ff5c-40dc-8f33-a56fdad395aa","","work-in-progress","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14343"
"332f6c2b-5841-407c-8500-5955d01e782c","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14339"
"986bbb4d-7c32-4d7a-9615-cfb216bf34d2","","pass","Load Check","checklist","FALSE","FALSE","Load Checks","October","Week beginning 1st Oct","SO14029-2"
