Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Aspire Tower (Hickory) - Floor/Wall Penetrations,,,,,,
,Scope,,,,,
,Rows,,,,,
,,zone 1,,level 34,zone 1,floor/wall penetrations
,,pour 1,,level 34,pour 1,floor/wall penetrations
,,pour 2,,level 34,floor/wall penetrations,pour 2
,,lobby,,level 34,lobby,floor/wall penetrations
,,Level 35,grouping,floor/wall penetrations,level 35,
,,zone 1,,zone 1,floor/wall penetrations,level 35
,,pour 1,,pour 1,floor/wall penetrations,level 35
,,pour 2,,floor/wall penetrations,level 35,pour 2
,,lobby,,lobby,floor/wall penetrations,level 35
,,Level 36,grouping,level 36,floor/wall penetrations,
,,zone 1,,level 36,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 36,floor/wall penetrations
,,pour 2,,level 36,floor/wall penetrations,pour 2
,,lobby,,level 36,lobby,floor/wall penetrations
,,Level 37,grouping,level 37,floor/wall penetrations,
,,zone 1,,level 37,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 37,floor/wall penetrations
,,pour 2,,level 37,floor/wall penetrations,pour 2
,,lobby,,level 37,lobby,floor/wall penetrations
,,Level 38,grouping,level 38,floor/wall penetrations,
,,zone 1,,level 38,zone 1,floor/wall penetrations
,,pour 1,,level 38,pour 1,floor/wall penetrations
,,pour 2,,level 38,floor/wall penetrations,pour 2
,,lobby,,level 38,lobby,floor/wall penetrations
,,Level 39,grouping,level 39,floor/wall penetrations,
,,zone 1,,level 39,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 39,floor/wall penetrations
,,pour 2,,level 39,floor/wall penetrations,pour 2
,,lobby,,level 39,lobby,floor/wall penetrations
,,Level 40,grouping,level 40,floor/wall penetrations,
,,zone 1,,level 40,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 40,floor/wall penetrations
,,pour 2,,level 40,floor/wall penetrations,pour 2
,,lobby,,level 40,lobby,floor/wall penetrations
,,Level 41,grouping,level 41,floor/wall penetrations,
,,zone 1,,level 41,zone 1,floor/wall penetrations
,,pour 1,,level 41,pour 1,floor/wall penetrations
,,pour 2,,level 41,floor/wall penetrations,pour 2
,,lobby,,level 41,lobby,floor/wall penetrations
,,Level 42,grouping,floor/wall penetrations,level 42,
,,zone 1,,zone 1,floor/wall penetrations,level 42
,,pour 1,,pour 1,floor/wall penetrations,level 42
,,pour 2,,floor/wall penetrations,level 42,pour 2
,,lobby,,lobby,floor/wall penetrations,level 42
,,Level 43,grouping,level 43,floor/wall penetrations,
,,zone 1,,level 43,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 43,floor/wall penetrations
,,pour 2,,level 43,floor/wall penetrations,pour 2
,,lobby,,level 43,lobby,floor/wall penetrations
,,Level 44,grouping,level 44,floor/wall penetrations,
,,zone 1,,level 44,zone 1,floor/wall penetrations
,,pour 1,,pour 1,level 44,floor/wall penetrations
,,pour 2,,level 44,floor/wall penetrations,pour 2
,,lobby,,level 44,lobby,floor/wall penetrations
,,Level 45,grouping,level 45,floor/wall penetrations,
,,zone 1,,level 45,zone 1,floor/wall penetrations
,,pour 1,,level 45,pour 1,floor/wall penetrations
,,pour 2,,level 45,floor/wall penetrations,pour 2
,,lobby,,level 45,lobby,floor/wall penetrations
,,Level 46,grouping,floor/wall penetrations,level 46,
,,zone 1,,zone 1,floor/wall penetrations,level 46
